instanceID	dataIDs	label_set	non_label
0_afternoon_nn	mag_1986_492553.txt-134-22,fic_1992_40272.txt-627-18	1,2,3,4	-
1_afternoon_nn	fic_1831_7210.txt-510-4,fic_1846_7036.txt-2381-16	1,2,3,4	-
2_afternoon_nn	mag_1850_565942.txt-396-5,fic_1858_9768.txt-412-5	1,2,3,4	-
3_afternoon_nn	mag_1854_555969.txt-139-11,fic_1971_14051.txt-667-2	1,2,3,4	-
4_afternoon_nn	fic_1977_780102.txt-1079-6,fic_1992_40272.txt-627-18	1,2,3,4	-
5_afternoon_nn	fic_1848_7193.txt-3809-25,fic_1852_9832.txt-757-5	1,2,3,4	-
6_afternoon_nn	fic_1976_23909.txt-198-3,fic_1852_9832.txt-757-5	1,2,3,4	-
7_afternoon_nn	mag_1845_587596.txt-153-9,fic_1834_7252.txt-206-4	1,2,3,4	-
8_afternoon_nn	fic_2000_28733.txt-1-8,fic_1997_54614.txt-159-18	1,2,3,4	-
9_afternoon_nn	fic_1974_782013.txt-1545-5,mag_1980_491790.txt-342-2	1,2,3,4	-
10_afternoon_nn	mag_1848_565759.txt-119-14,fic_1997_54614.txt-159-18	1,2,3,4	-
11_afternoon_nn	fic_1833_7321.txt-162-45,nf_2006_776561.txt-30-8	1,2,3,4	-
12_afternoon_nn	fic_1839_8698.txt-603-9,nf_1857_753133.txt-1759-5	1,2,3,4	-
13_afternoon_nn	fic_1859_1191.txt-2358-42,fic_1825_7041.txt-1647-2	1,2,3,4	-
14_afternoon_nn	fic_1987_780058.txt-2587-3,mag_1980_491790.txt-342-2	1,2,3,4	-
15_afternoon_nn	fic_1976_23910.txt-121-6,nf_1834_755185.txt-2925-9	1,2,3,4	-
16_afternoon_nn	fic_1971_23878.txt-100-32,fic_1997_54614.txt-159-18	1,2,3,4	-
17_afternoon_nn	fic_1998_43428.txt-168-2,fic_1850_2310.txt-1321-9	1,2,3,4	-
18_afternoon_nn	news_1970_728479.txt-13-6,nf_2006_776561.txt-30-8	1,2,3,4	-
19_afternoon_nn	news_1992_605805.txt-59-34,fic_1854_5388.txt-1142-35	1,2,3,4	-
20_afternoon_nn	fic_1965_10467.txt-3637-5,nf_1857_753133.txt-1759-5	1,2,3,4	-
21_afternoon_nn	mag_1968_490662.txt-89-5,fic_1988_10770.txt-925-3	1,2,3,4	-
22_afternoon_nn	mag_1989_328663.txt-29-10,fic_1825_7041.txt-1647-2	1,2,3,4	-
23_afternoon_nn	fic_1852_69.txt-6782-7,fic_1997_54614.txt-159-18	1,2,3,4	-
24_afternoon_nn	fic_1849_7218.txt-3369-36,fic_1850_2310.txt-1321-9	1,2,3,4	-
25_afternoon_nn	fic_1998_43216.txt-454-14,fic_1851_3300.txt-1083-18	1,2,3,4	-
26_afternoon_nn	fic_1971_782005.txt-463-14,fic_1846_7036.txt-2381-16	1,2,3,4	-
27_afternoon_nn	fic_1835_7203.txt-689-5,fic_1987_780057.txt-318-5	1,2,3,4	-
28_afternoon_nn	fic_1846_200.txt-3364-3,fic_2007_34112.txt-95-13	1,2,3,4	-
29_afternoon_nn	fic_1993_25005.txt-782-34,fic_1825_7041.txt-1647-2	1,2,3,4	-
30_afternoon_nn	mag_1850_565942.txt-396-5,mag_1855_556005.txt-194-2	1,2,3,4	-
31_afternoon_nn	fic_1986_782031.txt-439-25,nf_1834_755185.txt-2925-9	1,2,3,4	-
32_afternoon_nn	fic_1827_9758.txt-5747-16,fic_1846_7036.txt-2381-16	1,2,3,4	-
33_afternoon_nn	fic_1849_7192.txt-7848-8,nf_1849_762578.txt-1803-0	1,2,3,4	-
34_afternoon_nn	fic_1993_53896.txt-67-8,mag_1980_491790.txt-342-2	1,2,3,4	-
35_afternoon_nn	fic_1993_1040090.txt-2612-8,fic_1851_3300.txt-1083-18	1,2,3,4	-
36_afternoon_nn	nf_1849_749269.txt-547-35,nf_2006_776561.txt-30-8	1,2,3,4	-
37_afternoon_nn	nf_1970_774329.txt-642-27,nf_1857_753133.txt-1759-5	1,2,3,4	-
38_afternoon_nn	fic_2006_32064.txt-30-8,fic_1825_7041.txt-1647-2	1,2,3,4	-
39_afternoon_nn	news_1971_729575.txt-35-24,nf_1849_762578.txt-1803-0	1,2,3,4	-
40_afternoon_nn	fic_1860_616.txt-3119-6,mag_1855_556005.txt-194-2	1,2,3,4	-
41_afternoon_nn	mag_1968_490661.txt-153-13,fic_1988_10770.txt-925-3	1,2,3,4	-
42_afternoon_nn	fic_1999_44564.txt-215-2,fic_1997_54614.txt-159-18	1,2,3,4	-
43_afternoon_nn	fic_1822_7275.txt-216-23,fic_1850_2310.txt-1321-9	1,2,3,4	-
44_afternoon_nn	fic_1834_7252.txt-206-4,nf_1849_762578.txt-1803-0	1,2,3,4	-
45_afternoon_nn	fic_1852_9832.txt-3009-7,fic_1988_10770.txt-925-3	1,2,3,4	-
46_afternoon_nn	fic_1855_2965.txt-1882-18,fic_1854_5388.txt-1142-35	1,2,3,4	-
47_afternoon_nn	fic_1860_2807.txt-3507-26,nf_1849_762578.txt-1803-0	1,2,3,4	-
48_afternoon_nn	fic_1860_9817.txt-1654-35,fic_1992_40272.txt-627-18	1,2,3,4	-
49_afternoon_nn	fic_1852_9832.txt-2197-8,mag_1855_556005.txt-194-2	1,2,3,4	-
50_afternoon_nn	fic_2006_51045.txt-778-3,fic_1992_40272.txt-627-18	1,2,3,4	-
51_afternoon_nn	fic_1845_7262.txt-903-32,mag_1980_491790.txt-342-2	1,2,3,4	-
52_afternoon_nn	fic_1849_7167.txt-1658-7,fic_1967_10491.txt-4998-1	1,2,3,4	-
53_afternoon_nn	mag_1992_61830.txt-0-30,fic_1850_2310.txt-1321-9	1,2,3,4	-
54_afternoon_nn	nf_2008_774723.txt-0-8,fic_1987_780057.txt-318-5	1,2,3,4	-
