instanceID	label	comment	annotator
0_afternoon_nn	4.0	 	annotator2
1_afternoon_nn	4.0	 	annotator2
2_afternoon_nn	4.0	 	annotator2
3_afternoon_nn	4.0	 	annotator2
4_afternoon_nn	3.0	daylight versus actual day	annotator2
5_afternoon_nn	3.0	daylight versus actual day	annotator2
6_afternoon_nn	4.0	 	annotator2
7_afternoon_nn	4.0	 	annotator2
8_afternoon_nn	4.0	 	annotator2
9_afternoon_nn	4.0	 	annotator2
10_afternoon_nn	4.0	 	annotator2
11_afternoon_nn	4.0	 	annotator2
12_afternoon_nn	4.0	 	annotator2
13_afternoon_nn	4.0	 	annotator2
14_afternoon_nn	4.0	 	annotator2
15_afternoon_nn	4.0	 	annotator2
16_afternoon_nn	4.0	 	annotator2
17_afternoon_nn	4.0	 	annotator2
18_afternoon_nn	4.0	 	annotator2
19_afternoon_nn	4.0	 	annotator2
20_afternoon_nn	4.0	 	annotator2
21_afternoon_nn	4.0	 	annotator2
22_afternoon_nn	4.0	 	annotator2
23_afternoon_nn	4.0	 	annotator2
24_afternoon_nn	4.0	 	annotator2
25_afternoon_nn	4.0	 	annotator2
26_afternoon_nn	4.0	 	annotator2
27_afternoon_nn	4.0	 	annotator2
28_afternoon_nn	4.0	 	annotator2
29_afternoon_nn	4.0	 	annotator2
30_afternoon_nn	4.0	 	annotator2
31_afternoon_nn	4.0	 	annotator2
32_afternoon_nn	4.0	 	annotator2
33_afternoon_nn	-	 	annotator2
34_afternoon_nn	4.0	 	annotator2
35_afternoon_nn	4.0	 	annotator2
36_afternoon_nn	4.0	 	annotator2
37_afternoon_nn	4.0	 	annotator2
38_afternoon_nn	4.0	 	annotator2
39_afternoon_nn	4.0	 	annotator2
40_afternoon_nn	4.0	 	annotator2
41_afternoon_nn	4.0	 	annotator2
42_afternoon_nn	4.0	 	annotator2
43_afternoon_nn	4.0	 	annotator2
44_afternoon_nn	4.0	 	annotator2
45_afternoon_nn	4.0	 	annotator2
46_afternoon_nn	4.0	 	annotator2
47_afternoon_nn	4.0	 	annotator2
48_afternoon_nn	4.0	 	annotator2
49_afternoon_nn	4.0	 	annotator2
50_afternoon_nn	4.0	 	annotator2
51_afternoon_nn	4.0	 	annotator2
52_afternoon_nn	4.0	 	annotator2
53_afternoon_nn	4.0	 	annotator2
54_afternoon_nn	4.0	 	annotator2
55_afternoon_nn	4.0	 	annotator2
56_afternoon_nn	4.0	 	annotator2
57_afternoon_nn	4.0	 	annotator2
58_afternoon_nn	4.0	 	annotator2
59_afternoon_nn	4.0	 	annotator2
60_afternoon_nn	4.0	 	annotator2
61_afternoon_nn	4.0	 	annotator2
62_afternoon_nn	4.0	 	annotator2
63_afternoon_nn	4.0	 	annotator2
64_afternoon_nn	4.0	 	annotator2
65_afternoon_nn	4.0	 	annotator2
66_afternoon_nn	4.0	 	annotator2
67_afternoon_nn	4.0	 	annotator2
68_afternoon_nn	4.0	 	annotator2
69_afternoon_nn	4.0	 	annotator2
70_afternoon_nn	4.0	 	annotator2
71_afternoon_nn	4.0	 	annotator2
72_afternoon_nn	4.0	 	annotator2
73_afternoon_nn	4.0	 	annotator2
74_afternoon_nn	4.0	 	annotator2
75_afternoon_nn	4.0	 	annotator2
76_afternoon_nn	4.0	 	annotator2
77_afternoon_nn	4.0	 	annotator2
78_afternoon_nn	4.0	 	annotator2
79_afternoon_nn	4.0	 	annotator2
80_afternoon_nn	4.0	 	annotator2
81_afternoon_nn	4.0	 	annotator2
82_afternoon_nn	4.0	 	annotator2
83_afternoon_nn	4.0	 	annotator2
84_afternoon_nn	4.0	 	annotator2
85_afternoon_nn	4.0	 	annotator2
85_afternoon_nn	4.0	 	annotator5
86_afternoon_nn	4.0	 	annotator5
87_afternoon_nn	4.0	 	annotator5
72_afternoon_nn	4.0	 	annotator5
88_afternoon_nn	4.0	 	annotator5
24_afternoon_nn	4.0	 	annotator5
40_afternoon_nn	3.0	 	annotator5
39_afternoon_nn	4.0	 	annotator5
89_afternoon_nn	4.0	 	annotator5
73_afternoon_nn	3.0	 	annotator5
90_afternoon_nn	4.0	 	annotator5
91_afternoon_nn	4.0	 	annotator5
92_afternoon_nn	4.0	 	annotator5
93_afternoon_nn	4.0	 	annotator5
82_afternoon_nn	3.0	 	annotator5
52_afternoon_nn	4.0	 	annotator5
94_afternoon_nn	4.0	 	annotator5
17_afternoon_nn	4.0	 	annotator5
95_afternoon_nn	4.0	 	annotator5
96_afternoon_nn	4.0	 	annotator5
97_afternoon_nn	4.0	 	annotator5
98_afternoon_nn	4.0	 	annotator5
99_afternoon_nn	4.0	 	annotator5
13_afternoon_nn	4.0	 	annotator5
100_afternoon_nn	4.0	 	annotator5
6_afternoon_nn	4.0	 	annotator5
2_afternoon_nn	4.0	 	annotator5
101_afternoon_nn	3.0	 	annotator5
102_afternoon_nn	4.0	 	annotator5
19_afternoon_nn	4.0	 	annotator5
103_afternoon_nn	4.0	 	annotator5
34_afternoon_nn	4.0	 	annotator5
104_afternoon_nn	3.0	 	annotator5
105_afternoon_nn	3.0	 	annotator5
106_afternoon_nn	4.0	 	annotator5
107_afternoon_nn	3.0	 	annotator5
108_afternoon_nn	4.0	 	annotator5
109_afternoon_nn	3.0	 	annotator5
