instanceID	label	comment	annotator
0_attack_nn	3.0	 	annotator2
1_attack_nn	3.0	 	annotator2
2_attack_nn	4.0	 	annotator2
3_attack_nn	2.0	 	annotator2
4_attack_nn	3.0	 	annotator2
5_attack_nn	4.0	 	annotator2
6_attack_nn	4.0	 	annotator2
7_attack_nn	4.0	 	annotator2
8_attack_nn	3.0	 	annotator2
9_attack_nn	4.0	 	annotator2
10_attack_nn	3.0	 	annotator2
11_attack_nn	3.0	 	annotator2
12_attack_nn	3.0	 	annotator2
13_attack_nn	3.0	 	annotator2
14_attack_nn	3.0	 	annotator2
15_attack_nn	3.0	 	annotator2
16_attack_nn	3.0	 	annotator2
17_attack_nn	3.0	 	annotator2
18_attack_nn	3.0	 	annotator2
19_attack_nn	3.0	 	annotator2
20_attack_nn	3.0	 	annotator2
21_attack_nn	4.0	 	annotator2
22_attack_nn	3.0	 	annotator2
23_attack_nn	4.0	 	annotator2
24_attack_nn	4.0	 	annotator2
25_attack_nn	3.0	 	annotator2
26_attack_nn	2.0	 	annotator2
27_attack_nn	3.0	 	annotator2
28_attack_nn	3.0	 	annotator2
29_attack_nn	3.0	 	annotator2
30_attack_nn	3.0	 	annotator6
31_attack_nn	3.0	 	annotator6
32_attack_nn	2.0	 	annotator6
33_attack_nn	3.0	 	annotator6
2_attack_nn	4.0	 	annotator6
34_attack_nn	3.0	 	annotator6
35_attack_nn	2.0	 	annotator6
36_attack_nn	3.0	 	annotator6
37_attack_nn	2.0	 	annotator6
38_attack_nn	2.0	 	annotator6
39_attack_nn	2.0	 	annotator6
40_attack_nn	2.0	 	annotator6
15_attack_nn	2.0	 	annotator6
41_attack_nn	2.0	 	annotator6
42_attack_nn	4.0	 	annotator6
43_attack_nn	4.0	 	annotator6
25_attack_nn	2.0	 	annotator6
23_attack_nn	2.0	 	annotator6
44_attack_nn	2.0	 	annotator6
45_attack_nn	2.0	 	annotator6
46_attack_nn	2.0	 	annotator6
28_attack_nn	2.0	 	annotator6
47_attack_nn	2.0	 	annotator6
48_attack_nn	2.0	 	annotator6
26_attack_nn	2.0	 	annotator6
5_attack_nn	2.0	 	annotator6
49_attack_nn	2.0	 	annotator6
50_attack_nn	2.0	 	annotator6
51_attack_nn	2.0	 	annotator6
52_attack_nn	2.0	 	annotator6
53_attack_nn	2.0	 	annotator6
54_attack_nn	2.0	 	annotator6
55_attack_nn	2.0	 	annotator6
56_attack_nn	2.0	 	annotator6
57_attack_nn	2.0	 	annotator6
58_attack_nn	2.0	 	annotator6
59_attack_nn	2.0	 	annotator6
60_attack_nn	2.0	 	annotator6
61_attack_nn	2.0	 	annotator6
62_attack_nn	2.0	 	annotator6
63_attack_nn	2.0	 	annotator6
64_attack_nn	2.0	 	annotator6
12_attack_nn	2.0	 	annotator6
65_attack_nn	2.0	 	annotator6
66_attack_nn	2.0	 	annotator6
67_attack_nn	2.0	 	annotator6
68_attack_nn	2.0	 	annotator6
69_attack_nn	2.0	 	annotator6
70_attack_nn	2.0	 	annotator6
71_attack_nn	2.0	 	annotator6
72_attack_nn	3.0	 	annotator5
73_attack_nn	4.0	 	annotator5
74_attack_nn	2.0	 	annotator5
75_attack_nn	2.0	 	annotator5
76_attack_nn	3.0	 	annotator5
77_attack_nn	3.0	 	annotator5
2_attack_nn	4.0	 	annotator5
18_attack_nn	2.0	 	annotator5
47_attack_nn	2.0	 	annotator5
40_attack_nn	4.0	 	annotator5
9_attack_nn	3.0	 	annotator5
78_attack_nn	4.0	 	annotator5
79_attack_nn	2.0	 	annotator5
80_attack_nn	3.0	 	annotator5
81_attack_nn	3.0	 	annotator5
64_attack_nn	3.0	 	annotator5
82_attack_nn	3.0	 	annotator5
50_attack_nn	2.0	 	annotator5
83_attack_nn	3.0	 	annotator5
84_attack_nn	4.0	 	annotator5
0_attack_nn	3.0	 	annotator5
85_attack_nn	4.0	 	annotator5
86_attack_nn	3.0	 	annotator5
87_attack_nn	3.0	 	annotator0
20_attack_nn	2.0	 	annotator0
4_attack_nn	3.0	 	annotator0
88_attack_nn	3.0	 	annotator0
58_attack_nn	3.0	 	annotator0
89_attack_nn	2.0	 	annotator0
90_attack_nn	4.0	Unsure	annotator0
91_attack_nn	4.0	 	annotator0
92_attack_nn	3.0	 	annotator0
93_attack_nn	3.0	 	annotator0
94_attack_nn	3.0	 	annotator0
95_attack_nn	3.0	 	annotator0
55_attack_nn	2.0	 	annotator0
96_attack_nn	3.0	 	annotator0
97_attack_nn	2.0	 	annotator0
39_attack_nn	3.0	 	annotator0
98_attack_nn	3.0	 	annotator0
99_attack_nn	3.0	 	annotator2
96_attack_nn	2.0	 	annotator2
100_attack_nn	4.0	 	annotator2
101_attack_nn	4.0	 	annotator2
102_attack_nn	4.0	 	annotator2
103_attack_nn	3.0	 	annotator2
104_attack_nn	3.0	 	annotator2
105_attack_nn	4.0	 	annotator2
106_attack_nn	4.0	 	annotator2
107_attack_nn	3.0	 	annotator2
108_attack_nn	4.0	 	annotator2
109_attack_nn	4.0	 	annotator2
110_attack_nn	3.0	 	annotator2
111_attack_nn	4.0	 	annotator2
112_attack_nn	4.0	 	annotator2
113_attack_nn	3.0	 	annotator2
114_attack_nn	3.0	 	annotator2
115_attack_nn	2.0	 	annotator2
116_attack_nn	3.0	 	annotator2
117_attack_nn	3.0	 	annotator2
118_attack_nn	3.0	 	annotator2
94_attack_nn	4.0	 	annotator2
119_attack_nn	4.0	 	annotator2
120_attack_nn	4.0	 	annotator2
121_attack_nn	3.0	 	annotator2
122_attack_nn	4.0	 	annotator2
123_attack_nn	4.0	 	annotator2
124_attack_nn	4.0	 	annotator2
125_attack_nn	4.0	 	annotator2
126_attack_nn	3.0	 	annotator2
127_attack_nn	3.0	 	annotator2
56_attack_nn	2.0	 	annotator2
128_attack_nn	4.0	 	annotator2
129_attack_nn	3.0	 	annotator2
130_attack_nn	3.0	 	annotator2
131_attack_nn	3.0	 	annotator2
132_attack_nn	3.0	 	annotator2
133_attack_nn	3.0	 	annotator2
134_attack_nn	3.0	 	annotator2
135_attack_nn	3.0	 	annotator2
136_attack_nn	4.0	 	annotator2
137_attack_nn	3.0	 	annotator2
138_attack_nn	4.0	 	annotator2
139_attack_nn	3.0	 	annotator2
140_attack_nn	3.0	 	annotator2
141_attack_nn	4.0	 	annotator2
142_attack_nn	4.0	 	annotator2
143_attack_nn	3.0	 	annotator2
144_attack_nn	4.0	 	annotator2
145_attack_nn	3.0	 	annotator2
146_attack_nn	3.0	 	annotator2
147_attack_nn	4.0	 	annotator2
148_attack_nn	4.0	 	annotator2
149_attack_nn	4.0	 	annotator2
150_attack_nn	3.0	 	annotator2
151_attack_nn	4.0	 	annotator2
152_attack_nn	3.0	 	annotator2
153_attack_nn	4.0	 	annotator2
154_attack_nn	3.0	 	annotator2
155_attack_nn	3.0	 	annotator2
156_attack_nn	4.0	 	annotator2
157_attack_nn	3.0	 	annotator2
158_attack_nn	3.0	 	annotator2
159_attack_nn	3.0	 	annotator2
160_attack_nn	4.0	 	annotator2
161_attack_nn	4.0	 	annotator2
162_attack_nn	4.0	 	annotator2
163_attack_nn	4.0	 	annotator2
164_attack_nn	4.0	 	annotator2
165_attack_nn	4.0	 	annotator2
166_attack_nn	3.0	 	annotator2
167_attack_nn	3.0	 	annotator2
168_attack_nn	3.0	 	annotator2
169_attack_nn	3.0	 	annotator2
170_attack_nn	4.0	 	annotator2
171_attack_nn	4.0	 	annotator2
172_attack_nn	3.0	 	annotator2
173_attack_nn	3.0	 	annotator2
174_attack_nn	3.0	 	annotator2
175_attack_nn	4.0	 	annotator2
176_attack_nn	3.0	 	annotator2
177_attack_nn	3.0	 	annotator2
178_attack_nn	4.0	 	annotator2
179_attack_nn	4.0	 	annotator2
180_attack_nn	4.0	 	annotator2
181_attack_nn	3.0	 	annotator2
182_attack_nn	3.0	 	annotator2
183_attack_nn	3.0	 	annotator2
184_attack_nn	4.0	 	annotator2
185_attack_nn	3.0	 	annotator2
186_attack_nn	3.0	 	annotator2
187_attack_nn	4.0	 	annotator2
188_attack_nn	3.0	 	annotator2
189_attack_nn	4.0	 	annotator2
190_attack_nn	4.0	 	annotator2
191_attack_nn	4.0	 	annotator2
192_attack_nn	3.0	 	annotator2
193_attack_nn	4.0	 	annotator2
194_attack_nn	3.0	 	annotator2
195_attack_nn	4.0	 	annotator2
196_attack_nn	4.0	 	annotator2
197_attack_nn	4.0	 	annotator2
198_attack_nn	4.0	 	annotator2
199_attack_nn	4.0	 	annotator2
200_attack_nn	4.0	 	annotator2
201_attack_nn	4.0	 	annotator2
202_attack_nn	3.0	 	annotator2
203_attack_nn	3.0	 	annotator2
204_attack_nn	4.0	 	annotator2
205_attack_nn	4.0	 	annotator2
206_attack_nn	4.0	 	annotator2
207_attack_nn	4.0	 	annotator2
208_attack_nn	4.0	 	annotator2
209_attack_nn	4.0	 	annotator2
210_attack_nn	4.0	 	annotator2
211_attack_nn	4.0	 	annotator2
212_attack_nn	4.0	 	annotator2
213_attack_nn	4.0	 	annotator2
214_attack_nn	3.0	 	annotator2
215_attack_nn	4.0	 	annotator2
216_attack_nn	3.0	 	annotator2
217_attack_nn	4.0	 	annotator2
218_attack_nn	4.0	 	annotator2
219_attack_nn	4.0	 	annotator2
220_attack_nn	4.0	 	annotator2
221_attack_nn	4.0	 	annotator2
222_attack_nn	4.0	 	annotator2
51_attack_nn	4.0	 	annotator2
223_attack_nn	4.0	 	annotator2
224_attack_nn	3.0	 	annotator2
225_attack_nn	4.0	 	annotator2
226_attack_nn	4.0	 	annotator2
227_attack_nn	3.0	 	annotator2
228_attack_nn	4.0	 	annotator2
229_attack_nn	4.0	 	annotator2
230_attack_nn	3.0	 	annotator2
231_attack_nn	3.0	 	annotator2
232_attack_nn	3.0	 	annotator2
233_attack_nn	3.0	 	annotator2
234_attack_nn	3.0	 	annotator2
235_attack_nn	4.0	 	annotator2
236_attack_nn	4.0	 	annotator2
237_attack_nn	3.0	 	annotator2
238_attack_nn	4.0	 	annotator2
239_attack_nn	4.0	 	annotator2
240_attack_nn	4.0	 	annotator2
241_attack_nn	3.0	 	annotator2
242_attack_nn	4.0	 	annotator2
243_attack_nn	3.0	 	annotator2
244_attack_nn	4.0	 	annotator2
245_attack_nn	3.0	 	annotator2
246_attack_nn	4.0	 	annotator2
247_attack_nn	3.0	 	annotator2
248_attack_nn	3.0	 	annotator2
53_attack_nn	3.0	 	annotator2
249_attack_nn	4.0	 	annotator2
250_attack_nn	4.0	 	annotator2
251_attack_nn	4.0	 	annotator2
252_attack_nn	4.0	 	annotator2
253_attack_nn	4.0	 	annotator2
254_attack_nn	3.0	 	annotator2
69_attack_nn	3.0	 	annotator2
255_attack_nn	4.0	 	annotator2
256_attack_nn	4.0	 	annotator2
257_attack_nn	3.0	 	annotator2
258_attack_nn	4.0	 	annotator2
259_attack_nn	3.0	 	annotator2
260_attack_nn	4.0	 	annotator2
52_attack_nn	3.0	 	annotator5
261_attack_nn	3.0	 	annotator5
186_attack_nn	3.0	 	annotator5
146_attack_nn	3.0	 	annotator5
220_attack_nn	3.0	 	annotator5
150_attack_nn	3.0	 	annotator5
262_attack_nn	3.0	 	annotator5
263_attack_nn	3.0	 	annotator5
183_attack_nn	3.0	 	annotator5
133_attack_nn	3.0	 	annotator5
152_attack_nn	4.0	 	annotator5
232_attack_nn	4.0	 	annotator5
141_attack_nn	3.0	 	annotator5
62_attack_nn	3.0	 	annotator5
264_attack_nn	3.0	 	annotator5
188_attack_nn	2.0	 	annotator5
125_attack_nn	3.0	 	annotator5
265_attack_nn	4.0	 	annotator5
121_attack_nn	3.0	 	annotator5
229_attack_nn	4.0	 	annotator5
266_attack_nn	4.0	 	annotator5
267_attack_nn	4.0	 	annotator5
268_attack_nn	2.0	 	annotator5
101_attack_nn	3.0	 	annotator5
