instanceID	dataIDs	label_set	non_label
0_bag_nn	mag_1817_552967.txt-64-45,nf_1834_755185.txt-797-5	1,2,3,4	-
1_bag_nn	fic_1845_7316.txt-1628-3,fic_2002_30623.txt-389-14	1,2,3,4	-
2_bag_nn	mag_1998_401802.txt-68-25,mag_1835_565001.txt-70-21	1,2,3,4	-
3_bag_nn	mag_2001_416301.txt-220-11,nf_1846_748061.txt-1629-50	1,2,3,4	-
4_bag_nn	fic_1847_7124.txt-1094-15,nf_1830_754783.txt-1477-11	1,2,3,4	-
5_bag_nn	fic_1979_10650.txt-4490-4,nf_1841_768644.txt-1558-4	1,2,3,4	-
6_bag_nn	nf_1992_773879.txt-525-51,fic_1855_2965.txt-1077-34	1,2,3,4	-
7_bag_nn	fic_1842_7206.txt-895-2,mag_1996_383822.txt-35-17	1,2,3,4	-
8_bag_nn	mag_1855_505250.txt-366-17,fic_1846_7036.txt-1026-17	1,2,3,4	-
9_bag_nn	fic_1852_2364.txt-2320-13,fic_1993_1040077.txt-3779-20	1,2,3,4	-
10_bag_nn	fic_1995_39408.txt-194-29,fic_1860_2807.txt-2043-13	1,2,3,4	-
11_bag_nn	fic_1998_43332.txt-33-37,mag_1837_554476.txt-28-22	1,2,3,4	-
12_bag_nn	fic_1854_3384.txt-4387-9,mag_2005_417335.txt-110-2	1,2,3,4	-
13_bag_nn	fic_1851_746.txt-5047-7,fic_2007_52366.txt-849-7	1,2,3,4	-
14_bag_nn	fic_1823_7213.txt-2641-11,fic_1993_1040085.txt-3491-27	1,2,3,4	-
15_bag_nn	fic_2001_29345.txt-626-10,fic_1995_39408.txt-174-24	1,2,3,4	-
16_bag_nn	news_2004_661054.txt-33-17,fic_1974_780164.txt-3350-20	1,2,3,4	-
17_bag_nn	mag_1963_243808.txt-5-22,fic_1835_7133.txt-1898-36	1,2,3,4	-
18_bag_nn	fic_1984_10714.txt-3154-8,mag_1989_480911.txt-315-12	1,2,3,4	-
19_bag_nn	fic_1985_16058.txt-908-17,fic_1853_9040.txt-132-11	1,2,3,4	-
20_bag_nn	nf_1854_750818.txt-899-41,fic_2003_31346.txt-75-13	1,2,3,4	-
21_bag_nn	fic_1856_2367.txt-1546-13,fic_1853_9040.txt-132-11	1,2,3,4	-
22_bag_nn	fic_2004_780503.txt-2051-9,fic_1834_8947.txt-1310-6	1,2,3,4	-
23_bag_nn	fic_1995_39408.txt-174-24,fic_1856_3677.txt-3324-7	1,2,3,4	-
24_bag_nn	fic_2006_51066.txt-34-17,fic_1853_9040.txt-132-11	1,2,3,4	-
25_bag_nn	fic_1963_24513.txt-180-9,fic_2003_31346.txt-75-13	1,2,3,4	-
26_bag_nn	fic_1980_780048.txt-2137-4,fic_1832_7176.txt-3143-9	1,2,3,4	-
27_bag_nn	nf_1821_747955.txt-44-9,fic_2002_14561.txt-10-5	1,2,3,4	-
28_bag_nn	fic_1853_3465.txt-1268-8,fic_1979_16368.txt-854-10	1,2,3,4	-
29_bag_nn	nf_1843_748690.txt-348-66,mag_1835_565001.txt-70-21	1,2,3,4	-
30_bag_nn	fic_1963_13496.txt-829-3,fic_2003_31346.txt-75-13	1,2,3,4	-
31_bag_nn	fic_1847_7149.txt-2790-14,fic_1855_2630.txt-277-20	1,2,3,4	-
32_bag_nn	mag_2003_407669.txt-21-24,fic_1853_9040.txt-132-11	1,2,3,4	-
33_bag_nn	fic_1851_1253.txt-48-11,fic_1979_16368.txt-854-10	1,2,3,4	-
34_bag_nn	fic_1985_16058.txt-908-17,fic_1851_746.txt-8848-1	1,2,3,4	-
35_bag_nn	nf_1834_755185.txt-1648-29,fic_1979_16368.txt-854-10	1,2,3,4	-
36_bag_nn	fic_1974_780164.txt-3350-20,news_2004_661054.txt-33-17	1,2,3,4	-
37_bag_nn	fic_1832_7177.txt-3105-6,fic_1835_7133.txt-1898-36	1,2,3,4	-
38_bag_nn	fic_1835_7134.txt-2829-19,fic_1834_8947.txt-1310-6	1,2,3,4	-
39_bag_nn	fic_1970_753.txt-715-8,nf_1852_771569.txt-1631-28	1,2,3,4	-
40_bag_nn	mag_1856_566684.txt-67-18,fic_1832_7176.txt-3143-9	1,2,3,4	-
41_bag_nn	fic_1834_7047.txt-1088-9,mag_2006_385869.txt-220-22	1,2,3,4	-
42_bag_nn	fic_1976_10607.txt-6044-11,fic_1979_16368.txt-854-10	1,2,3,4	-
43_bag_nn	fic_1832_7176.txt-3143-9,mag_1963_243808.txt-5-22	1,2,3,4	-
44_bag_nn	fic_1841_799.txt-1159-18,fic_1834_8947.txt-1310-6	1,2,3,4	-
45_bag_nn	fic_1980_16260.txt-1152-19,fic_1834_8947.txt-1310-6	1,2,3,4	-
46_bag_nn	fic_1999_30922.txt-196-11,fic_1843_7074.txt-4254-6	1,2,3,4	-
47_bag_nn	fic_1856_9779.txt-1151-18,fic_2003_31346.txt-75-13	1,2,3,4	-
48_bag_nn	mag_2005_417335.txt-110-2,fic_1855_2630.txt-277-20	1,2,3,4	-
49_bag_nn	news_2007_637100.txt-15-7,fic_1856_3677.txt-3324-7	1,2,3,4	-
50_bag_nn	mag_1855_505250.txt-366-17,fic_1856_3677.txt-3324-7	1,2,3,4	-
51_bag_nn	mag_1973_491569.txt-183-47,fic_1856_3677.txt-3324-7	1,2,3,4	-
52_bag_nn	fic_1988_780054.txt-731-6,news_2004_661054.txt-33-17	1,2,3,4	-
53_bag_nn	fic_1851_746.txt-408-0,fic_1853_9040.txt-132-11	1,2,3,4	-
54_bag_nn	fic_1984_10723.txt-1360-4,fic_1979_16368.txt-854-10	1,2,3,4	-
55_bag_nn	news_1973_731044.txt-11-15,news_2004_661054.txt-33-17	1,2,3,4	-
56_bag_nn	fic_1853_9158.txt-521-37,news_2004_661054.txt-33-17	1,2,3,4	-
57_bag_nn	nf_1843_748690.txt-314-6,fic_1995_39408.txt-194-29	1,2,3,4	-
58_bag_nn	mag_1986_331864.txt-3-3,fic_1835_7133.txt-1898-36	1,2,3,4	-
59_bag_nn	fic_1852_2364.txt-2320-13,fic_1853_9040.txt-132-11	1,2,3,4	-
60_bag_nn	mag_1989_480911.txt-315-12,mag_1835_554345.txt-434-24	1,2,3,4	-
61_bag_nn	fic_1833_7321.txt-2925-15,mag_1847_565700.txt-75-24	1,2,3,4	-
62_bag_nn	fic_1845_7183.txt-1984-14,fic_1835_7133.txt-1898-36	1,2,3,4	-
63_bag_nn	mag_1858_506205.txt-554-52,mag_1835_565001.txt-70-21	1,2,3,4	-
64_bag_nn	fic_2002_31414.txt-252-7,mag_1963_243808.txt-5-22	1,2,3,4	-
65_bag_nn	fic_1845_7316.txt-1628-3,mag_1835_565001.txt-70-21	1,2,3,4	-
66_bag_nn	fic_1859_9037.txt-623-40,news_2004_661054.txt-33-17	1,2,3,4	-
67_bag_nn	fic_1821_8985.txt-288-24,news_1972_730128.txt-8-16	1,2,3,4	-
68_bag_nn	mag_1823_553451.txt-482-10,fic_1995_39408.txt-194-29	1,2,3,4	-
69_bag_nn	mag_1845_522622.txt-438-21,fic_1979_16368.txt-854-10	1,2,3,4	-
70_bag_nn	fic_2003_31846.txt-130-49,mag_1963_243808.txt-5-22	1,2,3,4	-
71_bag_nn	fic_1998_43332.txt-33-37,mag_1847_565700.txt-75-24	1,2,3,4	-
72_bag_nn	fic_1839_7024.txt-815-6,mag_1847_565700.txt-75-24	1,2,3,4	-
73_bag_nn	fic_1860_2807.txt-2043-13,fic_1995_39408.txt-194-29	1,2,3,4	-
74_bag_nn	fic_2002_14561.txt-618-8,fic_1995_39408.txt-194-29	1,2,3,4	-
