instanceID	dataIDs	label_set	non_label
0_bar_nn	mag_2002_416592.txt-45-2,news_1982_668343.txt-120-14	1,2,3,4	-
1_bar_nn	fic_1845_7170.txt-5850-9,mag_1854_555974.txt-331-28	1,2,3,4	-
2_bar_nn	fic_1849_7333.txt-947-13,fic_1824_7022.txt-122-23	1,2,3,4	-
3_bar_nn	nf_1997_746546.txt-5-2,fic_1824_7022.txt-122-23	1,2,3,4	-
4_bar_nn	fic_1845_7342.txt-280-41,news_1982_668343.txt-120-14	1,2,3,4	-
5_bar_nn	mag_2009_406395.txt-29-42,fic_1993_25016.txt-1330-5	1,2,3,4	-
6_bar_nn	fic_1824_7022.txt-122-23,mag_1977_490789.txt-112-14	1,2,3,4	-
7_bar_nn	mag_1821_553342.txt-352-17,mag_1825_553676.txt-2-14	1,2,3,4	-
8_bar_nn	nf_1841_747644.txt-1703-81,fic_1987_780057.txt-1105-25	1,2,3,4	-
9_bar_nn	mag_2004_411262.txt-218-15,nf_1846_748061.txt-1284-3	1,2,3,4	-
10_bar_nn	fic_1982_13389.txt-1305-4,mag_1854_555974.txt-331-28	1,2,3,4	-
11_bar_nn	fic_1850_7171.txt-3724-16,news_2000_633241.txt-70-5	1,2,3,4	-
12_bar_nn	fic_1969_10517.txt-622-7,mag_1999_408585.txt-67-25	1,2,3,4	-
13_bar_nn	fic_1970_782004.txt-928-31,mag_1854_555974.txt-331-28	1,2,3,4	-
14_bar_nn	fic_1854_9193.txt-1299-7,fic_2000_13995.txt-480-6	1,2,3,4	-
15_bar_nn	nf_1997_746547.txt-708-17,nf_1857_753133.txt-433-14	1,2,3,4	-
16_bar_nn	nf_1837_747882.txt-1668-34,news_2006_629441.txt-53-23	1,2,3,4	-
17_bar_nn	fic_1860_7915.txt-320-87,mag_1821_553342.txt-352-17	1,2,3,4	-
18_bar_nn	fic_2000_38436.txt-821-29,nf_1857_753133.txt-433-14	1,2,3,4	-
19_bar_nn	fic_1859_9192.txt-10215-27,nf_1857_753133.txt-433-14	1,2,3,4	-
