instanceID	label	comment	annotator
0_bar_nn	1.0	 	annotator2
1_bar_nn	1.0	 	annotator2
2_bar_nn	4.0	 	annotator2
3_bar_nn	4.0	 	annotator2
4_bar_nn	1.0	bar/bear?	annotator2
5_bar_nn	4.0	 	annotator2
6_bar_nn	1.0	 	annotator2
7_bar_nn	4.0	 	annotator2
8_bar_nn	1.0	 	annotator2
9_bar_nn	2.0	 	annotator2
10_bar_nn	1.0	 	annotator2
11_bar_nn	4.0	 	annotator2
12_bar_nn	1.0	 	annotator2
13_bar_nn	1.0	 	annotator2
14_bar_nn	1.0	 	annotator2
15_bar_nn	4.0	 	annotator2
16_bar_nn	1.0	 	annotator2
17_bar_nn	1.0	 	annotator2
18_bar_nn	1.0	 	annotator2
19_bar_nn	1.0	 	annotator2
20_bar_nn	1.0	 	annotator2
21_bar_nn	3.0	 	annotator2
22_bar_nn	1.0	 	annotator2
23_bar_nn	1.0	 	annotator2
24_bar_nn	3.0	 	annotator2
25_bar_nn	2.0	 	annotator2
26_bar_nn	1.0	 	annotator2
27_bar_nn	1.0	 	annotator2
28_bar_nn	1.0	 	annotator2
29_bar_nn	2.0	 	annotator2
30_bar_nn	1.0	 	annotator2
31_bar_nn	1.0	 	annotator2
32_bar_nn	4.0	 	annotator2
33_bar_nn	1.0	 	annotator2
34_bar_nn	2.0	 	annotator2
35_bar_nn	1.0	 	annotator2
36_bar_nn	1.0	 	annotator2
37_bar_nn	1.0	 	annotator2
38_bar_nn	1.0	 	annotator2
39_bar_nn	4.0	 	annotator2
40_bar_nn	1.0	 	annotator2
41_bar_nn	1.0	 	annotator2
42_bar_nn	1.0	 	annotator2
43_bar_nn	1.0	 	annotator2
44_bar_nn	1.0	 	annotator2
45_bar_nn	4.0	 	annotator2
46_bar_nn	4.0	 	annotator2
47_bar_nn	2.0	 	annotator2
48_bar_nn	1.0	 	annotator2
49_bar_nn	1.0	 	annotator2
50_bar_nn	1.0	 	annotator2
51_bar_nn	1.0	 	annotator2
52_bar_nn	1.0	 	annotator2
53_bar_nn	3.0	 	annotator2
54_bar_nn	1.0	 	annotator2
55_bar_nn	1.0	 	annotator2
56_bar_nn	1.0	 	annotator2
57_bar_nn	4.0	 	annotator2
58_bar_nn	1.0	 	annotator2
59_bar_nn	1.0	 	annotator2
60_bar_nn	2.0	 	annotator2
61_bar_nn	1.0	 	annotator2
62_bar_nn	1.0	 	annotator2
63_bar_nn	1.0	 	annotator2
64_bar_nn	4.0	 	annotator2
65_bar_nn	1.0	 	annotator2
66_bar_nn	1.0	 	annotator2
67_bar_nn	1.0	 	annotator2
68_bar_nn	3.0	 	annotator2
69_bar_nn	1.0	 	annotator2
70_bar_nn	1.0	 	annotator2
71_bar_nn	4.0	 	annotator2
72_bar_nn	1.0	 	annotator2
73_bar_nn	1.0	 	annotator2
74_bar_nn	1.0	 	annotator2
75_bar_nn	2.0	 	annotator2
76_bar_nn	2.0	 	annotator2
77_bar_nn	1.0	 	annotator2
78_bar_nn	1.0	 	annotator2
79_bar_nn	1.0	 	annotator2
80_bar_nn	1.0	 	annotator2
81_bar_nn	1.0	 	annotator2
82_bar_nn	1.0	 	annotator2
83_bar_nn	1.0	 	annotator2
84_bar_nn	1.0	 	annotator2
85_bar_nn	4.0	 	annotator2
86_bar_nn	1.0	 	annotator2
87_bar_nn	2.0	 	annotator2
88_bar_nn	1.0	 	annotator2
89_bar_nn	1.0	 	annotator2
90_bar_nn	1.0	 	annotator2
91_bar_nn	4.0	 	annotator2
92_bar_nn	4.0	 	annotator2
93_bar_nn	4.0	 	annotator2
94_bar_nn	1.0	 	annotator2
95_bar_nn	3.0	 	annotator2
96_bar_nn	1.0	 	annotator2
97_bar_nn	1.0	 	annotator2
98_bar_nn	1.0	 	annotator2
99_bar_nn	1.0	 	annotator2
100_bar_nn	1.0	 	annotator2
101_bar_nn	1.0	 	annotator2
102_bar_nn	1.0	 	annotator2
103_bar_nn	1.0	 	annotator2
104_bar_nn	1.0	 	annotator2
105_bar_nn	1.0	 	annotator2
106_bar_nn	1.0	 	annotator2
107_bar_nn	1.0	 	annotator2
108_bar_nn	1.0	 	annotator2
109_bar_nn	4.0	 	annotator2
110_bar_nn	1.0	 	annotator2
111_bar_nn	1.0	 	annotator2
112_bar_nn	1.0	 	annotator2
113_bar_nn	1.0	 	annotator2
114_bar_nn	4.0	 	annotator2
115_bar_nn	1.0	 	annotator6
107_bar_nn	1.0	 	annotator6
116_bar_nn	1.0	 	annotator6
117_bar_nn	1.0	 	annotator6
118_bar_nn	1.0	 	annotator6
119_bar_nn	1.0	 	annotator6
120_bar_nn	1.0	 	annotator6
121_bar_nn	1.0	 	annotator6
122_bar_nn	2.0	 	annotator6
123_bar_nn	1.0	 	annotator6
124_bar_nn	1.0	 	annotator6
125_bar_nn	4.0	 	annotator6
126_bar_nn	1.0	 	annotator6
127_bar_nn	1.0	 	annotator6
128_bar_nn	2.0	 	annotator6
129_bar_nn	3.0	 	annotator6
57_bar_nn	4.0	 	annotator6
