instanceID	dataIDs	label_set	non_label
0_bit_nn	fic_2007_33473.txt-152-24,news_1985_668615.txt-35-11	1,2,3,4	-
1_bit_nn	mag_1846_523866.txt-135-34,fic_1840_7292.txt-1919-10	1,2,3,4	-
2_bit_nn	fic_2009_36750.txt-54-11,mag_1990_420108.txt-9-10	1,2,3,4	-
3_bit_nn	mag_1991_422593.txt-378-23,fic_1968_10498.txt-2290-1	1,2,3,4	-
4_bit_nn	fic_1853_9158.txt-97-26,fic_1982_10698.txt-560-9	1,2,3,4	-
5_bit_nn	nf_1981_773908.txt-998-11,nf_1837_757476.txt-3891-24	1,2,3,4	-
6_bit_nn	fic_2009_36638.txt-804-0,nf_1997_773513.txt-272-7	1,2,3,4	-
7_bit_nn	fic_1853_9040.txt-3483-43,fic_1855_9053.txt-1148-7	1,2,3,4	-
8_bit_nn	fic_1852_69.txt-575-14,fic_1824_7285.txt-2633-26	1,2,3,4	-
9_bit_nn	mag_1990_420108.txt-9-10,fic_1859_270.txt-4126-24	1,2,3,4	-
10_bit_nn	fic_1832_9464.txt-182-10,fic_1833_7321.txt-3755-25	1,2,3,4	-
11_bit_nn	nf_1853_747976.txt-1572-25,fic_1833_7321.txt-3755-25	1,2,3,4	-
12_bit_nn	fic_1840_7292.txt-1919-10,mag_1990_420108.txt-9-10	1,2,3,4	-
13_bit_nn	fic_1960_23770.txt-175-8,nf_1837_757476.txt-3891-24	1,2,3,4	-
14_bit_nn	fic_1960_23770.txt-175-8,nf_1976_774315.txt-296-13	1,2,3,4	-
15_bit_nn	mag_1990_420108.txt-9-10,mag_1999_407884.txt-518-22	1,2,3,4	-
16_bit_nn	fic_1859_270.txt-4126-24,fic_1843_7074.txt-991-19	1,2,3,4	-
17_bit_nn	fic_1833_7321.txt-3755-25,nf_1981_773908.txt-998-11	1,2,3,4	-
18_bit_nn	mag_1995_418713.txt-95-15,nf_1859_747504.txt-1366-77	1,2,3,4	-
19_bit_nn	nf_1969_774314.txt-476-11,fic_1983_10712.txt-1546-9	1,2,3,4	-
20_bit_nn	fic_1823_7248.txt-2489-20,fic_1835_5605.txt-2784-10	1,2,3,4	-
21_bit_nn	nf_1981_773908.txt-998-11,nf_1969_774314.txt-477-2	1,2,3,4	-
22_bit_nn	nf_1969_774314.txt-476-11,mag_1990_420108.txt-9-10	1,2,3,4	-
23_bit_nn	nf_1981_773908.txt-998-11,fic_1855_9053.txt-1148-7	1,2,3,4	-
