instanceID	dataIDs	label_set	non_label
0_chairman_nn	news_1994_606753.txt-47-7,fic_1859_9192.txt-5103-20	1,2,3,4	-
1_chairman_nn	nf_1845_747884.txt-906-5,news_2000_633263.txt-34-4	1,2,3,4	-
2_chairman_nn	fic_1842_7206.txt-2172-11,mag_1989_328173.txt-1-1	1,2,3,4	-
3_chairman_nn	mag_1825_553683.txt-56-25,fic_1859_9192.txt-5103-20	1,2,3,4	-
4_chairman_nn	fic_2008_36128.txt-34-1,mag_1968_273118.txt-13-3	1,2,3,4	-
5_chairman_nn	mag_1982_490865.txt-257-15,nf_1987_773764.txt-30-15	1,2,3,4	-
6_chairman_nn	fic_1843_7208.txt-8636-10,mag_1821_553357.txt-5-2	1,2,3,4	-
7_chairman_nn	news_1963_723600.txt-57-5,fic_1834_2652.txt-1112-26	1,2,3,4	-
8_chairman_nn	mag_1962_243711.txt-0-24,mag_1994_396796.txt-118-7	1,2,3,4	-
9_chairman_nn	mag_1982_326703.txt-1-11,mag_1968_273118.txt-13-3	1,2,3,4	-
10_chairman_nn	mag_1859_506498.txt-318-7,fic_1971_10542.txt-4137-2	1,2,3,4	-
11_chairman_nn	mag_1859_506498.txt-320-28,fic_1859_9192.txt-5103-20	1,2,3,4	-
12_chairman_nn	mag_1960_270439.txt-18-1,mag_1852_526185.txt-226-14	1,2,3,4	-
13_chairman_nn	news_1989_670293.txt-49-3,fic_1834_2652.txt-1112-26	1,2,3,4	-
14_chairman_nn	mag_1967_488137.txt-89-12,mag_1821_553357.txt-5-2	1,2,3,4	-
15_chairman_nn	mag_1859_567143.txt-95-1,fic_1859_9192.txt-5103-20	1,2,3,4	-
16_chairman_nn	mag_1988_338240.txt-22-1,fic_1971_10542.txt-4137-2	1,2,3,4	-
17_chairman_nn	mag_1977_317331.txt-19-6,mag_1994_396796.txt-118-7	1,2,3,4	-
18_chairman_nn	mag_1832_564427.txt-252-14,news_2000_633263.txt-34-4	1,2,3,4	-
19_chairman_nn	nf_1842_747583.txt-1570-24,mag_1989_328173.txt-1-1	1,2,3,4	-
20_chairman_nn	news_1979_734385.txt-11-27,news_1985_671507.txt-4-0	1,2,3,4	-
21_chairman_nn	mag_1960_270439.txt-18-1,mag_1975_290155.txt-13-11	1,2,3,4	-
22_chairman_nn	fic_1968_10505.txt-1306-5,mag_1824_553556.txt-78-15	1,2,3,4	-
23_chairman_nn	news_1976_732687.txt-30-4,fic_1859_9192.txt-5103-20	1,2,3,4	-
