instanceID	label	comment	annotator
0_chairman_nn	4.0	 	annotator2
1_chairman_nn	4.0	 	annotator2
2_chairman_nn	4.0	 	annotator2
3_chairman_nn	4.0	 	annotator2
4_chairman_nn	4.0	 	annotator2
5_chairman_nn	4.0	 	annotator2
6_chairman_nn	4.0	 	annotator2
7_chairman_nn	4.0	 	annotator2
8_chairman_nn	4.0	 	annotator2
9_chairman_nn	4.0	 	annotator2
10_chairman_nn	4.0	 	annotator2
11_chairman_nn	4.0	 	annotator2
12_chairman_nn	4.0	 	annotator2
13_chairman_nn	4.0	 	annotator2
14_chairman_nn	4.0	 	annotator2
15_chairman_nn	4.0	 	annotator2
16_chairman_nn	4.0	 	annotator2
17_chairman_nn	4.0	 	annotator2
18_chairman_nn	4.0	 	annotator2
19_chairman_nn	4.0	 	annotator2
20_chairman_nn	4.0	 	annotator2
21_chairman_nn	4.0	 	annotator2
22_chairman_nn	4.0	 	annotator2
23_chairman_nn	4.0	 	annotator2
24_chairman_nn	4.0	 	annotator2
25_chairman_nn	4.0	 	annotator2
26_chairman_nn	4.0	 	annotator2
27_chairman_nn	4.0	 	annotator2
28_chairman_nn	4.0	 	annotator2
29_chairman_nn	4.0	 	annotator2
30_chairman_nn	4.0	 	annotator2
31_chairman_nn	4.0	 	annotator2
32_chairman_nn	4.0	 	annotator2
33_chairman_nn	4.0	 	annotator2
34_chairman_nn	4.0	 	annotator2
35_chairman_nn	4.0	 	annotator2
36_chairman_nn	4.0	 	annotator2
37_chairman_nn	4.0	 	annotator2
38_chairman_nn	4.0	 	annotator2
39_chairman_nn	4.0	 	annotator2
40_chairman_nn	4.0	 	annotator2
41_chairman_nn	4.0	 	annotator2
42_chairman_nn	4.0	 	annotator2
43_chairman_nn	4.0	 	annotator2
44_chairman_nn	4.0	 	annotator2
45_chairman_nn	4.0	 	annotator2
46_chairman_nn	4.0	 	annotator2
47_chairman_nn	4.0	 	annotator2
48_chairman_nn	4.0	 	annotator2
49_chairman_nn	4.0	 	annotator2
50_chairman_nn	4.0	 	annotator2
51_chairman_nn	4.0	 	annotator2
52_chairman_nn	4.0	 	annotator2
53_chairman_nn	4.0	 	annotator2
54_chairman_nn	4.0	 	annotator2
55_chairman_nn	4.0	 	annotator2
56_chairman_nn	4.0	 	annotator2
57_chairman_nn	4.0	 	annotator2
58_chairman_nn	4.0	 	annotator2
59_chairman_nn	4.0	 	annotator2
60_chairman_nn	4.0	 	annotator2
61_chairman_nn	4.0	 	annotator2
62_chairman_nn	4.0	 	annotator2
63_chairman_nn	4.0	 	annotator2
64_chairman_nn	4.0	 	annotator2
65_chairman_nn	4.0	 	annotator2
66_chairman_nn	4.0	 	annotator2
67_chairman_nn	4.0	 	annotator2
68_chairman_nn	4.0	 	annotator2
69_chairman_nn	4.0	 	annotator2
70_chairman_nn	4.0	 	annotator2
71_chairman_nn	4.0	 	annotator2
72_chairman_nn	4.0	 	annotator2
73_chairman_nn	4.0	 	annotator2
74_chairman_nn	4.0	 	annotator2
75_chairman_nn	4.0	 	annotator2
76_chairman_nn	4.0	 	annotator2
77_chairman_nn	4.0	 	annotator2
78_chairman_nn	4.0	 	annotator2
79_chairman_nn	4.0	 	annotator2
80_chairman_nn	4.0	 	annotator2
81_chairman_nn	4.0	 	annotator2
82_chairman_nn	4.0	 	annotator2
83_chairman_nn	4.0	 	annotator2
84_chairman_nn	4.0	 	annotator2
85_chairman_nn	4.0	 	annotator2
17_chairman_nn	3.0	 	annotator5
86_chairman_nn	4.0	 	annotator5
12_chairman_nn	4.0	 	annotator5
57_chairman_nn	3.0	 	annotator5
87_chairman_nn	3.0	 	annotator5
88_chairman_nn	4.0	 	annotator5
28_chairman_nn	4.0	 	annotator5
89_chairman_nn	4.0	 	annotator5
90_chairman_nn	4.0	 	annotator5
91_chairman_nn	3.0	 	annotator5
55_chairman_nn	4.0	 	annotator5
24_chairman_nn	4.0	 	annotator5
46_chairman_nn	4.0	 	annotator5
37_chairman_nn	3.0	 	annotator5
92_chairman_nn	3.0	 	annotator5
93_chairman_nn	4.0	 	annotator5
30_chairman_nn	3.0	 	annotator5
94_chairman_nn	3.0	 	annotator5
81_chairman_nn	4.0	 	annotator5
6_chairman_nn	3.0	 	annotator5
41_chairman_nn	4.0	 	annotator5
83_chairman_nn	3.0	 	annotator5
95_chairman_nn	3.0	 	annotator5
59_chairman_nn	3.0	 	annotator5
96_chairman_nn	3.0	 	annotator5
97_chairman_nn	3.0	 	annotator5
70_chairman_nn	4.0	 	annotator5
98_chairman_nn	4.0	 	annotator5
99_chairman_nn	3.0	 	annotator5
100_chairman_nn	4.0	 	annotator5
84_chairman_nn	3.0	 	annotator5
101_chairman_nn	3.0	 	annotator5
10_chairman_nn	4.0	 	annotator5
102_chairman_nn	3.0	 	annotator5
103_chairman_nn	3.0	 	annotator5
104_chairman_nn	4.0	 	annotator5
105_chairman_nn	4.0	 	annotator5
106_chairman_nn	4.0	 	annotator5
107_chairman_nn	3.0	 	annotator5
108_chairman_nn	4.0	 	annotator5
34_chairman_nn	4.0	 	annotator5
49_chairman_nn	3.0	 	annotator5
109_chairman_nn	3.0	 	annotator5
110_chairman_nn	3.0	 	annotator5
111_chairman_nn	3.0	 	annotator5
112_chairman_nn	4.0	 	annotator5
22_chairman_nn	3.0	 	annotator5
52_chairman_nn	4.0	 	annotator5
113_chairman_nn	2.0	 	annotator5
85_chairman_nn	4.0	 	annotator5
29_chairman_nn	4.0	 	annotator5
68_chairman_nn	4.0	 	annotator5
9_chairman_nn	4.0	 	annotator5
5_chairman_nn	4.0	 	annotator5
66_chairman_nn	4.0	 	annotator5
51_chairman_nn	4.0	 	annotator5
40_chairman_nn	4.0	 	annotator5
114_chairman_nn	4.0	 	annotator5
71_chairman_nn	4.0	 	annotator5
115_chairman_nn	4.0	 	annotator5
116_chairman_nn	4.0	 	annotator5
117_chairman_nn	4.0	 	annotator5
74_chairman_nn	4.0	 	annotator5
42_chairman_nn	3.0	 	annotator5
54_chairman_nn	4.0	 	annotator5
19_chairman_nn	4.0	 	annotator5
118_chairman_nn	4.0	 	annotator5
119_chairman_nn	4.0	 	annotator5
120_chairman_nn	4.0	 	annotator5
121_chairman_nn	4.0	 	annotator5
122_chairman_nn	4.0	 	annotator5
2_chairman_nn	4.0	 	annotator5
123_chairman_nn	4.0	 	annotator5
50_chairman_nn	4.0	 	annotator5
124_chairman_nn	4.0	 	annotator5
125_chairman_nn	4.0	 	annotator5
126_chairman_nn	4.0	 	annotator5
127_chairman_nn	4.0	 	annotator5
63_chairman_nn	4.0	 	annotator5
128_chairman_nn	4.0	 	annotator5
129_chairman_nn	4.0	 	annotator5
130_chairman_nn	4.0	 	annotator5
131_chairman_nn	4.0	 	annotator5
67_chairman_nn	4.0	 	annotator5
132_chairman_nn	4.0	 	annotator5
133_chairman_nn	4.0	 	annotator4
41_chairman_nn	4.0	 	annotator4
134_chairman_nn	4.0	 	annotator4
135_chairman_nn	4.0	 	annotator4
10_chairman_nn	4.0	 	annotator4
136_chairman_nn	4.0	 	annotator4
23_chairman_nn	4.0	 	annotator4
117_chairman_nn	4.0	 	annotator4
87_chairman_nn	4.0	 	annotator4
16_chairman_nn	4.0	 	annotator4
85_chairman_nn	4.0	 	annotator4
137_chairman_nn	4.0	 	annotator4
120_chairman_nn	4.0	 	annotator4
138_chairman_nn	4.0	 	annotator4
77_chairman_nn	4.0	 	annotator4
139_chairman_nn	4.0	 	annotator4
56_chairman_nn	4.0	 	annotator4
140_chairman_nn	4.0	 	annotator4
141_chairman_nn	4.0	 	annotator4
128_chairman_nn	4.0	 	annotator4
142_chairman_nn	4.0	 	annotator4
80_chairman_nn	4.0	 	annotator4
143_chairman_nn	4.0	 	annotator4
144_chairman_nn	4.0	 	annotator4
81_chairman_nn	4.0	 	annotator4
49_chairman_nn	4.0	 	annotator4
34_chairman_nn	4.0	 	annotator4
145_chairman_nn	4.0	 	annotator4
146_chairman_nn	4.0	 	annotator4
147_chairman_nn	4.0	 	annotator4
148_chairman_nn	4.0	 	annotator4
33_chairman_nn	4.0	 	annotator4
149_chairman_nn	4.0	 	annotator4
150_chairman_nn	4.0	 	annotator4
151_chairman_nn	4.0	 	annotator4
132_chairman_nn	4.0	 	annotator4
31_chairman_nn	4.0	 	annotator4
37_chairman_nn	4.0	 	annotator4
5_chairman_nn	4.0	 	annotator4
44_chairman_nn	4.0	 	annotator4
109_chairman_nn	4.0	 	annotator4
152_chairman_nn	4.0	 	annotator4
103_chairman_nn	4.0	 	annotator4
153_chairman_nn	4.0	 	annotator4
154_chairman_nn	4.0	 	annotator4
104_chairman_nn	4.0	 	annotator4
58_chairman_nn	4.0	 	annotator4
8_chairman_nn	4.0	 	annotator4
155_chairman_nn	4.0	 	annotator4
7_chairman_nn	4.0	 	annotator4
12_chairman_nn	4.0	 	annotator4
98_chairman_nn	4.0	 	annotator4
156_chairman_nn	4.0	 	annotator4
123_chairman_nn	4.0	 	annotator4
157_chairman_nn	4.0	 	annotator4
43_chairman_nn	4.0	 	annotator4
69_chairman_nn	4.0	 	annotator4
106_chairman_nn	4.0	 	annotator4
0_chairman_nn	4.0	 	annotator4
158_chairman_nn	4.0	 	annotator4
159_chairman_nn	4.0	 	annotator4
22_chairman_nn	4.0	 	annotator4
160_chairman_nn	4.0	 	annotator4
51_chairman_nn	4.0	 	annotator4
161_chairman_nn	4.0	 	annotator4
93_chairman_nn	4.0	 	annotator4
124_chairman_nn	4.0	 	annotator4
24_chairman_nn	4.0	 	annotator4
162_chairman_nn	4.0	 	annotator4
163_chairman_nn	4.0	 	annotator4
164_chairman_nn	4.0	 	annotator4
74_chairman_nn	4.0	 	annotator4
165_chairman_nn	4.0	 	annotator4
166_chairman_nn	4.0	 	annotator4
54_chairman_nn	4.0	 	annotator4
167_chairman_nn	4.0	 	annotator4
168_chairman_nn	4.0	 	annotator4
67_chairman_nn	4.0	 	annotator4
127_chairman_nn	4.0	 	annotator4
21_chairman_nn	4.0	 	annotator4
169_chairman_nn	4.0	 	annotator4
170_chairman_nn	4.0	 	annotator4
59_chairman_nn	4.0	 	annotator4
171_chairman_nn	4.0	 	annotator4
71_chairman_nn	4.0	 	annotator4
33_chairman_nn	4.0	 	annotator0
29_chairman_nn	4.0	 	annotator0
53_chairman_nn	4.0	 	annotator0
24_chairman_nn	4.0	 	annotator0
162_chairman_nn	4.0	 	annotator0
172_chairman_nn	4.0	 	annotator0
173_chairman_nn	4.0	 	annotator0
72_chairman_nn	4.0	 	annotator0
138_chairman_nn	4.0	 	annotator0
166_chairman_nn	4.0	 	annotator0
45_chairman_nn	4.0	 	annotator0
27_chairman_nn	4.0	 	annotator0
140_chairman_nn	4.0	 	annotator0
130_chairman_nn	4.0	 	annotator0
118_chairman_nn	4.0	 	annotator0
12_chairman_nn	4.0	 	annotator0
174_chairman_nn	4.0	 	annotator0
40_chairman_nn	4.0	 	annotator0
137_chairman_nn	4.0	 	annotator0
175_chairman_nn	4.0	 	annotator0
176_chairman_nn	4.0	 	annotator0
13_chairman_nn	4.0	 	annotator0
136_chairman_nn	4.0	 	annotator0
76_chairman_nn	4.0	 	annotator0
168_chairman_nn	4.0	 	annotator0
145_chairman_nn	4.0	 	annotator0
177_chairman_nn	4.0	 	annotator0
48_chairman_nn	4.0	 	annotator0
31_chairman_nn	4.0	 	annotator0
115_chairman_nn	4.0	 	annotator0
113_chairman_nn	4.0	 	annotator0
107_chairman_nn	4.0	 	annotator0
156_chairman_nn	4.0	 	annotator0
37_chairman_nn	4.0	 	annotator0
131_chairman_nn	4.0	 	annotator0
155_chairman_nn	4.0	 	annotator0
171_chairman_nn	4.0	 	annotator0
77_chairman_nn	4.0	 	annotator0
109_chairman_nn	4.0	 	annotator0
154_chairman_nn	4.0	 	annotator0
15_chairman_nn	4.0	 	annotator0
70_chairman_nn	4.0	 	annotator0
125_chairman_nn	4.0	 	annotator0
92_chairman_nn	4.0	 	annotator0
78_chairman_nn	4.0	 	annotator0
178_chairman_nn	4.0	 	annotator0
62_chairman_nn	4.0	 	annotator0
179_chairman_nn	4.0	 	annotator0
101_chairman_nn	4.0	 	annotator0
165_chairman_nn	4.0	 	annotator0
21_chairman_nn	4.0	 	annotator0
180_chairman_nn	4.0	 	annotator0
181_chairman_nn	4.0	 	annotator0
139_chairman_nn	4.0	 	annotator0
182_chairman_nn	4.0	 	annotator0
19_chairman_nn	4.0	 	annotator0
146_chairman_nn	4.0	 	annotator0
183_chairman_nn	4.0	 	annotator0
184_chairman_nn	4.0	 	annotator0
150_chairman_nn	4.0	 	annotator0
103_chairman_nn	4.0	 	annotator0
96_chairman_nn	4.0	 	annotator0
110_chairman_nn	4.0	 	annotator0
185_chairman_nn	4.0	 	annotator0
23_chairman_nn	4.0	 	annotator0
46_chairman_nn	4.0	 	annotator0
186_chairman_nn	4.0	 	annotator0
127_chairman_nn	4.0	 	annotator0
187_chairman_nn	4.0	 	annotator0
50_chairman_nn	4.0	 	annotator0
117_chairman_nn	4.0	 	annotator0
3_chairman_nn	4.0	 	annotator0
25_chairman_nn	4.0	 	annotator0
85_chairman_nn	4.0	 	annotator0
112_chairman_nn	4.0	 	annotator0
95_chairman_nn	4.0	 	annotator0
141_chairman_nn	4.0	 	annotator0
157_chairman_nn	4.0	 	annotator0
116_chairman_nn	4.0	 	annotator0
188_chairman_nn	4.0	 	annotator0
80_chairman_nn	4.0	 	annotator0
36_chairman_nn	4.0	 	annotator0
20_chairman_nn	4.0	 	annotator0
32_chairman_nn	4.0	 	annotator0
149_chairman_nn	4.0	 	annotator0
189_chairman_nn	4.0	 	annotator0
190_chairman_nn	3.0	 	annotator2
191_chairman_nn	4.0	 	annotator2
192_chairman_nn	2.0	 	annotator2
193_chairman_nn	3.0	 	annotator2
194_chairman_nn	3.0	 	annotator2
195_chairman_nn	4.0	 	annotator2
196_chairman_nn	3.0	 	annotator2
197_chairman_nn	3.0	 	annotator2
198_chairman_nn	3.0	 	annotator2
199_chairman_nn	3.0	 	annotator2
200_chairman_nn	3.0	 	annotator2
201_chairman_nn	3.0	 	annotator2
202_chairman_nn	3.0	 	annotator2
203_chairman_nn	4.0	 	annotator2
204_chairman_nn	4.0	 	annotator2
205_chairman_nn	4.0	 	annotator2
206_chairman_nn	3.0	 	annotator2
207_chairman_nn	3.0	 	annotator2
208_chairman_nn	3.0	 	annotator2
209_chairman_nn	4.0	 	annotator2
210_chairman_nn	4.0	 	annotator2
211_chairman_nn	4.0	 	annotator2
212_chairman_nn	4.0	 	annotator2
213_chairman_nn	4.0	 	annotator2
214_chairman_nn	4.0	 	annotator2
213_chairman_nn	4.0	 	annotator1
207_chairman_nn	4.0	 	annotator1
209_chairman_nn	4.0	 	annotator1
215_chairman_nn	4.0	 	annotator1
216_chairman_nn	4.0	 	annotator1
195_chairman_nn	4.0	 	annotator1
217_chairman_nn	4.0	 	annotator1
218_chairman_nn	4.0	 	annotator1
219_chairman_nn	4.0	 	annotator1
220_chairman_nn	4.0	 	annotator1
206_chairman_nn	4.0	 	annotator1
221_chairman_nn	4.0	 	annotator1
205_chairman_nn	4.0	 	annotator3
222_chairman_nn	4.0	 	annotator3
223_chairman_nn	4.0	 	annotator3
224_chairman_nn	4.0	 	annotator3
206_chairman_nn	4.0	 	annotator3
213_chairman_nn	4.0	 	annotator3
221_chairman_nn	4.0	 	annotator3
225_chairman_nn	4.0	 	annotator3
190_chairman_nn	4.0	 	annotator3
197_chairman_nn	4.0	 	annotator3
226_chairman_nn	4.0	 	annotator3
227_chairman_nn	4.0	 	annotator3
198_chairman_nn	4.0	 	annotator3
228_chairman_nn	4.0	 	annotator3
192_chairman_nn	4.0	 	annotator3
229_chairman_nn	4.0	 	annotator3
203_chairman_nn	4.0	 	annotator3
230_chairman_nn	4.0	 	annotator3
231_chairman_nn	4.0	 	annotator3
220_chairman_nn	4.0	 	annotator3
202_chairman_nn	4.0	 	annotator3
215_chairman_nn	4.0	 	annotator3
232_chairman_nn	4.0	 	annotator3
209_chairman_nn	4.0	 	annotator3
233_chairman_nn	4.0	 	annotator3
230_chairman_nn	4.0	 	annotator0
208_chairman_nn	4.0	 	annotator0
218_chairman_nn	4.0	 	annotator0
234_chairman_nn	4.0	 	annotator0
193_chairman_nn	4.0	 	annotator0
229_chairman_nn	4.0	 	annotator0
227_chairman_nn	4.0	 	annotator0
235_chairman_nn	4.0	 	annotator0
236_chairman_nn	4.0	 	annotator0
237_chairman_nn	4.0	 	annotator0
232_chairman_nn	4.0	 	annotator0
233_chairman_nn	4.0	 	annotator0
238_chairman_nn	4.0	 	annotator0
201_chairman_nn	4.0	 	annotator0
191_chairman_nn	4.0	 	annotator0
210_chairman_nn	4.0	 	annotator0
239_chairman_nn	4.0	 	annotator0
240_chairman_nn	4.0	 	annotator0
196_chairman_nn	4.0	 	annotator0
241_chairman_nn	4.0	 	annotator0
192_chairman_nn	4.0	 	annotator0
199_chairman_nn	4.0	 	annotator0
231_chairman_nn	4.0	 	annotator0
242_chairman_nn	4.0	 	annotator0
223_chairman_nn	4.0	 	annotator0
243_chairman_nn	4.0	 	annotator0
244_chairman_nn	4.0	 	annotator0
245_chairman_nn	4.0	 	annotator0
246_chairman_nn	4.0	 	annotator0
247_chairman_nn	4.0	 	annotator0
248_chairman_nn	4.0	 	annotator0
249_chairman_nn	4.0	 	annotator0
250_chairman_nn	4.0	 	annotator0
251_chairman_nn	4.0	 	annotator0
252_chairman_nn	4.0	 	annotator0
253_chairman_nn	4.0	 	annotator0
254_chairman_nn	4.0	 	annotator0
255_chairman_nn	4.0	 	annotator0
256_chairman_nn	4.0	 	annotator0
257_chairman_nn	4.0	 	annotator0
258_chairman_nn	4.0	 	annotator0
259_chairman_nn	4.0	 	annotator0
260_chairman_nn	4.0	 	annotator0
261_chairman_nn	4.0	 	annotator0
246_chairman_nn	4.0	 	annotator8
262_chairman_nn	4.0	 	annotator8
263_chairman_nn	4.0	 	annotator8
253_chairman_nn	4.0	 	annotator8
261_chairman_nn	4.0	 	annotator8
252_chairman_nn	4.0	 	annotator8
264_chairman_nn	4.0	 	annotator8
265_chairman_nn	4.0	 	annotator8
266_chairman_nn	4.0	 	annotator8
267_chairman_nn	4.0	 	annotator8
268_chairman_nn	4.0	 	annotator8
244_chairman_nn	4.0	 	annotator8
269_chairman_nn	4.0	 	annotator8
270_chairman_nn	4.0	 	annotator8
271_chairman_nn	4.0	 	annotator8
272_chairman_nn	4.0	 	annotator8
273_chairman_nn	4.0	 	annotator8
274_chairman_nn	4.0	 	annotator9
275_chairman_nn	4.0	 	annotator9
276_chairman_nn	4.0	 	annotator9
277_chairman_nn	4.0	 	annotator9
249_chairman_nn	4.0	 	annotator9
256_chairman_nn	4.0	 	annotator9
278_chairman_nn	4.0	 	annotator9
270_chairman_nn	4.0	 	annotator9
252_chairman_nn	4.0	 	annotator9
250_chairman_nn	4.0	 	annotator9
245_chairman_nn	4.0	 	annotator9
279_chairman_nn	4.0	 	annotator9
280_chairman_nn	4.0	 	annotator9
281_chairman_nn	4.0	 	annotator9
282_chairman_nn	4.0	 	annotator9
283_chairman_nn	4.0	 	annotator9
259_chairman_nn	4.0	 	annotator9
