instanceID	dataIDs	label_set	non_label
0_chef_nn	nf_1833_747531.txt-2651-12,nf_1991_774072.txt-1394-40	1,2,3,4	-
1_chef_nn	fic_2005_50340.txt-357-17,fic_1848_1108.txt-1271-6	1,2,3,4	-
2_chef_nn	fic_1827_7168.txt-915-10,fic_1846_544.txt-2808-20	1,2,3,4	-
3_chef_nn	nf_1833_747531.txt-2651-12,mag_1986_432289.txt-29-3	1,2,3,4	-
4_chef_nn	mag_1827_553811.txt-58-39,mag_1836_554393.txt-176-6	1,2,3,4	-
5_chef_nn	news_2006_623955.txt-26-1,fic_1848_1108.txt-660-44	1,2,3,4	-
6_chef_nn	news_2005_623919.txt-25-4,mag_1994_409087.txt-47-2	1,2,3,4	-
7_chef_nn	nf_1844_747533.txt-1857-4,mag_1836_554393.txt-176-6	1,2,3,4	-
8_chef_nn	news_1993_600214.txt-63-19,nf_1977_774125.txt-767-0	1,2,3,4	-
9_chef_nn	fic_1995_39408.txt-349-5,fic_1846_544.txt-2808-20	1,2,3,4	-
10_chef_nn	mag_1827_553811.txt-241-8,fic_1846_544.txt-2808-20	1,2,3,4	-
11_chef_nn	mag_1832_564353.txt-125-27,mag_1836_554393.txt-176-6	1,2,3,4	-
12_chef_nn	news_2002_603927.txt-69-19,news_1995_638686.txt-13-1	1,2,3,4	-
13_chef_nn	fic_1830_7266.txt-2405-21,fic_1846_544.txt-2808-20	1,2,3,4	-
14_chef_nn	news_1994_606769.txt-54-0,mag_1834_564675.txt-91-45	1,2,3,4	-
15_chef_nn	nf_1991_774072.txt-1394-40,mag_1860_567343.txt-87-1	1,2,3,4	-
16_chef_nn	mag_1850_555680.txt-297-13,mag_1836_554393.txt-176-6	1,2,3,4	-
17_chef_nn	fic_1835_7142.txt-815-43,mag_1836_554393.txt-176-6	1,2,3,4	-
18_chef_nn	mag_1835_554346.txt-89-53,fic_1846_544.txt-2808-20	1,2,3,4	-
19_chef_nn	mag_1986_432289.txt-29-3,fic_1827_7168.txt-1724-40	1,2,3,4	-
20_chef_nn	news_2006_629441.txt-92-6,fic_1848_1108.txt-1267-1	1,2,3,4	-
21_chef_nn	mag_1986_432289.txt-29-3,mag_1995_395507.txt-45-4	1,2,3,4	-
22_chef_nn	fic_2005_50340.txt-357-17,mag_1836_554393.txt-176-33	1,2,3,4	-
23_chef_nn	fic_1963_780073.txt-1843-7,news_1969_727860.txt-19-7	1,2,3,4	-
24_chef_nn	news_2006_629441.txt-92-6,mag_2009_406412.txt-9-7	1,2,3,4	-
25_chef_nn	mag_1860_567343.txt-87-1,mag_1836_554393.txt-176-6	1,2,3,4	-
26_chef_nn	fic_1844_3928.txt-1406-9,mag_1836_554393.txt-176-6	1,2,3,4	-
27_chef_nn	news_2006_623954.txt-164-19,news_1995_631301.txt-29-11	1,2,3,4	-
28_chef_nn	nf_1977_774125.txt-1398-15,fic_1827_7168.txt-915-10	1,2,3,4	-
29_chef_nn	news_2004_640280.txt-14-1,fic_1846_544.txt-2808-20	1,2,3,4	-
30_chef_nn	fic_1835_7142.txt-815-43,news_2007_637870.txt-20-6	1,2,3,4	-
31_chef_nn	mag_1827_553813.txt-226-40,mag_1836_554393.txt-176-6	1,2,3,4	-
32_chef_nn	mag_1834_564675.txt-91-45,fic_1846_544.txt-2808-20	1,2,3,4	-
33_chef_nn	mag_1845_565442.txt-141-14,mag_1836_554393.txt-176-6	1,2,3,4	-
34_chef_nn	fic_1855_602.txt-2563-6,mag_1836_554393.txt-176-33	1,2,3,4	-
35_chef_nn	fic_1827_7168.txt-1724-40,mag_1836_554393.txt-176-6	1,2,3,4	-
36_chef_nn	fic_1852_9031.txt-1189-25,mag_1836_554393.txt-176-6	1,2,3,4	-
37_chef_nn	fic_1844_3928.txt-2149-12,mag_1836_554393.txt-176-6	1,2,3,4	-
38_chef_nn	fic_1843_7026.txt-1111-34,fic_1846_544.txt-2808-20	1,2,3,4	-
39_chef_nn	fic_2005_50340.txt-357-17,fic_2003_27409.txt-227-20	1,2,3,4	-
40_chef_nn	fic_1844_3928.txt-2022-43,fic_1846_544.txt-2808-20	1,2,3,4	-
41_chef_nn	mag_1843_565236.txt-728-35,mag_1836_554393.txt-176-6	1,2,3,4	-
42_chef_nn	fic_1840_7057.txt-1784-63,mag_1836_554393.txt-176-6	1,2,3,4	-
43_chef_nn	fic_1851_1184.txt-1851-6,mag_1836_554393.txt-176-6	1,2,3,4	-
44_chef_nn	fic_2003_27409.txt-227-20,news_1994_606769.txt-54-0	1,2,3,4	-
45_chef_nn	fic_1844_3928.txt-3841-15,mag_1836_554393.txt-176-6	1,2,3,4	-
46_chef_nn	news_1995_631270.txt-48-3,fic_1819_8988.txt-1529-15	1,2,3,4	-
47_chef_nn	mag_1836_554393.txt-176-6,mag_1835_554346.txt-89-53	1,2,3,4	-
48_chef_nn	mag_2004_416263.txt-0-3,fic_1848_1108.txt-660-44	1,2,3,4	-
49_chef_nn	fic_2004_49470.txt-126-19,nf_1991_774072.txt-1394-40	1,2,3,4	-
50_chef_nn	fic_1851_1184.txt-1851-6,mag_2002_397228.txt-0-30	1,2,3,4	-
51_chef_nn	fic_1995_39282.txt-307-1,fic_2007_33461.txt-116-19	1,2,3,4	-
52_chef_nn	mag_1843_565236.txt-728-35,fic_2004_32588.txt-86-3	1,2,3,4	-
53_chef_nn	fic_1819_8988.txt-1529-15,news_1995_631270.txt-48-3	1,2,3,4	-
54_chef_nn	fic_2003_27409.txt-227-20,nf_1991_774072.txt-1394-40	1,2,3,4	-
55_chef_nn	fic_1848_1108.txt-882-6,fic_1848_1108.txt-660-44	1,2,3,4	-
56_chef_nn	fic_1850_7304.txt-1678-37,mag_1994_409087.txt-47-2	1,2,3,4	-
57_chef_nn	mag_1995_395507.txt-44-0,fic_1992_40323.txt-77-14	1,2,3,4	-
58_chef_nn	fic_1848_1108.txt-895-6,fic_2004_32588.txt-86-3	1,2,3,4	-
59_chef_nn	mag_1994_409087.txt-47-2,fic_2007_33461.txt-116-19	1,2,3,4	-
60_chef_nn	fic_2000_28758.txt-105-13,nf_1977_774125.txt-1398-15	1,2,3,4	-
61_chef_nn	mag_1836_554393.txt-176-33,fic_2005_50340.txt-357-17	1,2,3,4	-
62_chef_nn	fic_2008_36299.txt-94-1,fic_1848_1108.txt-660-44	1,2,3,4	-
63_chef_nn	fic_1848_1108.txt-902-6,fic_2007_33461.txt-116-19	1,2,3,4	-
64_chef_nn	mag_1997_428061.txt-153-6,nf_1977_774125.txt-1297-15	1,2,3,4	-
65_chef_nn	nf_1977_774125.txt-1317-2,nf_1977_774125.txt-1398-15	1,2,3,4	-
66_chef_nn	mag_1989_328766.txt-22-2,mag_1986_432289.txt-29-3	1,2,3,4	-
67_chef_nn	mag_1995_395507.txt-21-17,fic_2007_33461.txt-116-19	1,2,3,4	-
68_chef_nn	fic_1844_3928.txt-3841-15,fic_1843_7026.txt-476-36	1,2,3,4	-
69_chef_nn	mag_1845_565442.txt-141-14,fic_2004_32588.txt-86-3	1,2,3,4	-
70_chef_nn	nf_1844_747533.txt-1857-4,fic_2005_50340.txt-357-17	1,2,3,4	-
71_chef_nn	mag_2009_406412.txt-9-7,news_2006_629441.txt-92-6	1,2,3,4	-
