instanceID	label	comment	annotator
0_chef_nn	2.0	 	annotator2
1_chef_nn	3.0	 	annotator2
2_chef_nn	1.0	 	annotator2
3_chef_nn	1.0	 	annotator2
4_chef_nn	4.0	 	annotator2
5_chef_nn	3.0	 	annotator2
6_chef_nn	4.0	 	annotator2
7_chef_nn	2.0	 	annotator2
8_chef_nn	3.0	 	annotator2
9_chef_nn	3.0	 	annotator2
10_chef_nn	3.0	 	annotator2
11_chef_nn	2.0	 	annotator2
12_chef_nn	4.0	 	annotator2
13_chef_nn	2.0	 	annotator6
5_chef_nn	2.0	 	annotator6
14_chef_nn	2.0	 	annotator6
15_chef_nn	2.0	 	annotator6
16_chef_nn	4.0	 	annotator6
17_chef_nn	4.0	 	annotator6
18_chef_nn	2.0	 	annotator6
19_chef_nn	2.0	 	annotator6
20_chef_nn	4.0	 	annotator6
21_chef_nn	4.0	 	annotator6
22_chef_nn	4.0	 	annotator6
23_chef_nn	4.0	 	annotator6
24_chef_nn	4.0	 	annotator6
25_chef_nn	2.0	 	annotator6
26_chef_nn	4.0	 	annotator6
27_chef_nn	4.0	 	annotator6
28_chef_nn	3.0	 	annotator5
29_chef_nn	3.0	 	annotator5
30_chef_nn	3.0	 	annotator5
31_chef_nn	-	foreign langage	annotator5
32_chef_nn	2.0	 	annotator5
33_chef_nn	2.0	 	annotator5
4_chef_nn	4.0	 	annotator5
34_chef_nn	4.0	 	annotator5
35_chef_nn	2.0	 	annotator5
25_chef_nn	2.0	 	annotator5
36_chef_nn	2.0	 	annotator5
37_chef_nn	4.0	 	annotator5
38_chef_nn	2.0	 	annotator5
39_chef_nn	4.0	 	annotator0
40_chef_nn	-	I think “chef de bataillon” is generally connsidered French	annotator0
41_chef_nn	-	I think “chef de brigade” is generally connsidered French	annotator0
42_chef_nn	-	I think “chef de brigade” is generally connsidered French	annotator0
43_chef_nn	-	I think “chef de brigade” is generally connsidered French	annotator0
19_chef_nn	-	I think “chef d'oeuvre” is still generally connsidered French, though it is sometimes used in English	annotator0
44_chef_nn	4.0	 	annotator0
24_chef_nn	4.0	 	annotator0
30_chef_nn	-	I think “chef d'escadron” is generally connsidered French	annotator0
45_chef_nn	-	I think both of these are French	annotator0
46_chef_nn	-	UNK; I can't determine the meaning in sentence 1	annotator0
47_chef_nn	-	I think both of these are French	annotator0
32_chef_nn	-	I think “chef d'oeuvre” is still generally connsidered French, though it is sometimes used in English	annotator0
48_chef_nn	-	ambiguous	annotator2
49_chef_nn	4.0	 	annotator2
50_chef_nn	4.0	 	annotator2
51_chef_nn	4.0	 	annotator2
52_chef_nn	1.0	 	annotator2
53_chef_nn	4.0	 	annotator2
54_chef_nn	4.0	 	annotator2
55_chef_nn	-	ambiguous	annotator2
56_chef_nn	-	French	annotator2
57_chef_nn	4.0	 	annotator2
58_chef_nn	-	ambiguous	annotator2
59_chef_nn	4.0	 	annotator2
60_chef_nn	4.0	 	annotator2
61_chef_nn	4.0	 	annotator2
62_chef_nn	-	ambiguous	annotator2
63_chef_nn	4.0	 	annotator2
64_chef_nn	-	 	annotator2
65_chef_nn	4.0	 	annotator2
66_chef_nn	4.0	 	annotator2
67_chef_nn	4.0	 	annotator2
68_chef_nn	3.0	 	annotator2
69_chef_nn	1.0	 	annotator2
70_chef_nn	1.0	 	annotator2
71_chef_nn	4.0	 	annotator2
72_chef_nn	3.0	 	annotator2
73_chef_nn	4.0	 	annotator2
30_chef_nn	1.0	 	annotator2
74_chef_nn	4.0	 	annotator2
75_chef_nn	1.0	 	annotator2
76_chef_nn	4.0	 	annotator2
77_chef_nn	4.0	 	annotator2
78_chef_nn	4.0	 	annotator2
79_chef_nn	1.0	 	annotator2
80_chef_nn	4.0	 	annotator2
81_chef_nn	4.0	 	annotator2
82_chef_nn	4.0	 	annotator2
83_chef_nn	4.0	 	annotator2
84_chef_nn	4.0	 	annotator2
85_chef_nn	4.0	 	annotator2
86_chef_nn	4.0	 	annotator2
87_chef_nn	2.0	 	annotator2
88_chef_nn	4.0	 	annotator2
89_chef_nn	4.0	 	annotator2
90_chef_nn	1.0	 	annotator2
91_chef_nn	4.0	 	annotator2
92_chef_nn	1.0	 	annotator2
93_chef_nn	-	ambiguous	annotator2
94_chef_nn	4.0	 	annotator2
95_chef_nn	4.0	 	annotator2
96_chef_nn	-	ambiguous	annotator2
97_chef_nn	4.0	 	annotator2
98_chef_nn	4.0	 	annotator2
99_chef_nn	-	 	annotator2
100_chef_nn	4.0	 	annotator2
101_chef_nn	1.0	 	annotator2
102_chef_nn	4.0	 	annotator2
103_chef_nn	4.0	 	annotator2
104_chef_nn	4.0	 	annotator2
105_chef_nn	-	ambiguous	annotator2
106_chef_nn	4.0	 	annotator2
107_chef_nn	4.0	 	annotator2
108_chef_nn	-	 	annotator2
109_chef_nn	4.0	 	annotator2
110_chef_nn	2.0	 	annotator2
111_chef_nn	4.0	 	annotator2
112_chef_nn	4.0	 	annotator2
113_chef_nn	4.0	 	annotator2
114_chef_nn	1.0	 	annotator2
115_chef_nn	4.0	 	annotator2
116_chef_nn	4.0	 	annotator2
117_chef_nn	4.0	 	annotator2
118_chef_nn	4.0	 	annotator2
119_chef_nn	1.0	 	annotator2
104_chef_nn	3.0	 	annotator5
120_chef_nn	4.0	 	annotator5
103_chef_nn	4.0	 	annotator5
66_chef_nn	3.0	 	annotator5
121_chef_nn	3.0	 	annotator5
58_chef_nn	4.0	 	annotator5
89_chef_nn	3.0	 	annotator5
65_chef_nn	4.0	 	annotator5
0_chef_nn	3.0	 	annotator5
122_chef_nn	4.0	 	annotator5
