instanceID	dataIDs	label_set	non_label
0_circle_vb	fic_2005_780526.txt-2258-12,mag_1840_554815.txt-255-35	1,2,3,4	-
1_circle_vb	fic_1967_781996.txt-4609-2,fic_2007_34154.txt-18-29	1,2,3,4	-
2_circle_vb	fic_1964_10451.txt-458-31,fic_1974_782013.txt-2184-9	1,2,3,4	-
3_circle_vb	mag_1853_504777.txt-419-24,mag_1988_339334.txt-17-2	1,2,3,4	-
4_circle_vb	fic_1977_10629.txt-2556-19,nf_1849_749269.txt-1710-3	1,2,3,4	-
5_circle_vb	mag_1992_409433.txt-83-9,fic_1811_8637.txt-163-27	1,2,3,4	-
6_circle_vb	fic_1989_10789.txt-1071-11,fic_1849_7230.txt-2441-6	1,2,3,4	-
7_circle_vb	fic_2000_32016.txt-215-2,mag_1840_554815.txt-207-38	1,2,3,4	-
8_circle_vb	mag_2005_417079.txt-206-17,fic_1978_782020.txt-1272-1	1,2,3,4	-
9_circle_vb	fic_1853_9158.txt-568-37,fic_1849_2605.txt-1633-35	1,2,3,4	-
10_circle_vb	fic_1843_7039.txt-429-5,fic_1969_10513.txt-1153-10	1,2,3,4	-
11_circle_vb	fic_1989_780083.txt-2098-19,mag_1840_554815.txt-207-38	1,2,3,4	-
12_circle_vb	fic_1845_622.txt-13434-3,fic_1849_7230.txt-2441-6	1,2,3,4	-
13_circle_vb	fic_1839_7049.txt-872-28,fic_1849_7216.txt-4698-22	1,2,3,4	-
14_circle_vb	fic_2001_14559.txt-2980-18,fic_1999_44748.txt-709-16	1,2,3,4	-
15_circle_vb	fic_2006_30107.txt-147-17,fic_1849_7230.txt-2441-6	1,2,3,4	-
16_circle_vb	fic_1994_54062.txt-687-3,mag_1840_554815.txt-207-38	1,2,3,4	-
17_circle_vb	fic_1970_782000.txt-984-34,fic_1843_7039.txt-2109-16	1,2,3,4	-
18_circle_vb	fic_2003_31844.txt-29-3,fic_1989_780083.txt-2098-19	1,2,3,4	-
19_circle_vb	fic_1845_7162.txt-1633-28,nf_1844_747892.txt-1058-25	1,2,3,4	-
20_circle_vb	fic_1854_7764.txt-1056-5,fic_1811_8637.txt-163-27	1,2,3,4	-
21_circle_vb	fic_1970_782000.txt-984-34,fic_1961_781980.txt-1331-7	1,2,3,4	-
22_circle_vb	mag_1977_431937.txt-45-14,mag_1840_554815.txt-207-38	1,2,3,4	-
23_circle_vb	fic_1843_7039.txt-429-5,fic_1860_8118.txt-3406-42	1,2,3,4	-
24_circle_vb	fic_1964_10451.txt-458-31,fic_1831_8376.txt-725-32	1,2,3,4	-
25_circle_vb	fic_1979_10648.txt-6485-5,fic_1852_593.txt-1202-17	1,2,3,4	-
26_circle_vb	fic_1833_7028.txt-1089-12,fic_1985_10729.txt-5570-4	1,2,3,4	-
27_circle_vb	fic_1847_7152.txt-1569-4,fic_1961_781980.txt-1331-7	1,2,3,4	-
28_circle_vb	fic_1838_7250.txt-2477-27,mag_1840_554815.txt-207-38	1,2,3,4	-
29_circle_vb	fic_1978_10636.txt-27091-12,fic_1960_10398.txt-5951-5	1,2,3,4	-
30_circle_vb	fic_2003_31844.txt-29-3,fic_1811_8637.txt-163-27	1,2,3,4	-
31_circle_vb	fic_1848_7186.txt-245-10,fic_1849_7230.txt-2441-6	1,2,3,4	-
32_circle_vb	fic_1974_10588.txt-478-28,fic_1860_8118.txt-3406-42	1,2,3,4	-
33_circle_vb	fic_1989_780083.txt-2098-19,fic_1852_8028.txt-398-39	1,2,3,4	-
34_circle_vb	fic_1827_7169.txt-2139-41,fic_1849_7230.txt-2441-6	1,2,3,4	-
35_circle_vb	mag_1856_590750.txt-21-18,mag_1840_554815.txt-207-38	1,2,3,4	-
36_circle_vb	mag_1840_554815.txt-207-38,mag_1840_554815.txt-255-35	1,2,3,4	-
37_circle_vb	fic_1839_7049.txt-872-28,fic_1849_7230.txt-2441-6	1,2,3,4	-
38_circle_vb	fic_1989_780083.txt-2098-19,fic_1854_7764.txt-1056-5	1,2,3,4	-
39_circle_vb	fic_1854_70.txt-3413-2,fic_1973_10569.txt-2907-9	1,2,3,4	-
40_circle_vb	fic_1964_10451.txt-458-31,fic_2007_52345.txt-225-12	1,2,3,4	-
41_circle_vb	mag_1977_431937.txt-45-14,fic_1981_10676.txt-3345-11	1,2,3,4	-
42_circle_vb	fic_2007_52345.txt-225-12,nf_1849_749269.txt-626-4	1,2,3,4	-
43_circle_vb	fic_1960_10398.txt-5951-5,fic_1973_10569.txt-2907-9	1,2,3,4	-
44_circle_vb	nf_1849_749269.txt-626-4,mag_2005_377686.txt-9-27	1,2,3,4	-
45_circle_vb	fic_1961_10405.txt-1211-0,nf_1849_749269.txt-626-4	1,2,3,4	-
46_circle_vb	fic_1993_1040095.txt-1060-4,fic_1831_8376.txt-2445-23	1,2,3,4	-
47_circle_vb	fic_1827_7169.txt-2139-41,mag_1840_554815.txt-207-38	1,2,3,4	-
48_circle_vb	fic_1980_782023.txt-2137-4,fic_1849_7230.txt-2441-6	1,2,3,4	-
49_circle_vb	nf_1842_747950.txt-723-15,fic_1961_781980.txt-1331-7	1,2,3,4	-
50_circle_vb	fic_1811_8637.txt-163-27,nf_1855_748479.txt-213-16	1,2,3,4	-
51_circle_vb	fic_1846_544.txt-2230-13,nf_1849_749269.txt-626-4	1,2,3,4	-
52_circle_vb	nf_2005_776573.txt-14-1,fic_1860_8118.txt-3406-42	1,2,3,4	-
53_circle_vb	fic_1978_10634.txt-2489-8,fic_1849_7216.txt-6245-4	1,2,3,4	-
54_circle_vb	nf_1849_749269.txt-626-4,mag_1840_554815.txt-255-35	1,2,3,4	-
55_circle_vb	fic_2003_31844.txt-22-13,fic_1849_7230.txt-2441-6	1,2,3,4	-
56_circle_vb	fic_1849_7216.txt-6245-4,mag_1840_554815.txt-207-38	1,2,3,4	-
57_circle_vb	nf_1827_747521.txt-163-33,mag_1840_554815.txt-207-38	1,2,3,4	-
58_circle_vb	fic_1840_8909.txt-155-63,nf_1849_749269.txt-626-4	1,2,3,4	-
59_circle_vb	mag_2007_388177.txt-3-28,fic_1849_7230.txt-2441-6	1,2,3,4	-
60_circle_vb	fic_1994_54062.txt-687-3,mag_1856_590750.txt-21-18	1,2,3,4	-
61_circle_vb	fic_1837_8687.txt-961-1,fic_1849_7230.txt-2441-6	1,2,3,4	-
62_circle_vb	fic_1839_8627.txt-1994-11,news_1982_668315.txt-45-12	1,2,3,4	-
63_circle_vb	fic_1965_780079.txt-1535-10,fic_2005_780526.txt-2258-12	1,2,3,4	-
64_circle_vb	mag_2004_411260.txt-45-13,fic_1986_782032.txt-1834-19	1,2,3,4	-
65_circle_vb	fic_1835_7017.txt-1328-8,nf_1849_749269.txt-626-4	1,2,3,4	-
66_circle_vb	fic_1846_8193.txt-686-26,nf_1849_749269.txt-626-4	1,2,3,4	-
67_circle_vb	news_1963_722897.txt-12-49,nf_1849_749269.txt-626-4	1,2,3,4	-
68_circle_vb	fic_1978_782020.txt-1272-1,mag_1977_431937.txt-45-14	1,2,3,4	-
69_circle_vb	fic_1974_782013.txt-2184-9,fic_1811_8637.txt-163-27	1,2,3,4	-
70_circle_vb	fic_1993_1040095.txt-1060-4,fic_1961_781980.txt-1331-7	1,2,3,4	-
71_circle_vb	fic_1849_2605.txt-1633-35,nf_1849_749269.txt-626-4	1,2,3,4	-
72_circle_vb	mag_1828_553925.txt-186-22,fic_1978_782020.txt-1272-1	1,2,3,4	-
73_circle_vb	mag_1856_590750.txt-21-18,fic_1986_782032.txt-1834-19	1,2,3,4	-
74_circle_vb	fic_1970_782000.txt-984-34,fic_1986_782032.txt-1834-19	1,2,3,4	-
75_circle_vb	mag_2000_402876.txt-39-20,fic_1854_70.txt-2012-8	1,2,3,4	-
76_circle_vb	fic_1989_780083.txt-2098-19,fic_1986_782032.txt-1834-19	1,2,3,4	-
77_circle_vb	fic_1986_782032.txt-5194-2,fic_1961_781980.txt-1331-7	1,2,3,4	-
78_circle_vb	fic_1840_7164.txt-175-23,fic_1979_10656.txt-791-8	1,2,3,4	-
79_circle_vb	fic_1833_7059.txt-360-2,fic_1852_593.txt-1202-17	1,2,3,4	-
80_circle_vb	fic_1989_780083.txt-2098-19,mag_1971_431814.txt-562-30	1,2,3,4	-
81_circle_vb	fic_1973_10568.txt-3728-22,nf_1849_749269.txt-626-4	1,2,3,4	-
