instanceID	label	comment	annotator
0_circle_vb	2.0	 	annotator2
1_circle_vb	3.0	 	annotator2
2_circle_vb	4.0	 	annotator2
3_circle_vb	4.0	 	annotator2
4_circle_vb	3.0	 	annotator2
5_circle_vb	4.0	 	annotator2
6_circle_vb	3.0	 	annotator2
7_circle_vb	2.0	 	annotator2
8_circle_vb	4.0	 	annotator2
9_circle_vb	4.0	 	annotator2
10_circle_vb	4.0	 	annotator2
11_circle_vb	4.0	 	annotator2
12_circle_vb	3.0	 	annotator2
13_circle_vb	3.0	 	annotator2
14_circle_vb	3.0	 	annotator2
15_circle_vb	3.0	 	annotator2
16_circle_vb	3.0	 	annotator2
17_circle_vb	3.0	 	annotator2
18_circle_vb	4.0	 	annotator2
19_circle_vb	4.0	 	annotator2
20_circle_vb	4.0	 	annotator2
21_circle_vb	4.0	 	annotator2
22_circle_vb	4.0	 	annotator2
23_circle_vb	4.0	 	annotator2
24_circle_vb	4.0	 	annotator2
25_circle_vb	3.0	 	annotator2
26_circle_vb	-	 	annotator2
27_circle_vb	1.0	 	annotator2
28_circle_vb	3.0	 	annotator2
29_circle_vb	3.0	 	annotator2
30_circle_vb	3.0	 	annotator2
31_circle_vb	3.0	 	annotator2
32_circle_vb	3.0	 	annotator2
33_circle_vb	2.0	 	annotator6
34_circle_vb	4.0	 	annotator6
6_circle_vb	3.0	 	annotator6
35_circle_vb	4.0	 	annotator6
36_circle_vb	3.0	 	annotator6
30_circle_vb	2.0	 	annotator6
37_circle_vb	2.0	 	annotator6
15_circle_vb	3.0	 	annotator6
38_circle_vb	2.0	 	annotator6
39_circle_vb	3.0	 	annotator6
40_circle_vb	2.0	 	annotator6
41_circle_vb	2.0	 	annotator6
42_circle_vb	3.0	 	annotator6
43_circle_vb	2.0	 	annotator6
44_circle_vb	2.0	 	annotator6
45_circle_vb	2.0	 	annotator6
46_circle_vb	2.0	 	annotator6
47_circle_vb	2.0	 	annotator6
48_circle_vb	2.0	 	annotator6
49_circle_vb	2.0	 	annotator6
50_circle_vb	2.0	 	annotator6
51_circle_vb	2.0	 	annotator6
52_circle_vb	2.0	 	annotator6
53_circle_vb	2.0	 	annotator6
54_circle_vb	2.0	 	annotator6
55_circle_vb	2.0	 	annotator6
56_circle_vb	2.0	 	annotator6
57_circle_vb	2.0	 	annotator6
58_circle_vb	2.0	 	annotator6
23_circle_vb	2.0	 	annotator6
59_circle_vb	2.0	 	annotator6
60_circle_vb	2.0	 	annotator6
61_circle_vb	2.0	 	annotator6
62_circle_vb	2.0	 	annotator6
63_circle_vb	2.0	 	annotator6
64_circle_vb	4.0	 	annotator6
65_circle_vb	2.0	 	annotator6
1_circle_vb	2.0	 	annotator6
66_circle_vb	2.0	 	annotator6
24_circle_vb	2.0	 	annotator6
67_circle_vb	2.0	 	annotator6
0_circle_vb	2.0	 	annotator6
68_circle_vb	2.0	 	annotator6
69_circle_vb	2.0	 	annotator6
70_circle_vb	2.0	 	annotator6
16_circle_vb	2.0	 	annotator6
71_circle_vb	2.0	 	annotator6
72_circle_vb	3.0	 	annotator6
73_circle_vb	2.0	 	annotator6
74_circle_vb	2.0	 	annotator6
75_circle_vb	2.0	 	annotator6
76_circle_vb	3.0	 	annotator6
77_circle_vb	3.0	 	annotator6
78_circle_vb	2.0	 	annotator6
79_circle_vb	2.0	 	annotator6
80_circle_vb	2.0	 	annotator6
11_circle_vb	3.0	 	annotator6
81_circle_vb	2.0	 	annotator6
82_circle_vb	2.0	 	annotator6
8_circle_vb	4.0	 	annotator6
83_circle_vb	3.0	 	annotator6
84_circle_vb	2.0	 	annotator6
85_circle_vb	2.0	 	annotator6
86_circle_vb	2.0	 	annotator6
87_circle_vb	3.0	 	annotator5
88_circle_vb	3.0	 	annotator5
78_circle_vb	2.0	 	annotator5
89_circle_vb	3.0	 	annotator5
90_circle_vb	2.0	 	annotator5
33_circle_vb	2.0	 	annotator5
91_circle_vb	2.0	 	annotator5
11_circle_vb	2.0	 	annotator5
92_circle_vb	2.0	 	annotator5
93_circle_vb	2.0	 	annotator5
7_circle_vb	2.0	 	annotator5
46_circle_vb	3.0	 	annotator5
61_circle_vb	2.0	 	annotator5
72_circle_vb	2.0	 	annotator5
71_circle_vb	2.0	 	annotator5
51_circle_vb	2.0	 	annotator5
94_circle_vb	2.0	 	annotator5
95_circle_vb	2.0	 	annotator5
96_circle_vb	3.0	 	annotator5
10_circle_vb	3.0	 	annotator5
97_circle_vb	4.0	 	annotator5
40_circle_vb	3.0	 	annotator5
98_circle_vb	4.0	 	annotator5
99_circle_vb	2.0	 	annotator5
69_circle_vb	2.0	 	annotator5
100_circle_vb	2.0	 	annotator5
101_circle_vb	2.0	 	annotator5
102_circle_vb	2.0	 	annotator5
57_circle_vb	3.0	 	annotator5
103_circle_vb	4.0	 	annotator5
104_circle_vb	2.0	 	annotator5
105_circle_vb	2.0	 	annotator5
106_circle_vb	4.0	 	annotator5
107_circle_vb	3.0	 	annotator5
74_circle_vb	3.0	 	annotator5
67_circle_vb	2.0	 	annotator5
108_circle_vb	2.0	 	annotator5
44_circle_vb	2.0	 	annotator5
109_circle_vb	2.0	 	annotator5
110_circle_vb	4.0	 	annotator5
111_circle_vb	4.0	 	annotator5
112_circle_vb	3.0	 	annotator5
88_circle_vb	4.0	 	annotator0
113_circle_vb	4.0	 	annotator0
114_circle_vb	4.0	 	annotator0
115_circle_vb	4.0	 	annotator0
116_circle_vb	4.0	 	annotator0
36_circle_vb	4.0	 	annotator0
117_circle_vb	3.0	Unsure	annotator0
118_circle_vb	4.0	 	annotator0
119_circle_vb	2.0	 	annotator0
120_circle_vb	2.0	 	annotator0
121_circle_vb	4.0	 	annotator0
122_circle_vb	4.0	 	annotator0
49_circle_vb	4.0	 	annotator0
123_circle_vb	4.0	 	annotator0
124_circle_vb	4.0	 	annotator0
53_circle_vb	4.0	 	annotator0
125_circle_vb	4.0	 	annotator0
56_circle_vb	4.0	 	annotator0
126_circle_vb	2.0	 	annotator0
127_circle_vb	2.0	 	annotator0
128_circle_vb	2.0	 	annotator0
129_circle_vb	3.0	Unsure	annotator0
130_circle_vb	4.0	 	annotator0
131_circle_vb	4.0	Unsure; difficult to judge the meaning in sentence 2	annotator0
132_circle_vb	4.0	 	annotator0
133_circle_vb	4.0	 	annotator0
134_circle_vb	-	 	annotator0
135_circle_vb	4.0	 	annotator0
16_circle_vb	4.0	 	annotator0
55_circle_vb	4.0	 	annotator0
136_circle_vb	3.0	 	annotator2
137_circle_vb	3.0	 	annotator2
138_circle_vb	4.0	 	annotator2
