instanceID	dataIDs	label_set	non_label
0_contemplation_nn	fic_1979_10647.txt-3419-11,mag_2000_408988.txt-58-7	1,2,3,4	-
1_contemplation_nn	fic_1838_7086.txt-413-28,fic_1841_7000.txt-2404-53	1,2,3,4	-
2_contemplation_nn	fic_1845_7295.txt-5630-6,mag_1994_393643.txt-73-10	1,2,3,4	-
3_contemplation_nn	mag_1829_553965.txt-110-29,mag_1979_487922.txt-97-0	1,2,3,4	-
4_contemplation_nn	fic_1998_43244.txt-94-24,fic_1827_2832.txt-1572-23	1,2,3,4	-
5_contemplation_nn	fic_1972_10554.txt-3758-10,fic_1859_270.txt-1269-6	1,2,3,4	-
6_contemplation_nn	nf_1973_774239.txt-1183-4,mag_1979_487922.txt-97-0	1,2,3,4	-
7_contemplation_nn	fic_1987_10755.txt-1745-21,mag_1979_487922.txt-97-0	1,2,3,4	-
8_contemplation_nn	mag_1839_586324.txt-383-27,mag_1979_487922.txt-97-0	1,2,3,4	-
9_contemplation_nn	nf_1826_747833.txt-1412-6,mag_2000_367703.txt-12-11	1,2,3,4	-
10_contemplation_nn	fic_1979_10647.txt-3419-11,mag_1979_487922.txt-97-0	1,2,3,4	-
11_contemplation_nn	fic_1826_314.txt-701-4,fic_1827_9763.txt-1708-22	1,2,3,4	-
12_contemplation_nn	nf_1973_774239.txt-1183-4,mag_1845_522996.txt-190-15	1,2,3,4	-
13_contemplation_nn	fic_1845_7317.txt-4284-8,fic_1859_270.txt-1269-6	1,2,3,4	-
14_contemplation_nn	mag_1834_554246.txt-100-27,fic_1974_10586.txt-1155-25	1,2,3,4	-
15_contemplation_nn	fic_1968_10508.txt-8033-6,fic_1986_10743.txt-1516-19	1,2,3,4	-
16_contemplation_nn	fic_1827_9758.txt-4215-5,fic_2006_28991.txt-168-8	1,2,3,4	-
17_contemplation_nn	nf_1968_773502.txt-192-31,fic_1855_602.txt-3886-60	1,2,3,4	-
18_contemplation_nn	mag_1994_393643.txt-73-10,fic_1972_10554.txt-3758-10	1,2,3,4	-
19_contemplation_nn	fic_1842_7376.txt-102-20,fic_1834_2652.txt-5125-5	1,2,3,4	-
20_contemplation_nn	fic_1963_10437.txt-766-24,mag_1835_554295.txt-175-20	1,2,3,4	-
21_contemplation_nn	mag_1858_526797.txt-245-18,mag_1835_554295.txt-175-20	1,2,3,4	-
22_contemplation_nn	fic_1823_7248.txt-294-6,fic_1999_27976.txt-14-28	1,2,3,4	-
23_contemplation_nn	nf_1972_774227.txt-89-70,fic_1987_10755.txt-1745-21	1,2,3,4	-
24_contemplation_nn	mag_1850_521465.txt-279-65,fic_1999_45414.txt-501-23	1,2,3,4	-
25_contemplation_nn	mag_1852_566159.txt-307-15,fic_1979_10647.txt-3419-11	1,2,3,4	-
26_contemplation_nn	fic_1842_7289.txt-825-13,fic_1856_5515.txt-3055-7	1,2,3,4	-
27_contemplation_nn	nf_1971_774240.txt-573-21,mag_2000_367703.txt-12-11	1,2,3,4	-
28_contemplation_nn	fic_1961_5844.txt-1-8,fic_1854_9193.txt-1559-41	1,2,3,4	-
29_contemplation_nn	mag_1826_553763.txt-17-7,mag_1980_293437.txt-18-4	1,2,3,4	-
30_contemplation_nn	mag_1829_553985.txt-86-68,fic_1836_7052.txt-1319-11	1,2,3,4	-
31_contemplation_nn	mag_1833_554215.txt-115-34,fic_1826_314.txt-701-4	1,2,3,4	-
32_contemplation_nn	fic_2004_26855.txt-3-60,fic_1846_7136.txt-2439-26	1,2,3,4	-
33_contemplation_nn	mag_1854_590351.txt-137-0,fic_1830_8629.txt-186-17	1,2,3,4	-
34_contemplation_nn	fic_1970_753.txt-86-22,fic_1830_8629.txt-186-17	1,2,3,4	-
35_contemplation_nn	mag_2000_410297.txt-139-32,fic_1826_314.txt-701-4	1,2,3,4	-
36_contemplation_nn	fic_1964_10449.txt-2138-6,fic_1852_593.txt-3113-20	1,2,3,4	-
37_contemplation_nn	fic_1979_10648.txt-8544-24,fic_1971_10542.txt-1747-10	1,2,3,4	-
38_contemplation_nn	mag_1854_566446.txt-316-18,fic_1979_10647.txt-3419-11	1,2,3,4	-
39_contemplation_nn	nf_1832_747409.txt-1053-69,mag_1979_487922.txt-97-0	1,2,3,4	-
40_contemplation_nn	mag_1839_586386.txt-40-35,fic_1852_593.txt-3113-20	1,2,3,4	-
41_contemplation_nn	fic_1855_602.txt-4587-35,mag_1980_293437.txt-18-4	1,2,3,4	-
42_contemplation_nn	fic_1986_10748.txt-3506-10,fic_1987_10755.txt-1745-21	1,2,3,4	-
43_contemplation_nn	fic_1841_7000.txt-2404-53,fic_1968_10505.txt-4734-29	1,2,3,4	-
44_contemplation_nn	fic_1845_7316.txt-4111-27,fic_1830_8629.txt-186-17	1,2,3,4	-
45_contemplation_nn	nf_1829_748086.txt-2019-49,fic_1854_9193.txt-1559-41	1,2,3,4	-
46_contemplation_nn	fic_1965_780078.txt-1576-14,mag_1832_564114.txt-128-22	1,2,3,4	-
47_contemplation_nn	fic_1840_7256.txt-1644-12,fic_1968_10505.txt-4734-29	1,2,3,4	-
48_contemplation_nn	nf_1973_774239.txt-1950-36,fic_1856_5515.txt-3055-7	1,2,3,4	-
49_contemplation_nn	fic_1848_7235.txt-1460-18,fic_1999_27976.txt-14-28	1,2,3,4	-
50_contemplation_nn	fic_1998_43244.txt-94-24,fic_1987_10755.txt-1745-21	1,2,3,4	-
51_contemplation_nn	fic_1981_780031.txt-3084-46,fic_1971_10542.txt-1747-10	1,2,3,4	-
52_contemplation_nn	fic_1968_10508.txt-8033-6,fic_1856_5515.txt-3055-7	1,2,3,4	-
53_contemplation_nn	fic_1988_10768.txt-3507-1,fic_1836_7052.txt-1319-11	1,2,3,4	-
54_contemplation_nn	fic_2002_46744.txt-75-5,fic_1994_41428.txt-118-23	1,2,3,4	-
55_contemplation_nn	fic_1845_7317.txt-4284-8,fic_2006_28991.txt-168-8	1,2,3,4	-
56_contemplation_nn	nf_1852_771217.txt-556-13,mag_1830_554080.txt-5-11	1,2,3,4	-
57_contemplation_nn	fic_1976_10610.txt-7405-20,fic_1999_27976.txt-14-28	1,2,3,4	-
58_contemplation_nn	mag_1829_553965.txt-110-29,fic_1999_27976.txt-14-28	1,2,3,4	-
59_contemplation_nn	news_1998_615388.txt-50-21,mag_1835_554295.txt-175-20	1,2,3,4	-
60_contemplation_nn	fic_1975_780111.txt-3075-23,mag_2000_367703.txt-12-11	1,2,3,4	-
61_contemplation_nn	nf_1962_773607.txt-40-7,fic_1999_27976.txt-14-28	1,2,3,4	-
62_contemplation_nn	fic_1841_799.txt-255-17,mag_1980_293437.txt-18-4	1,2,3,4	-
63_contemplation_nn	fic_1858_1282.txt-1244-78,mag_2000_367703.txt-12-11	1,2,3,4	-
64_contemplation_nn	fic_1839_7068.txt-1038-14,mag_1830_554080.txt-5-11	1,2,3,4	-
65_contemplation_nn	fic_2001_45569.txt-179-8,mag_1830_554080.txt-5-11	1,2,3,4	-
66_contemplation_nn	fic_1855_604.txt-1501-10,fic_1836_7052.txt-1319-11	1,2,3,4	-
67_contemplation_nn	news_1986_670487.txt-103-127,fic_1987_10755.txt-1745-21	1,2,3,4	-
68_contemplation_nn	fic_1979_10655.txt-3515-19,fic_1999_27976.txt-14-28	1,2,3,4	-
69_contemplation_nn	fic_1854_3384.txt-2142-67,mag_1835_554295.txt-175-20	1,2,3,4	-
