instanceID	label	comment	annotator
0_contemplation_nn	3.0	 	annotator2
1_contemplation_nn	3.0	 	annotator2
2_contemplation_nn	3.0	 	annotator2
3_contemplation_nn	4.0	 	annotator2
4_contemplation_nn	4.0	 	annotator2
5_contemplation_nn	3.0	 	annotator2
6_contemplation_nn	3.0	 	annotator2
7_contemplation_nn	3.0	 	annotator6
8_contemplation_nn	3.0	 	annotator6
9_contemplation_nn	4.0	 	annotator6
5_contemplation_nn	3.0	 	annotator6
10_contemplation_nn	3.0	 	annotator6
11_contemplation_nn	3.0	 	annotator6
12_contemplation_nn	3.0	 	annotator6
13_contemplation_nn	4.0	 	annotator5
14_contemplation_nn	3.0	 	annotator5
15_contemplation_nn	3.0	 	annotator5
16_contemplation_nn	4.0	 	annotator0
17_contemplation_nn	4.0	 	annotator0
18_contemplation_nn	4.0	 	annotator0
19_contemplation_nn	4.0	 	annotator0
6_contemplation_nn	4.0	 	annotator0
10_contemplation_nn	4.0	 	annotator0
20_contemplation_nn	3.0	 	annotator2
21_contemplation_nn	3.0	 	annotator2
22_contemplation_nn	4.0	 	annotator2
23_contemplation_nn	3.0	 	annotator2
24_contemplation_nn	4.0	 	annotator2
25_contemplation_nn	4.0	 	annotator2
26_contemplation_nn	4.0	 	annotator2
27_contemplation_nn	4.0	 	annotator2
28_contemplation_nn	4.0	 	annotator2
29_contemplation_nn	3.0	 	annotator2
30_contemplation_nn	4.0	 	annotator2
31_contemplation_nn	3.0	 	annotator2
32_contemplation_nn	4.0	 	annotator2
33_contemplation_nn	4.0	 	annotator2
34_contemplation_nn	4.0	 	annotator2
35_contemplation_nn	4.0	 	annotator2
36_contemplation_nn	4.0	 	annotator2
37_contemplation_nn	4.0	 	annotator2
38_contemplation_nn	4.0	 	annotator2
39_contemplation_nn	4.0	 	annotator2
40_contemplation_nn	3.0	 	annotator2
41_contemplation_nn	3.0	 	annotator2
42_contemplation_nn	4.0	 	annotator2
43_contemplation_nn	4.0	 	annotator2
44_contemplation_nn	4.0	 	annotator2
45_contemplation_nn	4.0	 	annotator2
46_contemplation_nn	4.0	 	annotator2
47_contemplation_nn	3.0	 	annotator2
48_contemplation_nn	3.0	 	annotator2
49_contemplation_nn	3.0	 	annotator2
50_contemplation_nn	4.0	 	annotator2
51_contemplation_nn	4.0	 	annotator2
52_contemplation_nn	3.0	 	annotator2
53_contemplation_nn	4.0	 	annotator2
54_contemplation_nn	4.0	 	annotator2
55_contemplation_nn	4.0	 	annotator2
56_contemplation_nn	4.0	 	annotator2
57_contemplation_nn	4.0	 	annotator2
58_contemplation_nn	4.0	 	annotator2
59_contemplation_nn	4.0	 	annotator2
60_contemplation_nn	3.0	 	annotator2
61_contemplation_nn	4.0	 	annotator2
62_contemplation_nn	4.0	 	annotator2
63_contemplation_nn	4.0	 	annotator2
64_contemplation_nn	4.0	 	annotator2
65_contemplation_nn	3.0	 	annotator2
66_contemplation_nn	4.0	 	annotator2
67_contemplation_nn	4.0	 	annotator2
68_contemplation_nn	4.0	 	annotator2
69_contemplation_nn	4.0	 	annotator2
70_contemplation_nn	4.0	 	annotator2
71_contemplation_nn	4.0	 	annotator2
72_contemplation_nn	4.0	 	annotator2
73_contemplation_nn	4.0	 	annotator2
74_contemplation_nn	4.0	 	annotator2
75_contemplation_nn	4.0	 	annotator2
76_contemplation_nn	4.0	 	annotator2
77_contemplation_nn	4.0	 	annotator2
78_contemplation_nn	4.0	 	annotator2
79_contemplation_nn	4.0	 	annotator2
80_contemplation_nn	3.0	 	annotator2
81_contemplation_nn	4.0	 	annotator2
82_contemplation_nn	4.0	 	annotator2
83_contemplation_nn	4.0	 	annotator2
84_contemplation_nn	4.0	 	annotator2
85_contemplation_nn	4.0	 	annotator2
86_contemplation_nn	4.0	 	annotator2
87_contemplation_nn	4.0	 	annotator2
88_contemplation_nn	3.0	 	annotator2
89_contemplation_nn	3.0	 	annotator2
90_contemplation_nn	4.0	 	annotator2
91_contemplation_nn	4.0	 	annotator2
92_contemplation_nn	4.0	 	annotator2
93_contemplation_nn	4.0	 	annotator2
9_contemplation_nn	3.0	 	annotator2
94_contemplation_nn	3.0	 	annotator2
95_contemplation_nn	4.0	 	annotator2
96_contemplation_nn	4.0	 	annotator2
97_contemplation_nn	4.0	 	annotator2
98_contemplation_nn	3.0	 	annotator2
99_contemplation_nn	4.0	 	annotator2
100_contemplation_nn	3.0	 	annotator2
101_contemplation_nn	3.0	 	annotator2
102_contemplation_nn	4.0	 	annotator2
103_contemplation_nn	4.0	 	annotator2
104_contemplation_nn	4.0	 	annotator2
105_contemplation_nn	3.0	 	annotator5
106_contemplation_nn	4.0	 	annotator5
107_contemplation_nn	3.0	 	annotator5
108_contemplation_nn	3.0	 	annotator5
11_contemplation_nn	2.0	 	annotator5
9_contemplation_nn	2.0	 	annotator5
109_contemplation_nn	4.0	 	annotator5
57_contemplation_nn	3.0	 	annotator5
110_contemplation_nn	3.0	 	annotator5
111_contemplation_nn	4.0	 	annotator5
31_contemplation_nn	3.0	 	annotator5
112_contemplation_nn	3.0	 	annotator5
70_contemplation_nn	3.0	 	annotator5
