instanceID	dataIDs	label_set	non_label
0_donkey_nn	nf_1843_748690.txt-1151-22,fic_1860_615.txt-1436-40	1,2,3,4	-
1_donkey_nn	fic_1856_7698.txt-435-19,fic_1854_3384.txt-1965-12	1,2,3,4	-
2_donkey_nn	fic_1835_8114.txt-1986-49,fic_1838_7085.txt-1618-2	1,2,3,4	-
3_donkey_nn	fic_1994_41307.txt-1046-52,fic_1848_7193.txt-1295-33	1,2,3,4	-
4_donkey_nn	fic_1987_782034.txt-8660-41,fic_1843_7039.txt-3001-5	1,2,3,4	-
5_donkey_nn	mag_1847_524175.txt-916-3,mag_1966_211235.txt-8-4	1,2,3,4	-
6_donkey_nn	mag_1999_404075.txt-254-9,nf_1843_748690.txt-1154-34	1,2,3,4	-
7_donkey_nn	nf_1856_755595.txt-89-1,mag_1966_211235.txt-8-4	1,2,3,4	-
8_donkey_nn	nf_1990_774020.txt-1017-3,fic_1980_10659.txt-2248-7	1,2,3,4	-
9_donkey_nn	news_1993_655718.txt-34-45,fic_1838_7085.txt-1618-2	1,2,3,4	-
10_donkey_nn	mag_1966_211235.txt-8-4,nf_1856_755595.txt-2253-41	1,2,3,4	-
11_donkey_nn	fic_2005_50069.txt-390-5,fic_1860_9072.txt-3702-25	1,2,3,4	-
12_donkey_nn	fic_1992_16254.txt-518-11,fic_1852_3609.txt-1151-3	1,2,3,4	-
13_donkey_nn	mag_1856_505599.txt-27-8,fic_1843_7208.txt-2343-17	1,2,3,4	-
14_donkey_nn	fic_1984_10723.txt-770-21,nf_1838_747585.txt-435-20	1,2,3,4	-
15_donkey_nn	fic_1971_10544.txt-4957-8,fic_1839_7352.txt-1973-3	1,2,3,4	-
16_donkey_nn	fic_1993_53894.txt-128-12,nf_1852_752548.txt-796-22	1,2,3,4	-
17_donkey_nn	news_1984_671409.txt-15-28,fic_1994_54030.txt-305-13	1,2,3,4	-
18_donkey_nn	news_2007_637936.txt-36-12,nf_1838_747585.txt-435-20	1,2,3,4	-
19_donkey_nn	fic_1969_10510.txt-1234-4,nf_1838_747585.txt-3-21	1,2,3,4	-
20_donkey_nn	nf_1999_774012.txt-1341-9,fic_1855_602.txt-4503-54	1,2,3,4	-
21_donkey_nn	fic_1855_9053.txt-3687-7,fic_1855_602.txt-4503-54	1,2,3,4	-
22_donkey_nn	fic_1984_10723.txt-926-4,fic_1993_1040075.txt-591-5	1,2,3,4	-
23_donkey_nn	fic_1852_3609.txt-300-19,fic_1993_1040075.txt-591-5	1,2,3,4	-
24_donkey_nn	fic_1984_10723.txt-1931-32,fic_1860_616.txt-3124-92	1,2,3,4	-
25_donkey_nn	fic_1990_53195.txt-165-1,fic_1984_10723.txt-1278-9	1,2,3,4	-
26_donkey_nn	mag_1978_479996.txt-153-1,fic_1994_54030.txt-305-13	1,2,3,4	-
27_donkey_nn	news_2007_637936.txt-33-7,fic_1860_616.txt-3124-92	1,2,3,4	-
28_donkey_nn	fic_1852_3609.txt-1151-3,nf_1843_748690.txt-1154-34	1,2,3,4	-
29_donkey_nn	fic_1839_7352.txt-891-11,fic_1994_54030.txt-305-13	1,2,3,4	-
30_donkey_nn	fic_1847_7124.txt-543-5,nf_1838_747585.txt-435-20	1,2,3,4	-
31_donkey_nn	fic_1855_9053.txt-137-57,nf_1838_747585.txt-438-30	1,2,3,4	-
32_donkey_nn	fic_1839_1484.txt-1830-35,fic_1860_616.txt-3124-92	1,2,3,4	-
33_donkey_nn	mag_1852_504502.txt-398-19,fic_1832_8862.txt-325-57	1,2,3,4	-
34_donkey_nn	mag_1848_565755.txt-432-16,fic_1994_54030.txt-305-13	1,2,3,4	-
35_donkey_nn	fic_1983_10710.txt-2763-15,nf_1838_747482.txt-1930-7	1,2,3,4	-
36_donkey_nn	fic_1999_30759.txt-67-16,mag_1963_269445.txt-16-39	1,2,3,4	-
37_donkey_nn	fic_1975_10601.txt-83-16,mag_1966_211235.txt-8-4	1,2,3,4	-
38_donkey_nn	fic_1994_41271.txt-167-5,fic_1994_41307.txt-1046-52	1,2,3,4	-
39_donkey_nn	fic_1970_782001.txt-2725-9,nf_1838_747585.txt-438-30	1,2,3,4	-
40_donkey_nn	fic_1852_2751.txt-4862-10,fic_1987_782034.txt-8660-41	1,2,3,4	-
41_donkey_nn	fic_1843_7208.txt-11924-17,fic_1993_1040075.txt-591-5	1,2,3,4	-
42_donkey_nn	fic_1855_604.txt-809-10,fic_1855_602.txt-4503-54	1,2,3,4	-
