instanceID	label	comment	annotator
0_donkey_nn	4.0	 	annotator2
1_donkey_nn	4.0	 	annotator2
2_donkey_nn	4.0	 	annotator2
3_donkey_nn	4.0	 	annotator2
3_donkey_nn	4.0	 	annotator6
1_donkey_nn	2.0	 	annotator6
4_donkey_nn	2.0	 	annotator6
5_donkey_nn	2.0	 	annotator6
6_donkey_nn	2.0	 	annotator6
7_donkey_nn	4.0	 	annotator5
4_donkey_nn	2.0	 	annotator5
8_donkey_nn	3.0	 	annotator5
9_donkey_nn	3.0	 	annotator5
10_donkey_nn	4.0	 	annotator0
11_donkey_nn	4.0	 	annotator0
12_donkey_nn	4.0	 	annotator0
13_donkey_nn	4.0	 	annotator0
14_donkey_nn	4.0	 	annotator2
15_donkey_nn	4.0	 	annotator2
16_donkey_nn	4.0	 	annotator2
17_donkey_nn	4.0	 	annotator2
18_donkey_nn	4.0	 	annotator2
19_donkey_nn	4.0	 	annotator2
20_donkey_nn	4.0	 	annotator2
21_donkey_nn	4.0	 	annotator2
22_donkey_nn	4.0	 	annotator2
23_donkey_nn	4.0	 	annotator2
24_donkey_nn	4.0	 	annotator2
25_donkey_nn	4.0	 	annotator2
26_donkey_nn	4.0	 	annotator2
27_donkey_nn	4.0	 	annotator2
28_donkey_nn	4.0	 	annotator2
29_donkey_nn	4.0	 	annotator2
30_donkey_nn	4.0	 	annotator2
31_donkey_nn	4.0	 	annotator2
32_donkey_nn	4.0	 	annotator2
33_donkey_nn	4.0	 	annotator2
34_donkey_nn	4.0	 	annotator2
35_donkey_nn	4.0	 	annotator2
36_donkey_nn	4.0	 	annotator2
37_donkey_nn	4.0	 	annotator2
38_donkey_nn	4.0	 	annotator2
39_donkey_nn	4.0	 	annotator2
40_donkey_nn	4.0	 	annotator2
41_donkey_nn	4.0	 	annotator2
42_donkey_nn	4.0	 	annotator2
43_donkey_nn	4.0	 	annotator2
44_donkey_nn	4.0	 	annotator2
45_donkey_nn	4.0	 	annotator2
46_donkey_nn	4.0	 	annotator2
47_donkey_nn	4.0	 	annotator2
48_donkey_nn	4.0	 	annotator2
49_donkey_nn	4.0	 	annotator2
50_donkey_nn	4.0	 	annotator2
51_donkey_nn	4.0	 	annotator2
52_donkey_nn	4.0	 	annotator2
53_donkey_nn	4.0	 	annotator2
54_donkey_nn	4.0	 	annotator2
55_donkey_nn	4.0	 	annotator2
56_donkey_nn	4.0	 	annotator2
57_donkey_nn	4.0	 	annotator2
58_donkey_nn	4.0	 	annotator2
59_donkey_nn	4.0	 	annotator2
60_donkey_nn	4.0	 	annotator2
61_donkey_nn	4.0	 	annotator2
62_donkey_nn	4.0	 	annotator2
63_donkey_nn	4.0	 	annotator2
64_donkey_nn	4.0	 	annotator2
65_donkey_nn	4.0	 	annotator2
66_donkey_nn	4.0	 	annotator2
67_donkey_nn	4.0	 	annotator2
68_donkey_nn	3.0	 	annotator2
69_donkey_nn	3.0	 	annotator2
70_donkey_nn	4.0	 	annotator2
71_donkey_nn	4.0	 	annotator2
72_donkey_nn	4.0	 	annotator2
73_donkey_nn	4.0	 	annotator2
74_donkey_nn	4.0	 	annotator2
75_donkey_nn	4.0	 	annotator2
76_donkey_nn	4.0	 	annotator2
77_donkey_nn	4.0	 	annotator2
78_donkey_nn	4.0	 	annotator2
79_donkey_nn	4.0	 	annotator2
80_donkey_nn	4.0	 	annotator2
81_donkey_nn	4.0	 	annotator2
