instanceID	dataIDs	label_set	non_label
0_edge_nn	fic_1835_7271.txt-1540-6,fic_1827_7270.txt-1682-46	1,2,3,4	-
1_edge_nn	nf_1853_747976.txt-1622-22,fic_1995_53078.txt-343-9	1,2,3,4	-
2_edge_nn	nf_1827_747521.txt-883-28,fic_1993_25008.txt-4285-5	1,2,3,4	-
3_edge_nn	fic_1976_10617.txt-1820-0,fic_1823_7249.txt-942-61	1,2,3,4	-
4_edge_nn	fic_1965_23823.txt-131-41,fic_1823_7249.txt-942-61	1,2,3,4	-
5_edge_nn	nf_1827_747521.txt-918-0,fic_2007_34283.txt-0-19	1,2,3,4	-
6_edge_nn	nf_1836_748113.txt-2066-7,fic_1995_53078.txt-343-9	1,2,3,4	-
7_edge_nn	fic_1987_23990.txt-44-12,mag_1990_342665.txt-15-8	1,2,3,4	-
8_edge_nn	news_1985_669476.txt-14-16,fic_1995_53078.txt-343-9	1,2,3,4	-
9_edge_nn	mag_1981_297437.txt-5-20,fic_1823_7249.txt-942-61	1,2,3,4	-
10_edge_nn	fic_2009_36969.txt-198-19,fic_1993_1040095.txt-1669-8	1,2,3,4	-
11_edge_nn	nf_1848_754438.txt-774-22,fic_1995_53078.txt-343-9	1,2,3,4	-
12_edge_nn	mag_1993_395881.txt-39-29,nf_1982_774241.txt-233-34	1,2,3,4	-
13_edge_nn	mag_2004_416046.txt-55-2,fic_1995_53078.txt-343-9	1,2,3,4	-
14_edge_nn	fic_1987_780087.txt-2935-4,fic_1960_4487.txt-328-25	1,2,3,4	-
15_edge_nn	nf_1976_774399.txt-105-7,fic_1823_7249.txt-942-61	1,2,3,4	-
16_edge_nn	mag_1848_565770.txt-45-29,fic_1995_53078.txt-343-9	1,2,3,4	-
17_edge_nn	fic_1971_10544.txt-8885-5,fic_1823_7249.txt-942-61	1,2,3,4	-
18_edge_nn	fic_2004_780511.txt-2666-15,mag_2002_414884.txt-39-4	1,2,3,4	-
19_edge_nn	fic_1835_7172.txt-9351-26,fic_2007_34283.txt-0-19	1,2,3,4	-
20_edge_nn	news_2006_604826.txt-2-3,fic_2007_34283.txt-0-19	1,2,3,4	-
21_edge_nn	mag_1979_480129.txt-32-13,mag_1848_565770.txt-45-29	1,2,3,4	-
22_edge_nn	mag_1828_553921.txt-240-1,fic_1823_7249.txt-942-61	1,2,3,4	-
23_edge_nn	fic_1966_10477.txt-5230-21,fic_1995_53078.txt-343-9	1,2,3,4	-
24_edge_nn	nf_1851_747930.txt-141-2,fic_1823_7249.txt-942-61	1,2,3,4	-
25_edge_nn	news_1966_725407.txt-30-6,fic_1995_53078.txt-343-9	1,2,3,4	-
26_edge_nn	fic_1835_7281.txt-1358-22,mag_1832_564345.txt-20-16	1,2,3,4	-
