instanceID	dataIDs	label_set	non_label
0_face_nn	news_2004_617201.txt-34-2,fic_1849_7167.txt-1530-27	1,2,3,4	-
1_face_nn	fic_1961_781981.txt-3119-7,fic_1827_7169.txt-1862-5	1,2,3,4	-
2_face_nn	nf_1849_749269.txt-17-4,fic_1853_9040.txt-1783-18	1,2,3,4	-
3_face_nn	fic_1996_54394.txt-2232-9,nf_1851_747495.txt-565-11	1,2,3,4	-
4_face_nn	nf_2004_775790.txt-28-16,fic_1848_1108.txt-618-18	1,2,3,4	-
5_face_nn	fic_1847_7077.txt-172-50,mag_1834_554263.txt-165-90	1,2,3,4	-
6_face_nn	fic_1860_1171.txt-873-41,mag_1834_554263.txt-165-90	1,2,3,4	-
7_face_nn	fic_1999_45409.txt-229-21,fic_1970_10523.txt-3736-15	1,2,3,4	-
8_face_nn	fic_1976_10612.txt-6320-14,fic_2008_36240.txt-304-5	1,2,3,4	-
9_face_nn	nf_1842_747950.txt-1382-7,mag_1834_554263.txt-165-90	1,2,3,4	-
10_face_nn	fic_1857_9075.txt-2983-36,mag_1834_554263.txt-165-90	1,2,3,4	-
11_face_nn	fic_1845_7317.txt-2419-14,fic_1848_1108.txt-3120-24	1,2,3,4	-
12_face_nn	fic_1999_44326.txt-286-8,mag_1834_554263.txt-165-90	1,2,3,4	-
13_face_nn	fic_1964_16147.txt-1494-12,mag_1834_554263.txt-165-90	1,2,3,4	-
14_face_nn	fic_1849_7192.txt-2073-17,mag_1834_554263.txt-165-90	1,2,3,4	-
15_face_nn	fic_2002_47233.txt-243-21,fic_1848_7193.txt-1418-16	1,2,3,4	-
16_face_nn	fic_1844_8869.txt-920-11,fic_1854_9826.txt-2758-13	1,2,3,4	-
17_face_nn	fic_1968_10505.txt-8348-18,mag_1834_554263.txt-165-90	1,2,3,4	-
18_face_nn	mag_1834_554263.txt-165-90,nf_1844_762654.txt-1773-21	1,2,3,4	-
19_face_nn	fic_1851_2538.txt-4146-15,mag_1834_554263.txt-165-90	1,2,3,4	-
20_face_nn	nf_1844_762654.txt-1773-21,fic_1847_7149.txt-787-13	1,2,3,4	-
21_face_nn	fic_1850_7171.txt-7910-28,mag_1834_554263.txt-165-90	1,2,3,4	-
22_face_nn	fic_1846_4464.txt-2452-35,mag_1834_554263.txt-165-90	1,2,3,4	-
23_face_nn	fic_1853_9158.txt-1194-47,news_2004_617201.txt-34-2	1,2,3,4	-
24_face_nn	fic_1827_7169.txt-1862-5,fic_1848_1108.txt-2103-17	1,2,3,4	-
25_face_nn	fic_2000_30631.txt-229-25,fic_2006_51206.txt-319-15	1,2,3,4	-
26_face_nn	mag_1990_341668.txt-4-7,mag_1834_554263.txt-165-90	1,2,3,4	-
27_face_nn	fic_2005_31491.txt-237-8,fic_1848_7193.txt-5670-15	1,2,3,4	-
28_face_nn	fic_1964_10449.txt-2164-1,mag_1834_554263.txt-165-90	1,2,3,4	-
29_face_nn	fic_1844_3928.txt-2731-14,fic_1999_44634.txt-364-1	1,2,3,4	-
30_face_nn	mag_1834_554263.txt-165-90,fic_2000_30631.txt-229-25	1,2,3,4	-
31_face_nn	fic_1983_10710.txt-2241-29,mag_1834_554263.txt-165-90	1,2,3,4	-
32_face_nn	fic_1971_10542.txt-4872-15,news_1994_614387.txt-73-21	1,2,3,4	-
33_face_nn	fic_1844_7189.txt-3758-38,mag_1834_554263.txt-165-90	1,2,3,4	-
34_face_nn	nf_1855_747674.txt-193-12,mag_1834_554263.txt-165-90	1,2,3,4	-
35_face_nn	fic_1989_10785.txt-3128-25,mag_1834_554263.txt-165-90	1,2,3,4	-
36_face_nn	fic_1849_7347.txt-456-5,mag_1834_554263.txt-165-90	1,2,3,4	-
37_face_nn	fic_1964_23811.txt-195-10,news_2004_617201.txt-34-2	1,2,3,4	-
38_face_nn	fic_1849_583.txt-3415-18,mag_1834_554263.txt-165-90	1,2,3,4	-
39_face_nn	nf_1844_762654.txt-1773-21,fic_1971_782006.txt-553-8	1,2,3,4	-
40_face_nn	fic_1982_23963.txt-309-9,fic_1843_7051.txt-1043-9	1,2,3,4	-
41_face_nn	fic_1982_16205.txt-3401-19,mag_1989_486760.txt-91-2	1,2,3,4	-
42_face_nn	fic_2006_31561.txt-171-4,mag_1834_554263.txt-165-90	1,2,3,4	-
43_face_nn	fic_2006_51206.txt-319-15,news_2004_617201.txt-34-2	1,2,3,4	-
44_face_nn	fic_2004_49460.txt-318-25,fic_1827_7169.txt-1862-5	1,2,3,4	-
45_face_nn	fic_1860_2807.txt-4950-32,mag_1834_554263.txt-165-90	1,2,3,4	-
46_face_nn	fic_1835_7309.txt-3591-14,news_2004_617201.txt-34-2	1,2,3,4	-
47_face_nn	nf_1978_773485.txt-1240-9,news_2004_617201.txt-34-2	1,2,3,4	-
48_face_nn	fic_1826_314.txt-5736-44,news_2004_617201.txt-34-2	1,2,3,4	-
49_face_nn	fic_1832_7176.txt-284-15,fic_1971_782006.txt-553-8	1,2,3,4	-
50_face_nn	fic_1993_1040060.txt-429-35,fic_1836_7053.txt-2406-25	1,2,3,4	-
51_face_nn	fic_1835_7073.txt-390-51,fic_1836_7053.txt-2406-25	1,2,3,4	-
52_face_nn	fic_1964_10448.txt-2729-11,news_2004_617201.txt-34-2	1,2,3,4	-
53_face_nn	fic_1965_16750.txt-4488-10,mag_1834_554263.txt-165-90	1,2,3,4	-
54_face_nn	fic_1839_7068.txt-947-14,news_2004_617201.txt-34-2	1,2,3,4	-
55_face_nn	nf_1826_747833.txt-2074-16,news_1994_614387.txt-73-21	1,2,3,4	-
56_face_nn	mag_1857_556470.txt-179-15,mag_1834_554263.txt-165-90	1,2,3,4	-
57_face_nn	fic_1856_3447.txt-7930-3,news_2004_617201.txt-34-2	1,2,3,4	-
58_face_nn	fic_1848_1108.txt-3120-24,news_2004_617201.txt-34-2	1,2,3,4	-
59_face_nn	fic_1854_9826.txt-2819-25,mag_1834_554263.txt-165-90	1,2,3,4	-
60_face_nn	fic_1968_24508.txt-2058-12,mag_1834_554263.txt-165-90	1,2,3,4	-
61_face_nn	fic_1994_16037.txt-2694-9,fic_1854_9826.txt-2758-13	1,2,3,4	-
62_face_nn	fic_2005_30110.txt-20-6,news_1994_614387.txt-73-21	1,2,3,4	-
