instanceID	label	comment	annotator
0_face_nn	2.0	 	annotator2
1_face_nn	4.0	 	annotator2
2_face_nn	4.0	 	annotator2
3_face_nn	4.0	 	annotator2
4_face_nn	4.0	 	annotator2
5_face_nn	3.0	 	annotator2
6_face_nn	3.0	 	annotator2
7_face_nn	3.0	 	annotator6
8_face_nn	3.0	 	annotator6
9_face_nn	2.0	 	annotator6
10_face_nn	2.0	 	annotator6
11_face_nn	4.0	 	annotator6
12_face_nn	2.0	 	annotator6
13_face_nn	2.0	 	annotator6
14_face_nn	2.0	 	annotator6
15_face_nn	4.0	 	annotator6
16_face_nn	3.0	 	annotator6
17_face_nn	2.0	 	annotator6
18_face_nn	2.0	 	annotator6
19_face_nn	2.0	 	annotator6
20_face_nn	2.0	 	annotator6
21_face_nn	2.0	 	annotator6
22_face_nn	2.0	 	annotator6
23_face_nn	3.0	 	annotator6
24_face_nn	4.0	 	annotator6
25_face_nn	2.0	 	annotator5
13_face_nn	2.0	 	annotator5
26_face_nn	2.0	 	annotator5
27_face_nn	4.0	 	annotator5
28_face_nn	2.0	 	annotator5
29_face_nn	4.0	 	annotator5
30_face_nn	4.0	 	annotator5
31_face_nn	2.0	 	annotator5
32_face_nn	4.0	 	annotator5
33_face_nn	2.0	 	annotator5
19_face_nn	2.0	 	annotator5
34_face_nn	3.0	 	annotator5
33_face_nn	2.0	 	annotator0
35_face_nn	2.0	 	annotator0
11_face_nn	4.0	 	annotator0
36_face_nn	2.0	 	annotator0
37_face_nn	2.0	 	annotator0
38_face_nn	2.0	 	annotator0
19_face_nn	2.0	 	annotator0
28_face_nn	2.0	 	annotator0
39_face_nn	3.0	 	annotator0
40_face_nn	4.0	 	annotator0
41_face_nn	2.0	 	annotator0
15_face_nn	4.0	 	annotator0
42_face_nn	2.0	 	annotator0
43_face_nn	1.0	 	annotator2
44_face_nn	4.0	 	annotator2
45_face_nn	2.0	come back	annotator2
46_face_nn	2.0	 	annotator2
47_face_nn	2.0	 	annotator2
48_face_nn	2.0	 	annotator2
49_face_nn	4.0	 	annotator2
50_face_nn	4.0	 	annotator2
51_face_nn	4.0	 	annotator2
52_face_nn	2.0	 	annotator2
53_face_nn	3.0	 	annotator2
54_face_nn	2.0	 	annotator2
55_face_nn	4.0	 	annotator2
56_face_nn	3.0	 	annotator2
57_face_nn	3.0	 	annotator2
9_face_nn	3.0	 	annotator2
58_face_nn	2.0	 	annotator2
59_face_nn	3.0	 	annotator2
60_face_nn	3.0	 	annotator2
61_face_nn	4.0	 	annotator2
62_face_nn	4.0	 	annotator2
33_face_nn	3.0	 	annotator2
63_face_nn	4.0	 	annotator2
64_face_nn	2.0	 	annotator2
65_face_nn	3.0	 	annotator2
66_face_nn	3.0	 	annotator2
67_face_nn	2.0	 	annotator2
68_face_nn	4.0	 	annotator2
69_face_nn	4.0	 	annotator2
70_face_nn	3.0	 	annotator2
71_face_nn	4.0	 	annotator2
72_face_nn	4.0	 	annotator2
