instanceID	dataIDs	label_set	non_label
0_fiction_nn	fic_1997_42375.txt-311-4,fic_2002_14169.txt-1013-17	1,2,3,4	-
1_fiction_nn	mag_1849_565817.txt-102-103,nf_1856_747626.txt-1938-13	1,2,3,4	-
2_fiction_nn	mag_1846_565585.txt-331-7,mag_1969_491260.txt-41-0	1,2,3,4	-
3_fiction_nn	mag_1992_397164.txt-52-7,mag_1860_527324.txt-185-36	1,2,3,4	-
4_fiction_nn	fic_1993_1040078.txt-1465-7,fic_1832_7054.txt-71-66	1,2,3,4	-
5_fiction_nn	mag_1829_553971.txt-99-6,mag_1834_564699.txt-298-31	1,2,3,4	-
6_fiction_nn	news_2004_661021.txt-44-32,fic_2002_32251.txt-19-22	1,2,3,4	-
7_fiction_nn	news_2004_661021.txt-44-32,mag_1966_211140.txt-29-1	1,2,3,4	-
8_fiction_nn	mag_1986_332364.txt-5-14,fic_1989_14343.txt-309-40	1,2,3,4	-
9_fiction_nn	nf_1829_751465.txt-160-5,nf_2006_746343.txt-61-3	1,2,3,4	-
10_fiction_nn	mag_1858_526797.txt-353-20,nf_2004_746778.txt-6-32	1,2,3,4	-
11_fiction_nn	mag_1986_332364.txt-5-14,mag_1834_564699.txt-298-31	1,2,3,4	-
12_fiction_nn	mag_1965_488192.txt-74-58,fic_1997_42375.txt-311-4	1,2,3,4	-
13_fiction_nn	nf_2006_746343.txt-61-3,mag_1832_554166.txt-312-19	1,2,3,4	-
14_fiction_nn	fic_1838_7085.txt-189-13,news_1993_624887.txt-87-7	1,2,3,4	-
15_fiction_nn	mag_1986_332364.txt-5-14,fic_1834_7252.txt-1669-51	1,2,3,4	-
16_fiction_nn	fic_1848_1108.txt-1047-18,news_2005_623950.txt-103-0	1,2,3,4	-
17_fiction_nn	mag_1965_431708.txt-290-8,mag_1997_389122.txt-36-13	1,2,3,4	-
18_fiction_nn	nf_1848_765263.txt-282-27,mag_1817_552906.txt-390-3	1,2,3,4	-
19_fiction_nn	nf_1829_751465.txt-160-5,nf_1844_772139.txt-976-33	1,2,3,4	-
20_fiction_nn	mag_1965_488192.txt-74-58,mag_1849_565817.txt-102-103	1,2,3,4	-
21_fiction_nn	news_1994_606727.txt-25-21,mag_1846_555387.txt-30-38	1,2,3,4	-
22_fiction_nn	fic_1845_7183.txt-3539-6,nf_1847_749455.txt-768-53	1,2,3,4	-
23_fiction_nn	mag_1969_491260.txt-41-0,nf_2006_746343.txt-61-3	1,2,3,4	-
24_fiction_nn	nf_1984_774043.txt-554-4,mag_1834_564699.txt-298-31	1,2,3,4	-
25_fiction_nn	fic_1859_9216.txt-3632-38,news_1981_668217.txt-122-5	1,2,3,4	-
26_fiction_nn	fic_1853_3465.txt-2982-10,fic_1994_54031.txt-0-3	1,2,3,4	-
27_fiction_nn	nf_1997_773614.txt-641-8,nf_1984_774043.txt-536-24	1,2,3,4	-
28_fiction_nn	fic_1999_32015.txt-102-9,fic_2002_32251.txt-33-14	1,2,3,4	-
29_fiction_nn	mag_1840_586584.txt-233-20,nf_1844_747533.txt-1852-19	1,2,3,4	-
30_fiction_nn	mag_1967_488132.txt-48-22,mag_1851_555692.txt-245-8	1,2,3,4	-
31_fiction_nn	mag_1860_527324.txt-185-36,mag_1986_332364.txt-5-14	1,2,3,4	-
32_fiction_nn	mag_1977_318917.txt-9-11,mag_1965_488192.txt-74-58	1,2,3,4	-
33_fiction_nn	mag_1844_565300.txt-778-39,fic_1989_14343.txt-309-40	1,2,3,4	-
34_fiction_nn	mag_1842_555050.txt-6-12,nf_2004_746778.txt-351-4	1,2,3,4	-
35_fiction_nn	nf_2004_746778.txt-351-4,nf_2004_746778.txt-6-32	1,2,3,4	-
36_fiction_nn	fic_1835_7017.txt-109-23,news_2004_661021.txt-44-32	1,2,3,4	-
37_fiction_nn	mag_1851_555692.txt-62-11,fic_1845_7183.txt-4153-10	1,2,3,4	-
38_fiction_nn	fic_1843_7208.txt-8084-10,nf_1845_771333.txt-565-18	1,2,3,4	-
39_fiction_nn	nf_1859_747415.txt-1739-70,fic_1997_42375.txt-311-4	1,2,3,4	-
40_fiction_nn	nf_1835_747509.txt-350-3,nf_1993_774078.txt-1934-42	1,2,3,4	-
41_fiction_nn	mag_1847_565706.txt-538-20,fic_2002_32251.txt-33-14	1,2,3,4	-
42_fiction_nn	fic_1843_7325.txt-84-1,mag_1834_564699.txt-298-31	1,2,3,4	-
43_fiction_nn	fic_1987_10764.txt-10764-46,nf_1845_771333.txt-565-18	1,2,3,4	-
44_fiction_nn	fic_2007_34420.txt-75-11,mag_1834_564699.txt-298-31	1,2,3,4	-
45_fiction_nn	nf_1844_772139.txt-976-33,fic_1845_7183.txt-4153-10	1,2,3,4	-
46_fiction_nn	fic_1845_7183.txt-31-6,nf_1993_774078.txt-1934-42	1,2,3,4	-
47_fiction_nn	fic_1846_557.txt-3995-25,fic_1843_7074.txt-24-28	1,2,3,4	-
48_fiction_nn	fic_1836_7330.txt-373-14,mag_1834_564699.txt-298-31	1,2,3,4	-
49_fiction_nn	mag_1965_478439.txt-187-34,nf_1840_771215.txt-830-5	1,2,3,4	-
50_fiction_nn	nf_2004_746779.txt-196-22,mag_1835_554358.txt-93-7	1,2,3,4	-
51_fiction_nn	fic_2002_14169.txt-1013-17,nf_1993_774078.txt-1934-42	1,2,3,4	-
52_fiction_nn	news_2007_643075.txt-41-12,fic_1845_7183.txt-4153-10	1,2,3,4	-
53_fiction_nn	mag_1851_555707.txt-47-4,fic_1989_14343.txt-309-40	1,2,3,4	-
54_fiction_nn	news_1980_734517.txt-23-0,news_2004_661021.txt-44-32	1,2,3,4	-
55_fiction_nn	fic_1849_7167.txt-2374-8,news_2004_661021.txt-44-32	1,2,3,4	-
56_fiction_nn	fic_1855_9098.txt-7980-18,mag_1965_488192.txt-74-58	1,2,3,4	-
57_fiction_nn	mag_1969_491260.txt-41-0,mag_1834_564699.txt-298-31	1,2,3,4	-
58_fiction_nn	mag_1971_479179.txt-122-14,fic_1994_54031.txt-0-3	1,2,3,4	-
59_fiction_nn	news_1995_641116.txt-75-25,nf_2004_746778.txt-6-32	1,2,3,4	-
60_fiction_nn	fic_2007_51915.txt-3-2,mag_1829_553971.txt-99-6	1,2,3,4	-
61_fiction_nn	nf_1844_762654.txt-630-7,nf_1993_774078.txt-1934-42	1,2,3,4	-
62_fiction_nn	fic_1857_2618.txt-2108-56,nf_1840_771215.txt-830-5	1,2,3,4	-
63_fiction_nn	mag_1979_480051.txt-121-7,mag_1986_332364.txt-5-14	1,2,3,4	-
64_fiction_nn	nf_1984_774043.txt-536-24,nf_1997_773614.txt-641-8	1,2,3,4	-
65_fiction_nn	nf_1844_747533.txt-1784-7,news_2004_661021.txt-44-32	1,2,3,4	-
66_fiction_nn	fic_2002_32251.txt-19-22,news_2004_661021.txt-44-32	1,2,3,4	-
67_fiction_nn	fic_2000_38332.txt-4-5,mag_1829_553971.txt-99-6	1,2,3,4	-
68_fiction_nn	mag_1965_431708.txt-290-8,mag_1965_488192.txt-74-58	1,2,3,4	-
69_fiction_nn	mag_1851_589926.txt-69-5,mag_1851_555692.txt-245-8	1,2,3,4	-
70_fiction_nn	mag_1996_429149.txt-75-10,nf_1845_771333.txt-565-18	1,2,3,4	-
71_fiction_nn	mag_2004_385610.txt-94-8,fic_1989_14343.txt-309-40	1,2,3,4	-
72_fiction_nn	nf_2004_746777.txt-183-9,mag_1965_488192.txt-74-58	1,2,3,4	-
73_fiction_nn	nf_1841_747994.txt-2145-20,nf_2004_746778.txt-6-32	1,2,3,4	-
74_fiction_nn	mag_1974_281789.txt-0-1,mag_1978_319925.txt-11-20	1,2,3,4	-
75_fiction_nn	fic_1845_7316.txt-119-9,fic_1994_54031.txt-0-3	1,2,3,4	-
76_fiction_nn	mag_1999_407438.txt-17-23,mag_1978_319925.txt-11-20	1,2,3,4	-
77_fiction_nn	mag_1981_294936.txt-0-4,nf_1993_774078.txt-1934-42	1,2,3,4	-
78_fiction_nn	mag_1979_293342.txt-0-1,nf_1845_771333.txt-565-18	1,2,3,4	-
79_fiction_nn	fic_1859_9216.txt-3632-38,fic_1845_7183.txt-4153-10	1,2,3,4	-
80_fiction_nn	mag_1847_565626.txt-327-6,mag_1829_553971.txt-99-6	1,2,3,4	-
81_fiction_nn	mag_1838_554606.txt-204-32,mag_1835_554358.txt-93-7	1,2,3,4	-
82_fiction_nn	fic_1835_7063.txt-1363-17,mag_1835_554358.txt-93-7	1,2,3,4	-
83_fiction_nn	mag_1858_526797.txt-353-20,nf_2008_774916.txt-59-21	1,2,3,4	-
84_fiction_nn	mag_1825_553604.txt-52-22,mag_1965_488192.txt-74-58	1,2,3,4	-
85_fiction_nn	mag_1973_494882.txt-38-30,nf_1997_773614.txt-641-8	1,2,3,4	-
86_fiction_nn	nf_1848_765263.txt-282-27,nf_2004_746778.txt-6-32	1,2,3,4	-
87_fiction_nn	fic_1849_7167.txt-2299-20,fic_1845_7183.txt-4153-10	1,2,3,4	-
88_fiction_nn	fic_1847_1094.txt-4909-5,fic_1997_42375.txt-311-4	1,2,3,4	-
89_fiction_nn	mag_1972_283187.txt-5-41,mag_1986_332364.txt-5-14	1,2,3,4	-
90_fiction_nn	mag_1825_553652.txt-42-2,nf_1845_771333.txt-565-18	1,2,3,4	-
91_fiction_nn	fic_1994_41327.txt-85-36,nf_1993_774078.txt-1934-42	1,2,3,4	-
92_fiction_nn	fic_1995_52906.txt-780-16,mag_1829_553971.txt-99-6	1,2,3,4	-
93_fiction_nn	fic_2009_36789.txt-198-24,fic_1843_7074.txt-24-28	1,2,3,4	-
94_fiction_nn	news_1985_669432.txt-7-0,mag_1851_555692.txt-245-8	1,2,3,4	-
95_fiction_nn	fic_1845_622.txt-6603-15,mag_1851_555692.txt-245-8	1,2,3,4	-
96_fiction_nn	mag_1980_296430.txt-7-1,fic_2002_32251.txt-33-14	1,2,3,4	-
97_fiction_nn	mag_1832_554166.txt-312-19,fic_1845_7183.txt-4153-10	1,2,3,4	-
98_fiction_nn	fic_1979_14138.txt-1326-7,mag_1835_554358.txt-93-7	1,2,3,4	-
99_fiction_nn	fic_1840_7332.txt-371-22,nf_1845_771333.txt-565-18	1,2,3,4	-
100_fiction_nn	fic_1848_1108.txt-1047-18,mag_1986_332364.txt-5-14	1,2,3,4	-
101_fiction_nn	fic_1992_53575.txt-361-31,nf_1993_774078.txt-1934-42	1,2,3,4	-
102_fiction_nn	fic_1835_7268.txt-440-3,nf_1993_774078.txt-1934-42	1,2,3,4	-
103_fiction_nn	mag_1966_211140.txt-29-1,news_2004_661021.txt-44-32	1,2,3,4	-
104_fiction_nn	fic_1848_7193.txt-13420-23,nf_1993_774078.txt-1934-42	1,2,3,4	-
105_fiction_nn	fic_1975_10601.txt-5456-33,nf_1840_771215.txt-830-5	1,2,3,4	-
106_fiction_nn	mag_1838_554606.txt-204-32,mag_1994_352480.txt-13-13	1,2,3,4	-
107_fiction_nn	news_1993_624887.txt-87-7,fic_1838_7085.txt-189-13	1,2,3,4	-
108_fiction_nn	mag_1848_524944.txt-191-5,mag_1851_555692.txt-245-8	1,2,3,4	-
109_fiction_nn	nf_1853_771274.txt-1450-52,mag_1835_554358.txt-93-7	1,2,3,4	-
110_fiction_nn	news_2001_660076.txt-12-10,mag_1965_488192.txt-74-58	1,2,3,4	-
111_fiction_nn	nf_1856_747626.txt-1938-13,mag_1829_553971.txt-99-6	1,2,3,4	-
112_fiction_nn	nf_1997_773614.txt-641-8,mag_1829_553971.txt-99-6	1,2,3,4	-
113_fiction_nn	fic_2008_36152.txt-213-12,news_2004_661021.txt-44-32	1,2,3,4	-
114_fiction_nn	fic_1854_3384.txt-2026-7,fic_1845_7183.txt-4153-10	1,2,3,4	-
115_fiction_nn	fic_1838_7085.txt-202-12,mag_1849_565817.txt-102-103	1,2,3,4	-
116_fiction_nn	news_1997_653759.txt-29-2,nf_1845_771333.txt-565-18	1,2,3,4	-
117_fiction_nn	nf_2006_746343.txt-61-3,fic_1994_54031.txt-0-3	1,2,3,4	-
118_fiction_nn	nf_2004_746777.txt-257-14,nf_2004_746778.txt-6-32	1,2,3,4	-
119_fiction_nn	nf_2004_746777.txt-96-16,fic_1845_7183.txt-4153-10	1,2,3,4	-
120_fiction_nn	nf_1982_773611.txt-717-17,nf_1997_773614.txt-641-8	1,2,3,4	-
121_fiction_nn	news_1966_725947.txt-21-3,fic_1997_42375.txt-311-4	1,2,3,4	-
122_fiction_nn	mag_1843_555129.txt-2-11,mag_1965_488192.txt-74-58	1,2,3,4	-
123_fiction_nn	fic_2002_14169.txt-1008-0,nf_1845_771333.txt-565-18	1,2,3,4	-
124_fiction_nn	fic_1835_1103.txt-83-31,fic_1845_7183.txt-4153-10	1,2,3,4	-
125_fiction_nn	mag_1845_522673.txt-407-14,nf_1993_774078.txt-1934-42	1,2,3,4	-
126_fiction_nn	fic_1993_1040078.txt-1465-7,mag_1849_565817.txt-102-103	1,2,3,4	-
127_fiction_nn	mag_1846_555369.txt-15-53,nf_1845_771333.txt-565-18	1,2,3,4	-
128_fiction_nn	fic_1847_7123.txt-192-21,mag_1834_564699.txt-298-31	1,2,3,4	-
129_fiction_nn	fic_1998_27329.txt-64-3,mag_1829_553971.txt-99-6	1,2,3,4	-
130_fiction_nn	mag_1986_492545.txt-40-4,mag_1851_555692.txt-245-8	1,2,3,4	-
131_fiction_nn	mag_1846_565585.txt-331-7,mag_1835_554358.txt-93-7	1,2,3,4	-
132_fiction_nn	nf_2008_774916.txt-59-21,mag_1965_488192.txt-74-58	1,2,3,4	-
133_fiction_nn	fic_1827_9763.txt-1262-15,nf_1993_774078.txt-1934-42	1,2,3,4	-
134_fiction_nn	fic_2000_52609.txt-23-19,news_2004_661021.txt-44-32	1,2,3,4	-
135_fiction_nn	fic_1977_10627.txt-3085-12,fic_2002_32251.txt-33-14	1,2,3,4	-
136_fiction_nn	nf_1835_747509.txt-694-1,news_2004_661021.txt-44-32	1,2,3,4	-
137_fiction_nn	mag_1840_586557.txt-175-3,fic_1845_7183.txt-4153-10	1,2,3,4	-
138_fiction_nn	nf_1859_747504.txt-3159-13,mag_1849_565817.txt-102-103	1,2,3,4	-
139_fiction_nn	fic_1964_14198.txt-2164-10,mag_1849_565817.txt-102-103	1,2,3,4	-
140_fiction_nn	fic_1987_10764.txt-6186-22,mag_1834_564699.txt-298-31	1,2,3,4	-
141_fiction_nn	nf_1859_747504.txt-3129-17,fic_1845_7183.txt-4153-10	1,2,3,4	-
142_fiction_nn	news_1993_624887.txt-87-7,fic_1845_7183.txt-4153-10	1,2,3,4	-
143_fiction_nn	mag_1817_552906.txt-390-3,fic_1997_42375.txt-311-4	1,2,3,4	-
144_fiction_nn	mag_1851_566042.txt-96-20,news_2004_661021.txt-44-32	1,2,3,4	-
145_fiction_nn	mag_1836_554415.txt-27-30,nf_1997_773614.txt-641-8	1,2,3,4	-
146_fiction_nn	mag_1835_554354.txt-97-25,nf_1997_773614.txt-641-8	1,2,3,4	-
147_fiction_nn	mag_1994_352480.txt-13-13,nf_1845_771333.txt-565-18	1,2,3,4	-
148_fiction_nn	nf_2004_746777.txt-45-11,nf_1993_774078.txt-1934-42	1,2,3,4	-
149_fiction_nn	news_2004_661021.txt-44-32,mag_1849_565817.txt-102-103	1,2,3,4	-
150_fiction_nn	mag_1825_553590.txt-19-37,fic_1989_14343.txt-309-40	1,2,3,4	-
151_fiction_nn	nf_1847_749455.txt-768-53,mag_1978_319925.txt-11-20	1,2,3,4	-
152_fiction_nn	nf_1997_773614.txt-651-8,mag_1834_564699.txt-298-31	1,2,3,4	-
153_fiction_nn	fic_1843_7161.txt-651-3,nf_2004_746778.txt-6-32	1,2,3,4	-
154_fiction_nn	fic_1997_54734.txt-30-10,fic_1994_54031.txt-0-3	1,2,3,4	-
155_fiction_nn	news_1998_657513.txt-35-33,nf_1993_774078.txt-1934-42	1,2,3,4	-
156_fiction_nn	news_1997_653759.txt-11-32,fic_1997_42375.txt-311-4	1,2,3,4	-
157_fiction_nn	nf_1824_747685.txt-928-48,nf_2004_746778.txt-6-32	1,2,3,4	-
158_fiction_nn	mag_1997_389122.txt-36-13,fic_1994_54031.txt-0-3	1,2,3,4	-
159_fiction_nn	nf_1844_747533.txt-1852-19,mag_1986_332364.txt-5-14	1,2,3,4	-
160_fiction_nn	fic_1849_7230.txt-210-13,nf_1997_773614.txt-641-8	1,2,3,4	-
161_fiction_nn	fic_1834_7252.txt-1669-51,mag_1986_332364.txt-5-14	1,2,3,4	-
162_fiction_nn	mag_1825_553604.txt-31-5,mag_1835_554358.txt-93-7	1,2,3,4	-
163_fiction_nn	fic_2002_32251.txt-77-19,mag_1849_565817.txt-102-103	1,2,3,4	-
164_fiction_nn	fic_2002_32251.txt-16-7,fic_1997_42375.txt-311-4	1,2,3,4	-
165_fiction_nn	news_1994_606727.txt-25-21,fic_2002_32251.txt-33-14	1,2,3,4	-
166_fiction_nn	nf_1829_751465.txt-160-5,nf_1993_774078.txt-1934-42	1,2,3,4	-
167_fiction_nn	news_1981_668217.txt-122-5,mag_1965_488192.txt-74-58	1,2,3,4	-
168_fiction_nn	fic_1998_55034.txt-996-11,nf_1993_774078.txt-1934-42	1,2,3,4	-
