instanceID	dataIDs	label_set	non_label
0_gas_nn	mag_1997_387750.txt-27-14,nf_1845_747909.txt-697-30	1,2,3,4	-
1_gas_nn	mag_1996_427215.txt-156-1,nf_1973_773651.txt-803-20	1,2,3,4	-
2_gas_nn	fic_2002_29934.txt-464-10,mag_1996_427215.txt-156-1	1,2,3,4	-
3_gas_nn	nf_1843_752682.txt-213-40,fic_1855_604.txt-4397-20	1,2,3,4	-
4_gas_nn	fic_2006_51373.txt-751-10,nf_1997_773513.txt-409-18	1,2,3,4	-
5_gas_nn	nf_1845_747909.txt-872-27,nf_1845_747928.txt-906-7	1,2,3,4	-
6_gas_nn	nf_1973_773651.txt-803-20,news_1980_734527.txt-36-24	1,2,3,4	-
7_gas_nn	mag_1996_427215.txt-156-1,mag_1980_480186.txt-111-27	1,2,3,4	-
8_gas_nn	fic_1992_40319.txt-74-22,fic_1994_41378.txt-603-11	1,2,3,4	-
9_gas_nn	nf_1844_755204.txt-629-14,mag_1846_555416.txt-42-18	1,2,3,4	-
10_gas_nn	nf_1848_747893.txt-3135-42,news_1998_615340.txt-63-35	1,2,3,4	-
11_gas_nn	nf_1843_752682.txt-207-28,fic_2004_49256.txt-152-8	1,2,3,4	-
12_gas_nn	fic_1992_40319.txt-74-22,nf_1853_748464.txt-606-21	1,2,3,4	-
13_gas_nn	mag_1969_431778.txt-69-25,nf_1845_747909.txt-1197-14	1,2,3,4	-
14_gas_nn	nf_1843_752682.txt-209-1,mag_2006_397910.txt-95-18	1,2,3,4	-
15_gas_nn	mag_1996_427215.txt-156-1,fic_1994_41378.txt-603-11	1,2,3,4	-
16_gas_nn	mag_1992_395995.txt-193-16,fic_2006_51373.txt-751-10	1,2,3,4	-
17_gas_nn	nf_1855_754781.txt-497-17,news_2005_608686.txt-4-27	1,2,3,4	-
18_gas_nn	fic_1969_13728.txt-103-20,nf_1848_747893.txt-3400-18	1,2,3,4	-
19_gas_nn	news_1962_722833.txt-43-7,fic_2000_38623.txt-171-16	1,2,3,4	-
20_gas_nn	mag_2005_378206.txt-13-11,nf_1844_755204.txt-629-14	1,2,3,4	-
21_gas_nn	nf_2007_747179.txt-166-2,mag_1991_343755.txt-1-30	1,2,3,4	-
22_gas_nn	news_2001_627694.txt-1287-11,mag_1840_554766.txt-186-1	1,2,3,4	-
23_gas_nn	nf_1853_747976.txt-2095-28,nf_1844_755204.txt-1034-27	1,2,3,4	-
24_gas_nn	mag_1972_283193.txt-2-3,mag_1840_554766.txt-186-1	1,2,3,4	-
25_gas_nn	fic_1849_5295.txt-1061-48,fic_1836_7053.txt-407-9	1,2,3,4	-
26_gas_nn	nf_1844_755204.txt-629-14,nf_2007_747179.txt-166-2	1,2,3,4	-
27_gas_nn	news_2006_629412.txt-15-31,news_1998_615340.txt-65-10	1,2,3,4	-
28_gas_nn	nf_1844_755204.txt-629-14,news_2005_608686.txt-4-27	1,2,3,4	-
29_gas_nn	news_1998_615340.txt-65-10,fic_2002_29934.txt-464-10	1,2,3,4	-
30_gas_nn	fic_1962_10420.txt-974-17,nf_1835_748008.txt-2676-25	1,2,3,4	-
31_gas_nn	news_2006_629412.txt-15-31,mag_1996_427215.txt-156-1	1,2,3,4	-
32_gas_nn	nf_1848_747893.txt-3400-18,nf_1983_773835.txt-232-20	1,2,3,4	-
33_gas_nn	fic_1994_41378.txt-603-11,news_2006_629412.txt-15-31	1,2,3,4	-
34_gas_nn	fic_1839_7023.txt-797-19,mag_1846_555416.txt-23-26	1,2,3,4	-
35_gas_nn	nf_1843_752682.txt-213-40,news_2006_629412.txt-15-31	1,2,3,4	-
36_gas_nn	nf_1853_748464.txt-799-9,nf_2007_747179.txt-166-2	1,2,3,4	-
37_gas_nn	mag_1834_554283.txt-211-22,fic_1992_40319.txt-74-22	1,2,3,4	-
38_gas_nn	fic_1986_16370.txt-2599-12,mag_1834_554283.txt-221-9	1,2,3,4	-
39_gas_nn	nf_1963_774282.txt-151-16,fic_1858_1282.txt-2667-13	1,2,3,4	-
40_gas_nn	fic_1993_25005.txt-3697-26,fic_1839_7023.txt-797-19	1,2,3,4	-
41_gas_nn	news_2006_629433.txt-12-9,mag_1835_554331.txt-58-8	1,2,3,4	-
42_gas_nn	fic_1980_13973.txt-1643-11,news_2005_608686.txt-4-27	1,2,3,4	-
43_gas_nn	mag_2006_384782.txt-3-32,nf_1843_752682.txt-216-4	1,2,3,4	-
44_gas_nn	nf_1837_747882.txt-2878-5,mag_1835_554331.txt-58-8	1,2,3,4	-
45_gas_nn	mag_1981_326496.txt-9-11,nf_1845_747928.txt-906-7	1,2,3,4	-
46_gas_nn	nf_1978_773837.txt-207-30,nf_1848_747893.txt-3400-18	1,2,3,4	-
47_gas_nn	fic_1835_5605.txt-2233-79,nf_1843_752682.txt-216-4	1,2,3,4	-
48_gas_nn	fic_1998_43313.txt-682-1,nf_1843_752682.txt-213-40	1,2,3,4	-
49_gas_nn	mag_1835_554331.txt-58-8,nf_2007_747179.txt-166-2	1,2,3,4	-
50_gas_nn	fic_1855_9098.txt-8405-18,nf_1843_752682.txt-216-4	1,2,3,4	-
51_gas_nn	nf_1845_747909.txt-799-12,nf_1853_748464.txt-606-21	1,2,3,4	-
52_gas_nn	fic_1835_7133.txt-1131-15,mag_1840_554766.txt-186-1	1,2,3,4	-
53_gas_nn	mag_1980_480186.txt-111-27,nf_1843_752682.txt-209-1	1,2,3,4	-
54_gas_nn	mag_2007_389382.txt-194-12,nf_1853_747976.txt-2095-28	1,2,3,4	-
55_gas_nn	fic_1853_9200.txt-2512-29,nf_1853_748464.txt-606-21	1,2,3,4	-
56_gas_nn	mag_1845_555355.txt-413-17,nf_2007_747179.txt-166-2	1,2,3,4	-
57_gas_nn	fic_1966_10480.txt-1771-65,fic_2004_49256.txt-152-8	1,2,3,4	-
58_gas_nn	nf_1845_747909.txt-838-60,fic_1839_7023.txt-797-19	1,2,3,4	-
59_gas_nn	fic_1966_23829.txt-159-13,fic_1836_7053.txt-407-9	1,2,3,4	-
60_gas_nn	fic_1847_2352.txt-4036-7,nf_1848_747893.txt-3135-42	1,2,3,4	-
61_gas_nn	mag_2006_398616.txt-247-5,fic_1992_40319.txt-74-22	1,2,3,4	-
62_gas_nn	fic_1855_9098.txt-9808-46,mag_1982_298340.txt-3-16	1,2,3,4	-
63_gas_nn	fic_2000_38623.txt-171-16,fic_2004_49256.txt-152-8	1,2,3,4	-
64_gas_nn	mag_1977_491691.txt-60-10,fic_2004_49256.txt-152-8	1,2,3,4	-
65_gas_nn	nf_1855_748018.txt-1333-33,fic_2004_49256.txt-152-8	1,2,3,4	-
66_gas_nn	nf_1837_747882.txt-3261-37,nf_1848_747893.txt-3400-18	1,2,3,4	-
67_gas_nn	mag_1961_431634.txt-278-10,fic_1836_7053.txt-407-9	1,2,3,4	-
68_gas_nn	mag_1977_288155.txt-20-26,nf_1843_752682.txt-209-1	1,2,3,4	-
69_gas_nn	mag_1845_555355.txt-413-6,nf_1843_752682.txt-216-4	1,2,3,4	-
70_gas_nn	nf_1845_747909.txt-2408-26,mag_1835_554331.txt-58-8	1,2,3,4	-
71_gas_nn	mag_1995_354007.txt-22-35,mag_1992_395995.txt-193-16	1,2,3,4	-
72_gas_nn	nf_1848_754438.txt-692-24,mag_1835_554331.txt-58-8	1,2,3,4	-
73_gas_nn	mag_1821_553346.txt-44-13,fic_1992_40319.txt-74-22	1,2,3,4	-
74_gas_nn	fic_1858_1282.txt-2667-13,nf_1848_747893.txt-3400-18	1,2,3,4	-
75_gas_nn	fic_1856_3447.txt-5283-14,fic_2004_49256.txt-152-8	1,2,3,4	-
76_gas_nn	nf_1843_752682.txt-119-17,nf_1853_747976.txt-2095-28	1,2,3,4	-
77_gas_nn	nf_1839_747464.txt-571-31,mag_1992_395995.txt-193-16	1,2,3,4	-
78_gas_nn	fic_1855_604.txt-4397-20,mag_1982_298340.txt-3-16	1,2,3,4	-
79_gas_nn	fic_1843_7074.txt-1104-9,fic_1839_7023.txt-797-19	1,2,3,4	-
80_gas_nn	mag_1829_553961.txt-124-41,nf_1848_747893.txt-3135-42	1,2,3,4	-
81_gas_nn	nf_1845_747909.txt-2482-24,fic_1992_40319.txt-74-22	1,2,3,4	-
82_gas_nn	fic_1854_9230.txt-2108-6,nf_1848_747893.txt-3135-42	1,2,3,4	-
83_gas_nn	nf_1845_747909.txt-2628-17,mag_1846_555416.txt-42-18	1,2,3,4	-
84_gas_nn	fic_1962_10420.txt-974-17,nf_1843_752682.txt-209-1	1,2,3,4	-
85_gas_nn	news_2005_623891.txt-51-5,nf_1848_747893.txt-3135-42	1,2,3,4	-
86_gas_nn	fic_1845_7262.txt-2198-1,nf_1843_752682.txt-232-7	1,2,3,4	-
87_gas_nn	fic_1972_780011.txt-2324-16,fic_1836_7053.txt-407-9	1,2,3,4	-
88_gas_nn	fic_1855_604.txt-2961-5,nf_1843_752682.txt-209-1	1,2,3,4	-
89_gas_nn	fic_1847_8807.txt-2204-9,mag_1854_555930.txt-121-17	1,2,3,4	-
90_gas_nn	nf_1855_771880.txt-1665-9,nf_1843_752682.txt-216-4	1,2,3,4	-
91_gas_nn	nf_1963_774282.txt-151-16,nf_1848_747893.txt-3400-18	1,2,3,4	-
92_gas_nn	mag_2007_389178.txt-42-11,nf_1848_747893.txt-3135-42	1,2,3,4	-
93_gas_nn	fic_1996_54425.txt-202-14,mag_1835_554331.txt-58-8	1,2,3,4	-
94_gas_nn	nf_1837_747882.txt-2814-36,mag_1846_555416.txt-42-18	1,2,3,4	-
95_gas_nn	fic_1859_9192.txt-9031-13,fic_2004_49256.txt-152-8	1,2,3,4	-
96_gas_nn	nf_1853_748464.txt-892-34,mag_1835_554331.txt-58-8	1,2,3,4	-
97_gas_nn	nf_2005_746527.txt-36-13,mag_1846_555416.txt-42-18	1,2,3,4	-
98_gas_nn	nf_1844_755204.txt-629-14,mag_1840_554766.txt-186-1	1,2,3,4	-
99_gas_nn	nf_1855_748018.txt-2310-17,mag_1840_554766.txt-186-1	1,2,3,4	-
100_gas_nn	fic_1998_43313.txt-682-1,mag_1854_555930.txt-121-17	1,2,3,4	-
101_gas_nn	fic_1986_16370.txt-2599-12,mag_1835_554331.txt-58-8	1,2,3,4	-
102_gas_nn	nf_1983_773835.txt-232-20,fic_1992_40319.txt-74-22	1,2,3,4	-
103_gas_nn	mag_2000_403680.txt-7-28,nf_1843_752682.txt-209-1	1,2,3,4	-
104_gas_nn	mag_1845_555355.txt-410-12,nf_1843_752682.txt-216-4	1,2,3,4	-
105_gas_nn	mag_1973_479497.txt-229-3,nf_1853_747976.txt-2095-28	1,2,3,4	-
106_gas_nn	mag_1853_504638.txt-95-19,nf_1853_747976.txt-2095-28	1,2,3,4	-
107_gas_nn	mag_1963_478107.txt-2-23,news_2005_608686.txt-4-27	1,2,3,4	-
108_gas_nn	mag_1961_431634.txt-64-19,nf_1848_747893.txt-3400-18	1,2,3,4	-
109_gas_nn	nf_1843_752682.txt-186-4,nf_1853_747976.txt-2095-28	1,2,3,4	-
110_gas_nn	nf_1845_747909.txt-872-27,mag_1995_354007.txt-22-35	1,2,3,4	-
111_gas_nn	nf_1973_773651.txt-803-20,fic_2004_49256.txt-152-8	1,2,3,4	-
112_gas_nn	mag_1997_397837.txt-25-4,nf_1853_747976.txt-2095-28	1,2,3,4	-
113_gas_nn	mag_1978_289161.txt-9-26,nf_1843_752682.txt-216-4	1,2,3,4	-
114_gas_nn	nf_1843_752682.txt-213-40,nf_1848_747893.txt-3135-42	1,2,3,4	-
115_gas_nn	mag_1997_387750.txt-27-14,mag_1982_298340.txt-3-16	1,2,3,4	-
116_gas_nn	mag_2001_408078.txt-1033-13,fic_1992_40319.txt-74-22	1,2,3,4	-
117_gas_nn	mag_1846_555416.txt-42-18,nf_1843_752682.txt-209-1	1,2,3,4	-
118_gas_nn	mag_2006_398616.txt-247-5,fic_1859_9192.txt-4627-4	1,2,3,4	-
119_gas_nn	nf_1995_773978.txt-121-23,fic_1992_40319.txt-74-22	1,2,3,4	-
120_gas_nn	mag_2005_378206.txt-13-11,fic_1839_7023.txt-797-19	1,2,3,4	-
121_gas_nn	nf_1845_747909.txt-872-27,nf_1855_771880.txt-1665-9	1,2,3,4	-
122_gas_nn	nf_1845_747909.txt-914-13,fic_1836_7053.txt-407-9	1,2,3,4	-
123_gas_nn	fic_2006_51373.txt-751-10,mag_1992_395995.txt-193-16	1,2,3,4	-
124_gas_nn	mag_1992_394675.txt-198-23,fic_1836_7053.txt-407-9	1,2,3,4	-
125_gas_nn	mag_1981_492116.txt-40-7,mag_1846_555416.txt-42-18	1,2,3,4	-
126_gas_nn	mag_1845_555359.txt-260-45,fic_2004_49256.txt-152-8	1,2,3,4	-
127_gas_nn	mag_2006_397910.txt-95-18,nf_1843_752682.txt-209-1	1,2,3,4	-
128_gas_nn	mag_1846_555416.txt-23-26,fic_1839_7023.txt-797-19	1,2,3,4	-
129_gas_nn	fic_2002_29934.txt-464-10,mag_1835_554331.txt-58-8	1,2,3,4	-
130_gas_nn	nf_1853_747976.txt-2095-28,nf_1843_752682.txt-216-4	1,2,3,4	-
131_gas_nn	mag_1846_555416.txt-74-57,nf_2007_747179.txt-166-2	1,2,3,4	-
132_gas_nn	mag_1818_553165.txt-174-2,nf_1845_747928.txt-906-7	1,2,3,4	-
133_gas_nn	nf_1854_755030.txt-2284-18,nf_1848_747893.txt-3400-18	1,2,3,4	-
134_gas_nn	news_1998_615340.txt-65-10,fic_2004_49256.txt-152-8	1,2,3,4	-
135_gas_nn	mag_1834_554283.txt-221-9,nf_1853_748464.txt-606-21	1,2,3,4	-
136_gas_nn	nf_1845_747909.txt-697-30,nf_1845_747928.txt-906-7	1,2,3,4	-
137_gas_nn	fic_1970_14203.txt-816-20,nf_1853_747976.txt-2095-28	1,2,3,4	-
138_gas_nn	fic_1845_7262.txt-2198-1,fic_1836_7053.txt-407-9	1,2,3,4	-
139_gas_nn	nf_1843_752682.txt-448-43,mag_1982_298340.txt-3-16	1,2,3,4	-
140_gas_nn	news_1983_671303.txt-15-21,mag_1992_395995.txt-193-16	1,2,3,4	-
141_gas_nn	nf_1844_755204.txt-2807-21,nf_1848_747893.txt-3135-42	1,2,3,4	-
142_gas_nn	nf_1845_747909.txt-872-27,news_1998_615340.txt-63-14	1,2,3,4	-
143_gas_nn	nf_1843_752682.txt-497-7,nf_1845_747928.txt-906-7	1,2,3,4	-
144_gas_nn	fic_1849_7192.txt-167-4,nf_1853_748464.txt-606-21	1,2,3,4	-
145_gas_nn	news_1998_615340.txt-63-35,nf_1848_747893.txt-3135-42	1,2,3,4	-
146_gas_nn	nf_1844_755204.txt-629-14,nf_1843_752682.txt-216-4	1,2,3,4	-
147_gas_nn	fic_2000_38623.txt-171-16,news_1962_722833.txt-43-7	1,2,3,4	-
148_gas_nn	nf_2004_747073.txt-7-1,mag_1992_395995.txt-193-16	1,2,3,4	-
149_gas_nn	fic_2004_49256.txt-152-8,mag_1854_555930.txt-121-17	1,2,3,4	-
150_gas_nn	nf_1837_747882.txt-3260-36,fic_1839_7023.txt-797-19	1,2,3,4	-
151_gas_nn	nf_1843_747536.txt-758-2,nf_1843_752682.txt-209-1	1,2,3,4	-
152_gas_nn	fic_1856_3447.txt-2166-27,nf_1848_747893.txt-3400-18	1,2,3,4	-
153_gas_nn	fic_1999_30271.txt-79-2,nf_1853_748464.txt-606-21	1,2,3,4	-
154_gas_nn	mag_1855_566564.txt-304-23,nf_1845_747928.txt-906-7	1,2,3,4	-
155_gas_nn	nf_1843_752682.txt-214-60,mag_1846_555416.txt-42-18	1,2,3,4	-
156_gas_nn	nf_2003_746858.txt-112-17,mag_1992_395995.txt-193-16	1,2,3,4	-
157_gas_nn	fic_1834_7055.txt-248-37,mag_1992_395995.txt-193-16	1,2,3,4	-
158_gas_nn	news_2006_629412.txt-15-31,nf_1845_747928.txt-906-7	1,2,3,4	-
159_gas_nn	nf_2007_747161.txt-59-1,nf_1845_747928.txt-906-7	1,2,3,4	-
160_gas_nn	mag_1979_320122.txt-11-18,fic_2004_49256.txt-152-8	1,2,3,4	-
161_gas_nn	fic_1992_40319.txt-74-22,nf_1843_752682.txt-209-1	1,2,3,4	-
162_gas_nn	nf_1855_748018.txt-397-21,nf_1848_747893.txt-3135-42	1,2,3,4	-
163_gas_nn	nf_1835_748008.txt-2676-25,news_2005_608686.txt-4-27	1,2,3,4	-
164_gas_nn	nf_1853_747976.txt-984-25,mag_1992_395995.txt-193-16	1,2,3,4	-
165_gas_nn	nf_1843_752682.txt-119-17,nf_1855_754781.txt-497-17	1,2,3,4	-
166_gas_nn	news_2004_608620.txt-15-21,nf_2007_747179.txt-166-2	1,2,3,4	-
167_gas_nn	mag_1991_343755.txt-1-30,nf_2007_747179.txt-166-2	1,2,3,4	-
168_gas_nn	nf_1845_747909.txt-234-2,nf_1843_752682.txt-216-4	1,2,3,4	-
169_gas_nn	mag_1992_423162.txt-45-10,mag_1982_298340.txt-3-16	1,2,3,4	-
170_gas_nn	fic_1836_7053.txt-407-9,mag_1846_555416.txt-42-18	1,2,3,4	-
171_gas_nn	nf_1844_755204.txt-1034-27,nf_1853_747976.txt-2095-28	1,2,3,4	-
172_gas_nn	nf_1843_752682.txt-232-7,mag_1846_555416.txt-42-18	1,2,3,4	-
173_gas_nn	fic_1989_782038.txt-4408-9,mag_1846_555416.txt-42-18	1,2,3,4	-
174_gas_nn	nf_1978_773837.txt-723-13,mag_1846_555416.txt-42-18	1,2,3,4	-
175_gas_nn	mag_1963_478096.txt-209-12,mag_1982_298340.txt-3-16	1,2,3,4	-
176_gas_nn	mag_1996_427215.txt-156-1,fic_1839_7023.txt-797-19	1,2,3,4	-
177_gas_nn	mag_1840_554766.txt-184-12,nf_1843_752682.txt-209-1	1,2,3,4	-
178_gas_nn	fic_2007_33638.txt-136-9,nf_2007_747179.txt-166-2	1,2,3,4	-
179_gas_nn	news_1980_734527.txt-36-24,fic_1992_40319.txt-74-22	1,2,3,4	-
180_gas_nn	mag_1985_432247.txt-60-17,nf_1848_747893.txt-3400-18	1,2,3,4	-
181_gas_nn	nf_1848_754438.txt-692-18,nf_1843_752682.txt-209-1	1,2,3,4	-
182_gas_nn	fic_1967_10486.txt-3311-6,nf_1843_752682.txt-209-1	1,2,3,4	-
183_gas_nn	mag_1835_554331.txt-58-8,fic_2004_49256.txt-152-8	1,2,3,4	-
184_gas_nn	fic_2000_38436.txt-63-16,news_2005_608686.txt-4-27	1,2,3,4	-
185_gas_nn	mag_1979_320126.txt-0-8,nf_2007_747179.txt-166-2	1,2,3,4	-
186_gas_nn	nf_1998_746992.txt-721-7,mag_1840_554766.txt-186-1	1,2,3,4	-
187_gas_nn	nf_1845_747909.txt-826-29,nf_1843_752682.txt-216-4	1,2,3,4	-
188_gas_nn	nf_1843_752682.txt-443-3,nf_1848_747893.txt-3135-42	1,2,3,4	-
189_gas_nn	nf_1845_747909.txt-1197-14,nf_1848_747893.txt-3135-42	1,2,3,4	-
190_gas_nn	mag_1966_431725.txt-150-2,fic_2004_49256.txt-152-8	1,2,3,4	-
191_gas_nn	news_1998_615340.txt-36-20,mag_1854_555930.txt-121-17	1,2,3,4	-
192_gas_nn	fic_1977_10628.txt-3669-10,nf_1848_747893.txt-3135-42	1,2,3,4	-
193_gas_nn	nf_1997_773513.txt-409-18,nf_1848_747893.txt-3400-18	1,2,3,4	-
194_gas_nn	fic_1856_3447.txt-5316-5,fic_1836_7053.txt-407-9	1,2,3,4	-
195_gas_nn	fic_2002_47816.txt-0-12,nf_1848_747893.txt-3400-18	1,2,3,4	-
196_gas_nn	nf_1978_773837.txt-213-19,nf_1845_747928.txt-906-7	1,2,3,4	-
197_gas_nn	fic_1994_41378.txt-603-11,fic_1992_40319.txt-74-22	1,2,3,4	-
198_gas_nn	fic_1989_782037.txt-136-11,nf_1848_747893.txt-3400-18	1,2,3,4	-
199_gas_nn	fic_1969_13728.txt-103-20,fic_1992_40319.txt-74-22	1,2,3,4	-
200_gas_nn	mag_2001_415789.txt-209-4,fic_1836_7053.txt-407-9	1,2,3,4	-
201_gas_nn	news_1980_734565.txt-34-7,nf_1845_747928.txt-906-7	1,2,3,4	-
202_gas_nn	news_2007_637918.txt-38-20,nf_1853_748464.txt-606-21	1,2,3,4	-
203_gas_nn	news_1974_731436.txt-7-1,nf_1848_747893.txt-3400-18	1,2,3,4	-
204_gas_nn	nf_1848_747893.txt-3386-2,mag_1854_555930.txt-121-17	1,2,3,4	-
205_gas_nn	nf_1844_755204.txt-629-14,nf_1845_747928.txt-906-7	1,2,3,4	-
206_gas_nn	news_1962_722833.txt-43-7,mag_1992_395995.txt-193-16	1,2,3,4	-
207_gas_nn	nf_1845_747909.txt-848-14,nf_1853_748464.txt-606-21	1,2,3,4	-
208_gas_nn	news_1973_731093.txt-95-20,nf_2007_747179.txt-166-2	1,2,3,4	-
209_gas_nn	fic_1839_7023.txt-1006-37,nf_1845_747928.txt-906-7	1,2,3,4	-
210_gas_nn	nf_1853_748464.txt-1180-15,fic_1836_7053.txt-407-9	1,2,3,4	-
211_gas_nn	news_1998_615340.txt-63-14,fic_1992_40319.txt-74-22	1,2,3,4	-
212_gas_nn	nf_1963_773638.txt-876-44,nf_1843_752682.txt-216-4	1,2,3,4	-
213_gas_nn	nf_1848_754438.txt-1507-20,mag_1992_395995.txt-193-16	1,2,3,4	-
214_gas_nn	nf_1845_747909.txt-2625-28,nf_1853_747976.txt-2095-28	1,2,3,4	-
215_gas_nn	nf_1855_748018.txt-184-53,mag_1835_554331.txt-58-8	1,2,3,4	-
216_gas_nn	fic_1986_16370.txt-2599-12,mag_2006_397910.txt-95-18	1,2,3,4	-
217_gas_nn	fic_2003_31281.txt-240-12,fic_1992_40319.txt-74-22	1,2,3,4	-
218_gas_nn	nf_1845_747909.txt-2477-10,nf_1845_747928.txt-906-7	1,2,3,4	-
219_gas_nn	fic_1859_9192.txt-4627-4,mag_1840_554766.txt-186-1	1,2,3,4	-
220_gas_nn	fic_1858_1282.txt-3362-17,mag_1840_554766.txt-186-1	1,2,3,4	-
221_gas_nn	fic_2004_780508.txt-903-0,mag_1835_554331.txt-58-8	1,2,3,4	-
222_gas_nn	nf_1993_746578.txt-564-19,news_2005_608686.txt-4-27	1,2,3,4	-
223_gas_nn	mag_1851_566075.txt-50-5,mag_1835_554331.txt-58-8	1,2,3,4	-
224_gas_nn	nf_1843_752682.txt-216-4,fic_2004_49256.txt-152-8	1,2,3,4	-
