instanceID	dataIDs	label_set	non_label
0_graft_nn	nf_1850_747863.txt-354-23,news_1970_728573.txt-4-21	1,2,3,4	-
1_graft_nn	nf_1997_773614.txt-323-12,mag_1977_431930.txt-27-6	1,2,3,4	-
2_graft_nn	nf_1858_747890.txt-616-0,mag_1979_480051.txt-9-19	1,2,3,4	-
3_graft_nn	news_1963_723197.txt-45-12,news_1962_722583.txt-15-13	1,2,3,4	-
4_graft_nn	fic_1994_54058.txt-385-6,mag_1999_407759.txt-31-27	1,2,3,4	-
5_graft_nn	nf_1858_747890.txt-1297-7,fic_1960_23766.txt-261-28	1,2,3,4	-
6_graft_nn	nf_1858_747890.txt-606-43,nf_1850_747863.txt-329-47	1,2,3,4	-
7_graft_nn	fic_1974_13208.txt-891-12,mag_1976_291145.txt-21-13	1,2,3,4	-
8_graft_nn	nf_1845_747928.txt-436-4,fic_1964_781989.txt-1164-40	1,2,3,4	-
9_graft_nn	mag_1969_274123.txt-23-18,nf_1850_747863.txt-1739-22	1,2,3,4	-
10_graft_nn	fic_1962_10425.txt-891-26,news_1962_722583.txt-15-13	1,2,3,4	-
11_graft_nn	nf_1850_747863.txt-347-43,mag_1851_566097.txt-140-28	1,2,3,4	-
12_graft_nn	nf_1850_747863.txt-404-1,news_1961_721980.txt-15-36	1,2,3,4	-
13_graft_nn	mag_1964_492080.txt-86-9,nf_2006_747051.txt-71-15	1,2,3,4	-
14_graft_nn	nf_1997_773614.txt-323-12,mag_1968_219293.txt-21-15	1,2,3,4	-
15_graft_nn	nf_1980_774261.txt-647-3,fic_2007_51914.txt-819-13	1,2,3,4	-
16_graft_nn	news_1968_726852.txt-37-16,fic_1968_10508.txt-3632-5	1,2,3,4	-
17_graft_nn	nf_1999_775055.txt-95-13,fic_1963_10432.txt-10170-60	1,2,3,4	-
18_graft_nn	nf_1850_747863.txt-643-6,mag_1965_488173.txt-19-13	1,2,3,4	-
19_graft_nn	mag_2000_402886.txt-7-40,fic_2007_51914.txt-819-13	1,2,3,4	-
20_graft_nn	nf_1845_747928.txt-802-26,nf_1850_747863.txt-1739-22	1,2,3,4	-
21_graft_nn	nf_1850_747863.txt-1327-9,mag_1981_297444.txt-0-3	1,2,3,4	-
22_graft_nn	nf_1845_747928.txt-436-4,news_1972_730268.txt-73-6	1,2,3,4	-
23_graft_nn	nf_1839_747931.txt-294-29,nf_1980_774261.txt-647-3	1,2,3,4	-
24_graft_nn	nf_1850_747863.txt-3421-26,news_1972_730268.txt-73-6	1,2,3,4	-
25_graft_nn	fic_1967_10488.txt-2995-1,news_1961_721980.txt-15-36	1,2,3,4	-
26_graft_nn	mag_1962_206362.txt-4-16,mag_1968_219293.txt-21-15	1,2,3,4	-
27_graft_nn	mag_2005_380127.txt-10-21,fic_1974_13208.txt-276-17	1,2,3,4	-
28_graft_nn	mag_2000_413181.txt-288-10,nf_1850_747863.txt-218-10	1,2,3,4	-
29_graft_nn	mag_1975_479686.txt-46-9,news_1974_731379.txt-69-18	1,2,3,4	-
30_graft_nn	fic_1992_53591.txt-58-8,news_1961_722120.txt-42-9	1,2,3,4	-
31_graft_nn	mag_2006_397914.txt-84-26,news_1961_722120.txt-42-9	1,2,3,4	-
32_graft_nn	nf_1858_747890.txt-2264-51,news_1972_730268.txt-10-11	1,2,3,4	-
33_graft_nn	mag_1981_297444.txt-0-3,mag_1977_431931.txt-461-9	1,2,3,4	-
34_graft_nn	nf_1850_747863.txt-404-1,nf_1850_747863.txt-1739-22	1,2,3,4	-
35_graft_nn	nf_1850_747863.txt-1832-20,mag_1977_431931.txt-466-38	1,2,3,4	-
36_graft_nn	news_1963_723197.txt-45-12,mag_1975_479686.txt-46-9	1,2,3,4	-
37_graft_nn	fic_1840_7164.txt-1244-28,nf_1850_747863.txt-1739-22	1,2,3,4	-
38_graft_nn	fic_1988_780054.txt-950-10,fic_1962_10425.txt-883-5	1,2,3,4	-
39_graft_nn	mag_1998_358202.txt-25-26,mag_2000_413181.txt-288-10	1,2,3,4	-
40_graft_nn	mag_2000_402886.txt-7-40,news_1972_730268.txt-73-6	1,2,3,4	-
41_graft_nn	nf_1850_747863.txt-329-47,nf_1850_747863.txt-1739-22	1,2,3,4	-
42_graft_nn	nf_1850_747863.txt-1842-31,mag_1986_432307.txt-48-22	1,2,3,4	-
43_graft_nn	nf_1858_747890.txt-679-52,fic_2007_51914.txt-819-13	1,2,3,4	-
44_graft_nn	mag_1980_491544.txt-125-11,mag_2000_413181.txt-288-10	1,2,3,4	-
45_graft_nn	fic_1962_10425.txt-891-26,fic_2007_51914.txt-819-13	1,2,3,4	-
46_graft_nn	nf_1850_747863.txt-1327-9,fic_1989_10788.txt-4019-13	1,2,3,4	-
47_graft_nn	fic_1965_10465.txt-5969-10,news_1962_722583.txt-15-13	1,2,3,4	-
48_graft_nn	mag_1962_206362.txt-4-16,nf_1850_747863.txt-1739-22	1,2,3,4	-
49_graft_nn	nf_1981_773657.txt-1036-0,fic_2007_51914.txt-819-13	1,2,3,4	-
50_graft_nn	nf_1845_747928.txt-436-4,fic_2007_51914.txt-819-13	1,2,3,4	-
51_graft_nn	nf_1980_774261.txt-647-3,fic_1974_13208.txt-891-12	1,2,3,4	-
52_graft_nn	nf_1858_747890.txt-616-0,news_1962_722583.txt-15-13	1,2,3,4	-
53_graft_nn	nf_1981_773657.txt-1036-0,mag_1969_274123.txt-22-6	1,2,3,4	-
54_graft_nn	mag_1975_479686.txt-46-9,mag_1993_424578.txt-84-24	1,2,3,4	-
55_graft_nn	nf_1980_774261.txt-647-3,fic_1960_23766.txt-261-28	1,2,3,4	-
56_graft_nn	mag_1998_358202.txt-25-26,fic_1962_4761.txt-141-4	1,2,3,4	-
57_graft_nn	nf_1845_747928.txt-273-14,fic_1967_10488.txt-2994-1	1,2,3,4	-
58_graft_nn	nf_1845_747928.txt-801-22,nf_1850_747863.txt-1832-20	1,2,3,4	-
59_graft_nn	nf_1858_747890.txt-1297-7,nf_1850_747863.txt-1739-22	1,2,3,4	-
60_graft_nn	fic_1962_4761.txt-141-4,news_1962_722583.txt-15-13	1,2,3,4	-
61_graft_nn	news_1968_726853.txt-16-9,nf_1850_747863.txt-1832-20	1,2,3,4	-
62_graft_nn	fic_1967_10488.txt-2995-1,fic_2007_51914.txt-819-13	1,2,3,4	-
63_graft_nn	fic_1989_10788.txt-4019-13,nf_1848_747893.txt-2589-0	1,2,3,4	-
64_graft_nn	mag_2004_393144.txt-128-11,news_1962_722583.txt-15-13	1,2,3,4	-
65_graft_nn	fic_1999_30055.txt-146-4,fic_1962_4761.txt-141-4	1,2,3,4	-
66_graft_nn	fic_1977_16209.txt-471-4,fic_1964_781989.txt-1164-40	1,2,3,4	-
67_graft_nn	mag_1969_274123.txt-23-18,mag_1979_480051.txt-9-19	1,2,3,4	-
68_graft_nn	nf_1981_773657.txt-1036-0,nf_1999_774959.txt-51-1	1,2,3,4	-
69_graft_nn	nf_1845_747928.txt-801-22,fic_1989_10788.txt-4019-13	1,2,3,4	-
70_graft_nn	nf_1845_747928.txt-801-22,nf_1850_747863.txt-1739-22	1,2,3,4	-
71_graft_nn	fic_1977_16209.txt-471-4,fic_1960_23766.txt-261-28	1,2,3,4	-
72_graft_nn	news_1968_726852.txt-37-16,news_1972_730156.txt-21-5	1,2,3,4	-
73_graft_nn	mag_1998_358202.txt-25-26,fic_2007_51914.txt-819-13	1,2,3,4	-
74_graft_nn	nf_1845_747928.txt-295-1,nf_1850_747863.txt-1739-22	1,2,3,4	-
75_graft_nn	nf_1858_747890.txt-616-0,fic_2007_51914.txt-819-13	1,2,3,4	-
76_graft_nn	fic_1967_10488.txt-2995-1,nf_1839_747931.txt-291-1	1,2,3,4	-
77_graft_nn	nf_1997_773614.txt-323-12,fic_2007_51914.txt-819-13	1,2,3,4	-
78_graft_nn	news_1962_722583.txt-15-13,nf_1845_747928.txt-420-3	1,2,3,4	-
79_graft_nn	mag_1962_431656.txt-363-2,mag_1968_219293.txt-21-15	1,2,3,4	-
80_graft_nn	news_1961_721980.txt-15-36,news_1962_722583.txt-15-13	1,2,3,4	-
81_graft_nn	nf_1850_747863.txt-354-23,nf_2007_747166.txt-119-18	1,2,3,4	-
82_graft_nn	nf_1850_747863.txt-347-43,fic_2007_51914.txt-819-13	1,2,3,4	-
83_graft_nn	nf_1845_747928.txt-801-22,news_1961_721659.txt-18-33	1,2,3,4	-
84_graft_nn	fic_1967_10488.txt-2994-1,mag_1839_554748.txt-283-17	1,2,3,4	-
85_graft_nn	nf_1845_747928.txt-203-97,fic_1964_781989.txt-1164-40	1,2,3,4	-
86_graft_nn	nf_1839_747931.txt-294-29,nf_1845_747928.txt-436-4	1,2,3,4	-
87_graft_nn	mag_1977_431931.txt-466-38,nf_1850_747863.txt-1739-22	1,2,3,4	-
88_graft_nn	nf_1850_747863.txt-643-6,nf_1850_747863.txt-1739-22	1,2,3,4	-
89_graft_nn	nf_1848_747893.txt-2582-3,fic_2007_51914.txt-819-13	1,2,3,4	-
90_graft_nn	fic_1977_16209.txt-471-4,mag_1964_492080.txt-86-9	1,2,3,4	-
91_graft_nn	nf_1850_747863.txt-1327-9,mag_1976_291145.txt-21-13	1,2,3,4	-
92_graft_nn	mag_1999_399117.txt-58-13,mag_1962_431656.txt-387-2	1,2,3,4	-
93_graft_nn	fic_1962_10425.txt-891-26,fic_1964_781989.txt-1164-40	1,2,3,4	-
94_graft_nn	mag_1976_291145.txt-21-13,fic_1962_10425.txt-891-26	1,2,3,4	-
95_graft_nn	fic_1840_7164.txt-1244-28,mag_1986_432307.txt-48-22	1,2,3,4	-
96_graft_nn	news_2001_660068.txt-8-6,mag_1968_219293.txt-21-15	1,2,3,4	-
97_graft_nn	nf_1850_747863.txt-1327-9,nf_1850_747863.txt-1739-22	1,2,3,4	-
98_graft_nn	mag_2005_418544.txt-56-7,nf_1850_747863.txt-628-23	1,2,3,4	-
99_graft_nn	mag_1851_566097.txt-140-28,fic_1977_16209.txt-471-4	1,2,3,4	-
100_graft_nn	mag_2003_385728.txt-83-21,mag_1993_424578.txt-84-24	1,2,3,4	-
101_graft_nn	mag_1969_214820.txt-18-23,nf_1845_747928.txt-203-97	1,2,3,4	-
102_graft_nn	fic_1967_10488.txt-2995-1,news_1961_722120.txt-42-9	1,2,3,4	-
103_graft_nn	mag_1851_566097.txt-140-28,nf_1850_747863.txt-1339-7	1,2,3,4	-
104_graft_nn	nf_1850_747863.txt-354-23,nf_1850_747863.txt-1739-22	1,2,3,4	-
105_graft_nn	fic_1840_7164.txt-1244-28,fic_1962_10425.txt-883-5	1,2,3,4	-
106_graft_nn	nf_1850_747863.txt-398-25,news_1974_731379.txt-69-18	1,2,3,4	-
107_graft_nn	nf_1850_747863.txt-329-47,news_1972_730268.txt-10-11	1,2,3,4	-
108_graft_nn	nf_1858_747890.txt-679-52,mag_1975_479686.txt-46-9	1,2,3,4	-
109_graft_nn	news_1961_722163.txt-1-11,fic_1960_23766.txt-261-28	1,2,3,4	-
110_graft_nn	fic_1992_53591.txt-58-8,fic_1962_10425.txt-883-5	1,2,3,4	-
111_graft_nn	nf_1845_747928.txt-295-1,mag_1999_399117.txt-58-13	1,2,3,4	-
112_graft_nn	mag_1969_274123.txt-23-18,nf_1850_747863.txt-325-14	1,2,3,4	-
113_graft_nn	nf_1858_747890.txt-2264-51,news_1972_730156.txt-21-5	1,2,3,4	-
114_graft_nn	nf_1850_747863.txt-398-51,nf_1850_747863.txt-1739-22	1,2,3,4	-
115_graft_nn	mag_1981_297444.txt-0-3,fic_1962_4761.txt-141-4	1,2,3,4	-
116_graft_nn	fic_2007_51914.txt-819-13,nf_1858_747890.txt-2264-51	1,2,3,4	-
117_graft_nn	nf_1839_747931.txt-304-51,mag_2004_393144.txt-128-11	1,2,3,4	-
118_graft_nn	fic_1960_23766.txt-261-28,mag_1976_291145.txt-21-13	1,2,3,4	-
119_graft_nn	fic_1968_10503.txt-1151-18,fic_1962_10425.txt-891-26	1,2,3,4	-
120_graft_nn	nf_1845_747928.txt-207-71,fic_2007_51914.txt-819-13	1,2,3,4	-
121_graft_nn	mag_1968_219293.txt-21-15,fic_1962_4761.txt-141-4	1,2,3,4	-
122_graft_nn	fic_1967_10488.txt-2994-1,news_1972_730268.txt-73-6	1,2,3,4	-
123_graft_nn	mag_2004_393144.txt-128-11,mag_1999_399117.txt-58-13	1,2,3,4	-
124_graft_nn	news_1972_730268.txt-10-11,news_1961_721659.txt-18-33	1,2,3,4	-
125_graft_nn	nf_1999_775055.txt-95-13,nf_1850_747863.txt-1739-22	1,2,3,4	-
126_graft_nn	nf_1858_747890.txt-1297-7,news_1974_731379.txt-69-18	1,2,3,4	-
127_graft_nn	mag_1980_491544.txt-125-11,nf_1850_747863.txt-1739-22	1,2,3,4	-
128_graft_nn	mag_1962_431656.txt-363-2,mag_1977_431930.txt-27-6	1,2,3,4	-
129_graft_nn	nf_1850_747863.txt-398-51,fic_1960_23766.txt-261-28	1,2,3,4	-
130_graft_nn	nf_1999_775055.txt-95-13,nf_2007_747166.txt-119-18	1,2,3,4	-
131_graft_nn	nf_1845_747928.txt-414-52,news_1972_730156.txt-21-5	1,2,3,4	-
132_graft_nn	mag_2004_393144.txt-128-11,nf_1850_747863.txt-1739-22	1,2,3,4	-
133_graft_nn	fic_1999_30055.txt-146-4,fic_1968_10503.txt-1151-18	1,2,3,4	-
134_graft_nn	nf_1858_747890.txt-679-52,fic_1962_4761.txt-141-4	1,2,3,4	-
135_graft_nn	mag_1993_424578.txt-84-24,nf_1850_747863.txt-383-8	1,2,3,4	-
136_graft_nn	mag_1969_274123.txt-22-6,fic_1964_781989.txt-1164-40	1,2,3,4	-
137_graft_nn	nf_1850_747863.txt-329-47,mag_1993_424578.txt-84-24	1,2,3,4	-
138_graft_nn	nf_1845_747928.txt-203-97,fic_2007_51914.txt-819-13	1,2,3,4	-
139_graft_nn	nf_1848_747893.txt-2582-3,nf_1845_747928.txt-802-26	1,2,3,4	-
140_graft_nn	fic_1962_10425.txt-742-13,mag_2000_413181.txt-288-10	1,2,3,4	-
141_graft_nn	mag_1980_491544.txt-125-11,fic_1964_781989.txt-1164-40	1,2,3,4	-
142_graft_nn	nf_1850_747863.txt-347-43,mag_1839_554748.txt-283-17	1,2,3,4	-
143_graft_nn	nf_1850_747863.txt-347-43,fic_1962_10425.txt-883-5	1,2,3,4	-
144_graft_nn	nf_1858_747890.txt-2264-51,nf_1845_747928.txt-409-38	1,2,3,4	-
145_graft_nn	nf_1845_747928.txt-295-1,mag_2003_385728.txt-83-21	1,2,3,4	-
146_graft_nn	fic_1988_780054.txt-950-10,nf_1850_747863.txt-1739-22	1,2,3,4	-
147_graft_nn	nf_1997_773614.txt-323-12,mag_1976_291145.txt-21-13	1,2,3,4	-
148_graft_nn	news_1968_726853.txt-16-9,mag_1999_399117.txt-58-13	1,2,3,4	-
