instanceID	label	comment	annotator
0_graft_nn	1.0	 	annotator2
1_graft_nn	1.0	 	annotator2
2_graft_nn	1.0	 	annotator2
3_graft_nn	4.0	 	annotator2
4_graft_nn	3.0	 	annotator2
5_graft_nn	1.0	 	annotator2
6_graft_nn	3.0	 	annotator2
7_graft_nn	3.0	 	annotator2
8_graft_nn	1.0	 	annotator2
9_graft_nn	3.0	 	annotator2
10_graft_nn	4.0	 	annotator2
11_graft_nn	3.0	 	annotator2
12_graft_nn	1.0	 	annotator2
13_graft_nn	1.0	 	annotator2
14_graft_nn	4.0	 	annotator2
15_graft_nn	4.0	 	annotator2
16_graft_nn	1.0	 	annotator2
17_graft_nn	1.0	 	annotator2
18_graft_nn	1.0	 	annotator2
19_graft_nn	4.0	 	annotator2
20_graft_nn	4.0	 	annotator2
21_graft_nn	1.0	 	annotator2
22_graft_nn	1.0	 	annotator2
23_graft_nn	4.0	 	annotator2
24_graft_nn	1.0	 	annotator2
25_graft_nn	1.0	 	annotator2
26_graft_nn	3.0	 	annotator2
27_graft_nn	1.0	 	annotator2
28_graft_nn	1.0	 	annotator2
29_graft_nn	4.0	 	annotator2
30_graft_nn	1.0	 	annotator2
31_graft_nn	3.0	 	annotator2
32_graft_nn	1.0	 	annotator2
33_graft_nn	1.0	 	annotator2
34_graft_nn	4.0	 	annotator2
35_graft_nn	4.0	 	annotator2
36_graft_nn	4.0	 	annotator2
37_graft_nn	3.0	 	annotator2
38_graft_nn	1.0	 	annotator2
39_graft_nn	1.0	 	annotator2
40_graft_nn	1.0	 	annotator2
41_graft_nn	3.0	 	annotator2
42_graft_nn	1.0	 	annotator2
43_graft_nn	3.0	 	annotator2
44_graft_nn	1.0	 	annotator2
45_graft_nn	1.0	 	annotator2
46_graft_nn	1.0	 	annotator2
47_graft_nn	4.0	 	annotator2
48_graft_nn	1.0	 	annotator2
49_graft_nn	3.0	 	annotator2
50_graft_nn	3.0	 	annotator2
51_graft_nn	1.0	 	annotator2
