instanceID	dataIDs	label_set	non_label
0_grain_nn	mag_1980_491548.txt-16-10,mag_1838_554612.txt-2-20	1,2,3,4	-
1_grain_nn	fic_1971_10541.txt-1-2,fic_1995_39260.txt-119-3	1,2,3,4	-
2_grain_nn	news_1985_671481.txt-8-31,fic_1852_69.txt-673-32	1,2,3,4	-
3_grain_nn	fic_1840_7681.txt-690-26,nf_1982_774071.txt-530-17	1,2,3,4	-
4_grain_nn	news_1988_670261.txt-50-22,nf_1961_774087.txt-215-10	1,2,3,4	-
5_grain_nn	nf_1839_747507.txt-497-7,news_1983_671261.txt-21-25	1,2,3,4	-
6_grain_nn	mag_1839_554726.txt-181-14,mag_1972_251389.txt-5-41	1,2,3,4	-
7_grain_nn	fic_1845_622.txt-1234-16,fic_1853_9040.txt-415-9	1,2,3,4	-
8_grain_nn	nf_1961_774312.txt-125-80,mag_1850_525559.txt-145-6	1,2,3,4	-
9_grain_nn	mag_1980_491548.txt-16-10,nf_1961_774087.txt-151-21	1,2,3,4	-
10_grain_nn	mag_1981_480279.txt-65-13,news_1987_668802.txt-145-11	1,2,3,4	-
11_grain_nn	mag_1969_431790.txt-79-17,nf_1847_754437.txt-1669-5	1,2,3,4	-
12_grain_nn	fic_1845_7183.txt-1102-29,nf_1982_773732.txt-110-12	1,2,3,4	-
13_grain_nn	nf_1836_747959.txt-1006-21,nf_1982_773732.txt-110-12	1,2,3,4	-
14_grain_nn	fic_1987_780058.txt-2052-2,nf_1982_773732.txt-110-12	1,2,3,4	-
15_grain_nn	nf_1963_773730.txt-66-20,mag_1832_564149.txt-248-32	1,2,3,4	-
16_grain_nn	mag_1987_480750.txt-75-18,news_1983_671261.txt-21-25	1,2,3,4	-
17_grain_nn	mag_1835_565135.txt-40-8,nf_1853_748464.txt-945-8	1,2,3,4	-
18_grain_nn	mag_1987_480750.txt-75-18,nf_1961_774087.txt-151-21	1,2,3,4	-
19_grain_nn	mag_1981_432058.txt-389-11,fic_1853_9040.txt-415-9	1,2,3,4	-
20_grain_nn	fic_1860_1818.txt-109-5,fic_1976_14383.txt-588-29	1,2,3,4	-
21_grain_nn	fic_2002_29934.txt-791-14,fic_1860_1818.txt-109-5	1,2,3,4	-
22_grain_nn	mag_1838_554612.txt-2-20,fic_1849_7216.txt-1751-3	1,2,3,4	-
23_grain_nn	nf_1961_774087.txt-630-5,nf_1857_767292.txt-2546-14	1,2,3,4	-
24_grain_nn	fic_1860_1818.txt-109-5,fic_1999_45342.txt-81-13	1,2,3,4	-
25_grain_nn	fic_1971_10541.txt-1-2,nf_1961_774087.txt-215-10	1,2,3,4	-
26_grain_nn	fic_1852_9232.txt-3311-22,fic_1995_39260.txt-119-3	1,2,3,4	-
27_grain_nn	nf_1973_774379.txt-1345-13,nf_1853_748464.txt-945-8	1,2,3,4	-
28_grain_nn	fic_1833_7046.txt-1469-12,fic_1860_1818.txt-109-5	1,2,3,4	-
29_grain_nn	fic_1860_1818.txt-109-5,mag_1976_493205.txt-15-0	1,2,3,4	-
30_grain_nn	fic_1860_1818.txt-109-5,mag_1963_441351.txt-287-5	1,2,3,4	-
31_grain_nn	fic_1981_10681.txt-372-14,nf_1961_774087.txt-630-5	1,2,3,4	-
32_grain_nn	fic_1860_1818.txt-109-5,nf_1961_774087.txt-2112-10	1,2,3,4	-
33_grain_nn	mag_1999_400374.txt-143-9,nf_1961_774087.txt-151-21	1,2,3,4	-
34_grain_nn	fic_1860_1818.txt-109-5,fic_1839_7352.txt-785-7	1,2,3,4	-
