instanceID	dataIDs	label_set	non_label
0_head_nn	mag_1993_349041.txt-5-18,news_1976_732644.txt-37-24	1,2,3,4	-
1_head_nn	fic_1830_7266.txt-2714-39,nf_1852_771569.txt-951-14	1,2,3,4	-
2_head_nn	mag_1969_488069.txt-33-13,nf_1852_771569.txt-951-14	1,2,3,4	-
3_head_nn	fic_1972_10563.txt-2281-36,fic_1989_14216.txt-987-9	1,2,3,4	-
4_head_nn	nf_1842_747950.txt-162-29,mag_1847_565707.txt-376-5	1,2,3,4	-
5_head_nn	nf_1986_774269.txt-271-13,nf_1837_755525.txt-2307-16	1,2,3,4	-
6_head_nn	nf_1835_748008.txt-2337-4,fic_1830_7266.txt-2714-39	1,2,3,4	-
7_head_nn	news_1976_732644.txt-37-24,mag_1972_251489.txt-0-4	1,2,3,4	-
8_head_nn	fic_1830_7266.txt-2714-39,mag_1969_488069.txt-33-13	1,2,3,4	-
9_head_nn	fic_1845_7316.txt-2994-28,nf_1852_749447.txt-1632-1	1,2,3,4	-
10_head_nn	mag_1995_415116.txt-1-18,fic_1989_14216.txt-987-9	1,2,3,4	-
11_head_nn	fic_1977_14004.txt-1776-8,mag_1972_251489.txt-0-4	1,2,3,4	-
12_head_nn	fic_1972_10563.txt-2281-36,fic_2009_36467.txt-127-5	1,2,3,4	-
13_head_nn	fic_1824_7037.txt-675-23,nf_1821_749178.txt-908-34	1,2,3,4	-
14_head_nn	fic_1962_10427.txt-1046-8,nf_1845_747928.txt-263-1	1,2,3,4	-
15_head_nn	fic_1989_14216.txt-987-9,mag_1969_488069.txt-33-13	1,2,3,4	-
16_head_nn	fic_1967_10486.txt-3483-8,fic_1824_7037.txt-675-23	1,2,3,4	-
17_head_nn	fic_1985_10733.txt-1934-23,fic_1967_10486.txt-3483-8	1,2,3,4	-
18_head_nn	fic_2002_31369.txt-51-2,mag_1972_251489.txt-0-4	1,2,3,4	-
19_head_nn	news_2001_627713.txt-216-10,fic_1850_7304.txt-2042-5	1,2,3,4	-
20_head_nn	fic_1967_10486.txt-3483-8,fic_1962_10427.txt-1046-8	1,2,3,4	-
21_head_nn	mag_1993_349934.txt-4-35,fic_1830_7266.txt-2714-39	1,2,3,4	-
22_head_nn	fic_1850_7304.txt-2042-5,nf_1821_749178.txt-908-34	1,2,3,4	-
23_head_nn	fic_1977_14004.txt-1776-8,fic_1972_10563.txt-2281-36	1,2,3,4	-
24_head_nn	fic_2009_36467.txt-127-5,fic_1832_7176.txt-2955-181	1,2,3,4	-
25_head_nn	fic_1845_7316.txt-2994-28,mag_1989_487001.txt-10-3	1,2,3,4	-
26_head_nn	fic_1853_2454.txt-1336-28,fic_1830_7266.txt-2714-39	1,2,3,4	-
27_head_nn	fic_1830_8593.txt-903-8,fic_1985_10733.txt-1934-23	1,2,3,4	-
28_head_nn	fic_1962_10427.txt-1046-8,fic_1830_7266.txt-2714-39	1,2,3,4	-
29_head_nn	fic_2002_31369.txt-51-2,nf_1821_749178.txt-908-34	1,2,3,4	-
30_head_nn	fic_1835_7143.txt-79-1,fic_2009_36467.txt-127-5	1,2,3,4	-
31_head_nn	fic_2009_36467.txt-127-5,fic_1845_7316.txt-2994-28	1,2,3,4	-
32_head_nn	fic_1845_7316.txt-2994-28,fic_1832_7176.txt-2955-181	1,2,3,4	-
33_head_nn	fic_1971_10547.txt-2144-5,fic_1985_10733.txt-1934-23	1,2,3,4	-
34_head_nn	fic_1835_7143.txt-79-1,fic_1850_7304.txt-2042-5	1,2,3,4	-
35_head_nn	nf_1821_749178.txt-908-34,fic_1849_7230.txt-1783-21	1,2,3,4	-
36_head_nn	fic_1845_7103.txt-328-40,nf_1852_749447.txt-1632-1	1,2,3,4	-
37_head_nn	mag_1847_565707.txt-376-5,fic_1845_7103.txt-328-40	1,2,3,4	-
38_head_nn	mag_1969_488069.txt-33-13,news_2001_627713.txt-216-10	1,2,3,4	-
39_head_nn	nf_1845_747928.txt-263-1,fic_1824_7037.txt-675-23	1,2,3,4	-
40_head_nn	news_2001_627713.txt-216-10,fic_1853_2454.txt-1336-28	1,2,3,4	-
41_head_nn	mag_1969_488069.txt-33-13,fic_1835_7143.txt-79-1	1,2,3,4	-
42_head_nn	fic_1850_7304.txt-2042-5,mag_1995_415116.txt-1-18	1,2,3,4	-
43_head_nn	mag_1993_349934.txt-4-35,fic_1967_10486.txt-3483-8	1,2,3,4	-
44_head_nn	fic_1850_7304.txt-2042-5,mag_1969_488069.txt-33-13	1,2,3,4	-
45_head_nn	fic_1962_10427.txt-1046-8,fic_1833_7321.txt-1536-39	1,2,3,4	-
46_head_nn	nf_1852_749447.txt-1632-1,fic_1840_8909.txt-2220-19	1,2,3,4	-
47_head_nn	nf_1996_773937.txt-334-6,fic_1830_7266.txt-2714-39	1,2,3,4	-
48_head_nn	fic_1857_9075.txt-2869-40,mag_1993_349934.txt-4-35	1,2,3,4	-
49_head_nn	nf_1842_747950.txt-2078-5,fic_2002_31369.txt-51-2	1,2,3,4	-
50_head_nn	nf_1852_771569.txt-951-14,fic_1962_10427.txt-1046-8	1,2,3,4	-
51_head_nn	mag_1847_565707.txt-376-5,fic_1839_1484.txt-4093-2	1,2,3,4	-
52_head_nn	fic_1992_53512.txt-463-20,nf_1849_748137.txt-2020-80	1,2,3,4	-
53_head_nn	fic_1985_10733.txt-1934-23,mag_1995_415116.txt-1-18	1,2,3,4	-
54_head_nn	news_2001_627713.txt-216-10,fic_1830_7266.txt-2714-39	1,2,3,4	-
55_head_nn	nf_1845_747928.txt-263-1,nf_1852_771569.txt-951-14	1,2,3,4	-
56_head_nn	nf_1842_747950.txt-2078-5,fic_1845_7316.txt-2994-28	1,2,3,4	-
57_head_nn	mag_1995_415116.txt-1-18,fic_1857_9075.txt-2869-40	1,2,3,4	-
58_head_nn	nf_1821_749178.txt-908-34,fic_1832_7176.txt-2955-181	1,2,3,4	-
59_head_nn	fic_1832_7176.txt-2955-181,fic_1967_10486.txt-3483-8	1,2,3,4	-
60_head_nn	fic_1849_7230.txt-1783-21,nf_1835_748008.txt-2337-4	1,2,3,4	-
61_head_nn	mag_1995_415116.txt-1-18,fic_2002_31369.txt-51-2	1,2,3,4	-
62_head_nn	fic_1986_10741.txt-5790-11,fic_1993_25019.txt-5097-13	1,2,3,4	-
63_head_nn	fic_1835_7143.txt-79-1,nf_1821_749178.txt-908-34	1,2,3,4	-
64_head_nn	fic_1962_10427.txt-1046-8,mag_1969_488069.txt-33-13	1,2,3,4	-
65_head_nn	fic_1824_7037.txt-675-23,fic_1989_14216.txt-987-9	1,2,3,4	-
66_head_nn	fic_2002_31369.txt-51-2,fic_1977_14004.txt-1776-8	1,2,3,4	-
67_head_nn	fic_1830_7266.txt-2714-39,nf_1827_747582.txt-210-5	1,2,3,4	-
68_head_nn	nf_1986_774269.txt-271-13,fic_1989_14216.txt-987-9	1,2,3,4	-
69_head_nn	news_2001_627713.txt-216-10,fic_1824_7037.txt-675-23	1,2,3,4	-
70_head_nn	fic_1967_10486.txt-3483-8,fic_1977_14004.txt-1776-8	1,2,3,4	-
71_head_nn	nf_1845_747928.txt-263-1,fic_1849_7230.txt-1783-21	1,2,3,4	-
72_head_nn	mag_1972_251489.txt-0-4,mag_1847_565707.txt-376-5	1,2,3,4	-
73_head_nn	fic_1849_7230.txt-1783-21,nf_1986_774269.txt-271-13	1,2,3,4	-
74_head_nn	fic_1967_10486.txt-3483-8,mag_1995_415116.txt-1-18	1,2,3,4	-
75_head_nn	mag_1993_349041.txt-5-18,nf_1835_748008.txt-2337-4	1,2,3,4	-
76_head_nn	mag_1993_349934.txt-4-35,fic_1985_10733.txt-1934-23	1,2,3,4	-
77_head_nn	mag_1969_488069.txt-33-13,nf_1986_774269.txt-271-13	1,2,3,4	-
