instanceID	dataIDs	label_set	non_label
0_heel_nn	fic_1835_7339.txt-1086-45,fic_1854_8328.txt-459-64	1,2,3,4	-
1_heel_nn	fic_1852_9232.txt-1069-16,fic_2006_29091.txt-101-8	1,2,3,4	-
2_heel_nn	news_1977_733054.txt-45-14,fic_1995_39356.txt-46-9	1,2,3,4	-
3_heel_nn	fic_1995_39735.txt-513-7,fic_1849_7333.txt-787-43	1,2,3,4	-
4_heel_nn	fic_1835_7339.txt-1086-45,fic_1998_43802.txt-23-18	1,2,3,4	-
5_heel_nn	news_1977_733054.txt-45-14,fic_1961_10411.txt-7836-20	1,2,3,4	-
6_heel_nn	fic_1853_3465.txt-426-13,fic_1860_2807.txt-2886-19	1,2,3,4	-
7_heel_nn	fic_2009_36395.txt-19-14,fic_1997_54603.txt-36-13	1,2,3,4	-
8_heel_nn	fic_1849_7230.txt-2460-19,fic_1980_780027.txt-3182-15	1,2,3,4	-
9_heel_nn	news_1977_733054.txt-45-14,fic_1853_3465.txt-426-13	1,2,3,4	-
10_heel_nn	news_2003_603960.txt-23-12,news_1968_727533.txt-17-4	1,2,3,4	-
11_heel_nn	fic_1978_10634.txt-6656-6,news_1977_733054.txt-45-14	1,2,3,4	-
12_heel_nn	fic_1972_780010.txt-462-12,fic_1835_7339.txt-1086-45	1,2,3,4	-
13_heel_nn	fic_2006_50943.txt-754-18,fic_1997_54603.txt-36-13	1,2,3,4	-
14_heel_nn	fic_1849_7333.txt-787-43,fic_1993_1040079.txt-2278-18	1,2,3,4	-
15_heel_nn	fic_1961_10411.txt-7836-20,fic_1844_7148.txt-905-4	1,2,3,4	-
16_heel_nn	fic_1978_10634.txt-6656-6,fic_2008_36192.txt-52-7	1,2,3,4	-
17_heel_nn	fic_1852_9232.txt-1069-16,mag_2009_405414.txt-39-4	1,2,3,4	-
18_heel_nn	fic_1845_7342.txt-312-27,fic_1978_10634.txt-6656-6	1,2,3,4	-
19_heel_nn	fic_1849_7333.txt-787-43,fic_1846_4464.txt-2099-20	1,2,3,4	-
20_heel_nn	fic_1846_4464.txt-2099-20,fic_1849_7192.txt-7233-5	1,2,3,4	-
21_heel_nn	mag_1963_244008.txt-14-2,fic_1978_10634.txt-6656-6	1,2,3,4	-
22_heel_nn	fic_1995_39735.txt-513-7,news_2003_603960.txt-23-12	1,2,3,4	-
23_heel_nn	fic_1835_7339.txt-1086-45,fic_1827_7168.txt-812-3	1,2,3,4	-
24_heel_nn	nf_1985_774316.txt-437-56,fic_1827_8772.txt-128-25	1,2,3,4	-
25_heel_nn	fic_1995_39735.txt-513-7,fic_1835_7339.txt-1086-45	1,2,3,4	-
26_heel_nn	fic_2009_36640.txt-13-23,fic_1846_8891.txt-2192-12	1,2,3,4	-
27_heel_nn	fic_1849_7230.txt-2460-19,fic_1849_7192.txt-7233-5	1,2,3,4	-
28_heel_nn	fic_1992_53585.txt-527-25,nf_1855_748018.txt-1729-11	1,2,3,4	-
29_heel_nn	fic_1855_9098.txt-2073-8,fic_1835_7272.txt-1369-10	1,2,3,4	-
30_heel_nn	mag_1963_244008.txt-14-2,fic_1845_7342.txt-312-27	1,2,3,4	-
31_heel_nn	mag_1961_490586.txt-79-46,fic_1835_7339.txt-1086-45	1,2,3,4	-
32_heel_nn	fic_1848_7193.txt-10121-1,fic_1848_7193.txt-10971-18	1,2,3,4	-
33_heel_nn	fic_1849_7333.txt-787-43,fic_1838_7086.txt-1397-55	1,2,3,4	-
34_heel_nn	fic_1822_7243.txt-6594-27,news_1994_606820.txt-64-12	1,2,3,4	-
35_heel_nn	nf_1965_773954.txt-883-23,fic_2009_36763.txt-107-14	1,2,3,4	-
36_heel_nn	fic_1845_7162.txt-1020-51,fic_1842_7206.txt-4992-65	1,2,3,4	-
37_heel_nn	fic_2005_31871.txt-3-7,fic_1848_7193.txt-10971-18	1,2,3,4	-
38_heel_nn	fic_1849_7333.txt-787-43,fic_1823_7246.txt-1513-12	1,2,3,4	-
39_heel_nn	mag_2009_405414.txt-39-4,fic_1843_7208.txt-7858-16	1,2,3,4	-
40_heel_nn	fic_1818_8886.txt-185-5,fic_2003_31457.txt-218-9	1,2,3,4	-
41_heel_nn	mag_1990_388655.txt-38-20,fic_1835_7339.txt-1086-45	1,2,3,4	-
42_heel_nn	fic_1854_2820.txt-648-7,fic_1835_7339.txt-1086-45	1,2,3,4	-
43_heel_nn	fic_2006_50943.txt-754-18,fic_1849_7333.txt-787-43	1,2,3,4	-
44_heel_nn	fic_1848_7193.txt-10971-18,fic_1824_7278.txt-1568-20	1,2,3,4	-
45_heel_nn	fic_1964_10452.txt-922-18,nf_1855_748018.txt-1815-15	1,2,3,4	-
46_heel_nn	fic_1978_10634.txt-6656-6,fic_1961_10411.txt-7836-20	1,2,3,4	-
47_heel_nn	fic_2006_50943.txt-754-18,fic_1860_9188.txt-1406-18	1,2,3,4	-
48_heel_nn	nf_1855_748018.txt-1815-15,news_1994_606820.txt-64-12	1,2,3,4	-
49_heel_nn	fic_2006_29091.txt-101-8,fic_1860_2807.txt-4807-17	1,2,3,4	-
50_heel_nn	fic_1961_10411.txt-7836-20,fic_1997_54603.txt-36-13	1,2,3,4	-
51_heel_nn	fic_1835_7339.txt-1086-45,fic_1852_69.txt-1683-27	1,2,3,4	-
52_heel_nn	fic_1835_7339.txt-1086-45,fic_1974_10590.txt-1512-5	1,2,3,4	-
53_heel_nn	nf_1990_774020.txt-1666-35,mag_2001_407931.txt-27-9	1,2,3,4	-
54_heel_nn	fic_1846_8891.txt-2192-12,fic_1978_10634.txt-6656-6	1,2,3,4	-
55_heel_nn	fic_1845_7183.txt-2743-8,fic_1853_9158.txt-662-54	1,2,3,4	-
56_heel_nn	fic_1846_8891.txt-2192-12,fic_1842_7206.txt-4992-65	1,2,3,4	-
57_heel_nn	fic_1849_7333.txt-787-43,fic_1846_7036.txt-2789-8	1,2,3,4	-
58_heel_nn	fic_1992_40270.txt-88-18,fic_1827_8772.txt-128-25	1,2,3,4	-
59_heel_nn	fic_1835_7339.txt-1086-45,nf_1985_774316.txt-437-56	1,2,3,4	-
60_heel_nn	fic_1849_7333.txt-787-43,fic_1845_7183.txt-2743-8	1,2,3,4	-
61_heel_nn	fic_1853_9158.txt-40-11,fic_1835_7339.txt-1086-45	1,2,3,4	-
62_heel_nn	fic_1860_2807.txt-2613-2,fic_2001_55630.txt-380-33	1,2,3,4	-
63_heel_nn	fic_1842_7206.txt-4992-65,fic_1961_10411.txt-7836-20	1,2,3,4	-
64_heel_nn	fic_1853_3465.txt-426-13,fic_1846_8891.txt-2192-12	1,2,3,4	-
65_heel_nn	fic_1964_10452.txt-922-18,fic_1967_10489.txt-4087-13	1,2,3,4	-
66_heel_nn	fic_1961_10411.txt-7836-20,fic_2009_36640.txt-13-23	1,2,3,4	-
67_heel_nn	fic_1849_7333.txt-787-43,fic_1822_7243.txt-113-6	1,2,3,4	-
68_heel_nn	fic_1848_7154.txt-1881-30,mag_2007_387965.txt-24-10	1,2,3,4	-
69_heel_nn	fic_2006_50943.txt-754-18,fic_1978_10634.txt-6656-6	1,2,3,4	-
70_heel_nn	fic_1964_10452.txt-922-18,fic_1974_10590.txt-1512-5	1,2,3,4	-
71_heel_nn	fic_1860_2807.txt-2886-19,fic_2009_36395.txt-19-14	1,2,3,4	-
72_heel_nn	fic_1980_780027.txt-895-24,fic_1848_7193.txt-10971-18	1,2,3,4	-
73_heel_nn	fic_1836_7052.txt-3090-36,fic_1835_7339.txt-1086-45	1,2,3,4	-
74_heel_nn	fic_1973_10568.txt-1121-16,fic_2003_31457.txt-218-9	1,2,3,4	-
75_heel_nn	fic_1964_10452.txt-922-18,fic_1845_7162.txt-1020-51	1,2,3,4	-
76_heel_nn	fic_1849_7333.txt-787-43,fic_1996_41638.txt-260-12	1,2,3,4	-
77_heel_nn	mag_2005_422872.txt-44-10,fic_1835_7339.txt-1086-45	1,2,3,4	-
78_heel_nn	nf_1851_758845.txt-2797-14,fic_1835_7339.txt-1086-45	1,2,3,4	-
79_heel_nn	fic_2007_34216.txt-23-23,fic_1851_746.txt-2547-1	1,2,3,4	-
80_heel_nn	fic_1964_10452.txt-922-18,fic_2001_45868.txt-263-10	1,2,3,4	-
81_heel_nn	fic_1854_70.txt-2563-57,fic_1835_7339.txt-1086-45	1,2,3,4	-
82_heel_nn	nf_1855_748018.txt-1815-15,fic_1835_7339.txt-1086-45	1,2,3,4	-
83_heel_nn	fic_1992_53585.txt-527-25,fic_1835_7339.txt-1086-45	1,2,3,4	-
84_heel_nn	fic_1849_7333.txt-787-43,fic_1996_30482.txt-7-16	1,2,3,4	-
85_heel_nn	fic_1822_7243.txt-6594-27,mag_2001_407931.txt-27-9	1,2,3,4	-
86_heel_nn	fic_1856_9779.txt-3394-30,fic_1835_7339.txt-1086-45	1,2,3,4	-
87_heel_nn	fic_1846_4464.txt-2099-20,fic_1961_10411.txt-447-10	1,2,3,4	-
88_heel_nn	fic_1849_7333.txt-787-43,nf_1838_747585.txt-1509-44	1,2,3,4	-
