instanceID	dataIDs	label_set	non_label
0_ball_nn	fic_1845_7183.txt-96-4,fic_1835_7064.txt-1770-4	1,2,3,4	-
1_ball_nn	fic_2008_36315.txt-205-3,mag_1856_576366.txt-108-8	1,2,3,4	-
2_ball_nn	nf_1855_771880.txt-246-8,mag_1835_554348.txt-508-19	1,2,3,4	-
3_ball_nn	fic_1966_10470.txt-2474-29,fic_1848_7005.txt-3453-29	1,2,3,4	-
4_ball_nn	fic_1971_10537.txt-7046-16,fic_1843_7208.txt-4384-11	1,2,3,4	-
5_ball_nn	mag_1999_404416.txt-81-13,fic_2006_27868.txt-198-8	1,2,3,4	-
6_ball_nn	fic_2007_52171.txt-163-54,fic_2006_27868.txt-198-8	1,2,3,4	-
7_ball_nn	mag_2001_416864.txt-126-1,fic_2006_27868.txt-198-8	1,2,3,4	-
8_ball_nn	fic_1964_780000.txt-1166-5,fic_2006_27868.txt-198-8	1,2,3,4	-
9_ball_nn	fic_1971_10537.txt-7046-16,fic_2006_27868.txt-198-8	1,2,3,4	-
10_ball_nn	mag_1994_352587.txt-5-22,mag_1960_92728.txt-98-20	1,2,3,4	-
11_ball_nn	fic_1823_7241.txt-6369-39,fic_1846_7527.txt-54-30	1,2,3,4	-
12_ball_nn	fic_1852_69.txt-5049-17,nf_1838_747482.txt-1194-43	1,2,3,4	-
13_ball_nn	fic_1986_16266.txt-1941-23,nf_1855_771880.txt-246-8	1,2,3,4	-
14_ball_nn	fic_1839_7011.txt-542-29,fic_2006_27868.txt-198-8	1,2,3,4	-
15_ball_nn	mag_1994_352587.txt-5-22,nf_1829_747550.txt-23-5	1,2,3,4	-
16_ball_nn	fic_1854_9218.txt-3589-17,nf_1838_747482.txt-1194-43	1,2,3,4	-
17_ball_nn	mag_1980_490829.txt-159-19,fic_2006_27868.txt-198-8	1,2,3,4	-
18_ball_nn	fic_1839_7011.txt-542-29,fic_1855_1273.txt-2451-29	1,2,3,4	-
19_ball_nn	fic_1980_780046.txt-4314-34,fic_2008_36315.txt-261-17	1,2,3,4	-
20_ball_nn	fic_1990_16024.txt-1796-1,fic_2005_780521.txt-284-44	1,2,3,4	-
21_ball_nn	fic_1852_69.txt-5049-17,fic_1842_555.txt-2985-38	1,2,3,4	-
22_ball_nn	fic_2008_36315.txt-205-3,mag_2003_400295.txt-146-5	1,2,3,4	-
23_ball_nn	fic_1859_9192.txt-4907-2,fic_2008_36315.txt-261-17	1,2,3,4	-
24_ball_nn	news_1995_641078.txt-228-4,fic_1994_41224.txt-397-7	1,2,3,4	-
25_ball_nn	nf_1855_750257.txt-1221-22,fic_1846_7527.txt-54-30	1,2,3,4	-
26_ball_nn	mag_1994_352587.txt-5-22,mag_2003_400295.txt-146-5	1,2,3,4	-
27_ball_nn	mag_1850_589154.txt-180-14,fic_2008_36315.txt-261-17	1,2,3,4	-
28_ball_nn	mag_1985_123519.txt-271-14,fic_1852_2364.txt-2112-3	1,2,3,4	-
29_ball_nn	fic_2006_27868.txt-115-4,fic_1859_9192.txt-4907-2	1,2,3,4	-
30_ball_nn	nf_1855_750257.txt-1221-22,fic_1858_1282.txt-3605-39	1,2,3,4	-
31_ball_nn	fic_1846_8891.txt-2822-24,fic_1856_2880.txt-5292-4	1,2,3,4	-
32_ball_nn	mag_1844_555207.txt-157-51,fic_1853_9158.txt-2284-13	1,2,3,4	-
33_ball_nn	fic_2009_36543.txt-144-3,mag_1844_555207.txt-157-51	1,2,3,4	-
34_ball_nn	fic_2008_36315.txt-261-17,fic_1843_7208.txt-4384-11	1,2,3,4	-
35_ball_nn	fic_1840_9329.txt-1163-29,nf_1856_769051.txt-1887-14	1,2,3,4	-
36_ball_nn	fic_1994_41224.txt-397-7,fic_2006_27868.txt-198-8	1,2,3,4	-
37_ball_nn	mag_1970_479117.txt-88-13,fic_1978_10645.txt-7769-14	1,2,3,4	-
38_ball_nn	fic_1981_10681.txt-5509-4,fic_1852_2364.txt-2112-3	1,2,3,4	-
39_ball_nn	fic_1971_10537.txt-7046-16,fic_1854_9218.txt-3589-17	1,2,3,4	-
40_ball_nn	fic_1965_13271.txt-12-9,nf_1855_771880.txt-246-8	1,2,3,4	-
41_ball_nn	fic_1856_1562.txt-4022-8,mag_1856_576366.txt-108-8	1,2,3,4	-
42_ball_nn	mag_1999_404416.txt-81-13,fic_1845_7071.txt-287-27	1,2,3,4	-
43_ball_nn	mag_1980_490829.txt-159-19,fic_1845_7071.txt-287-27	1,2,3,4	-
44_ball_nn	fic_1846_8891.txt-2822-24,fic_1843_7208.txt-4384-11	1,2,3,4	-
45_ball_nn	mag_2003_85197.txt-19-12,nf_1854_750818.txt-967-13	1,2,3,4	-
46_ball_nn	fic_1856_2880.txt-5292-4,fic_2008_36315.txt-261-17	1,2,3,4	-
