instanceID	dataIDs	label_set	non_label
0_land_nn	fic_1856_7889.txt-42-14,fic_2002_46815.txt-448-22	1,2,3,4	-
1_land_nn	mag_1847_555460.txt-176-1,mag_1860_527181.txt-175-1	1,2,3,4	-
2_land_nn	fic_1993_25030.txt-1339-9,fic_2002_46815.txt-448-22	1,2,3,4	-
3_land_nn	fic_1985_10734.txt-3876-9,mag_1992_394682.txt-26-26	1,2,3,4	-
4_land_nn	fic_1980_782022.txt-1850-13,news_1974_731515.txt-37-12	1,2,3,4	-
5_land_nn	fic_1846_7679.txt-205-6,fic_2002_46815.txt-448-22	1,2,3,4	-
6_land_nn	fic_1984_10725.txt-353-6,nf_1995_777121.txt-337-16	1,2,3,4	-
7_land_nn	fic_1854_8328.txt-1758-14,mag_1859_506498.txt-193-24	1,2,3,4	-
8_land_nn	fic_1993_25030.txt-1339-9,nf_1856_769137.txt-442-21	1,2,3,4	-
9_land_nn	news_1989_670803.txt-31-8,nf_1973_773528.txt-286-11	1,2,3,4	-
10_land_nn	mag_1980_491817.txt-105-22,fic_2002_46815.txt-448-22	1,2,3,4	-
11_land_nn	mag_1851_566070.txt-107-10,fic_2002_46815.txt-448-22	1,2,3,4	-
12_land_nn	mag_1964_490619.txt-25-56,fic_1854_9160.txt-1775-4	1,2,3,4	-
13_land_nn	mag_1980_491790.txt-104-15,nf_1856_755595.txt-102-5	1,2,3,4	-
14_land_nn	fic_1835_7271.txt-3081-22,fic_1844_7426.txt-470-9	1,2,3,4	-
15_land_nn	mag_1847_555460.txt-176-1,fic_2002_46815.txt-448-22	1,2,3,4	-
16_land_nn	mag_1984_480599.txt-328-11,fic_1998_43316.txt-549-8	1,2,3,4	-
17_land_nn	mag_1981_297525.txt-19-17,fic_2002_46815.txt-448-22	1,2,3,4	-
18_land_nn	fic_1828_8619.txt-136-46,fic_1967_780002.txt-426-14	1,2,3,4	-
19_land_nn	fic_1847_2913.txt-51-50,nf_1995_777121.txt-337-16	1,2,3,4	-
20_land_nn	mag_1988_339648.txt-4-20,mag_1961_491959.txt-98-3	1,2,3,4	-
21_land_nn	fic_1843_7208.txt-637-6,nf_1997_776918.txt-41-31	1,2,3,4	-
22_land_nn	mag_1971_494773.txt-69-28,mag_1860_527181.txt-175-1	1,2,3,4	-
23_land_nn	mag_1827_553793.txt-53-70,nf_1857_755095.txt-678-15	1,2,3,4	-
24_land_nn	nf_1966_774177.txt-996-10,fic_1850_7304.txt-5022-30	1,2,3,4	-
25_land_nn	fic_1844_7426.txt-470-9,nf_1833_747716.txt-366-18	1,2,3,4	-
26_land_nn	mag_1860_527181.txt-175-1,news_1982_735446.txt-130-25	1,2,3,4	-
27_land_nn	nf_1988_773439.txt-1368-15,fic_2002_46815.txt-448-22	1,2,3,4	-
28_land_nn	fic_2009_36915.txt-36-5,nf_1995_777121.txt-337-16	1,2,3,4	-
29_land_nn	fic_1843_8106.txt-268-59,nf_1995_777121.txt-337-16	1,2,3,4	-
30_land_nn	nf_1966_774177.txt-996-10,mag_1969_491260.txt-26-25	1,2,3,4	-
31_land_nn	fic_1980_782022.txt-1850-13,mag_2001_412021.txt-135-8	1,2,3,4	-
32_land_nn	nf_1967_774106.txt-667-17,nf_1999_774006.txt-347-7	1,2,3,4	-
33_land_nn	fic_1846_7679.txt-205-6,nf_1995_777121.txt-337-16	1,2,3,4	-
34_land_nn	fic_1960_4460.txt-179-3,fic_2002_46815.txt-448-22	1,2,3,4	-
35_land_nn	mag_1989_329755.txt-2-17,nf_1995_777121.txt-337-16	1,2,3,4	-
36_land_nn	fic_2003_28807.txt-227-8,fic_1975_10595.txt-3906-6	1,2,3,4	-
37_land_nn	news_1993_613453.txt-53-14,fic_1851_1253.txt-325-3	1,2,3,4	-
38_land_nn	fic_1980_782022.txt-1850-13,nf_1856_769137.txt-442-21	1,2,3,4	-
39_land_nn	fic_1843_7325.txt-534-23,nf_1995_777121.txt-337-16	1,2,3,4	-
40_land_nn	fic_1986_16143.txt-1921-13,fic_1844_7426.txt-470-9	1,2,3,4	-
41_land_nn	fic_1981_780030.txt-2186-16,fic_1975_10595.txt-3906-6	1,2,3,4	-
42_land_nn	nf_1827_747582.txt-989-47,fic_2002_46815.txt-448-22	1,2,3,4	-
43_land_nn	mag_1981_297525.txt-19-17,fic_1980_782022.txt-1850-13	1,2,3,4	-
44_land_nn	fic_1980_782022.txt-1850-13,fic_1981_10681.txt-9601-16	1,2,3,4	-
45_land_nn	mag_1860_527181.txt-175-1,nf_1856_769137.txt-442-21	1,2,3,4	-
46_land_nn	fic_2004_780501.txt-2632-1,nf_1995_777121.txt-337-16	1,2,3,4	-
47_land_nn	mag_1860_527181.txt-175-1,fic_1846_7679.txt-205-6	1,2,3,4	-
48_land_nn	fic_1976_14235.txt-1407-11,nf_1966_774177.txt-996-10	1,2,3,4	-
49_land_nn	mag_1996_383207.txt-10-10,fic_2002_46815.txt-448-22	1,2,3,4	-
50_land_nn	mag_1855_566598.txt-331-135,nf_1995_777121.txt-337-16	1,2,3,4	-
51_land_nn	fic_1971_782006.txt-4830-4,fic_2002_46815.txt-448-22	1,2,3,4	-
52_land_nn	nf_1847_748116.txt-2453-2,nf_1839_747610.txt-2459-90	1,2,3,4	-
53_land_nn	nf_1839_747931.txt-42-73,nf_1995_777121.txt-337-16	1,2,3,4	-
54_land_nn	mag_1836_554422.txt-221-14,fic_2002_46815.txt-448-22	1,2,3,4	-
55_land_nn	nf_1973_773528.txt-286-11,fic_1973_16200.txt-246-1	1,2,3,4	-
56_land_nn	fic_1981_780030.txt-2186-16,nf_1995_777121.txt-337-16	1,2,3,4	-
57_land_nn	fic_1982_10699.txt-8325-2,fic_2002_46815.txt-448-22	1,2,3,4	-
58_land_nn	nf_1857_755095.txt-678-15,fic_1974_780115.txt-3040-17	1,2,3,4	-
59_land_nn	fic_1855_9098.txt-632-3,fic_1994_27064.txt-4-35	1,2,3,4	-
60_land_nn	fic_1993_25006.txt-5468-11,nf_1995_777121.txt-337-16	1,2,3,4	-
61_land_nn	news_1989_670803.txt-31-8,fic_2002_46815.txt-448-22	1,2,3,4	-
62_land_nn	nf_1972_774324.txt-528-21,nf_1995_777121.txt-337-16	1,2,3,4	-
63_land_nn	mag_1822_553415.txt-22-1,fic_2002_46815.txt-448-22	1,2,3,4	-
64_land_nn	fic_1966_781993.txt-1898-33,fic_1843_7161.txt-514-42	1,2,3,4	-
65_land_nn	mag_2006_385056.txt-36-16,nf_1995_777121.txt-337-16	1,2,3,4	-
66_land_nn	mag_1984_480599.txt-328-11,fic_2000_32016.txt-374-43	1,2,3,4	-
67_land_nn	mag_1835_565135.txt-63-10,nf_1995_777121.txt-337-16	1,2,3,4	-
68_land_nn	nf_1837_755525.txt-1321-24,nf_1995_777121.txt-337-16	1,2,3,4	-
69_land_nn	fic_1847_2913.txt-51-50,nf_1997_776918.txt-41-31	1,2,3,4	-
70_land_nn	fic_2009_36915.txt-36-5,nf_1859_748098.txt-2590-54	1,2,3,4	-
71_land_nn	fic_1976_13997.txt-477-8,fic_2002_46815.txt-448-22	1,2,3,4	-
72_land_nn	nf_1833_747716.txt-366-18,mag_1980_491817.txt-105-22	1,2,3,4	-
73_land_nn	mag_1827_553793.txt-53-70,nf_1967_774385.txt-2-22	1,2,3,4	-
74_land_nn	fic_1842_9749.txt-2070-15,fic_1859_9216.txt-3281-55	1,2,3,4	-
75_land_nn	fic_2002_29283.txt-56-18,nf_1995_777121.txt-337-16	1,2,3,4	-
76_land_nn	fic_1854_70.txt-1141-20,fic_2002_46815.txt-448-22	1,2,3,4	-
77_land_nn	fic_1973_16200.txt-246-1,nf_1995_777121.txt-337-16	1,2,3,4	-
78_land_nn	fic_1835_5605.txt-2000-3,fic_2002_46815.txt-448-22	1,2,3,4	-
79_land_nn	nf_1999_774006.txt-347-7,nf_1967_774106.txt-667-17	1,2,3,4	-
80_land_nn	fic_1844_7189.txt-5141-3,nf_1966_774177.txt-996-10	1,2,3,4	-
81_land_nn	fic_1846_7121.txt-1072-9,nf_1856_769137.txt-442-21	1,2,3,4	-
82_land_nn	mag_1969_491260.txt-26-25,nf_1966_774177.txt-996-10	1,2,3,4	-
83_land_nn	mag_1984_480599.txt-328-11,fic_1980_782022.txt-1850-13	1,2,3,4	-
84_land_nn	news_1991_619072.txt-65-6,nf_1856_769137.txt-442-21	1,2,3,4	-
85_land_nn	fic_2006_51373.txt-119-19,mag_1860_527181.txt-175-1	1,2,3,4	-
86_land_nn	fic_1961_14115.txt-311-24,fic_1966_781993.txt-1898-33	1,2,3,4	-
87_land_nn	news_1974_731515.txt-37-12,fic_1844_7426.txt-470-9	1,2,3,4	-
88_land_nn	fic_1823_7214.txt-1383-6,nf_1973_773528.txt-286-11	1,2,3,4	-
89_land_nn	mag_1996_384072.txt-14-33,fic_1966_781993.txt-1898-33	1,2,3,4	-
90_land_nn	fic_1823_7248.txt-1618-5,fic_1966_781993.txt-1898-33	1,2,3,4	-
91_land_nn	mag_1992_394682.txt-26-26,mag_1860_527181.txt-175-1	1,2,3,4	-
92_land_nn	mag_2000_402541.txt-67-14,nf_1967_774106.txt-667-17	1,2,3,4	-
93_land_nn	nf_1859_748098.txt-2590-54,nf_1847_748116.txt-2453-2	1,2,3,4	-
94_land_nn	fic_2002_29283.txt-56-18,fic_1975_10595.txt-3906-6	1,2,3,4	-
95_land_nn	mag_2001_412021.txt-135-8,fic_1980_782022.txt-1850-13	1,2,3,4	-
96_land_nn	fic_1985_10734.txt-3876-9,fic_1966_781993.txt-1898-33	1,2,3,4	-
97_land_nn	nf_1970_774162.txt-606-21,nf_1856_769137.txt-442-21	1,2,3,4	-
98_land_nn	nf_1833_747581.txt-123-15,nf_1833_747716.txt-366-18	1,2,3,4	-
99_land_nn	fic_2004_28523.txt-72-10,nf_1997_776918.txt-41-31	1,2,3,4	-
100_land_nn	mag_1856_590811.txt-254-15,mag_1827_553793.txt-53-70	1,2,3,4	-
101_land_nn	fic_1970_14238.txt-1302-4,nf_1856_769137.txt-442-21	1,2,3,4	-
102_land_nn	fic_1984_10725.txt-353-6,fic_1980_782022.txt-1850-13	1,2,3,4	-
103_land_nn	nf_1842_747853.txt-1755-20,fic_1966_10481.txt-1732-17	1,2,3,4	-
104_land_nn	fic_1960_4460.txt-179-3,fic_1966_781993.txt-1898-33	1,2,3,4	-
105_land_nn	fic_1971_782006.txt-4830-4,fic_1980_782022.txt-1850-13	1,2,3,4	-
106_land_nn	news_1982_735446.txt-130-25,mag_1860_527181.txt-175-1	1,2,3,4	-
107_land_nn	nf_1833_747581.txt-1705-5,fic_1966_781993.txt-1898-33	1,2,3,4	-
108_land_nn	fic_2000_32016.txt-374-43,fic_1966_10481.txt-1732-17	1,2,3,4	-
109_land_nn	fic_1843_7208.txt-13087-29,mag_1827_553793.txt-53-70	1,2,3,4	-
110_land_nn	nf_1852_752548.txt-3701-35,fic_1980_782022.txt-1850-13	1,2,3,4	-
111_land_nn	mag_1851_504052.txt-6-14,fic_1966_781993.txt-1898-33	1,2,3,4	-
112_land_nn	fic_1980_782022.txt-1850-13,news_1991_619078.txt-39-3	1,2,3,4	-
113_land_nn	mag_1848_524876.txt-163-10,fic_1975_10595.txt-3906-6	1,2,3,4	-
114_land_nn	fic_1972_10563.txt-303-52,nf_1833_747716.txt-366-18	1,2,3,4	-
115_land_nn	mag_1980_491817.txt-105-22,nf_1833_747716.txt-366-18	1,2,3,4	-
116_land_nn	nf_1859_747504.txt-1183-2,nf_1833_747716.txt-366-18	1,2,3,4	-
117_land_nn	nf_1967_773667.txt-30-14,nf_1973_773528.txt-286-11	1,2,3,4	-
118_land_nn	fic_1843_7166.txt-602-12,mag_1860_527181.txt-175-1	1,2,3,4	-
119_land_nn	fic_1993_25006.txt-5468-11,nf_1966_774177.txt-996-10	1,2,3,4	-
120_land_nn	mag_1961_491959.txt-98-3,fic_1966_10481.txt-1732-17	1,2,3,4	-
