instanceID	dataIDs	label_set	non_label
0_lane_nn	fic_2006_30085.txt-52-6,fic_1817_8809.txt-8-8	1,2,3,4	-
1_lane_nn	fic_1997_29729.txt-237-23,fic_1976_10612.txt-640-44	1,2,3,4	-
2_lane_nn	fic_1847_7190.txt-1403-45,fic_1850_7171.txt-5228-62	1,2,3,4	-
3_lane_nn	fic_1994_41277.txt-19-8,fic_1997_54824.txt-312-31	1,2,3,4	-
4_lane_nn	fic_2006_30607.txt-88-14,fic_1848_7193.txt-6564-15	1,2,3,4	-
5_lane_nn	fic_2006_30607.txt-88-14,mag_2000_413712.txt-35-46	1,2,3,4	-
6_lane_nn	fic_1994_41277.txt-19-8,fic_1850_7171.txt-5228-62	1,2,3,4	-
7_lane_nn	fic_1843_7208.txt-2712-27,fic_1847_7190.txt-1403-45	1,2,3,4	-
8_lane_nn	fic_1850_7171.txt-5228-62,fic_1850_7171.txt-5239-44	1,2,3,4	-
9_lane_nn	fic_1827_7168.txt-711-47,fic_1995_52953.txt-10-22	1,2,3,4	-
10_lane_nn	mag_1963_441351.txt-125-10,nf_1975_774042.txt-2710-26	1,2,3,4	-
11_lane_nn	fic_1997_29729.txt-237-23,nf_1846_748061.txt-170-24	1,2,3,4	-
12_lane_nn	fic_1976_10612.txt-640-44,fic_1847_7190.txt-1403-45	1,2,3,4	-
13_lane_nn	fic_1850_7171.txt-150-13,fic_1997_54824.txt-312-31	1,2,3,4	-
14_lane_nn	fic_1835_7327.txt-1814-1,fic_2003_48659.txt-211-10	1,2,3,4	-
15_lane_nn	fic_1988_10775.txt-2356-9,fic_1995_52953.txt-10-22	1,2,3,4	-
16_lane_nn	fic_2000_38620.txt-307-11,fic_1994_41277.txt-19-8	1,2,3,4	-
17_lane_nn	fic_1848_7193.txt-9529-5,fic_1850_7171.txt-150-13	1,2,3,4	-
18_lane_nn	fic_1817_8809.txt-8-8,fic_1835_7327.txt-1814-1	1,2,3,4	-
19_lane_nn	fic_1817_8809.txt-8-8,fic_1997_29729.txt-237-23	1,2,3,4	-
20_lane_nn	news_1989_670790.txt-16-12,fic_1850_7171.txt-5239-44	1,2,3,4	-
21_lane_nn	fic_1997_54824.txt-312-31,news_1989_670790.txt-16-12	1,2,3,4	-
22_lane_nn	nf_1846_748061.txt-170-24,news_1989_670790.txt-16-12	1,2,3,4	-
23_lane_nn	fic_2002_32197.txt-498-8,fic_1997_29729.txt-237-23	1,2,3,4	-
24_lane_nn	nf_1841_747926.txt-253-54,fic_1850_7171.txt-150-13	1,2,3,4	-
25_lane_nn	fic_2006_30085.txt-52-6,fic_2003_48659.txt-211-10	1,2,3,4	-
26_lane_nn	fic_1856_5515.txt-880-9,fic_1968_10501.txt-2966-1	1,2,3,4	-
27_lane_nn	fic_1850_7171.txt-5228-62,nf_1846_748061.txt-170-24	1,2,3,4	-
28_lane_nn	fic_1859_9037.txt-623-77,fic_1849_2605.txt-945-13	1,2,3,4	-
29_lane_nn	fic_1968_10501.txt-2966-1,mag_2005_419504.txt-124-4	1,2,3,4	-
30_lane_nn	fic_2003_48659.txt-211-10,fic_2000_38620.txt-307-11	1,2,3,4	-
31_lane_nn	fic_1997_54824.txt-312-31,nf_1841_747926.txt-253-54	1,2,3,4	-
32_lane_nn	fic_1850_7171.txt-5239-44,fic_1848_7193.txt-351-5	1,2,3,4	-
33_lane_nn	fic_1976_10612.txt-640-44,news_2003_628522.txt-25-5	1,2,3,4	-
34_lane_nn	fic_1835_7327.txt-1814-1,news_2003_628522.txt-25-5	1,2,3,4	-
