instanceID	dataIDs	label_set	non_label
0_lass_nn	fic_1843_8764.txt-2502-60,fic_1999_44468.txt-104-7	1,2,3,4	-
1_lass_nn	fic_1989_13956.txt-513-4,fic_1985_10727.txt-2751-2	1,2,3,4	-
2_lass_nn	mag_1995_415117.txt-3-23,news_1972_730482.txt-1-7	1,2,3,4	-
3_lass_nn	mag_1980_431982.txt-155-14,fic_2006_29620.txt-90-43	1,2,3,4	-
4_lass_nn	fic_1998_43328.txt-596-9,fic_1998_43328.txt-510-23	1,2,3,4	-
5_lass_nn	fic_1846_8819.txt-1886-16,fic_1998_43328.txt-596-9	1,2,3,4	-
6_lass_nn	fic_1824_8753.txt-829-11,fic_1998_43328.txt-581-6	1,2,3,4	-
7_lass_nn	fic_1993_1040075.txt-3226-4,fic_2005_50424.txt-0-36	1,2,3,4	-
8_lass_nn	fic_1815_8613.txt-100-9,fic_1849_7333.txt-432-11	1,2,3,4	-
9_lass_nn	fic_1834_7032.txt-2020-45,nf_1854_755030.txt-3112-24	1,2,3,4	-
10_lass_nn	fic_1823_7213.txt-551-14,fic_1859_9220.txt-669-14	1,2,3,4	-
11_lass_nn	fic_1849_7230.txt-2481-6,news_2006_623988.txt-62-17	1,2,3,4	-
12_lass_nn	fic_1824_8753.txt-829-11,fic_1994_53932.txt-676-20	1,2,3,4	-
13_lass_nn	nf_1998_773548.txt-664-1,fic_1823_7213.txt-1671-48	1,2,3,4	-
14_lass_nn	fic_1998_43328.txt-596-9,fic_1998_43328.txt-535-10	1,2,3,4	-
15_lass_nn	fic_2001_14559.txt-594-15,fic_1818_8861.txt-495-8	1,2,3,4	-
16_lass_nn	fic_1824_7211.txt-1161-4,fic_1860_8725.txt-8-2	1,2,3,4	-
17_lass_nn	fic_2004_32368.txt-134-15,mag_1964_208036.txt-1-10	1,2,3,4	-
18_lass_nn	fic_1985_10727.txt-2751-2,fic_1847_7149.txt-2014-29	1,2,3,4	-
19_lass_nn	fic_1847_9120.txt-24-3,fic_1849_583.txt-2574-50	1,2,3,4	-
20_lass_nn	mag_1987_494263.txt-44-14,fic_1838_7086.txt-2825-11	1,2,3,4	-
21_lass_nn	fic_1847_7149.txt-2014-29,fic_1837_7395.txt-1589-33	1,2,3,4	-
22_lass_nn	fic_1854_8328.txt-5343-12,fic_1998_43328.txt-581-6	1,2,3,4	-
23_lass_nn	fic_1846_8819.txt-1886-16,fic_1981_10675.txt-2101-6	1,2,3,4	-
24_lass_nn	fic_1974_780164.txt-1015-9,news_2006_623988.txt-62-17	1,2,3,4	-
25_lass_nn	fic_1844_7114.txt-736-14,news_2006_623988.txt-62-17	1,2,3,4	-
26_lass_nn	fic_1974_10593.txt-3510-10,fic_1843_7208.txt-10532-32	1,2,3,4	-
27_lass_nn	mag_2001_417106.txt-821-5,news_2006_623988.txt-62-17	1,2,3,4	-
28_lass_nn	fic_2001_28777.txt-76-20,nf_1854_755030.txt-3112-24	1,2,3,4	-
29_lass_nn	news_2001_661933.txt-36-0,fic_1843_7208.txt-10532-32	1,2,3,4	-
30_lass_nn	fic_1818_7631.txt-309-6,fic_1843_7208.txt-10532-32	1,2,3,4	-
31_lass_nn	fic_1848_7107.txt-864-13,news_2006_623988.txt-62-17	1,2,3,4	-
32_lass_nn	fic_2006_27510.txt-18-4,news_2006_623988.txt-62-17	1,2,3,4	-
33_lass_nn	fic_1999_44468.txt-90-4,fic_1999_30509.txt-368-9	1,2,3,4	-
34_lass_nn	fic_2006_26882.txt-27-9,news_2006_623988.txt-62-17	1,2,3,4	-
35_lass_nn	fic_1824_7211.txt-1178-21,fic_1999_30509.txt-368-9	1,2,3,4	-
36_lass_nn	news_2001_661933.txt-36-0,news_2006_623988.txt-62-17	1,2,3,4	-
37_lass_nn	news_1972_730482.txt-1-7,news_2006_623988.txt-62-17	1,2,3,4	-
38_lass_nn	fic_2008_36218.txt-33-18,fic_1980_10663.txt-1172-33	1,2,3,4	-
39_lass_nn	fic_1973_10576.txt-2136-2,fic_1998_43328.txt-581-6	1,2,3,4	-
40_lass_nn	mag_2001_426201.txt-48-2,nf_1854_755030.txt-3112-24	1,2,3,4	-
41_lass_nn	fic_1974_780164.txt-382-3,fic_1854_9826.txt-1896-19	1,2,3,4	-
42_lass_nn	fic_1859_9220.txt-669-14,fic_1824_7211.txt-2276-17	1,2,3,4	-
43_lass_nn	fic_1847_7149.txt-48-54,fic_1999_30509.txt-368-9	1,2,3,4	-
44_lass_nn	fic_1835_7334.txt-1114-91,fic_1981_10675.txt-2101-6	1,2,3,4	-
45_lass_nn	fic_1846_8819.txt-1886-16,fic_1998_43328.txt-581-6	1,2,3,4	-
46_lass_nn	fic_1999_44468.txt-90-4,fic_1998_43328.txt-581-6	1,2,3,4	-
47_lass_nn	fic_1823_7213.txt-551-14,fic_1981_10675.txt-2101-6	1,2,3,4	-
48_lass_nn	fic_1832_7177.txt-3501-37,news_2006_623988.txt-62-17	1,2,3,4	-
49_lass_nn	nf_1984_774242.txt-1326-11,nf_1854_755030.txt-3112-24	1,2,3,4	-
50_lass_nn	fic_1985_10727.txt-2745-6,news_2006_623988.txt-62-17	1,2,3,4	-
51_lass_nn	fic_1838_7085.txt-2447-18,nf_1854_755030.txt-3112-24	1,2,3,4	-
52_lass_nn	fic_1834_7032.txt-2020-45,fic_1980_10663.txt-1172-33	1,2,3,4	-
53_lass_nn	fic_1854_7839.txt-1700-3,news_2006_623988.txt-62-17	1,2,3,4	-
54_lass_nn	nf_1852_752548.txt-2830-27,fic_1999_30509.txt-368-9	1,2,3,4	-
55_lass_nn	fic_2004_32497.txt-94-6,fic_1998_43328.txt-581-6	1,2,3,4	-
56_lass_nn	mag_1966_488145.txt-89-11,news_2006_623988.txt-62-17	1,2,3,4	-
57_lass_nn	fic_2002_31369.txt-22-12,fic_1981_10675.txt-2101-6	1,2,3,4	-
58_lass_nn	mag_1964_208036.txt-1-10,news_2006_623988.txt-62-17	1,2,3,4	-
59_lass_nn	fic_1993_1040075.txt-3386-3,fic_1998_43328.txt-581-6	1,2,3,4	-
60_lass_nn	fic_1853_9158.txt-109-11,news_1974_731687.txt-9-3	1,2,3,4	-
61_lass_nn	fic_1977_10628.txt-4037-4,fic_1981_10675.txt-2101-6	1,2,3,4	-
62_lass_nn	fic_1815_8717.txt-1117-15,fic_1998_43328.txt-581-6	1,2,3,4	-
63_lass_nn	fic_2006_29620.txt-90-43,fic_1998_43328.txt-581-6	1,2,3,4	-
64_lass_nn	fic_1838_7086.txt-2825-11,fic_1824_7211.txt-2276-17	1,2,3,4	-
65_lass_nn	fic_1837_7395.txt-2970-13,fic_1998_43328.txt-581-6	1,2,3,4	-
66_lass_nn	fic_1977_10628.txt-4037-4,news_2006_623988.txt-62-17	1,2,3,4	-
67_lass_nn	fic_1999_45249.txt-99-2,news_2006_623988.txt-62-17	1,2,3,4	-
68_lass_nn	fic_2005_50424.txt-0-36,news_2006_623988.txt-62-17	1,2,3,4	-
69_lass_nn	fic_1995_39386.txt-190-9,news_2006_623988.txt-62-17	1,2,3,4	-
70_lass_nn	fic_1823_7213.txt-1732-5,news_2006_623988.txt-62-17	1,2,3,4	-
71_lass_nn	fic_1999_30509.txt-381-5,fic_1998_43328.txt-581-6	1,2,3,4	-
72_lass_nn	mag_1988_487706.txt-108-9,fic_1998_43328.txt-581-6	1,2,3,4	-
73_lass_nn	fic_1971_10541.txt-2230-30,news_2006_623988.txt-62-17	1,2,3,4	-
74_lass_nn	fic_1854_2820.txt-5129-20,fic_1998_43328.txt-581-6	1,2,3,4	-
75_lass_nn	fic_1823_7213.txt-1671-48,fic_1849_583.txt-2574-50	1,2,3,4	-
76_lass_nn	fic_1997_28876.txt-24-17,news_2006_623988.txt-62-17	1,2,3,4	-
77_lass_nn	mag_1834_564618.txt-134-9,fic_1981_10675.txt-2101-6	1,2,3,4	-
78_lass_nn	fic_1971_10537.txt-9882-7,fic_1837_7395.txt-1589-33	1,2,3,4	-
79_lass_nn	fic_1849_5295.txt-500-60,fic_1998_43328.txt-581-6	1,2,3,4	-
80_lass_nn	mag_1971_479219.txt-250-0,fic_1824_7211.txt-2276-17	1,2,3,4	-
81_lass_nn	fic_1823_7213.txt-3644-16,fic_1824_7211.txt-2276-17	1,2,3,4	-
82_lass_nn	fic_1815_8719.txt-718-15,news_2006_623988.txt-62-17	1,2,3,4	-
83_lass_nn	fic_1846_544.txt-2641-14,news_2006_623988.txt-62-17	1,2,3,4	-
84_lass_nn	fic_1815_8717.txt-1117-15,fic_2004_13808.txt-742-11	1,2,3,4	-
85_lass_nn	fic_1824_7211.txt-1090-18,news_2006_623988.txt-62-17	1,2,3,4	-
86_lass_nn	fic_2006_27510.txt-18-4,nf_1854_755030.txt-3112-24	1,2,3,4	-
87_lass_nn	fic_2001_14559.txt-594-15,fic_1824_7211.txt-2276-17	1,2,3,4	-
88_lass_nn	news_1966_725564.txt-42-13,news_2006_623988.txt-62-17	1,2,3,4	-
89_lass_nn	fic_1829_7072.txt-2468-38,fic_1849_583.txt-2574-50	1,2,3,4	-
90_lass_nn	mag_1982_325004.txt-19-4,news_1974_731687.txt-9-3	1,2,3,4	-
91_lass_nn	fic_2009_36692.txt-135-11,news_2006_623988.txt-62-17	1,2,3,4	-
92_lass_nn	fic_1998_43328.txt-535-10,fic_1824_7211.txt-2276-17	1,2,3,4	-
93_lass_nn	mag_2001_417106.txt-821-5,fic_1843_7208.txt-10532-32	1,2,3,4	-
