instanceID	dataIDs	label_set	non_label
0_maxim_nn	nf_1971_773817.txt-702-34,mag_1828_553902.txt-254-14	1,2,3,4	-
1_maxim_nn	nf_1963_774222.txt-726-11,nf_1999_775054.txt-55-2	1,2,3,4	-
2_maxim_nn	mag_1993_425233.txt-137-15,fic_1982_780034.txt-1897-16	1,2,3,4	-
3_maxim_nn	mag_1835_554346.txt-327-4,mag_1986_494693.txt-104-10	1,2,3,4	-
4_maxim_nn	mag_1826_553699.txt-30-27,mag_1973_479437.txt-161-23	1,2,3,4	-
5_maxim_nn	nf_1843_747650.txt-1240-21,mag_1986_494693.txt-104-10	1,2,3,4	-
6_maxim_nn	nf_1960_774212.txt-1301-11,nf_1844_772692.txt-399-12	1,2,3,4	-
7_maxim_nn	mag_1860_556848.txt-673-141,fic_2007_33912.txt-10-4	1,2,3,4	-
8_maxim_nn	fic_1815_8679.txt-207-1,fic_1860_8044.txt-776-18	1,2,3,4	-
9_maxim_nn	nf_1847_748116.txt-940-13,mag_1831_554103.txt-195-17	1,2,3,4	-
10_maxim_nn	fic_1823_7213.txt-1345-11,fic_1835_7014.txt-782-8	1,2,3,4	-
11_maxim_nn	nf_1817_747651.txt-1503-5,mag_1844_565352.txt-293-25	1,2,3,4	-
12_maxim_nn	nf_2008_774727.txt-197-3,mag_1969_490688.txt-63-10	1,2,3,4	-
13_maxim_nn	nf_1964_774160.txt-452-13,fic_2008_36110.txt-8-26	1,2,3,4	-
14_maxim_nn	news_1970_728376.txt-16-54,mag_1834_564662.txt-160-8	1,2,3,4	-
15_maxim_nn	fic_1844_3928.txt-816-3,mag_1826_553699.txt-30-27	1,2,3,4	-
16_maxim_nn	nf_1966_773720.txt-152-26,fic_1858_1282.txt-245-20	1,2,3,4	-
17_maxim_nn	fic_2007_33912.txt-10-4,nf_1837_772749.txt-870-3	1,2,3,4	-
18_maxim_nn	fic_1856_1281.txt-5028-6,fic_1860_2807.txt-342-10	1,2,3,4	-
19_maxim_nn	fic_1839_7088.txt-629-9,nf_2008_774727.txt-197-3	1,2,3,4	-
20_maxim_nn	fic_2003_48734.txt-38-29,mag_1849_525201.txt-349-29	1,2,3,4	-
21_maxim_nn	mag_1973_479437.txt-161-23,nf_1964_774160.txt-452-13	1,2,3,4	-
22_maxim_nn	fic_1815_8679.txt-336-13,nf_1964_774160.txt-452-13	1,2,3,4	-
23_maxim_nn	mag_1822_553406.txt-9-19,mag_1826_553699.txt-30-27	1,2,3,4	-
24_maxim_nn	news_1961_721978.txt-58-8,mag_1849_525201.txt-349-29	1,2,3,4	-
25_maxim_nn	nf_1851_758845.txt-2313-9,fic_1860_2807.txt-342-10	1,2,3,4	-
26_maxim_nn	mag_1979_431967.txt-304-5,mag_1844_565352.txt-293-25	1,2,3,4	-
27_maxim_nn	nf_1985_774316.txt-18-8,fic_1858_1282.txt-245-20	1,2,3,4	-
28_maxim_nn	mag_2007_387613.txt-109-3,mag_1834_564662.txt-160-8	1,2,3,4	-
29_maxim_nn	fic_1860_9072.txt-25-10,fic_1858_1282.txt-245-20	1,2,3,4	-
30_maxim_nn	fic_1860_9168.txt-210-32,nf_1964_774160.txt-452-13	1,2,3,4	-
31_maxim_nn	news_1987_670557.txt-42-20,nf_1841_747644.txt-1130-35	1,2,3,4	-
32_maxim_nn	nf_1970_774328.txt-435-8,mag_1849_525201.txt-349-29	1,2,3,4	-
33_maxim_nn	mag_1993_424579.txt-119-6,mag_1826_553699.txt-30-27	1,2,3,4	-
34_maxim_nn	mag_1970_479130.txt-26-13,nf_1837_772749.txt-870-3	1,2,3,4	-
35_maxim_nn	mag_1833_564563.txt-169-30,nf_1837_772749.txt-870-3	1,2,3,4	-
36_maxim_nn	mag_1969_490688.txt-63-10,mag_1834_564662.txt-160-8	1,2,3,4	-
37_maxim_nn	mag_1993_425233.txt-137-15,fic_1835_7133.txt-1935-29	1,2,3,4	-
38_maxim_nn	nf_1858_753804.txt-772-16,fic_1860_2807.txt-342-10	1,2,3,4	-
39_maxim_nn	mag_1982_491859.txt-105-3,fic_1860_2807.txt-342-10	1,2,3,4	-
40_maxim_nn	fic_1964_24514.txt-2034-11,mag_1965_492050.txt-333-54	1,2,3,4	-
41_maxim_nn	nf_2007_747189.txt-787-9,nf_1841_747644.txt-1130-35	1,2,3,4	-
42_maxim_nn	nf_1843_747650.txt-1240-21,mag_1834_564662.txt-160-8	1,2,3,4	-
43_maxim_nn	nf_1829_748004.txt-1355-25,mag_1826_553699.txt-30-27	1,2,3,4	-
44_maxim_nn	fic_1842_7158.txt-1050-41,mag_1834_564662.txt-160-8	1,2,3,4	-
45_maxim_nn	news_1970_728505.txt-16-4,nf_1841_747644.txt-1130-35	1,2,3,4	-
46_maxim_nn	mag_1835_554330.txt-442-67,fic_1835_7133.txt-1935-29	1,2,3,4	-
47_maxim_nn	fic_1980_10671.txt-884-1,mag_1834_564662.txt-160-8	1,2,3,4	-
48_maxim_nn	nf_1858_753804.txt-144-2,mag_1838_586189.txt-339-10	1,2,3,4	-
49_maxim_nn	mag_1979_431967.txt-304-5,nf_1964_774160.txt-452-13	1,2,3,4	-
50_maxim_nn	fic_2008_36110.txt-8-26,nf_1964_774160.txt-452-13	1,2,3,4	-
51_maxim_nn	mag_1860_556848.txt-673-141,fic_1858_1282.txt-245-20	1,2,3,4	-
52_maxim_nn	fic_1836_7052.txt-1630-1,mag_1826_553699.txt-30-27	1,2,3,4	-
53_maxim_nn	mag_1985_331153.txt-6-1,mag_1999_392561.txt-157-23	1,2,3,4	-
54_maxim_nn	nf_1836_755436.txt-64-3,nf_2008_774727.txt-197-3	1,2,3,4	-
55_maxim_nn	fic_1815_8679.txt-207-1,fic_1860_2807.txt-342-10	1,2,3,4	-
56_maxim_nn	nf_1845_747928.txt-3719-9,mag_1834_564662.txt-160-8	1,2,3,4	-
57_maxim_nn	news_2004_640278.txt-165-2,mag_1999_392561.txt-157-23	1,2,3,4	-
58_maxim_nn	mag_1855_566529.txt-63-25,fic_1835_7133.txt-1935-29	1,2,3,4	-
59_maxim_nn	nf_1960_774212.txt-1301-11,nf_1841_747644.txt-1130-35	1,2,3,4	-
60_maxim_nn	mag_1962_310100.txt-11-25,fic_1860_2807.txt-342-10	1,2,3,4	-
61_maxim_nn	nf_1856_747626.txt-1689-2,nf_1964_774160.txt-452-13	1,2,3,4	-
62_maxim_nn	nf_1971_773817.txt-702-34,nf_1841_747644.txt-1130-35	1,2,3,4	-
63_maxim_nn	fic_2001_45565.txt-725-6,nf_2008_774727.txt-197-3	1,2,3,4	-
64_maxim_nn	fic_2001_14550.txt-786-100,mag_1838_586189.txt-339-10	1,2,3,4	-
65_maxim_nn	news_1987_669592.txt-13-3,mag_1826_553699.txt-30-27	1,2,3,4	-
66_maxim_nn	fic_1836_7350.txt-1634-36,nf_1837_772749.txt-870-3	1,2,3,4	-
67_maxim_nn	fic_1974_13259.txt-451-5,nf_1837_772749.txt-870-3	1,2,3,4	-
68_maxim_nn	nf_1824_747685.txt-3087-24,mag_1826_553699.txt-30-27	1,2,3,4	-
69_maxim_nn	mag_1823_553475.txt-129-6,fic_1835_7133.txt-1935-29	1,2,3,4	-
70_maxim_nn	nf_1858_753804.txt-799-1,mag_1999_392561.txt-157-23	1,2,3,4	-
71_maxim_nn	fic_2007_33912.txt-1-0,mag_1852_566154.txt-16-15	1,2,3,4	-
72_maxim_nn	mag_1835_554346.txt-327-4,fic_1835_7133.txt-1935-29	1,2,3,4	-
73_maxim_nn	nf_1983_774209.txt-150-11,mag_1849_525201.txt-349-29	1,2,3,4	-
74_maxim_nn	nf_1984_773424.txt-236-9,mag_1826_553699.txt-30-27	1,2,3,4	-
75_maxim_nn	mag_1859_556713.txt-167-77,nf_2008_774727.txt-197-3	1,2,3,4	-
76_maxim_nn	fic_1982_780034.txt-1897-16,mag_1849_525201.txt-349-29	1,2,3,4	-
77_maxim_nn	mag_1843_565314.txt-184-51,mag_1999_392561.txt-157-23	1,2,3,4	-
78_maxim_nn	nf_1967_774169.txt-502-13,mag_1838_586189.txt-339-10	1,2,3,4	-
79_maxim_nn	mag_1844_565352.txt-293-25,nf_2008_774727.txt-197-3	1,2,3,4	-
80_maxim_nn	nf_1844_772692.txt-399-12,fic_1858_1282.txt-245-20	1,2,3,4	-
81_maxim_nn	fic_1824_7285.txt-1102-1,mag_1999_392561.txt-157-23	1,2,3,4	-
82_maxim_nn	fic_1839_7088.txt-718-17,fic_1858_1282.txt-245-20	1,2,3,4	-
83_maxim_nn	nf_1852_748165.txt-3024-18,nf_2008_774727.txt-197-3	1,2,3,4	-
84_maxim_nn	mag_1972_479379.txt-94-25,mag_1834_564662.txt-160-8	1,2,3,4	-
85_maxim_nn	mag_1967_478816.txt-40-14,mag_1849_525201.txt-349-29	1,2,3,4	-
86_maxim_nn	fic_1860_9168.txt-360-3,mag_1838_586189.txt-339-10	1,2,3,4	-
87_maxim_nn	mag_1962_311891.txt-7-41,fic_1860_2807.txt-342-10	1,2,3,4	-
88_maxim_nn	nf_1829_748004.txt-1962-7,mag_1826_553699.txt-30-27	1,2,3,4	-
89_maxim_nn	mag_1982_492257.txt-124-12,mag_1999_392561.txt-157-23	1,2,3,4	-
90_maxim_nn	news_1963_723346.txt-94-9,mag_1999_392561.txt-157-23	1,2,3,4	-
91_maxim_nn	mag_1828_553913.txt-218-38,nf_1841_747644.txt-1130-35	1,2,3,4	-
92_maxim_nn	mag_1975_286460.txt-0-27,fic_1835_7133.txt-1935-29	1,2,3,4	-
93_maxim_nn	mag_2000_368396.txt-14-7,fic_1860_2807.txt-342-10	1,2,3,4	-
94_maxim_nn	fic_1988_782036.txt-765-8,mag_1999_392561.txt-157-23	1,2,3,4	-
95_maxim_nn	fic_1838_7359.txt-3306-8,nf_1837_772749.txt-870-3	1,2,3,4	-
96_maxim_nn	mag_1975_286460.txt-2-13,nf_1837_772749.txt-870-3	1,2,3,4	-
97_maxim_nn	fic_1857_9075.txt-2130-14,mag_1999_392561.txt-157-23	1,2,3,4	-
98_maxim_nn	mag_1994_425728.txt-57-9,mag_1838_586189.txt-339-10	1,2,3,4	-
99_maxim_nn	nf_1832_747409.txt-255-24,nf_1841_747644.txt-1130-35	1,2,3,4	-
100_maxim_nn	mag_1983_298923.txt-2-15,mag_1838_586189.txt-339-10	1,2,3,4	-
101_maxim_nn	mag_1837_554558.txt-238-20,nf_1841_747644.txt-1130-35	1,2,3,4	-
102_maxim_nn	fic_1832_7176.txt-1664-33,mag_1849_525201.txt-349-29	1,2,3,4	-
103_maxim_nn	nf_1847_748116.txt-3039-14,nf_1837_772749.txt-870-3	1,2,3,4	-
104_maxim_nn	mag_1855_555998.txt-22-29,fic_1835_7133.txt-1935-29	1,2,3,4	-
105_maxim_nn	mag_2007_388357.txt-26-21,news_1970_728376.txt-16-54	1,2,3,4	-
106_maxim_nn	fic_1998_43273.txt-149-7,mag_1849_525201.txt-349-29	1,2,3,4	-
107_maxim_nn	fic_2007_33912.txt-1-0,nf_1837_772749.txt-870-3	1,2,3,4	-
108_maxim_nn	fic_1860_9168.txt-1867-12,nf_2008_774727.txt-197-3	1,2,3,4	-
109_maxim_nn	mag_2005_427890.txt-12-16,fic_1835_7133.txt-1935-29	1,2,3,4	-
110_maxim_nn	fic_1860_9168.txt-1845-29,mag_1849_525201.txt-349-29	1,2,3,4	-
111_maxim_nn	fic_1856_2470.txt-5680-1,fic_1835_7133.txt-1935-29	1,2,3,4	-
112_maxim_nn	nf_1844_749098.txt-2508-10,mag_1834_564662.txt-160-8	1,2,3,4	-
113_maxim_nn	mag_1975_290454.txt-7-1,nf_1841_747644.txt-1130-35	1,2,3,4	-
114_maxim_nn	mag_1993_425233.txt-135-7,mag_1999_392561.txt-157-23	1,2,3,4	-
115_maxim_nn	mag_1848_524833.txt-206-8,mag_1999_392561.txt-157-23	1,2,3,4	-
116_maxim_nn	fic_2001_45461.txt-121-4,fic_1860_2807.txt-342-10	1,2,3,4	-
117_maxim_nn	fic_1860_8044.txt-776-18,fic_1858_1282.txt-245-20	1,2,3,4	-
