instanceID	label	comment	annotator
0_maxim_nn	3.0	 	annotator2
1_maxim_nn	4.0	 	annotator2
2_maxim_nn	1.0	 	annotator2
3_maxim_nn	3.0	 	annotator2
4_maxim_nn	4.0	 	annotator6
5_maxim_nn	4.0	 	annotator6
6_maxim_nn	4.0	 	annotator6
1_maxim_nn	4.0	 	annotator6
7_maxim_nn	-	not the same root	annotator5
8_maxim_nn	4.0	 	annotator5
9_maxim_nn	4.0	 	annotator5
10_maxim_nn	4.0	 	annotator5
11_maxim_nn	4.0	 	annotator0
5_maxim_nn	4.0	 	annotator0
12_maxim_nn	4.0	 	annotator0
13_maxim_nn	-	 	annotator0
14_maxim_nn	1.0	 	annotator2
15_maxim_nn	4.0	 	annotator2
16_maxim_nn	3.0	 	annotator2
17_maxim_nn	1.0	 	annotator2
18_maxim_nn	3.0	 	annotator2
19_maxim_nn	4.0	 	annotator2
20_maxim_nn	4.0	 	annotator2
21_maxim_nn	4.0	 	annotator2
22_maxim_nn	3.0	 	annotator2
23_maxim_nn	4.0	 	annotator2
24_maxim_nn	4.0	 	annotator2
25_maxim_nn	3.0	 	annotator2
26_maxim_nn	4.0	 	annotator2
27_maxim_nn	3.0	 	annotator2
28_maxim_nn	4.0	 	annotator2
29_maxim_nn	3.0	 	annotator2
30_maxim_nn	4.0	 	annotator2
31_maxim_nn	4.0	 	annotator2
32_maxim_nn	4.0	 	annotator2
33_maxim_nn	4.0	 	annotator2
34_maxim_nn	4.0	 	annotator2
35_maxim_nn	4.0	 	annotator2
36_maxim_nn	4.0	 	annotator2
37_maxim_nn	1.0	 	annotator2
38_maxim_nn	4.0	 	annotator2
39_maxim_nn	4.0	 	annotator2
40_maxim_nn	1.0	 	annotator2
41_maxim_nn	4.0	 	annotator2
42_maxim_nn	4.0	 	annotator2
43_maxim_nn	4.0	 	annotator2
44_maxim_nn	4.0	 	annotator2
45_maxim_nn	4.0	 	annotator2
46_maxim_nn	4.0	 	annotator2
47_maxim_nn	4.0	 	annotator2
48_maxim_nn	4.0	 	annotator2
49_maxim_nn	4.0	 	annotator2
50_maxim_nn	1.0	 	annotator2
51_maxim_nn	4.0	 	annotator2
52_maxim_nn	4.0	 	annotator2
53_maxim_nn	4.0	 	annotator2
54_maxim_nn	4.0	 	annotator2
55_maxim_nn	3.0	 	annotator2
56_maxim_nn	4.0	 	annotator2
57_maxim_nn	4.0	 	annotator2
58_maxim_nn	4.0	 	annotator2
59_maxim_nn	4.0	 	annotator2
60_maxim_nn	4.0	 	annotator2
61_maxim_nn	4.0	 	annotator2
62_maxim_nn	4.0	 	annotator2
63_maxim_nn	1.0	 	annotator2
64_maxim_nn	1.0	 	annotator2
65_maxim_nn	4.0	 	annotator2
66_maxim_nn	4.0	 	annotator2
67_maxim_nn	1.0	 	annotator2
68_maxim_nn	4.0	 	annotator2
69_maxim_nn	4.0	 	annotator2
70_maxim_nn	4.0	 	annotator2
71_maxim_nn	1.0	 	annotator2
72_maxim_nn	4.0	 	annotator2
73_maxim_nn	4.0	 	annotator2
74_maxim_nn	4.0	 	annotator2
75_maxim_nn	3.0	 	annotator2
76_maxim_nn	1.0	 	annotator2
77_maxim_nn	4.0	 	annotator2
78_maxim_nn	4.0	 	annotator2
79_maxim_nn	4.0	 	annotator2
80_maxim_nn	4.0	 	annotator2
81_maxim_nn	4.0	 	annotator2
82_maxim_nn	4.0	 	annotator2
83_maxim_nn	4.0	 	annotator2
84_maxim_nn	4.0	 	annotator2
85_maxim_nn	4.0	 	annotator2
86_maxim_nn	4.0	 	annotator2
87_maxim_nn	4.0	 	annotator2
88_maxim_nn	4.0	 	annotator2
89_maxim_nn	4.0	 	annotator2
90_maxim_nn	4.0	 	annotator2
91_maxim_nn	4.0	 	annotator2
92_maxim_nn	1.0	 	annotator2
93_maxim_nn	1.0	 	annotator2
94_maxim_nn	4.0	 	annotator2
95_maxim_nn	4.0	 	annotator2
96_maxim_nn	1.0	 	annotator2
97_maxim_nn	4.0	 	annotator2
98_maxim_nn	4.0	 	annotator2
99_maxim_nn	4.0	 	annotator2
100_maxim_nn	-	not the same root	annotator5
31_maxim_nn	3.0	 	annotator5
45_maxim_nn	3.0	 	annotator5
101_maxim_nn	3.0	 	annotator5
102_maxim_nn	4.0	 	annotator5
103_maxim_nn	4.0	 	annotator5
19_maxim_nn	3.0	 	annotator5
104_maxim_nn	3.0	 	annotator5
66_maxim_nn	3.0	 	annotator5
71_maxim_nn	-	not the same root	annotator5
105_maxim_nn	-	not the same root	annotator5
106_maxim_nn	-	not the same root	annotator5
107_maxim_nn	-	not the same root	annotator5
108_maxim_nn	4.0	 	annotator5
109_maxim_nn	-	not the same root	annotator5
110_maxim_nn	3.0	 	annotator5
89_maxim_nn	4.0	 	annotator5
111_maxim_nn	4.0	 	annotator5
112_maxim_nn	4.0	 	annotator5
113_maxim_nn	3.0	 	annotator5
114_maxim_nn	-	not the same root	annotator5
40_maxim_nn	-	not the same root	annotator5
115_maxim_nn	3.0	 	annotator5
97_maxim_nn	3.0	 	annotator5
27_maxim_nn	4.0	 	annotator5
116_maxim_nn	3.0	 	annotator5
117_maxim_nn	4.0	 	annotator5
30_maxim_nn	4.0	 	annotator5
118_maxim_nn	4.0	 	annotator5
119_maxim_nn	-	not the same root	annotator5
120_maxim_nn	4.0	 	annotator5
121_maxim_nn	4.0	 	annotator5
122_maxim_nn	-	not the same root	annotator5
60_maxim_nn	4.0	 	annotator5
123_maxim_nn	4.0	 	annotator5
124_maxim_nn	4.0	 	annotator5
80_maxim_nn	4.0	 	annotator5
125_maxim_nn	4.0	 	annotator5
126_maxim_nn	4.0	 	annotator5
29_maxim_nn	4.0	 	annotator5
47_maxim_nn	4.0	 	annotator5
127_maxim_nn	4.0	 	annotator5
128_maxim_nn	3.0	 	annotator5
129_maxim_nn	4.0	 	annotator5
94_maxim_nn	3.0	 	annotator5
130_maxim_nn	-	not the same root	annotator5
53_maxim_nn	4.0	 	annotator5
131_maxim_nn	4.0	 	annotator5
132_maxim_nn	-	not the same root	annotator5
133_maxim_nn	4.0	 	annotator5
134_maxim_nn	4.0	 	annotator5
84_maxim_nn	4.0	 	annotator5
135_maxim_nn	4.0	 	annotator5
79_maxim_nn	4.0	 	annotator5
136_maxim_nn	4.0	 	annotator5
137_maxim_nn	4.0	 	annotator5
57_maxim_nn	4.0	 	annotator5
138_maxim_nn	4.0	 	annotator5
139_maxim_nn	4.0	 	annotator5
140_maxim_nn	4.0	 	annotator5
81_maxim_nn	4.0	 	annotator5
21_maxim_nn	4.0	 	annotator5
141_maxim_nn	4.0	 	annotator5
142_maxim_nn	4.0	 	annotator5
143_maxim_nn	4.0	 	annotator5
144_maxim_nn	3.0	 	annotator5
145_maxim_nn	4.0	 	annotator5
52_maxim_nn	4.0	 	annotator5
146_maxim_nn	4.0	 	annotator5
147_maxim_nn	4.0	 	annotator5
34_maxim_nn	4.0	 	annotator5
92_maxim_nn	-	not same root	annotator5
148_maxim_nn	4.0	 	annotator5
65_maxim_nn	4.0	 	annotator5
46_maxim_nn	4.0	 	annotator5
88_maxim_nn	4.0	 	annotator5
149_maxim_nn	4.0	 	annotator5
67_maxim_nn	-	not same root	annotator5
150_maxim_nn	4.0	 	annotator5
20_maxim_nn	4.0	 	annotator5
151_maxim_nn	-	not same root	annotator5
69_maxim_nn	4.0	 	annotator5
59_maxim_nn	4.0	 	annotator5
152_maxim_nn	4.0	 	annotator5
153_maxim_nn	4.0	 	annotator5
154_maxim_nn	4.0	 	annotator4
38_maxim_nn	4.0	 	annotator4
121_maxim_nn	4.0	 	annotator4
125_maxim_nn	4.0	 	annotator4
155_maxim_nn	4.0	 	annotator4
144_maxim_nn	4.0	 	annotator4
98_maxim_nn	4.0	 	annotator4
131_maxim_nn	4.0	 	annotator4
110_maxim_nn	4.0	 	annotator4
149_maxim_nn	4.0	 	annotator4
85_maxim_nn	4.0	 	annotator4
156_maxim_nn	4.0	 	annotator4
124_maxim_nn	4.0	 	annotator4
18_maxim_nn	4.0	 	annotator4
50_maxim_nn	4.0	 	annotator4
30_maxim_nn	4.0	 	annotator4
112_maxim_nn	4.0	 	annotator4
90_maxim_nn	4.0	 	annotator4
105_maxim_nn	-	 	annotator4
27_maxim_nn	4.0	 	annotator4
157_maxim_nn	-	 	annotator4
158_maxim_nn	4.0	 	annotator4
159_maxim_nn	4.0	 	annotator4
64_maxim_nn	-	 	annotator4
160_maxim_nn	4.0	 	annotator4
161_maxim_nn	4.0	 	annotator4
162_maxim_nn	4.0	 	annotator4
163_maxim_nn	4.0	 	annotator4
164_maxim_nn	4.0	 	annotator4
35_maxim_nn	4.0	 	annotator4
117_maxim_nn	4.0	 	annotator4
165_maxim_nn	-	 	annotator4
100_maxim_nn	-	 	annotator4
116_maxim_nn	4.0	 	annotator4
19_maxim_nn	4.0	 	annotator4
75_maxim_nn	4.0	 	annotator4
26_maxim_nn	4.0	 	annotator4
166_maxim_nn	4.0	 	annotator4
167_maxim_nn	4.0	 	annotator4
168_maxim_nn	4.0	 	annotator4
78_maxim_nn	4.0	 	annotator4
49_maxim_nn	4.0	 	annotator4
48_maxim_nn	4.0	 	annotator4
39_maxim_nn	4.0	 	annotator4
93_maxim_nn	-	 	annotator4
53_maxim_nn	4.0	 	annotator4
145_maxim_nn	4.0	 	annotator4
151_maxim_nn	-	 	annotator4
114_maxim_nn	1.0	 	annotator4
74_maxim_nn	4.0	 	annotator4
169_maxim_nn	4.0	 	annotator4
108_maxim_nn	4.0	 	annotator4
70_maxim_nn	4.0	 	annotator4
24_maxim_nn	4.0	 	annotator4
170_maxim_nn	4.0	 	annotator4
171_maxim_nn	4.0	 	annotator4
22_maxim_nn	4.0	 	annotator4
172_maxim_nn	4.0	 	annotator4
173_maxim_nn	4.0	 	annotator4
174_maxim_nn	4.0	 	annotator4
32_maxim_nn	4.0	 	annotator4
134_maxim_nn	4.0	 	annotator4
138_maxim_nn	4.0	 	annotator4
175_maxim_nn	4.0	 	annotator4
176_maxim_nn	4.0	 	annotator4
177_maxim_nn	4.0	 	annotator4
71_maxim_nn	-	 	annotator4
178_maxim_nn	4.0	 	annotator4
153_maxim_nn	4.0	 	annotator4
42_maxim_nn	4.0	 	annotator4
31_maxim_nn	4.0	 	annotator4
179_maxim_nn	4.0	 	annotator4
180_maxim_nn	4.0	 	annotator4
