instanceID	label	comment	annotator
0_multitude_nn	3.0	 	annotator2
1_multitude_nn	3.0	 	annotator2
2_multitude_nn	3.0	 	annotator2
3_multitude_nn	4.0	 	annotator2
4_multitude_nn	2.0	 	annotator2
5_multitude_nn	2.0	 	annotator2
6_multitude_nn	4.0	 	annotator2
7_multitude_nn	3.0	 	annotator2
8_multitude_nn	3.0	 	annotator2
9_multitude_nn	4.0	 	annotator2
10_multitude_nn	3.0	 	annotator2
11_multitude_nn	3.0	 	annotator2
12_multitude_nn	3.0	 	annotator2
13_multitude_nn	4.0	 	annotator2
14_multitude_nn	3.0	 	annotator2
15_multitude_nn	4.0	 	annotator2
16_multitude_nn	4.0	 	annotator2
17_multitude_nn	4.0	 	annotator2
12_multitude_nn	3.0	 	annotator6
18_multitude_nn	3.0	 	annotator6
19_multitude_nn	4.0	 	annotator6
20_multitude_nn	4.0	 	annotator6
21_multitude_nn	2.0	 	annotator6
22_multitude_nn	4.0	 	annotator6
23_multitude_nn	3.0	 	annotator6
24_multitude_nn	2.0	 	annotator6
25_multitude_nn	3.0	 	annotator6
26_multitude_nn	4.0	 	annotator6
27_multitude_nn	2.0	 	annotator6
28_multitude_nn	2.0	 	annotator6
29_multitude_nn	2.0	 	annotator6
30_multitude_nn	3.0	 	annotator6
31_multitude_nn	3.0	 	annotator6
32_multitude_nn	3.0	 	annotator6
10_multitude_nn	3.0	 	annotator6
11_multitude_nn	3.0	 	annotator6
33_multitude_nn	3.0	 	annotator6
13_multitude_nn	2.0	 	annotator5
34_multitude_nn	3.0	 	annotator5
35_multitude_nn	4.0	 	annotator5
36_multitude_nn	4.0	 	annotator5
37_multitude_nn	2.0	 	annotator5
38_multitude_nn	2.0	 	annotator5
39_multitude_nn	4.0	 	annotator5
12_multitude_nn	2.0	 	annotator5
40_multitude_nn	2.0	 	annotator5
41_multitude_nn	3.0	 	annotator5
6_multitude_nn	4.0	 	annotator5
42_multitude_nn	4.0	 	annotator5
43_multitude_nn	4.0	 	annotator0
44_multitude_nn	4.0	 	annotator0
45_multitude_nn	3.0	 	annotator0
46_multitude_nn	3.0	 	annotator0
11_multitude_nn	3.0	 	annotator0
47_multitude_nn	4.0	 	annotator0
48_multitude_nn	4.0	 	annotator0
49_multitude_nn	3.0	 	annotator0
50_multitude_nn	4.0	 	annotator0
51_multitude_nn	3.0	 	annotator0
52_multitude_nn	3.0	 	annotator0
8_multitude_nn	3.0	 	annotator0
39_multitude_nn	4.0	 	annotator0
53_multitude_nn	4.0	 	annotator0
54_multitude_nn	3.0	 	annotator0
27_multitude_nn	3.0	 	annotator0
55_multitude_nn	4.0	 	annotator0
56_multitude_nn	4.0	 	annotator2
57_multitude_nn	4.0	 	annotator2
58_multitude_nn	4.0	 	annotator2
59_multitude_nn	2.0	 	annotator2
60_multitude_nn	4.0	 	annotator2
61_multitude_nn	4.0	 	annotator2
62_multitude_nn	4.0	 	annotator2
63_multitude_nn	4.0	 	annotator2
64_multitude_nn	4.0	 	annotator2
46_multitude_nn	2.0	 	annotator2
65_multitude_nn	4.0	 	annotator2
66_multitude_nn	4.0	 	annotator2
67_multitude_nn	2.0	 	annotator2
68_multitude_nn	2.0	 	annotator2
69_multitude_nn	2.0	 	annotator2
70_multitude_nn	4.0	 	annotator2
71_multitude_nn	4.0	 	annotator2
72_multitude_nn	4.0	 	annotator2
73_multitude_nn	4.0	 	annotator2
74_multitude_nn	4.0	 	annotator2
75_multitude_nn	4.0	 	annotator2
76_multitude_nn	4.0	 	annotator2
77_multitude_nn	4.0	 	annotator2
78_multitude_nn	4.0	 	annotator2
79_multitude_nn	3.0	 	annotator2
80_multitude_nn	4.0	 	annotator2
81_multitude_nn	4.0	 	annotator2
82_multitude_nn	4.0	 	annotator2
83_multitude_nn	4.0	 	annotator2
84_multitude_nn	4.0	 	annotator2
85_multitude_nn	4.0	 	annotator2
86_multitude_nn	4.0	 	annotator2
87_multitude_nn	4.0	 	annotator2
88_multitude_nn	4.0	 	annotator2
89_multitude_nn	4.0	 	annotator2
90_multitude_nn	4.0	 	annotator2
91_multitude_nn	4.0	 	annotator2
92_multitude_nn	4.0	 	annotator2
93_multitude_nn	4.0	 	annotator2
94_multitude_nn	4.0	 	annotator2
95_multitude_nn	4.0	 	annotator2
96_multitude_nn	3.0	 	annotator2
97_multitude_nn	3.0	 	annotator2
98_multitude_nn	4.0	 	annotator2
99_multitude_nn	4.0	 	annotator2
100_multitude_nn	4.0	 	annotator2
101_multitude_nn	4.0	 	annotator2
102_multitude_nn	4.0	 	annotator2
103_multitude_nn	4.0	 	annotator2
104_multitude_nn	4.0	 	annotator2
105_multitude_nn	4.0	 	annotator2
106_multitude_nn	4.0	 	annotator2
107_multitude_nn	4.0	 	annotator2
108_multitude_nn	4.0	 	annotator2
109_multitude_nn	3.0	 	annotator2
110_multitude_nn	3.0	 	annotator2
111_multitude_nn	3.0	 	annotator2
112_multitude_nn	3.0	 	annotator2
113_multitude_nn	3.0	 	annotator2
114_multitude_nn	2.0	 	annotator2
115_multitude_nn	4.0	 	annotator2
116_multitude_nn	3.0	 	annotator2
117_multitude_nn	4.0	 	annotator2
118_multitude_nn	4.0	 	annotator2
119_multitude_nn	4.0	 	annotator2
120_multitude_nn	4.0	 	annotator2
121_multitude_nn	4.0	 	annotator2
122_multitude_nn	4.0	 	annotator2
123_multitude_nn	4.0	 	annotator2
124_multitude_nn	4.0	 	annotator2
125_multitude_nn	3.0	 	annotator2
126_multitude_nn	4.0	 	annotator2
127_multitude_nn	3.0	 	annotator2
128_multitude_nn	4.0	 	annotator2
28_multitude_nn	3.0	 	annotator2
129_multitude_nn	4.0	 	annotator2
130_multitude_nn	4.0	 	annotator2
131_multitude_nn	4.0	 	annotator2
132_multitude_nn	4.0	 	annotator2
133_multitude_nn	4.0	 	annotator2
134_multitude_nn	4.0	 	annotator2
135_multitude_nn	4.0	 	annotator2
136_multitude_nn	2.0	 	annotator2
137_multitude_nn	2.0	 	annotator2
138_multitude_nn	4.0	 	annotator2
139_multitude_nn	4.0	 	annotator2
140_multitude_nn	4.0	 	annotator2
141_multitude_nn	3.0	 	annotator2
142_multitude_nn	3.0	 	annotator5
124_multitude_nn	4.0	 	annotator5
76_multitude_nn	3.0	 	annotator5
137_multitude_nn	3.0	 	annotator5
143_multitude_nn	3.0	 	annotator5
86_multitude_nn	4.0	 	annotator5
144_multitude_nn	4.0	 	annotator5
60_multitude_nn	4.0	 	annotator5
93_multitude_nn	4.0	 	annotator5
145_multitude_nn	3.0	 	annotator5
66_multitude_nn	4.0	 	annotator5
146_multitude_nn	3.0	 	annotator5
103_multitude_nn	4.0	 	annotator5
147_multitude_nn	4.0	 	annotator5
148_multitude_nn	2.0	 	annotator5
149_multitude_nn	4.0	 	annotator5
62_multitude_nn	2.0	 	annotator5
92_multitude_nn	2.0	 	annotator5
150_multitude_nn	2.0	 	annotator5
151_multitude_nn	4.0	 	annotator5
152_multitude_nn	2.0	 	annotator5
153_multitude_nn	4.0	 	annotator5
154_multitude_nn	2.0	 	annotator5
155_multitude_nn	4.0	 	annotator5
156_multitude_nn	4.0	 	annotator5
157_multitude_nn	4.0	 	annotator5
32_multitude_nn	2.0	 	annotator5
158_multitude_nn	4.0	 	annotator5
63_multitude_nn	4.0	 	annotator5
159_multitude_nn	2.0	 	annotator5
101_multitude_nn	4.0	 	annotator5
107_multitude_nn	4.0	 	annotator5
160_multitude_nn	4.0	 	annotator5
161_multitude_nn	4.0	 	annotator5
58_multitude_nn	2.0	 	annotator5
162_multitude_nn	2.0	 	annotator5
80_multitude_nn	3.0	 	annotator5
163_multitude_nn	4.0	 	annotator5
164_multitude_nn	2.0	 	annotator5
165_multitude_nn	2.0	 	annotator5
166_multitude_nn	4.0	 	annotator5
99_multitude_nn	3.0	 	annotator5
167_multitude_nn	4.0	 	annotator5
69_multitude_nn	2.0	 	annotator5
30_multitude_nn	2.0	 	annotator5
18_multitude_nn	2.0	 	annotator5
168_multitude_nn	2.0	 	annotator5
90_multitude_nn	4.0	 	annotator5
169_multitude_nn	4.0	 	annotator5
1_multitude_nn	4.0	 	annotator5
170_multitude_nn	2.0	 	annotator5
