instanceID	dataIDs	label_set	non_label
0_ounce_nn	mag_2001_416328.txt-35-6,fic_2001_31316.txt-50-1	1,2,3,4	-
1_ounce_nn	fic_2006_28074.txt-156-5,fic_1979_16029.txt-54-3	1,2,3,4	-
2_ounce_nn	news_2000_621990.txt-6-3,nf_1853_748464.txt-1176-2	1,2,3,4	-
3_ounce_nn	mag_1967_274923.txt-17-19,fic_1998_43217.txt-5-16	1,2,3,4	-
4_ounce_nn	fic_1996_42182.txt-585-10,news_2005_623926.txt-191-27	1,2,3,4	-
5_ounce_nn	fic_1856_2655.txt-1899-10,nf_1837_757476.txt-2144-13	1,2,3,4	-
6_ounce_nn	mag_1967_274923.txt-17-19,fic_1833_7059.txt-366-53	1,2,3,4	-
7_ounce_nn	news_2005_623926.txt-191-27,news_1997_610552.txt-116-41	1,2,3,4	-
8_ounce_nn	fic_2006_28074.txt-156-5,nf_1824_747448.txt-3494-10	1,2,3,4	-
9_ounce_nn	mag_1993_408277.txt-77-13,news_1988_670746.txt-75-16	1,2,3,4	-
10_ounce_nn	fic_2006_28577.txt-54-7,mag_1849_525337.txt-223-10	1,2,3,4	-
11_ounce_nn	fic_1858_1282.txt-4291-47,mag_1967_274923.txt-17-19	1,2,3,4	-
12_ounce_nn	nf_1849_747900.txt-880-11,nf_1843_752682.txt-548-9	1,2,3,4	-
13_ounce_nn	nf_1999_775061.txt-335-17,mag_1849_525380.txt-118-33	1,2,3,4	-
14_ounce_nn	mag_2005_422919.txt-1-63,mag_1967_274923.txt-17-19	1,2,3,4	-
15_ounce_nn	fic_1833_7059.txt-366-53,mag_1850_525559.txt-209-13	1,2,3,4	-
16_ounce_nn	mag_2005_422919.txt-46-25,mag_1994_352087.txt-4-12	1,2,3,4	-
17_ounce_nn	fic_1998_43217.txt-5-16,fic_2006_28074.txt-156-5	1,2,3,4	-
18_ounce_nn	mag_1967_274923.txt-17-19,fic_1996_42182.txt-585-10	1,2,3,4	-
19_ounce_nn	news_1997_610552.txt-116-41,fic_2006_28074.txt-156-5	1,2,3,4	-
20_ounce_nn	fic_1833_7059.txt-366-53,fic_1996_42182.txt-585-10	1,2,3,4	-
21_ounce_nn	nf_1844_747892.txt-594-56,news_1997_610552.txt-116-41	1,2,3,4	-
22_ounce_nn	mag_1966_217503.txt-11-21,mag_2001_416328.txt-35-6	1,2,3,4	-
23_ounce_nn	nf_1839_747610.txt-431-106,fic_1827_7168.txt-1308-148	1,2,3,4	-
24_ounce_nn	mag_1973_431850.txt-80-8,nf_1999_775061.txt-335-17	1,2,3,4	-
25_ounce_nn	mag_2001_416328.txt-35-6,mag_1849_525380.txt-118-33	1,2,3,4	-
26_ounce_nn	mag_1849_525380.txt-118-33,mag_1967_274923.txt-17-19	1,2,3,4	-
27_ounce_nn	fic_1981_10686.txt-851-4,fic_1833_7059.txt-366-53	1,2,3,4	-
28_ounce_nn	nf_1844_747892.txt-594-56,mag_1996_65462.txt-65-39	1,2,3,4	-
29_ounce_nn	mag_1993_408277.txt-77-13,news_1998_610641.txt-87-14	1,2,3,4	-
30_ounce_nn	nf_1853_748464.txt-1893-11,nf_1830_754783.txt-1658-6	1,2,3,4	-
31_ounce_nn	news_2005_623926.txt-191-27,mag_1994_399546.txt-22-13	1,2,3,4	-
32_ounce_nn	mag_1994_399546.txt-22-13,nf_1844_747892.txt-594-56	1,2,3,4	-
33_ounce_nn	nf_1999_775061.txt-335-17,fic_1981_10686.txt-851-4	1,2,3,4	-
34_ounce_nn	news_1994_620115.txt-167-13,mag_1996_65462.txt-65-39	1,2,3,4	-
35_ounce_nn	mag_1849_525380.txt-118-33,mag_1850_525559.txt-209-13	1,2,3,4	-
36_ounce_nn	fic_1981_10686.txt-851-4,mag_1845_522622.txt-197-18	1,2,3,4	-
