instanceID	label	comment	annotator
0_ounce_nn	2.0	 	annotator2
1_ounce_nn	3.0	 	annotator2
2_ounce_nn	4.0	 	annotator2
3_ounce_nn	2.0	 	annotator2
4_ounce_nn	2.0	 	annotator2
5_ounce_nn	2.0	 	annotator2
6_ounce_nn	3.0	 	annotator2
7_ounce_nn	4.0	 	annotator2
8_ounce_nn	2.0	 	annotator2
9_ounce_nn	2.0	 	annotator2
10_ounce_nn	3.0	 	annotator2
11_ounce_nn	2.0	 	annotator2
12_ounce_nn	3.0	 	annotator2
13_ounce_nn	3.0	 	annotator2
14_ounce_nn	4.0	 	annotator2
15_ounce_nn	2.0	 	annotator2
16_ounce_nn	2.0	 	annotator2
17_ounce_nn	4.0	 	annotator2
18_ounce_nn	2.0	 	annotator2
19_ounce_nn	2.0	 	annotator2
20_ounce_nn	2.0	 	annotator2
21_ounce_nn	4.0	 	annotator2
22_ounce_nn	2.0	 	annotator2
23_ounce_nn	1.0	 	annotator2
24_ounce_nn	2.0	 	annotator2
25_ounce_nn	2.0	 	annotator2
26_ounce_nn	2.0	 	annotator2
27_ounce_nn	2.0	 	annotator2
28_ounce_nn	2.0	 	annotator2
29_ounce_nn	2.0	 	annotator2
30_ounce_nn	4.0	 	annotator2
31_ounce_nn	3.0	 	annotator2
32_ounce_nn	2.0	 	annotator2
33_ounce_nn	4.0	 	annotator2
34_ounce_nn	2.0	 	annotator6
35_ounce_nn	4.0	 	annotator6
36_ounce_nn	2.0	 	annotator6
37_ounce_nn	2.0	 	annotator6
28_ounce_nn	3.0	 	annotator6
38_ounce_nn	3.0	 	annotator6
39_ounce_nn	2.0	 	annotator6
40_ounce_nn	2.0	 	annotator6
41_ounce_nn	2.0	 	annotator6
42_ounce_nn	2.0	 	annotator6
43_ounce_nn	2.0	 	annotator6
44_ounce_nn	2.0	 	annotator6
45_ounce_nn	4.0	 	annotator6
46_ounce_nn	4.0	 	annotator6
47_ounce_nn	2.0	 	annotator6
48_ounce_nn	2.0	 	annotator6
49_ounce_nn	4.0	 	annotator6
50_ounce_nn	3.0	 	annotator6
51_ounce_nn	3.0	 	annotator6
52_ounce_nn	2.0	 	annotator6
53_ounce_nn	4.0	 	annotator6
54_ounce_nn	3.0	 	annotator6
55_ounce_nn	2.0	 	annotator6
56_ounce_nn	4.0	 	annotator6
57_ounce_nn	4.0	 	annotator6
58_ounce_nn	3.0	 	annotator6
59_ounce_nn	2.0	 	annotator6
60_ounce_nn	2.0	 	annotator6
61_ounce_nn	4.0	 	annotator6
62_ounce_nn	4.0	 	annotator6
26_ounce_nn	4.0	 	annotator6
63_ounce_nn	4.0	 	annotator6
64_ounce_nn	2.0	 	annotator6
65_ounce_nn	2.0	 	annotator6
66_ounce_nn	2.0	 	annotator6
14_ounce_nn	4.0	 	annotator6
67_ounce_nn	2.0	 	annotator6
68_ounce_nn	2.0	 	annotator6
69_ounce_nn	2.0	 	annotator6
16_ounce_nn	2.0	 	annotator6
70_ounce_nn	2.0	 	annotator6
71_ounce_nn	2.0	 	annotator6
72_ounce_nn	2.0	 	annotator6
73_ounce_nn	2.0	 	annotator6
74_ounce_nn	2.0	 	annotator6
75_ounce_nn	2.0	 	annotator6
76_ounce_nn	4.0	 	annotator6
77_ounce_nn	2.0	 	annotator5
78_ounce_nn	2.0	 	annotator5
79_ounce_nn	4.0	 	annotator5
57_ounce_nn	3.0	 	annotator5
40_ounce_nn	2.0	 	annotator5
80_ounce_nn	4.0	 	annotator5
81_ounce_nn	2.0	 	annotator5
82_ounce_nn	1.0	 	annotator5
83_ounce_nn	3.0	 	annotator5
22_ounce_nn	2.0	 	annotator5
84_ounce_nn	2.0	 	annotator5
85_ounce_nn	4.0	 	annotator5
33_ounce_nn	3.0	 	annotator5
86_ounce_nn	3.0	 	annotator5
87_ounce_nn	3.0	 	annotator5
88_ounce_nn	2.0	 	annotator5
72_ounce_nn	2.0	 	annotator5
89_ounce_nn	2.0	 	annotator5
90_ounce_nn	4.0	 	annotator5
91_ounce_nn	2.0	 	annotator5
92_ounce_nn	4.0	 	annotator5
93_ounce_nn	1.0	 	annotator5
94_ounce_nn	4.0	 	annotator5
27_ounce_nn	2.0	 	annotator5
62_ounce_nn	3.0	 	annotator5
95_ounce_nn	3.0	 	annotator5
96_ounce_nn	2.0	 	annotator5
97_ounce_nn	4.0	 	annotator5
98_ounce_nn	3.0	 	annotator5
99_ounce_nn	3.0	 	annotator5
100_ounce_nn	2.0	 	annotator5
101_ounce_nn	2.0	 	annotator5
46_ounce_nn	4.0	 	annotator5
102_ounce_nn	2.0	 	annotator5
103_ounce_nn	3.0	 	annotator5
104_ounce_nn	4.0	 	annotator5
105_ounce_nn	3.0	 	annotator5
106_ounce_nn	2.0	 	annotator5
3_ounce_nn	3.0	 	annotator0
63_ounce_nn	4.0	 	annotator0
107_ounce_nn	4.0	 	annotator0
108_ounce_nn	3.0	 	annotator0
80_ounce_nn	4.0	 	annotator0
98_ounce_nn	3.0	 	annotator0
109_ounce_nn	3.0	 	annotator0
110_ounce_nn	4.0	 	annotator0
31_ounce_nn	4.0	 	annotator0
111_ounce_nn	3.0	 	annotator0
112_ounce_nn	3.0	 	annotator0
113_ounce_nn	3.0	 	annotator0
114_ounce_nn	3.0	 	annotator0
60_ounce_nn	3.0	 	annotator0
115_ounce_nn	4.0	 	annotator0
116_ounce_nn	3.0	 	annotator0
117_ounce_nn	4.0	 	annotator0
93_ounce_nn	4.0	 	annotator0
118_ounce_nn	3.0	 	annotator0
86_ounce_nn	4.0	 	annotator0
119_ounce_nn	3.0	 	annotator0
120_ounce_nn	3.0	 	annotator0
4_ounce_nn	3.0	 	annotator0
121_ounce_nn	3.0	 	annotator0
122_ounce_nn	3.0	 	annotator0
123_ounce_nn	3.0	 	annotator0
124_ounce_nn	4.0	 	annotator0
125_ounce_nn	3.0	 	annotator0
126_ounce_nn	4.0	 	annotator0
127_ounce_nn	3.0	 	annotator0
128_ounce_nn	4.0	 	annotator0
105_ounce_nn	3.0	 	annotator0
68_ounce_nn	3.0	 	annotator0
129_ounce_nn	4.0	 	annotator0
130_ounce_nn	3.0	 	annotator0
47_ounce_nn	3.0	 	annotator0
69_ounce_nn	3.0	 	annotator0
131_ounce_nn	4.0	 	annotator2
132_ounce_nn	4.0	 	annotator2
133_ounce_nn	4.0	 	annotator2
134_ounce_nn	2.0	 	annotator2
135_ounce_nn	4.0	 	annotator2
136_ounce_nn	4.0	 	annotator2
137_ounce_nn	4.0	 	annotator2
138_ounce_nn	4.0	 	annotator2
139_ounce_nn	2.0	 	annotator2
140_ounce_nn	3.0	 	annotator2
141_ounce_nn	2.0	 	annotator2
142_ounce_nn	2.0	 	annotator2
143_ounce_nn	3.0	 	annotator2
144_ounce_nn	4.0	 	annotator2
145_ounce_nn	4.0	 	annotator2
146_ounce_nn	4.0	 	annotator2
147_ounce_nn	2.0	 	annotator2
148_ounce_nn	3.0	 	annotator2
99_ounce_nn	2.0	 	annotator2
149_ounce_nn	2.0	 	annotator2
71_ounce_nn	2.0	 	annotator2
150_ounce_nn	2.0	 	annotator2
151_ounce_nn	2.0	 	annotator2
152_ounce_nn	4.0	 	annotator2
153_ounce_nn	2.0	 	annotator2
154_ounce_nn	4.0	 	annotator2
155_ounce_nn	4.0	 	annotator2
156_ounce_nn	4.0	 	annotator2
157_ounce_nn	3.0	 	annotator2
158_ounce_nn	3.0	 	annotator2
159_ounce_nn	2.0	 	annotator2
160_ounce_nn	2.0	 	annotator2
161_ounce_nn	4.0	 	annotator2
162_ounce_nn	2.0	 	annotator2
163_ounce_nn	2.0	 	annotator2
49_ounce_nn	2.0	 	annotator2
164_ounce_nn	2.0	 	annotator2
165_ounce_nn	4.0	 	annotator2
166_ounce_nn	2.0	 	annotator2
167_ounce_nn	4.0	 	annotator2
168_ounce_nn	4.0	 	annotator2
169_ounce_nn	4.0	 	annotator2
170_ounce_nn	2.0	 	annotator2
171_ounce_nn	4.0	 	annotator2
172_ounce_nn	2.0	 	annotator2
125_ounce_nn	4.0	 	annotator2
173_ounce_nn	4.0	 	annotator2
174_ounce_nn	3.0	 	annotator2
175_ounce_nn	4.0	 	annotator2
176_ounce_nn	4.0	 	annotator2
177_ounce_nn	4.0	 	annotator2
178_ounce_nn	4.0	 	annotator2
179_ounce_nn	4.0	 	annotator2
180_ounce_nn	4.0	 	annotator2
181_ounce_nn	4.0	 	annotator2
182_ounce_nn	4.0	 	annotator2
183_ounce_nn	2.0	 	annotator2
184_ounce_nn	4.0	 	annotator2
185_ounce_nn	2.0	 	annotator2
186_ounce_nn	4.0	 	annotator2
187_ounce_nn	2.0	 	annotator2
188_ounce_nn	2.0	 	annotator2
189_ounce_nn	4.0	 	annotator2
190_ounce_nn	4.0	 	annotator2
191_ounce_nn	2.0	 	annotator2
192_ounce_nn	2.0	 	annotator2
193_ounce_nn	2.0	 	annotator2
194_ounce_nn	2.0	 	annotator2
195_ounce_nn	4.0	 	annotator2
196_ounce_nn	2.0	 	annotator2
197_ounce_nn	4.0	 	annotator2
198_ounce_nn	4.0	 	annotator2
199_ounce_nn	2.0	 	annotator2
200_ounce_nn	4.0	 	annotator2
201_ounce_nn	2.0	 	annotator2
202_ounce_nn	3.0	 	annotator2
203_ounce_nn	4.0	 	annotator2
204_ounce_nn	4.0	 	annotator2
48_ounce_nn	2.0	 	annotator2
205_ounce_nn	4.0	 	annotator2
37_ounce_nn	2.0	 	annotator2
206_ounce_nn	4.0	 	annotator2
207_ounce_nn	4.0	 	annotator2
208_ounce_nn	2.0	 	annotator2
209_ounce_nn	4.0	 	annotator2
210_ounce_nn	2.0	 	annotator2
211_ounce_nn	2.0	 	annotator2
212_ounce_nn	4.0	 	annotator2
213_ounce_nn	2.0	 	annotator5
171_ounce_nn	4.0	 	annotator5
214_ounce_nn	3.0	 	annotator5
215_ounce_nn	4.0	 	annotator5
216_ounce_nn	4.0	 	annotator5
138_ounce_nn	4.0	 	annotator5
209_ounce_nn	4.0	 	annotator5
217_ounce_nn	3.0	 	annotator5
155_ounce_nn	4.0	 	annotator5
200_ounce_nn	2.0	 	annotator5
218_ounce_nn	4.0	 	annotator5
219_ounce_nn	2.0	 	annotator5
220_ounce_nn	3.0	 	annotator5
221_ounce_nn	3.0	 	annotator5
222_ounce_nn	4.0	 	annotator5
185_ounce_nn	2.0	 	annotator5
158_ounce_nn	2.0	 	annotator5
223_ounce_nn	4.0	 	annotator5
203_ounce_nn	3.0	 	annotator5
204_ounce_nn	4.0	 	annotator5
224_ounce_nn	3.0	 	annotator5
191_ounce_nn	2.0	 	annotator5
133_ounce_nn	4.0	 	annotator5
225_ounce_nn	4.0	 	annotator5
226_ounce_nn	4.0	 	annotator5
227_ounce_nn	4.0	 	annotator5
194_ounce_nn	2.0	 	annotator5
228_ounce_nn	2.0	 	annotator5
143_ounce_nn	3.0	 	annotator5
229_ounce_nn	2.0	 	annotator5
139_ounce_nn	2.0	 	annotator5
230_ounce_nn	3.0	 	annotator5
198_ounce_nn	4.0	 	annotator5
231_ounce_nn	4.0	 	annotator5
131_ounce_nn	3.0	 	annotator5
232_ounce_nn	3.0	 	annotator5
170_ounce_nn	2.0	 	annotator5
233_ounce_nn	3.0	 	annotator5
234_ounce_nn	3.0	 	annotator5
210_ounce_nn	2.0	 	annotator5
235_ounce_nn	2.0	 	annotator5
236_ounce_nn	3.0	 	annotator5
237_ounce_nn	3.0	 	annotator5
117_ounce_nn	2.0	 	annotator5
238_ounce_nn	3.0	 	annotator5
239_ounce_nn	2.0	 	annotator5
240_ounce_nn	4.0	 	annotator5
241_ounce_nn	3.0	 	annotator5
48_ounce_nn	2.0	 	annotator5
242_ounce_nn	4.0	 	annotator5
157_ounce_nn	4.0	 	annotator5
180_ounce_nn	2.0	 	annotator5
243_ounce_nn	3.0	 	annotator5
169_ounce_nn	2.0	 	annotator5
66_ounce_nn	2.0	 	annotator5
244_ounce_nn	2.0	 	annotator5
182_ounce_nn	2.0	 	annotator5
29_ounce_nn	2.0	 	annotator5
245_ounce_nn	2.0	 	annotator5
166_ounce_nn	4.0	 	annotator5
246_ounce_nn	4.0	 	annotator5
247_ounce_nn	3.0	 	annotator5
248_ounce_nn	2.0	 	annotator5
249_ounce_nn	4.0	 	annotator5
250_ounce_nn	4.0	 	annotator5
251_ounce_nn	3.0	 	annotator5
252_ounce_nn	3.0	 	annotator5
146_ounce_nn	4.0	 	annotator5
149_ounce_nn	4.0	 	annotator5
172_ounce_nn	2.0	 	annotator5
253_ounce_nn	3.0	 	annotator5
254_ounce_nn	4.0	 	annotator5
255_ounce_nn	4.0	 	annotator5
162_ounce_nn	4.0	 	annotator5
175_ounce_nn	2.0	 	annotator5
173_ounce_nn	4.0	 	annotator5
136_ounce_nn	4.0	 	annotator5
202_ounce_nn	2.0	 	annotator5
256_ounce_nn	2.0	 	annotator5
174_ounce_nn	4.0	 	annotator5
257_ounce_nn	2.0	 	annotator5
34_ounce_nn	2.0	 	annotator5
161_ounce_nn	3.0	 	annotator5
258_ounce_nn	4.0	 	annotator5
71_ounce_nn	2.0	 	annotator5
144_ounce_nn	2.0	 	annotator5
159_ounce_nn	2.0	 	annotator5
164_ounce_nn	4.0	 	annotator5
186_ounce_nn	2.0	 	annotator5
208_ounce_nn	1.0	 	annotator4
259_ounce_nn	4.0	 	annotator4
34_ounce_nn	2.0	 	annotator4
245_ounce_nn	2.0	 	annotator4
165_ounce_nn	4.0	 	annotator4
144_ounce_nn	4.0	 	annotator4
179_ounce_nn	4.0	 	annotator4
260_ounce_nn	4.0	 	annotator4
253_ounce_nn	-	I don't understand s2	annotator4
239_ounce_nn	-	I don't understand s2	annotator4
261_ounce_nn	4.0	 	annotator4
242_ounce_nn	4.0	 	annotator4
262_ounce_nn	1.0	 	annotator4
223_ounce_nn	4.0	 	annotator4
173_ounce_nn	4.0	 	annotator4
161_ounce_nn	4.0	 	annotator4
263_ounce_nn	4.0	 	annotator4
264_ounce_nn	4.0	 	annotator4
265_ounce_nn	4.0	 	annotator4
211_ounce_nn	1.0	 	annotator4
266_ounce_nn	4.0	 	annotator4
177_ounce_nn	4.0	 	annotator4
267_ounce_nn	4.0	 	annotator4
147_ounce_nn	1.0	 	annotator4
226_ounce_nn	4.0	 	annotator4
268_ounce_nn	4.0	 	annotator4
236_ounce_nn	4.0	 	annotator4
230_ounce_nn	4.0	 	annotator4
269_ounce_nn	4.0	 	annotator4
151_ounce_nn	1.0	 	annotator4
270_ounce_nn	4.0	 	annotator4
164_ounce_nn	4.0	 	annotator4
174_ounce_nn	4.0	 	annotator4
271_ounce_nn	4.0	 	annotator4
183_ounce_nn	4.0	 	annotator4
272_ounce_nn	4.0	 	annotator4
231_ounce_nn	4.0	 	annotator4
273_ounce_nn	4.0	 	annotator4
274_ounce_nn	4.0	 	annotator4
160_ounce_nn	1.0	 	annotator4
125_ounce_nn	1.0	 	annotator4
247_ounce_nn	4.0	 	annotator4
158_ounce_nn	4.0	 	annotator4
176_ounce_nn	4.0	 	annotator4
275_ounce_nn	4.0	 	annotator4
149_ounce_nn	4.0	 	annotator4
134_ounce_nn	1.0	 	annotator4
237_ounce_nn	4.0	 	annotator4
196_ounce_nn	4.0	 	annotator4
202_ounce_nn	4.0	 	annotator4
216_ounce_nn	4.0	 	annotator4
276_ounce_nn	4.0	 	annotator4
117_ounce_nn	4.0	 	annotator4
258_ounce_nn	4.0	 	annotator4
225_ounce_nn	4.0	 	annotator4
162_ounce_nn	4.0	 	annotator4
277_ounce_nn	1.0	 	annotator4
220_ounce_nn	4.0	 	annotator4
137_ounce_nn	4.0	 	annotator4
150_ounce_nn	1.0	 	annotator4
201_ounce_nn	4.0	 	annotator4
66_ounce_nn	1.0	 	annotator4
278_ounce_nn	1.0	 	annotator4
279_ounce_nn	4.0	 	annotator4
222_ounce_nn	4.0	 	annotator4
280_ounce_nn	4.0	 	annotator4
156_ounce_nn	4.0	 	annotator4
28_ounce_nn	1.0	 	annotator4
36_ounce_nn	1.0	 	annotator4
281_ounce_nn	4.0	 	annotator4
282_ounce_nn	4.0	 	annotator4
283_ounce_nn	1.0	 	annotator4
203_ounce_nn	4.0	 	annotator4
284_ounce_nn	4.0	 	annotator4
244_ounce_nn	1.0	 	annotator4
285_ounce_nn	4.0	 	annotator4
286_ounce_nn	4.0	 	annotator4
287_ounce_nn	4.0	 	annotator4
241_ounce_nn	4.0	 	annotator4
148_ounce_nn	4.0	 	annotator4
221_ounce_nn	4.0	 	annotator4
145_ounce_nn	4.0	 	annotator4
288_ounce_nn	4.0	 	annotator4
153_ounce_nn	1.0	 	annotator4
9_ounce_nn	1.0	 	annotator4
141_ounce_nn	4.0	 	annotator4
224_ounce_nn	4.0	 	annotator4
289_ounce_nn	4.0	 	annotator4
172_ounce_nn	3.0	 	annotator0
151_ounce_nn	3.0	 	annotator0
259_ounce_nn	4.0	 	annotator0
202_ounce_nn	4.0	 	annotator0
288_ounce_nn	4.0	 	annotator0
290_ounce_nn	4.0	 	annotator0
251_ounce_nn	4.0	 	annotator0
291_ounce_nn	4.0	 	annotator0
257_ounce_nn	3.0	 	annotator0
292_ounce_nn	4.0	 	annotator0
164_ounce_nn	4.0	 	annotator0
205_ounce_nn	4.0	 	annotator0
293_ounce_nn	4.0	 	annotator0
294_ounce_nn	4.0	 	annotator0
295_ounce_nn	4.0	 	annotator0
187_ounce_nn	4.0	 	annotator0
134_ounce_nn	3.0	 	annotator0
181_ounce_nn	4.0	 	annotator0
36_ounce_nn	3.0	 	annotator0
296_ounce_nn	4.0	 	annotator0
48_ounce_nn	3.0	 	annotator0
297_ounce_nn	4.0	 	annotator0
264_ounce_nn	4.0	 	annotator0
275_ounce_nn	4.0	 	annotator0
174_ounce_nn	4.0	 	annotator0
298_ounce_nn	4.0	 	annotator0
299_ounce_nn	3.0	 	annotator0
158_ounce_nn	4.0	 	annotator0
232_ounce_nn	4.0	 	annotator0
283_ounce_nn	3.0	 	annotator0
300_ounce_nn	4.0	 	annotator0
301_ounce_nn	4.0	 	annotator0
302_ounce_nn	3.0	 	annotator0
153_ounce_nn	3.0	 	annotator0
34_ounce_nn	3.0	 	annotator0
263_ounce_nn	4.0	 	annotator0
303_ounce_nn	4.0	 	annotator0
241_ounce_nn	4.0	 	annotator0
154_ounce_nn	4.0	 	annotator0
304_ounce_nn	4.0	 	annotator0
252_ounce_nn	4.0	 	annotator0
305_ounce_nn	4.0	 	annotator0
284_ounce_nn	4.0	 	annotator0
166_ounce_nn	4.0	 	annotator0
189_ounce_nn	4.0	 	annotator0
253_ounce_nn	3.0	Unsure; difficult to judge the meaning in sentence 2	annotator0
306_ounce_nn	4.0	 	annotator0
307_ounce_nn	4.0	 	annotator0
255_ounce_nn	4.0	 	annotator0
280_ounce_nn	4.0	 	annotator0
