instanceID	dataIDs	label_set	non_label
0_part_nn	fic_1845_622.txt-3025-27,mag_1844_587318.txt-845-10	1,2,3,4	-
1_part_nn	fic_1856_2655.txt-2377-33,nf_1843_747650.txt-2589-68	1,2,3,4	-
2_part_nn	fic_1827_9756.txt-4065-10,fic_1832_8798.txt-1236-5	1,2,3,4	-
3_part_nn	mag_1995_353509.txt-17-40,fic_1975_648.txt-121-4	1,2,3,4	-
4_part_nn	nf_1966_774000.txt-694-15,nf_1824_747685.txt-354-2	1,2,3,4	-
5_part_nn	fic_1978_23930.txt-96-28,nf_1824_747685.txt-354-2	1,2,3,4	-
6_part_nn	nf_1841_747861.txt-823-13,fic_1832_8798.txt-1236-5	1,2,3,4	-
7_part_nn	nf_1848_754438.txt-2588-3,news_1991_654815.txt-110-6	1,2,3,4	-
8_part_nn	mag_1973_487962.txt-90-12,fic_1832_7177.txt-509-4	1,2,3,4	-
9_part_nn	news_2004_640284.txt-4-4,fic_1971_10547.txt-7727-6	1,2,3,4	-
10_part_nn	mag_1829_553996.txt-397-44,fic_2005_50308.txt-30-6	1,2,3,4	-
11_part_nn	fic_1834_7323.txt-3011-79,news_1964_724263.txt-8-7	1,2,3,4	-
12_part_nn	mag_1851_566015.txt-55-22,nf_1824_747685.txt-354-2	1,2,3,4	-
13_part_nn	fic_1845_622.txt-1210-22,mag_1973_487962.txt-90-12	1,2,3,4	-
14_part_nn	fic_1854_70.txt-3627-37,nf_1984_774337.txt-1817-47	1,2,3,4	-
15_part_nn	mag_1967_494418.txt-49-13,news_1970_728376.txt-129-2	1,2,3,4	-
16_part_nn	fic_1987_10756.txt-5827-1,fic_1988_782036.txt-5418-16	1,2,3,4	-
17_part_nn	fic_2005_30279.txt-4-36,fic_2005_50112.txt-20-12	1,2,3,4	-
18_part_nn	fic_1860_9168.txt-4532-28,nf_2004_746260.txt-192-2	1,2,3,4	-
19_part_nn	fic_1845_622.txt-1210-22,nf_1969_774314.txt-1448-7	1,2,3,4	-
20_part_nn	nf_1844_747706.txt-293-12,nf_1843_747650.txt-263-23	1,2,3,4	-
21_part_nn	nf_1841_747861.txt-823-13,mag_1825_553595.txt-55-41	1,2,3,4	-
22_part_nn	mag_1851_566015.txt-55-22,news_1970_728376.txt-129-2	1,2,3,4	-
23_part_nn	news_2003_628548.txt-8-18,fic_1975_648.txt-121-4	1,2,3,4	-
24_part_nn	nf_1983_774351.txt-763-6,news_2004_640284.txt-4-4	1,2,3,4	-
25_part_nn	mag_1972_487986.txt-211-13,fic_1832_7177.txt-509-4	1,2,3,4	-
26_part_nn	mag_2001_423903.txt-25-9,nf_1980_774208.txt-1429-16	1,2,3,4	-
27_part_nn	mag_1973_487962.txt-90-12,mag_1850_565938.txt-59-11	1,2,3,4	-
28_part_nn	news_2003_628548.txt-8-18,news_1983_735633.txt-13-17	1,2,3,4	-
29_part_nn	nf_1848_772202.txt-971-9,fic_1994_41307.txt-831-29	1,2,3,4	-
30_part_nn	fic_1849_5168.txt-3794-11,fic_1822_8736.txt-1033-9	1,2,3,4	-
31_part_nn	mag_1987_334446.txt-13-2,fic_1973_13265.txt-223-12	1,2,3,4	-
32_part_nn	nf_1846_748061.txt-1354-49,nf_1984_774337.txt-1817-47	1,2,3,4	-
33_part_nn	fic_1856_2655.txt-2377-33,nf_1857_755095.txt-581-3	1,2,3,4	-
34_part_nn	news_1991_654815.txt-110-6,fic_2006_27852.txt-301-18	1,2,3,4	-
35_part_nn	mag_1851_566015.txt-55-22,fic_1847_7152.txt-704-37	1,2,3,4	-
36_part_nn	fic_1835_7271.txt-1069-46,news_1970_728376.txt-129-2	1,2,3,4	-
37_part_nn	fic_2005_30279.txt-4-36,fic_1832_7177.txt-509-4	1,2,3,4	-
38_part_nn	fic_1972_10554.txt-2899-9,fic_1857_9075.txt-2528-22	1,2,3,4	-
39_part_nn	fic_1841_799.txt-2512-9,fic_1822_8736.txt-1033-9	1,2,3,4	-
40_part_nn	fic_1973_13265.txt-223-12,nf_1847_749455.txt-591-13	1,2,3,4	-
41_part_nn	mag_1844_518856.txt-209-11,mag_1827_553813.txt-216-21	1,2,3,4	-
42_part_nn	nf_1844_755204.txt-1377-19,mag_1967_494418.txt-49-13	1,2,3,4	-
43_part_nn	mag_1987_334446.txt-13-2,mag_1967_494418.txt-49-13	1,2,3,4	-
44_part_nn	fic_2003_30073.txt-45-6,nf_1841_747861.txt-823-13	1,2,3,4	-
45_part_nn	fic_1854_7839.txt-1488-13,news_1983_735633.txt-13-17	1,2,3,4	-
46_part_nn	nf_1975_774042.txt-1179-30,fic_1822_8736.txt-1033-9	1,2,3,4	-
47_part_nn	mag_1987_334446.txt-13-2,nf_1841_747861.txt-823-13	1,2,3,4	-
