instanceID	dataIDs	label_set	non_label
0_pick_vb	fic_1851_2590.txt-389-9,fic_1856_9779.txt-12362-10	1,2,3,4	-
1_pick_vb	fic_1852_3726.txt-438-30,nf_1832_747503.txt-183-39	1,2,3,4	-
2_pick_vb	fic_1961_781980.txt-1736-4,fic_2000_27747.txt-133-4	1,2,3,4	-
3_pick_vb	fic_1860_9168.txt-597-1,fic_1852_69.txt-8320-9	1,2,3,4	-
4_pick_vb	fic_1999_44827.txt-1943-2,fic_1993_14202.txt-767-6	1,2,3,4	-
5_pick_vb	fic_2008_36135.txt-279-4,fic_1843_7208.txt-9542-27	1,2,3,4	-
6_pick_vb	fic_1852_3726.txt-438-30,fic_1835_7134.txt-2849-6	1,2,3,4	-
7_pick_vb	fic_1854_7839.txt-770-8,fic_1835_7134.txt-2847-8	1,2,3,4	-
8_pick_vb	fic_2007_52034.txt-55-1,mag_1849_555588.txt-11-76	1,2,3,4	-
9_pick_vb	fic_1852_69.txt-8320-9,mag_1828_553896.txt-106-75	1,2,3,4	-
10_pick_vb	fic_1849_7006.txt-1503-17,mag_1974_316770.txt-12-3	1,2,3,4	-
11_pick_vb	news_1990_667268.txt-3-5,fic_1850_7304.txt-6199-15	1,2,3,4	-
12_pick_vb	fic_2007_52034.txt-55-1,mag_1978_479996.txt-283-21	1,2,3,4	-
13_pick_vb	fic_1997_54758.txt-86-13,mag_1991_343562.txt-24-6	1,2,3,4	-
14_pick_vb	fic_1840_8909.txt-1254-28,mag_1991_343562.txt-24-6	1,2,3,4	-
15_pick_vb	fic_2009_36571.txt-65-2,fic_1962_4573.txt-3187-3	1,2,3,4	-
16_pick_vb	fic_1856_2655.txt-2882-5,fic_1994_53956.txt-907-11	1,2,3,4	-
17_pick_vb	fic_1997_42211.txt-43-33,fic_2007_52034.txt-55-1	1,2,3,4	-
18_pick_vb	fic_1997_42211.txt-43-33,fic_1856_2880.txt-3291-31	1,2,3,4	-
19_pick_vb	fic_1997_42211.txt-43-33,fic_1856_9779.txt-12362-10	1,2,3,4	-
20_pick_vb	fic_1962_10420.txt-3439-9,mag_1851_555701.txt-85-38	1,2,3,4	-
21_pick_vb	fic_1842_7158.txt-552-30,mag_1851_555701.txt-85-38	1,2,3,4	-
22_pick_vb	nf_1977_774125.txt-2931-1,fic_1847_7190.txt-1258-35	1,2,3,4	-
23_pick_vb	nf_1832_747503.txt-183-39,fic_1860_9168.txt-597-1	1,2,3,4	-
24_pick_vb	fic_1843_7208.txt-9542-27,fic_1970_782001.txt-2936-3	1,2,3,4	-
25_pick_vb	news_1972_729961.txt-36-4,fic_1856_9779.txt-10876-62	1,2,3,4	-
26_pick_vb	fic_1993_14202.txt-767-6,news_1990_667268.txt-3-5	1,2,3,4	-
27_pick_vb	nf_1851_771607.txt-895-20,fic_1852_2751.txt-3110-9	1,2,3,4	-
28_pick_vb	fic_1995_30737.txt-3-8,fic_1843_7208.txt-9542-27	1,2,3,4	-
29_pick_vb	news_2002_622956.txt-21-21,nf_1977_774125.txt-2931-1	1,2,3,4	-
30_pick_vb	fic_1835_7134.txt-2847-8,nf_1851_771607.txt-895-20	1,2,3,4	-
31_pick_vb	fic_1852_3726.txt-438-30,fic_1854_7839.txt-770-8	1,2,3,4	-
32_pick_vb	mag_1859_567209.txt-67-52,fic_1993_14202.txt-767-6	1,2,3,4	-
33_pick_vb	fic_1975_10598.txt-4467-1,fic_1962_4573.txt-3187-3	1,2,3,4	-
34_pick_vb	fic_1853_9142.txt-2080-11,mag_1991_343562.txt-24-6	1,2,3,4	-
35_pick_vb	fic_1961_781980.txt-1736-4,fic_1962_4573.txt-3187-3	1,2,3,4	-
36_pick_vb	mag_1828_553896.txt-106-75,fic_1991_53374.txt-365-5	1,2,3,4	-
37_pick_vb	nf_1851_771607.txt-895-20,mag_2006_384539.txt-246-4	1,2,3,4	-
38_pick_vb	fic_1851_2590.txt-389-9,mag_2004_364364.txt-8-48	1,2,3,4	-
39_pick_vb	fic_1834_7032.txt-158-3,news_2002_622956.txt-21-21	1,2,3,4	-
40_pick_vb	fic_1852_69.txt-8320-9,fic_1991_53374.txt-365-5	1,2,3,4	-
41_pick_vb	mag_1828_553896.txt-106-75,nf_1844_749098.txt-1153-20	1,2,3,4	-
42_pick_vb	mag_2004_364364.txt-8-48,fic_1859_9216.txt-4351-8	1,2,3,4	-
43_pick_vb	nf_1851_771607.txt-895-20,fic_1999_44827.txt-1943-2	1,2,3,4	-
44_pick_vb	fic_1988_14651.txt-111-5,mag_1963_491920.txt-68-1	1,2,3,4	-
45_pick_vb	fic_1840_7292.txt-3726-20,nf_1848_772202.txt-208-32	1,2,3,4	-
46_pick_vb	fic_1962_10416.txt-901-13,fic_1835_7134.txt-2849-6	1,2,3,4	-
47_pick_vb	news_1984_669414.txt-46-0,nf_1836_747779.txt-2487-39	1,2,3,4	-
48_pick_vb	fic_1840_8909.txt-1254-28,fic_1854_9826.txt-5835-1	1,2,3,4	-
49_pick_vb	fic_1997_54758.txt-86-13,nf_1837_757476.txt-640-19	1,2,3,4	-
50_pick_vb	fic_1853_9142.txt-2080-11,nf_1836_747779.txt-2487-39	1,2,3,4	-
51_pick_vb	fic_1842_7158.txt-552-30,nf_1848_772202.txt-208-32	1,2,3,4	-
52_pick_vb	fic_1856_9797.txt-996-13,mag_1828_553896.txt-106-75	1,2,3,4	-
53_pick_vb	fic_1856_9779.txt-12362-10,fic_1847_7190.txt-1258-35	1,2,3,4	-
54_pick_vb	fic_1852_69.txt-8377-30,mag_1974_316770.txt-12-3	1,2,3,4	-
55_pick_vb	nf_1837_757476.txt-640-19,mag_1960_477687.txt-387-14	1,2,3,4	-
56_pick_vb	news_1984_669414.txt-46-0,news_1972_729961.txt-36-4	1,2,3,4	-
