instanceID	label	comment	annotator
0_pick_vb	1.0	 	annotator2
1_pick_vb	3.0	 	annotator2
2_pick_vb	2.0	 	annotator2
3_pick_vb	3.0	 	annotator2
4_pick_vb	1.0	 	annotator2
5_pick_vb	1.0	 	annotator2
6_pick_vb	3.0	 	annotator2
7_pick_vb	3.0	 	annotator2
8_pick_vb	2.0	 	annotator2
9_pick_vb	1.0	 	annotator2
10_pick_vb	1.0	 	annotator2
11_pick_vb	1.0	 	annotator2
12_pick_vb	1.0	 	annotator2
13_pick_vb	1.0	 	annotator2
14_pick_vb	1.0	 	annotator2
15_pick_vb	2.0	 	annotator2
16_pick_vb	4.0	 	annotator2
17_pick_vb	2.0	 	annotator2
18_pick_vb	1.0	 	annotator2
19_pick_vb	1.0	 	annotator2
20_pick_vb	1.0	 	annotator2
21_pick_vb	1.0	 	annotator2
22_pick_vb	1.0	 	annotator2
23_pick_vb	3.0	 	annotator2
24_pick_vb	1.0	 	annotator2
25_pick_vb	1.0	 	annotator2
26_pick_vb	4.0	 	annotator2
27_pick_vb	-	S2 ambiguous	annotator2
28_pick_vb	1.0	 	annotator2
29_pick_vb	1.0	 	annotator2
30_pick_vb	1.0	 	annotator2
31_pick_vb	2.0	 	annotator2
32_pick_vb	1.0	 	annotator2
33_pick_vb	4.0	 	annotator2
34_pick_vb	1.0	 	annotator2
35_pick_vb	1.0	 	annotator2
36_pick_vb	1.0	 	annotator2
37_pick_vb	1.0	 	annotator2
38_pick_vb	4.0	 	annotator2
39_pick_vb	1.0	 	annotator2
40_pick_vb	2.0	 	annotator2
41_pick_vb	1.0	 	annotator2
42_pick_vb	1.0	 	annotator2
43_pick_vb	1.0	 	annotator2
44_pick_vb	2.0	 	annotator2
45_pick_vb	1.0	 	annotator2
46_pick_vb	1.0	 	annotator2
47_pick_vb	4.0	 	annotator2
48_pick_vb	1.0	 	annotator2
49_pick_vb	3.0	 	annotator2
50_pick_vb	1.0	 	annotator2
51_pick_vb	2.0	 	annotator2
52_pick_vb	3.0	 	annotator2
53_pick_vb	1.0	 	annotator2
54_pick_vb	1.0	 	annotator2
55_pick_vb	1.0	 	annotator2
56_pick_vb	4.0	 	annotator2
57_pick_vb	3.0	 	annotator2
58_pick_vb	2.0	 	annotator2
