instanceID	dataIDs	label_set	non_label
0_pin_vb	nf_1972_774260.txt-1782-13,mag_1858_506205.txt-390-11	1,2,3,4	-
1_pin_vb	fic_2004_29550.txt-193-10,mag_1843_565253.txt-54-6	1,2,3,4	-
2_pin_vb	nf_1849_748465.txt-436-4,fic_1843_7074.txt-1808-25	1,2,3,4	-
3_pin_vb	fic_1982_10687.txt-4879-4,mag_1858_506205.txt-390-11	1,2,3,4	-
4_pin_vb	fic_1851_746.txt-4622-94,fic_1825_7041.txt-1698-26	1,2,3,4	-
5_pin_vb	news_1996_659277.txt-123-8,fic_2005_29459.txt-113-10	1,2,3,4	-
6_pin_vb	fic_1835_7203.txt-1066-20,fic_1987_10752.txt-1623-6	1,2,3,4	-
7_pin_vb	fic_1843_7074.txt-781-57,mag_1830_554014.txt-66-8	1,2,3,4	-
8_pin_vb	fic_1994_54077.txt-587-7,fic_1826_314.txt-1912-21	1,2,3,4	-
9_pin_vb	fic_1982_10687.txt-4879-4,fic_1835_7203.txt-1066-20	1,2,3,4	-
10_pin_vb	fic_1994_41224.txt-342-44,fic_1854_3384.txt-477-11	1,2,3,4	-
11_pin_vb	fic_2005_29459.txt-113-10,nf_1974_773897.txt-888-12	1,2,3,4	-
12_pin_vb	fic_2005_780528.txt-1288-30,fic_1963_10432.txt-3514-3	1,2,3,4	-
13_pin_vb	mag_1967_272727.txt-13-11,news_1974_731358.txt-31-11	1,2,3,4	-
14_pin_vb	fic_1854_3384.txt-477-11,news_1974_731358.txt-31-11	1,2,3,4	-
15_pin_vb	mag_1970_282090.txt-31-0,fic_1982_10687.txt-4879-4	1,2,3,4	-
16_pin_vb	fic_1987_10752.txt-1623-6,fic_1825_7041.txt-1698-26	1,2,3,4	-
17_pin_vb	fic_1825_7041.txt-1698-26,fic_1854_2820.txt-324-38	1,2,3,4	-
18_pin_vb	mag_1978_292549.txt-8-5,fic_1855_2416.txt-209-5	1,2,3,4	-
19_pin_vb	fic_1987_10752.txt-1623-6,fic_1963_10432.txt-3514-3	1,2,3,4	-
20_pin_vb	fic_2001_29262.txt-63-3,fic_1855_2416.txt-209-5	1,2,3,4	-
21_pin_vb	fic_2004_30978.txt-92-15,fic_1994_41224.txt-342-44	1,2,3,4	-
22_pin_vb	mag_1843_565253.txt-54-6,fic_1826_314.txt-1912-21	1,2,3,4	-
23_pin_vb	fic_1834_7012.txt-2400-67,fic_1840_8909.txt-1935-12	1,2,3,4	-
24_pin_vb	fic_1994_54077.txt-587-7,mag_1967_272727.txt-13-11	1,2,3,4	-
25_pin_vb	fic_1987_10752.txt-1623-6,fic_1994_41224.txt-342-44	1,2,3,4	-
26_pin_vb	fic_1855_2416.txt-209-5,mag_1995_394841.txt-66-9	1,2,3,4	-
27_pin_vb	fic_1853_9040.txt-3452-19,fic_1994_41224.txt-342-44	1,2,3,4	-
28_pin_vb	fic_1993_25015.txt-1735-12,fic_1838_7253.txt-1212-24	1,2,3,4	-
29_pin_vb	fic_1835_7203.txt-1066-20,fic_1822_7275.txt-189-74	1,2,3,4	-
30_pin_vb	news_1974_731358.txt-31-11,mag_1858_506205.txt-390-11	1,2,3,4	-
31_pin_vb	nf_1974_773897.txt-888-12,fic_1970_10535.txt-192-2	1,2,3,4	-
32_pin_vb	fic_1839_7024.txt-2238-13,fic_1856_1281.txt-4925-41	1,2,3,4	-
33_pin_vb	fic_1835_7309.txt-3622-1,fic_1994_54077.txt-587-7	1,2,3,4	-
34_pin_vb	fic_2004_30978.txt-92-15,fic_1970_10535.txt-192-2	1,2,3,4	-
35_pin_vb	fic_1825_7041.txt-1698-26,nf_1972_774260.txt-1782-13	1,2,3,4	-
