instanceID	label	comment	annotator
0_plane_nn	1.0	 	annotator2
1_plane_nn	1.0	 	annotator2
2_plane_nn	4.0	 	annotator2
3_plane_nn	3.0	 	annotator2
4_plane_nn	3.0	 	annotator2
5_plane_nn	1.0	 	annotator2
6_plane_nn	1.0	 	annotator2
7_plane_nn	1.0	 	annotator2
8_plane_nn	1.0	 	annotator2
9_plane_nn	3.0	 	annotator2
10_plane_nn	1.0	 	annotator2
11_plane_nn	1.0	 	annotator2
12_plane_nn	1.0	 	annotator2
13_plane_nn	1.0	 	annotator2
14_plane_nn	2.0	 	annotator2
15_plane_nn	4.0	 	annotator2
16_plane_nn	1.0	 	annotator6
17_plane_nn	3.0	 	annotator6
18_plane_nn	1.0	 	annotator6
19_plane_nn	4.0	 	annotator6
20_plane_nn	1.0	 	annotator6
21_plane_nn	-	 	annotator6
22_plane_nn	4.0	 	annotator6
8_plane_nn	1.0	 	annotator6
23_plane_nn	4.0	 	annotator6
24_plane_nn	1.0	 	annotator6
25_plane_nn	1.0	 	annotator6
26_plane_nn	1.0	 	annotator6
27_plane_nn	3.0	 	annotator6
28_plane_nn	4.0	 	annotator6
29_plane_nn	2.0	 	annotator6
30_plane_nn	1.0	 	annotator6
31_plane_nn	2.0	 	annotator6
32_plane_nn	1.0	 	annotator6
33_plane_nn	1.0	 	annotator5
34_plane_nn	4.0	 	annotator5
18_plane_nn	1.0	 	annotator5
7_plane_nn	2.0	 	annotator5
35_plane_nn	4.0	 	annotator5
36_plane_nn	4.0	 	annotator5
37_plane_nn	3.0	 	annotator5
38_plane_nn	-	not the same root	annotator5
28_plane_nn	4.0	 	annotator5
39_plane_nn	4.0	 	annotator5
40_plane_nn	3.0	 	annotator5
41_plane_nn	4.0	 	annotator5
42_plane_nn	4.0	 	annotator5
43_plane_nn	4.0	 	annotator5
44_plane_nn	3.0	 	annotator5
21_plane_nn	-	not the same root	annotator5
19_plane_nn	4.0	 	annotator5
24_plane_nn	1.0	 	annotator0
45_plane_nn	4.0	 	annotator0
46_plane_nn	4.0	 	annotator0
47_plane_nn	4.0	 	annotator0
48_plane_nn	3.0	 	annotator0
12_plane_nn	1.0	 	annotator0
49_plane_nn	1.0	 	annotator0
21_plane_nn	1.0	 	annotator0
50_plane_nn	1.0	 	annotator0
51_plane_nn	1.0	 	annotator0
52_plane_nn	4.0	 	annotator0
53_plane_nn	1.0	 	annotator0
36_plane_nn	3.0	 	annotator0
54_plane_nn	1.0	 	annotator0
55_plane_nn	1.0	 	annotator0
56_plane_nn	1.0	 	annotator0
57_plane_nn	3.0	 	annotator0
20_plane_nn	1.0	 	annotator0
58_plane_nn	1.0	 	annotator2
59_plane_nn	1.0	 	annotator2
60_plane_nn	1.0	 	annotator2
61_plane_nn	4.0	 	annotator2
62_plane_nn	4.0	 	annotator2
63_plane_nn	-	 	annotator2
64_plane_nn	1.0	 	annotator2
65_plane_nn	1.0	 	annotator2
66_plane_nn	4.0	 	annotator2
67_plane_nn	4.0	 	annotator2
68_plane_nn	4.0	 	annotator2
69_plane_nn	1.0	 	annotator2
70_plane_nn	1.0	 	annotator2
71_plane_nn	4.0	 	annotator2
72_plane_nn	1.0	 	annotator2
73_plane_nn	4.0	 	annotator2
74_plane_nn	1.0	 	annotator2
75_plane_nn	4.0	 	annotator2
76_plane_nn	4.0	 	annotator2
77_plane_nn	1.0	 	annotator2
78_plane_nn	1.0	 	annotator2
79_plane_nn	1.0	 	annotator2
80_plane_nn	4.0	 	annotator2
81_plane_nn	1.0	 	annotator2
82_plane_nn	1.0	 	annotator2
83_plane_nn	4.0	 	annotator2
84_plane_nn	1.0	 	annotator2
85_plane_nn	3.0	 	annotator2
86_plane_nn	1.0	 	annotator2
87_plane_nn	4.0	 	annotator2
88_plane_nn	1.0	 	annotator2
89_plane_nn	1.0	 	annotator2
90_plane_nn	1.0	 	annotator2
91_plane_nn	1.0	 	annotator2
92_plane_nn	4.0	 	annotator2
93_plane_nn	1.0	 	annotator2
94_plane_nn	4.0	 	annotator2
95_plane_nn	1.0	 	annotator2
96_plane_nn	4.0	 	annotator2
97_plane_nn	1.0	 	annotator2
98_plane_nn	4.0	 	annotator2
99_plane_nn	4.0	 	annotator2
100_plane_nn	1.0	 	annotator2
101_plane_nn	1.0	 	annotator2
102_plane_nn	1.0	 	annotator2
103_plane_nn	1.0	 	annotator2
104_plane_nn	1.0	 	annotator2
105_plane_nn	4.0	 	annotator2
106_plane_nn	4.0	 	annotator2
107_plane_nn	4.0	 	annotator2
108_plane_nn	1.0	 	annotator2
109_plane_nn	3.0	 	annotator2
110_plane_nn	1.0	 	annotator2
111_plane_nn	1.0	 	annotator2
112_plane_nn	1.0	 	annotator2
113_plane_nn	4.0	 	annotator2
114_plane_nn	1.0	 	annotator2
115_plane_nn	1.0	 	annotator2
116_plane_nn	1.0	 	annotator2
117_plane_nn	1.0	 	annotator2
118_plane_nn	-	 	annotator2
119_plane_nn	4.0	 	annotator2
120_plane_nn	4.0	 	annotator2
121_plane_nn	3.0	 	annotator2
122_plane_nn	4.0	 	annotator2
123_plane_nn	1.0	 	annotator2
124_plane_nn	1.0	 	annotator2
125_plane_nn	1.0	 	annotator2
126_plane_nn	4.0	 	annotator2
127_plane_nn	4.0	 	annotator2
128_plane_nn	3.0	 	annotator2
129_plane_nn	2.0	 	annotator2
130_plane_nn	4.0	 	annotator2
131_plane_nn	4.0	 	annotator2
132_plane_nn	1.0	 	annotator2
133_plane_nn	1.0	 	annotator2
134_plane_nn	4.0	 	annotator2
