instanceID	dataIDs	label_set	non_label
0_player_nn	fic_1844_7114.txt-1472-20,news_1980_668002.txt-14-9	1,2,3,4	-
1_player_nn	mag_1984_326101.txt-12-15,nf_1833_747531.txt-1407-18	1,2,3,4	-
2_player_nn	news_2005_648986.txt-71-14,mag_2006_385919.txt-27-40	1,2,3,4	-
3_player_nn	mag_1994_425778.txt-18-10,fic_1833_7058.txt-508-44	1,2,3,4	-
4_player_nn	news_2005_648986.txt-71-14,news_1993_630359.txt-52-23	1,2,3,4	-
5_player_nn	nf_1833_747531.txt-2900-1,news_2006_607690.txt-28-12	1,2,3,4	-
6_player_nn	fic_1992_30681.txt-25-26,mag_2004_414611.txt-17-0	1,2,3,4	-
7_player_nn	fic_1843_7155.txt-1334-5,fic_1833_7058.txt-508-44	1,2,3,4	-
8_player_nn	nf_2008_774810.txt-327-77,fic_1992_29899.txt-15-25	1,2,3,4	-
9_player_nn	news_2005_648986.txt-71-14,news_2007_637876.txt-55-20	1,2,3,4	-
10_player_nn	mag_1997_389166.txt-31-27,fic_1845_7170.txt-11079-11	1,2,3,4	-
11_player_nn	news_2006_607690.txt-28-12,mag_1997_389166.txt-31-27	1,2,3,4	-
12_player_nn	mag_2009_405435.txt-1-15,fic_1992_29899.txt-15-25	1,2,3,4	-
13_player_nn	fic_1997_54827.txt-448-2,news_1996_625833.txt-62-1	1,2,3,4	-
14_player_nn	mag_1992_61839.txt-50-24,fic_1841_799.txt-1809-16	1,2,3,4	-
15_player_nn	mag_2006_385919.txt-27-40,mag_1984_326101.txt-12-15	1,2,3,4	-
16_player_nn	fic_1992_29899.txt-15-25,mag_1846_524089.txt-294-22	1,2,3,4	-
17_player_nn	fic_1859_9192.txt-12566-11,news_2006_607690.txt-28-12	1,2,3,4	-
18_player_nn	fic_1992_29899.txt-15-25,fic_2009_36644.txt-534-12	1,2,3,4	-
19_player_nn	fic_1833_7058.txt-508-44,mag_1984_326101.txt-12-15	1,2,3,4	-
20_player_nn	news_2007_637876.txt-55-20,fic_2009_36644.txt-534-12	1,2,3,4	-
21_player_nn	mag_1846_524089.txt-294-22,news_2005_648986.txt-71-14	1,2,3,4	-
22_player_nn	news_1993_630359.txt-52-23,mag_1997_389166.txt-31-27	1,2,3,4	-
23_player_nn	nf_1834_747621.txt-357-38,mag_2003_376656.txt-21-25	1,2,3,4	-
24_player_nn	nf_1859_748120.txt-2700-49,news_1993_630359.txt-52-23	1,2,3,4	-
25_player_nn	fic_1992_29899.txt-15-25,news_2006_607690.txt-28-12	1,2,3,4	-
26_player_nn	nf_1859_748120.txt-2700-49,nf_2008_774810.txt-327-77	1,2,3,4	-
27_player_nn	fic_1992_29899.txt-15-25,mag_1997_389166.txt-31-27	1,2,3,4	-
28_player_nn	fic_2004_29720.txt-33-32,fic_1845_7170.txt-11079-11	1,2,3,4	-
29_player_nn	fic_1976_780159.txt-418-30,nf_1834_747621.txt-292-8	1,2,3,4	-
30_player_nn	fic_2000_52519.txt-272-0,mag_1963_492078.txt-28-12	1,2,3,4	-
31_player_nn	mag_1997_356208.txt-22-17,mag_2009_405435.txt-1-15	1,2,3,4	-
32_player_nn	nf_1833_747531.txt-2900-1,news_2007_637876.txt-55-20	1,2,3,4	-
33_player_nn	fic_1993_25036.txt-2086-4,fic_2004_31868.txt-198-7	1,2,3,4	-
34_player_nn	nf_1833_747531.txt-1407-18,news_1993_630359.txt-52-23	1,2,3,4	-
35_player_nn	fic_1973_10570.txt-2597-9,mag_1832_554166.txt-207-13	1,2,3,4	-
36_player_nn	fic_1836_7053.txt-2899-11,fic_1859_9192.txt-12566-11	1,2,3,4	-
37_player_nn	nf_2008_774810.txt-327-77,fic_1845_7170.txt-11079-11	1,2,3,4	-
38_player_nn	mag_1963_248405.txt-21-14,nf_1840_768793.txt-1049-0	1,2,3,4	-
39_player_nn	fic_1845_7170.txt-11079-11,mag_1984_326101.txt-12-15	1,2,3,4	-
40_player_nn	fic_1859_9192.txt-12566-11,news_1999_639410.txt-48-4	1,2,3,4	-
41_player_nn	fic_1844_800.txt-1250-37,fic_1836_7052.txt-1521-3	1,2,3,4	-
42_player_nn	nf_1833_747531.txt-2900-1,fic_1992_29899.txt-15-25	1,2,3,4	-
43_player_nn	news_2007_637876.txt-55-20,nf_1833_747531.txt-1407-18	1,2,3,4	-
44_player_nn	mag_1823_553496.txt-80-3,nf_1834_747621.txt-195-13	1,2,3,4	-
45_player_nn	news_2007_637876.txt-55-20,news_1993_630359.txt-52-23	1,2,3,4	-
