instanceID	dataIDs	label_set	non_label
0_quilt_nn	fic_1854_2820.txt-3581-19,mag_1980_491735.txt-71-26	1,2,3,4	-
1_quilt_nn	fic_1982_10695.txt-1606-3,fic_1845_7170.txt-988-68	1,2,3,4	-
2_quilt_nn	fic_2006_28357.txt-52-18,fic_1859_9037.txt-120-33	1,2,3,4	-
3_quilt_nn	fic_1995_39362.txt-547-10,news_2001_661942.txt-4-12	1,2,3,4	-
4_quilt_nn	nf_1852_752548.txt-1511-20,fic_1854_9230.txt-1114-18	1,2,3,4	-
5_quilt_nn	fic_1851_746.txt-758-90,fic_1966_10468.txt-2642-33	1,2,3,4	-
6_quilt_nn	fic_1843_7325.txt-221-12,fic_1850_7171.txt-237-80	1,2,3,4	-
7_quilt_nn	fic_1845_7183.txt-2471-9,fic_1835_7268.txt-1888-52	1,2,3,4	-
8_quilt_nn	fic_1852_9804.txt-139-32,mag_1987_487710.txt-71-10	1,2,3,4	-
9_quilt_nn	fic_1852_9804.txt-139-32,fic_1843_7325.txt-233-48	1,2,3,4	-
10_quilt_nn	fic_2002_31835.txt-147-12,fic_1991_53496.txt-38-6	1,2,3,4	-
11_quilt_nn	fic_1849_7192.txt-1259-17,fic_1852_9804.txt-140-14	1,2,3,4	-
12_quilt_nn	fic_1859_9037.txt-612-11,fic_1851_746.txt-758-90	1,2,3,4	-
13_quilt_nn	fic_1854_2820.txt-3581-19,fic_1849_7192.txt-1650-33	1,2,3,4	-
14_quilt_nn	fic_1966_10468.txt-2642-33,fic_1859_9037.txt-612-11	1,2,3,4	-
15_quilt_nn	fic_1853_9040.txt-377-25,fic_1853_9040.txt-544-20	1,2,3,4	-
16_quilt_nn	fic_1859_9037.txt-581-12,mag_1853_504777.txt-58-45	1,2,3,4	-
17_quilt_nn	fic_1859_9037.txt-473-18,fic_1988_16142.txt-474-6	1,2,3,4	-
18_quilt_nn	mag_2001_419629.txt-54-12,fic_1853_9040.txt-403-41	1,2,3,4	-
19_quilt_nn	fic_1853_9040.txt-354-4,fic_1858_1282.txt-1571-6	1,2,3,4	-
20_quilt_nn	fic_1839_1484.txt-2252-27,fic_1854_9230.txt-3965-48	1,2,3,4	-
21_quilt_nn	fic_2003_29829.txt-394-9,fic_1858_1282.txt-1571-6	1,2,3,4	-
22_quilt_nn	fic_1853_9040.txt-529-41,fic_1854_9230.txt-1114-18	1,2,3,4	-
23_quilt_nn	fic_1843_7325.txt-778-98,fic_1858_1282.txt-1571-6	1,2,3,4	-
24_quilt_nn	mag_2003_402116.txt-22-10,fic_1823_7241.txt-198-31	1,2,3,4	-
25_quilt_nn	fic_1846_7036.txt-1797-2,fic_1859_9037.txt-581-12	1,2,3,4	-
26_quilt_nn	fic_1988_24000.txt-228-1,mag_2002_395216.txt-152-8	1,2,3,4	-
27_quilt_nn	fic_1993_1040095.txt-3725-7,fic_2001_45724.txt-441-5	1,2,3,4	-
28_quilt_nn	fic_1966_10470.txt-484-8,fic_1988_16142.txt-474-6	1,2,3,4	-
