instanceID	dataIDs	label_set	non_label
0_rag_nn	fic_1851_746.txt-9213-32,fic_2007_52034.txt-772-7	1,2,3,4	-
1_rag_nn	fic_2004_28525.txt-81-26,nf_1857_767292.txt-1611-8	1,2,3,4	-
2_rag_nn	fic_1970_14232.txt-94-14,mag_1839_586418.txt-95-5	1,2,3,4	-
3_rag_nn	fic_1848_7193.txt-9900-20,fic_2007_52034.txt-772-7	1,2,3,4	-
4_rag_nn	fic_1973_16207.txt-1265-4,fic_1995_53078.txt-281-6	1,2,3,4	-
5_rag_nn	nf_1978_773805.txt-368-12,fic_2002_14169.txt-131-104	1,2,3,4	-
6_rag_nn	fic_1962_10427.txt-5159-25,fic_1860_9168.txt-1744-29	1,2,3,4	-
7_rag_nn	mag_2002_427158.txt-31-18,mag_1835_554357.txt-300-24	1,2,3,4	-
8_rag_nn	news_2005_629405.txt-33-14,fic_2005_29418.txt-164-23	1,2,3,4	-
9_rag_nn	fic_1836_7052.txt-3737-12,nf_1859_748120.txt-2353-5	1,2,3,4	-
10_rag_nn	fic_2000_38437.txt-118-14,fic_1856_1281.txt-4033-64	1,2,3,4	-
11_rag_nn	fic_1860_9168.txt-1744-29,fic_2005_32344.txt-225-2	1,2,3,4	-
12_rag_nn	nf_1845_747928.txt-1155-15,mag_1845_587497.txt-188-37	1,2,3,4	-
13_rag_nn	fic_2005_32344.txt-225-2,fic_1993_1040060.txt-10919-2	1,2,3,4	-
14_rag_nn	mag_2002_427158.txt-31-18,fic_2005_32344.txt-225-2	1,2,3,4	-
15_rag_nn	fic_2007_52034.txt-772-7,fic_1858_1282.txt-5496-20	1,2,3,4	-
16_rag_nn	fic_2007_52034.txt-772-7,fic_1828_7259.txt-660-46	1,2,3,4	-
17_rag_nn	fic_1976_10607.txt-9096-3,fic_1823_7246.txt-4692-15	1,2,3,4	-
18_rag_nn	mag_1839_586418.txt-113-40,nf_1978_773805.txt-368-12	1,2,3,4	-
19_rag_nn	fic_1993_1040060.txt-10919-2,mag_1839_586418.txt-95-5	1,2,3,4	-
20_rag_nn	fic_2001_55625.txt-90-10,fic_1849_7192.txt-6161-4	1,2,3,4	-
21_rag_nn	fic_1856_9077.txt-1344-9,fic_1986_16370.txt-10-13	1,2,3,4	-
22_rag_nn	fic_2007_52034.txt-772-7,fic_1856_9077.txt-1344-9	1,2,3,4	-
23_rag_nn	mag_1839_586418.txt-113-40,fic_1962_10427.txt-5159-25	1,2,3,4	-
