instanceID	label	comment	annotator
0_rag_nn	3.0	 	annotator2
1_rag_nn	2.0	 	annotator2
2_rag_nn	1.0	 	annotator2
3_rag_nn	3.0	 	annotator2
4_rag_nn	1.0	 	annotator2
5_rag_nn	1.0	 	annotator2
6_rag_nn	3.0	 	annotator2
7_rag_nn	2.0	 	annotator2
8_rag_nn	4.0	 	annotator2
9_rag_nn	4.0	 	annotator2
10_rag_nn	3.0	 	annotator2
11_rag_nn	1.0	 	annotator2
12_rag_nn	3.0	 	annotator2
13_rag_nn	1.0	 	annotator2
14_rag_nn	1.0	 	annotator2
15_rag_nn	4.0	 	annotator2
16_rag_nn	4.0	 	annotator2
17_rag_nn	1.0	 	annotator2
18_rag_nn	1.0	 	annotator2
19_rag_nn	1.0	 	annotator2
20_rag_nn	1.0	 	annotator2
21_rag_nn	4.0	 	annotator2
22_rag_nn	3.0	 	annotator2
23_rag_nn	3.0	 	annotator2
24_rag_nn	3.0	 	annotator2
25_rag_nn	1.0	 	annotator2
26_rag_nn	2.0	 	annotator2
27_rag_nn	3.0	 	annotator2
28_rag_nn	1.0	 	annotator2
29_rag_nn	3.0	 	annotator2
30_rag_nn	3.0	 	annotator2
31_rag_nn	2.0	 	annotator2
32_rag_nn	3.0	 	annotator2
33_rag_nn	1.0	 	annotator2
34_rag_nn	2.0	 	annotator2
35_rag_nn	3.0	 	annotator2
36_rag_nn	3.0	 	annotator2
37_rag_nn	1.0	 	annotator2
38_rag_nn	4.0	 	annotator2
39_rag_nn	4.0	 	annotator2
40_rag_nn	1.0	 	annotator2
41_rag_nn	3.0	 	annotator2
42_rag_nn	1.0	 	annotator2
43_rag_nn	1.0	 	annotator2
44_rag_nn	1.0	 	annotator2
45_rag_nn	3.0	 	annotator2
46_rag_nn	3.0	 	annotator2
47_rag_nn	1.0	 	annotator2
48_rag_nn	3.0	 	annotator2
49_rag_nn	2.0	 	annotator2
50_rag_nn	3.0	 	annotator2
51_rag_nn	4.0	 	annotator2
52_rag_nn	3.0	 	annotator2
53_rag_nn	3.0	 	annotator2
54_rag_nn	1.0	 	annotator2
55_rag_nn	1.0	 	annotator2
56_rag_nn	4.0	 	annotator2
57_rag_nn	4.0	 	annotator2
58_rag_nn	1.0	 	annotator2
59_rag_nn	1.0	 	annotator2
60_rag_nn	1.0	 	annotator2
61_rag_nn	1.0	 	annotator2
62_rag_nn	1.0	 	annotator2
63_rag_nn	3.0	 	annotator2
64_rag_nn	1.0	 	annotator2
65_rag_nn	2.0	 	annotator2
66_rag_nn	3.0	 	annotator2
67_rag_nn	3.0	 	annotator2
68_rag_nn	1.0	come back	annotator2
69_rag_nn	3.0	 	annotator2
70_rag_nn	3.0	 	annotator2
71_rag_nn	1.0	 	annotator2
72_rag_nn	2.0	 	annotator2
73_rag_nn	3.0	 	annotator2
74_rag_nn	1.0	 	annotator2
35_rag_nn	4.0	 	annotator6
75_rag_nn	2.0	 	annotator6
76_rag_nn	2.0	 	annotator6
77_rag_nn	3.0	 	annotator6
78_rag_nn	1.0	 	annotator6
79_rag_nn	2.0	 	annotator6
6_rag_nn	4.0	 	annotator6
80_rag_nn	2.0	 	annotator6
81_rag_nn	3.0	 	annotator6
82_rag_nn	2.0	 	annotator6
83_rag_nn	1.0	 	annotator6
84_rag_nn	2.0	 	annotator6
85_rag_nn	4.0	 	annotator6
86_rag_nn	2.0	 	annotator6
11_rag_nn	2.0	 	annotator6
87_rag_nn	2.0	 	annotator6
88_rag_nn	3.0	 	annotator6
89_rag_nn	2.0	 	annotator6
90_rag_nn	3.0	 	annotator6
91_rag_nn	2.0	 	annotator6
92_rag_nn	2.0	 	annotator6
93_rag_nn	2.0	 	annotator6
94_rag_nn	4.0	 	annotator6
95_rag_nn	4.0	 	annotator6
8_rag_nn	4.0	 	annotator6
96_rag_nn	2.0	 	annotator6
97_rag_nn	2.0	 	annotator6
98_rag_nn	1.0	 	annotator6
99_rag_nn	4.0	 	annotator6
100_rag_nn	1.0	 	annotator6
101_rag_nn	3.0	 	annotator6
102_rag_nn	4.0	 	annotator6
103_rag_nn	2.0	 	annotator6
104_rag_nn	2.0	 	annotator6
105_rag_nn	3.0	 	annotator6
106_rag_nn	4.0	 	annotator6
107_rag_nn	2.0	 	annotator6
108_rag_nn	4.0	 	annotator6
109_rag_nn	2.0	 	annotator6
23_rag_nn	2.0	 	annotator6
110_rag_nn	2.0	 	annotator6
111_rag_nn	2.0	 	annotator6
112_rag_nn	2.0	 	annotator6
113_rag_nn	3.0	 	annotator6
114_rag_nn	2.0	 	annotator6
115_rag_nn	2.0	 	annotator6
116_rag_nn	3.0	 	annotator6
117_rag_nn	2.0	 	annotator6
118_rag_nn	4.0	 	annotator6
57_rag_nn	4.0	 	annotator6
10_rag_nn	2.0	 	annotator6
119_rag_nn	4.0	 	annotator6
120_rag_nn	4.0	 	annotator6
15_rag_nn	3.0	 	annotator6
121_rag_nn	2.0	 	annotator6
122_rag_nn	2.0	 	annotator6
123_rag_nn	3.0	 	annotator6
124_rag_nn	3.0	 	annotator6
