instanceID	dataIDs	label_set	non_label
0_rally_nn	nf_1852_771569.txt-1768-40,fic_1842_9749.txt-1469-3	1,2,3,4	-
1_rally_nn	news_1965_725095.txt-19-7,fic_1839_7336.txt-1016-22	1,2,3,4	-
2_rally_nn	fic_1854_3384.txt-7241-5,mag_1834_554265.txt-97-15	1,2,3,4	-
3_rally_nn	fic_1967_23841.txt-290-13,fic_1843_7051.txt-2047-11	1,2,3,4	-
4_rally_nn	nf_1852_771569.txt-1768-40,fic_1973_10570.txt-413-21	1,2,3,4	-
5_rally_nn	mag_2000_368896.txt-27-21,news_2000_622045.txt-62-6	1,2,3,4	-
6_rally_nn	news_1965_725095.txt-19-7,fic_1836_4118.txt-1221-31	1,2,3,4	-
7_rally_nn	fic_1967_23841.txt-290-13,mag_1846_555403.txt-390-1	1,2,3,4	-
8_rally_nn	fic_1982_10696.txt-3164-25,mag_1834_554265.txt-97-15	1,2,3,4	-
9_rally_nn	mag_2002_385585.txt-102-1,mag_1964_247506.txt-0-22	1,2,3,4	-
10_rally_nn	mag_1993_394008.txt-120-8,fic_1842_9749.txt-1469-3	1,2,3,4	-
11_rally_nn	mag_1969_215027.txt-19-3,mag_1960_491697.txt-31-17	1,2,3,4	-
12_rally_nn	news_1970_729015.txt-48-6,fic_2002_47233.txt-693-5	1,2,3,4	-
13_rally_nn	news_1984_669812.txt-1-5,nf_1852_771569.txt-1768-40	1,2,3,4	-
14_rally_nn	nf_2003_746330.txt-363-17,mag_1860_506692.txt-83-4	1,2,3,4	-
15_rally_nn	fic_1978_10636.txt-17112-15,news_1971_729823.txt-0-5	1,2,3,4	-
16_rally_nn	mag_1852_526185.txt-103-45,fic_1845_7162.txt-2288-2	1,2,3,4	-
17_rally_nn	nf_1852_771569.txt-1768-40,mag_1999_399115.txt-107-38	1,2,3,4	-
18_rally_nn	news_1964_724322.txt-17-1,fic_1845_7162.txt-2692-24	1,2,3,4	-
19_rally_nn	mag_2000_368896.txt-27-21,news_1966_725626.txt-40-7	1,2,3,4	-
20_rally_nn	mag_2001_425131.txt-18-9,mag_1960_491697.txt-79-31	1,2,3,4	-
21_rally_nn	news_2006_604831.txt-105-1,mag_1860_506692.txt-83-4	1,2,3,4	-
22_rally_nn	mag_2003_387285.txt-142-5,mag_2000_368896.txt-27-21	1,2,3,4	-
23_rally_nn	nf_2008_774923.txt-126-7,news_1994_614352.txt-35-24	1,2,3,4	-
24_rally_nn	nf_1852_771569.txt-1768-40,fic_1995_39282.txt-611-36	1,2,3,4	-
25_rally_nn	news_1994_614352.txt-35-24,fic_1845_7162.txt-2288-2	1,2,3,4	-
26_rally_nn	news_1970_729015.txt-48-6,fic_1845_7162.txt-2288-2	1,2,3,4	-
27_rally_nn	nf_1844_749098.txt-2203-7,mag_2000_368896.txt-27-21	1,2,3,4	-
