instanceID	dataIDs	label_set	non_label
0_relationship_nn	nf_2002_746524.txt-91-11,news_1993_600205.txt-74-23	1,2,3,4	-
1_relationship_nn	nf_1837_747960.txt-2020-33,nf_1968_773613.txt-380-1	1,2,3,4	-
2_relationship_nn	fic_1830_7238.txt-3382-1,fic_1856_2470.txt-5238-20	1,2,3,4	-
3_relationship_nn	fic_1978_10634.txt-7311-14,nf_1845_747909.txt-507-48	1,2,3,4	-
4_relationship_nn	mag_1993_408283.txt-46-5,news_1991_649979.txt-5-13	1,2,3,4	-
5_relationship_nn	fic_1855_2494.txt-2071-5,fic_1815_9352.txt-1202-5	1,2,3,4	-
6_relationship_nn	news_2004_660955.txt-53-5,nf_1995_773555.txt-336-16	1,2,3,4	-
7_relationship_nn	fic_1856_5515.txt-130-8,news_1988_670637.txt-52-54	1,2,3,4	-
8_relationship_nn	fic_1999_30057.txt-31-16,nf_1859_747415.txt-2377-9	1,2,3,4	-
9_relationship_nn	nf_1993_773791.txt-93-5,news_1993_600205.txt-74-23	1,2,3,4	-
10_relationship_nn	nf_1968_773613.txt-380-1,fic_1855_9053.txt-1513-18	1,2,3,4	-
11_relationship_nn	fic_1985_782029.txt-6754-7,fic_1981_782024.txt-95-2	1,2,3,4	-
12_relationship_nn	nf_1995_773555.txt-336-16,mag_1979_493953.txt-1-3	1,2,3,4	-
13_relationship_nn	fic_1999_30057.txt-31-16,mag_1840_586586.txt-358-53	1,2,3,4	-
14_relationship_nn	nf_1968_773613.txt-380-1,nf_1993_773791.txt-93-5	1,2,3,4	-
15_relationship_nn	mag_1995_396720.txt-13-12,nf_1987_773755.txt-816-35	1,2,3,4	-
16_relationship_nn	fic_1855_9053.txt-1513-18,nf_1833_747941.txt-1578-7	1,2,3,4	-
17_relationship_nn	mag_1823_553477.txt-279-16,nf_1969_773553.txt-656-25	1,2,3,4	-
18_relationship_nn	news_1993_600205.txt-74-23,nf_1968_773613.txt-380-1	1,2,3,4	-
19_relationship_nn	nf_1999_773697.txt-443-0,mag_2004_414034.txt-51-5	1,2,3,4	-
20_relationship_nn	fic_1830_7238.txt-3382-1,nf_1817_747573.txt-2005-18	1,2,3,4	-
21_relationship_nn	mag_1838_586207.txt-214-35,mag_1823_553477.txt-279-16	1,2,3,4	-
22_relationship_nn	nf_1981_774357.txt-1630-1,mag_1847_565706.txt-269-36	1,2,3,4	-
23_relationship_nn	fic_1833_7240.txt-2347-27,mag_1992_394713.txt-120-0	1,2,3,4	-
24_relationship_nn	fic_1831_7210.txt-1106-4,nf_1987_773755.txt-816-35	1,2,3,4	-
25_relationship_nn	nf_1833_747941.txt-1578-7,nf_1837_747960.txt-2020-33	1,2,3,4	-
26_relationship_nn	news_2004_660955.txt-53-5,nf_1855_748479.txt-650-19	1,2,3,4	-
27_relationship_nn	mag_2001_416749.txt-96-2,mag_1840_586586.txt-358-53	1,2,3,4	-
28_relationship_nn	mag_1857_576628.txt-547-16,mag_1995_396720.txt-13-12	1,2,3,4	-
29_relationship_nn	mag_1843_565258.txt-43-19,mag_1966_490646.txt-59-24	1,2,3,4	-
30_relationship_nn	mag_1843_555146.txt-509-15,mag_1984_299239.txt-6-15	1,2,3,4	-
31_relationship_nn	mag_1965_488190.txt-87-12,fic_1831_7210.txt-1106-4	1,2,3,4	-
32_relationship_nn	nf_1993_746761.txt-49-18,mag_1847_565706.txt-269-36	1,2,3,4	-
33_relationship_nn	fic_1981_782024.txt-95-2,nf_1977_774125.txt-8425-15	1,2,3,4	-
34_relationship_nn	fic_1855_1209.txt-1423-36,mag_1984_299239.txt-6-15	1,2,3,4	-
35_relationship_nn	nf_1990_773757.txt-502-3,nf_1847_750187.txt-101-38	1,2,3,4	-
36_relationship_nn	fic_1822_7244.txt-856-33,mag_1995_396716.txt-10-3	1,2,3,4	-
37_relationship_nn	news_1980_669182.txt-94-21,nf_1969_773553.txt-656-25	1,2,3,4	-
38_relationship_nn	mag_1995_397042.txt-75-9,fic_1999_30057.txt-31-16	1,2,3,4	-
39_relationship_nn	mag_1990_420398.txt-79-5,mag_1834_554246.txt-77-61	1,2,3,4	-
40_relationship_nn	fic_1838_7085.txt-2404-5,news_1964_724317.txt-2-6	1,2,3,4	-
41_relationship_nn	fic_1844_2105.txt-69-25,mag_1966_490646.txt-59-24	1,2,3,4	-
42_relationship_nn	nf_1997_773513.txt-486-5,nf_1987_773755.txt-816-35	1,2,3,4	-
