instanceID	dataIDs	label_set	non_label
0_savage_nn	nf_1853_747555.txt-428-7,fic_1812_8987.txt-7-15	1,2,3,4	-
1_savage_nn	fic_1997_54588.txt-121-25,fic_1972_780113.txt-356-12	1,2,3,4	-
2_savage_nn	fic_1960_4580.txt-206-9,fic_1836_7053.txt-4982-56	1,2,3,4	-
3_savage_nn	fic_1839_7297.txt-76-50,fic_1969_10516.txt-2239-11	1,2,3,4	-
4_savage_nn	fic_1853_4303.txt-3287-34,fic_1997_54588.txt-121-25	1,2,3,4	-
5_savage_nn	fic_1839_7297.txt-76-50,nf_1833_747463.txt-733-11	1,2,3,4	-
6_savage_nn	fic_1828_7070.txt-143-50,fic_1978_10634.txt-2192-13	1,2,3,4	-
7_savage_nn	fic_1978_10636.txt-13759-17,fic_1828_7070.txt-143-50	1,2,3,4	-
8_savage_nn	nf_1844_749098.txt-834-1,nf_1848_765263.txt-920-26	1,2,3,4	-
9_savage_nn	mag_1836_554391.txt-88-8,mag_1824_553525.txt-319-24	1,2,3,4	-
10_savage_nn	fic_1838_7174.txt-401-33,fic_1981_10680.txt-1756-4	1,2,3,4	-
11_savage_nn	fic_1964_14129.txt-552-10,fic_1993_1040059.txt-3322-12	1,2,3,4	-
12_savage_nn	mag_1964_269943.txt-12-18,nf_1856_747626.txt-1247-13	1,2,3,4	-
13_savage_nn	nf_1856_747626.txt-1247-13,mag_1964_269943.txt-24-18	1,2,3,4	-
14_savage_nn	fic_1856_2655.txt-1859-26,fic_1964_781989.txt-2759-38	1,2,3,4	-
15_savage_nn	fic_1848_7005.txt-1894-2,fic_1964_781989.txt-2759-38	1,2,3,4	-
16_savage_nn	nf_1833_747463.txt-733-11,nf_1973_773448.txt-543-16	1,2,3,4	-
17_savage_nn	fic_1976_780159.txt-683-16,mag_1835_554293.txt-7-8	1,2,3,4	-
18_savage_nn	fic_1969_10516.txt-2239-11,fic_1839_7297.txt-76-50	1,2,3,4	-
19_savage_nn	mag_1964_269943.txt-12-18,fic_1964_781989.txt-2759-38	1,2,3,4	-
20_savage_nn	nf_1972_774324.txt-2296-6,fic_1839_7297.txt-76-50	1,2,3,4	-
21_savage_nn	fic_1824_7037.txt-2279-13,mag_1835_554293.txt-7-8	1,2,3,4	-
22_savage_nn	fic_1848_7154.txt-1199-46,fic_1964_781989.txt-2759-38	1,2,3,4	-
23_savage_nn	nf_1844_749098.txt-834-1,fic_1989_16255.txt-885-6	1,2,3,4	-
24_savage_nn	nf_1851_758845.txt-913-33,fic_1848_8541.txt-396-4	1,2,3,4	-
25_savage_nn	fic_1836_7053.txt-4982-56,fic_1848_8541.txt-396-4	1,2,3,4	-
26_savage_nn	mag_1837_554454.txt-393-40,fic_1989_16255.txt-885-6	1,2,3,4	-
27_savage_nn	fic_1826_314.txt-1145-17,mag_1835_554293.txt-7-8	1,2,3,4	-
28_savage_nn	fic_1979_10650.txt-3014-12,mag_1964_269943.txt-24-18	1,2,3,4	-
29_savage_nn	fic_1846_544.txt-2140-40,fic_2004_31409.txt-130-2	1,2,3,4	-
30_savage_nn	fic_2002_46912.txt-364-4,nf_2007_776450.txt-89-6	1,2,3,4	-
31_savage_nn	mag_1852_504502.txt-86-15,mag_1964_269943.txt-24-18	1,2,3,4	-
32_savage_nn	nf_1962_774226.txt-674-54,fic_1992_40270.txt-157-5	1,2,3,4	-
33_savage_nn	nf_1848_765263.txt-920-26,mag_1854_566447.txt-26-26	1,2,3,4	-
34_savage_nn	fic_1971_10541.txt-113-24,fic_1848_8541.txt-396-4	1,2,3,4	-
35_savage_nn	mag_1822_553387.txt-385-20,nf_1973_773448.txt-543-16	1,2,3,4	-
36_savage_nn	mag_1852_555767.txt-115-30,fic_2004_31409.txt-130-2	1,2,3,4	-
37_savage_nn	fic_2001_45760.txt-188-2,mag_1964_269943.txt-24-18	1,2,3,4	-
38_savage_nn	fic_1964_781988.txt-220-24,fic_1964_781989.txt-2759-38	1,2,3,4	-
39_savage_nn	fic_1960_4580.txt-364-10,fic_1982_10687.txt-7159-18	1,2,3,4	-
40_savage_nn	fic_1987_780057.txt-1948-20,fic_1972_780113.txt-332-25	1,2,3,4	-
41_savage_nn	fic_1843_7074.txt-496-38,fic_1993_25004.txt-3596-26	1,2,3,4	-
42_savage_nn	fic_1963_10436.txt-683-49,nf_1852_752548.txt-1203-18	1,2,3,4	-
43_savage_nn	fic_1822_7243.txt-1575-17,fic_2003_28516.txt-75-7	1,2,3,4	-
44_savage_nn	fic_2007_52369.txt-124-47,fic_1839_7297.txt-256-16	1,2,3,4	-
45_savage_nn	fic_1850_7304.txt-1886-19,fic_1848_8541.txt-396-4	1,2,3,4	-
46_savage_nn	nf_1993_773800.txt-602-50,fic_1993_25004.txt-3596-26	1,2,3,4	-
47_savage_nn	mag_1846_555389.txt-189-12,fic_1848_8541.txt-396-4	1,2,3,4	-
48_savage_nn	fic_1972_780105.txt-2591-7,fic_1839_7297.txt-76-50	1,2,3,4	-
49_savage_nn	fic_1978_10634.txt-2192-13,fic_1828_7070.txt-143-50	1,2,3,4	-
50_savage_nn	fic_1986_10747.txt-2902-18,fic_1972_780113.txt-332-25	1,2,3,4	-
51_savage_nn	fic_1826_314.txt-1199-28,fic_1964_781989.txt-2759-38	1,2,3,4	-
52_savage_nn	fic_2006_31230.txt-135-15,fic_1982_10687.txt-7159-18	1,2,3,4	-
53_savage_nn	fic_1841_7302.txt-4200-43,fic_1848_8541.txt-396-4	1,2,3,4	-
54_savage_nn	fic_1965_780079.txt-1830-41,fic_1997_54588.txt-121-25	1,2,3,4	-
55_savage_nn	mag_1961_477849.txt-255-23,fic_1972_780113.txt-332-25	1,2,3,4	-
56_savage_nn	fic_1853_2486.txt-2793-43,fic_1839_7297.txt-256-16	1,2,3,4	-
57_savage_nn	fic_1857_2618.txt-2693-8,nf_1972_774123.txt-308-4	1,2,3,4	-
58_savage_nn	fic_1836_8650.txt-1287-7,mag_1854_566447.txt-26-26	1,2,3,4	-
59_savage_nn	nf_2007_776450.txt-189-14,fic_1989_16255.txt-885-6	1,2,3,4	-
60_savage_nn	nf_1984_773453.txt-137-21,mag_1854_566447.txt-26-26	1,2,3,4	-
61_savage_nn	fic_1967_10489.txt-6338-21,fic_2006_31230.txt-135-15	1,2,3,4	-
62_savage_nn	fic_1848_7009.txt-2724-19,nf_1973_773448.txt-543-16	1,2,3,4	-
63_savage_nn	nf_1836_747959.txt-1574-9,fic_1993_25004.txt-3596-26	1,2,3,4	-
64_savage_nn	fic_1853_9158.txt-4207-8,fic_1848_7009.txt-2724-19	1,2,3,4	-
65_savage_nn	fic_1972_13261.txt-879-4,fic_1839_7297.txt-76-50	1,2,3,4	-
66_savage_nn	fic_1853_9069.txt-923-20,fic_1828_7245.txt-454-166	1,2,3,4	-
67_savage_nn	fic_1856_2655.txt-1859-26,fic_1997_54588.txt-121-25	1,2,3,4	-
