instanceID	dataIDs	label_set	non_label
0_stab_nn	fic_1858_7888.txt-80-176,fic_2009_36924.txt-37-21	1,2,3,4	-
1_stab_nn	fic_1960_4443.txt-1324-13,fic_1966_10477.txt-9251-28	1,2,3,4	-
2_stab_nn	fic_2001_29668.txt-481-19,fic_2002_31327.txt-372-6	1,2,3,4	-
3_stab_nn	mag_1854_566434.txt-95-14,fic_1825_7041.txt-3242-16	1,2,3,4	-
4_stab_nn	fic_2006_26585.txt-31-12,fic_1986_10741.txt-4153-6	1,2,3,4	-
5_stab_nn	fic_1960_4443.txt-1324-13,fic_1849_7006.txt-1593-22	1,2,3,4	-
6_stab_nn	fic_1986_10741.txt-4153-6,fic_1993_53866.txt-264-12	1,2,3,4	-
7_stab_nn	fic_1846_4464.txt-4116-8,fic_1989_780082.txt-1559-10	1,2,3,4	-
8_stab_nn	mag_1974_283983.txt-5-10,fic_1989_780082.txt-1559-10	1,2,3,4	-
9_stab_nn	fic_2001_46064.txt-162-17,fic_1989_780082.txt-1559-10	1,2,3,4	-
10_stab_nn	fic_1846_4464.txt-2282-11,nf_1824_747448.txt-2264-37	1,2,3,4	-
11_stab_nn	fic_1846_4464.txt-2282-11,fic_2001_29668.txt-481-19	1,2,3,4	-
12_stab_nn	fic_1994_41243.txt-295-21,fic_1989_780082.txt-1559-10	1,2,3,4	-
13_stab_nn	fic_1832_8751.txt-1487-13,fic_1848_7193.txt-2409-45	1,2,3,4	-
14_stab_nn	fic_1846_8891.txt-2979-8,fic_1849_7006.txt-1593-22	1,2,3,4	-
15_stab_nn	mag_1966_431722.txt-99-10,nf_1853_747555.txt-1471-18	1,2,3,4	-
16_stab_nn	fic_1989_780082.txt-1559-10,fic_1849_7006.txt-1593-22	1,2,3,4	-
17_stab_nn	fic_1986_10741.txt-4153-6,fic_1835_8114.txt-1111-137	1,2,3,4	-
18_stab_nn	fic_1850_4498.txt-907-23,fic_1985_10737.txt-1492-7	1,2,3,4	-
19_stab_nn	fic_1989_780082.txt-1559-10,fic_1833_7240.txt-509-1	1,2,3,4	-
20_stab_nn	fic_1995_39423.txt-435-53,fic_1989_780082.txt-1559-10	1,2,3,4	-
21_stab_nn	fic_1986_10741.txt-4153-6,fic_1854_9826.txt-8462-17	1,2,3,4	-
22_stab_nn	mag_1826_553767.txt-39-32,fic_2004_49118.txt-73-4	1,2,3,4	-
23_stab_nn	fic_1846_8891.txt-2979-8,fic_1995_52955.txt-622-4	1,2,3,4	-
24_stab_nn	mag_2007_388314.txt-297-21,fic_1994_14635.txt-259-10	1,2,3,4	-
25_stab_nn	nf_1855_747674.txt-136-12,fic_1995_52955.txt-622-4	1,2,3,4	-
26_stab_nn	mag_1986_432267.txt-85-11,fic_1968_10508.txt-8376-12	1,2,3,4	-
27_stab_nn	mag_1853_566334.txt-489-85,fic_1846_4462.txt-3486-16	1,2,3,4	-
28_stab_nn	nf_1855_747674.txt-136-12,mag_1966_210733.txt-23-34	1,2,3,4	-
29_stab_nn	mag_1837_554503.txt-162-31,fic_2002_31327.txt-372-6	1,2,3,4	-
30_stab_nn	fic_1993_53866.txt-264-12,fic_2002_31327.txt-372-6	1,2,3,4	-
31_stab_nn	mag_1850_525715.txt-224-5,fic_1846_4464.txt-2011-69	1,2,3,4	-
32_stab_nn	fic_1846_8891.txt-2979-8,fic_1846_4462.txt-3486-16	1,2,3,4	-
33_stab_nn	fic_1964_10449.txt-1666-11,fic_1993_25032.txt-3201-22	1,2,3,4	-
34_stab_nn	fic_1978_10636.txt-7924-6,fic_1989_10779.txt-3809-7	1,2,3,4	-
35_stab_nn	fic_1960_4443.txt-1324-13,nf_1853_747555.txt-1471-18	1,2,3,4	-
36_stab_nn	fic_1978_10636.txt-7924-6,fic_1839_7297.txt-548-6	1,2,3,4	-
37_stab_nn	fic_1850_4498.txt-670-17,nf_1836_749613.txt-1271-23	1,2,3,4	-
38_stab_nn	fic_1846_4464.txt-4116-8,fic_1848_7193.txt-9328-12	1,2,3,4	-
39_stab_nn	fic_1850_4498.txt-670-17,fic_1995_52955.txt-622-4	1,2,3,4	-
40_stab_nn	fic_2007_51973.txt-18-19,fic_2009_36924.txt-37-21	1,2,3,4	-
41_stab_nn	fic_1973_10570.txt-862-34,fic_2004_49118.txt-73-4	1,2,3,4	-
42_stab_nn	fic_2001_29928.txt-47-18,fic_1985_10737.txt-1492-7	1,2,3,4	-
43_stab_nn	mag_1841_586607.txt-160-13,fic_1835_7172.txt-4168-10	1,2,3,4	-
44_stab_nn	mag_1826_553767.txt-39-32,fic_2004_31534.txt-147-16	1,2,3,4	-
45_stab_nn	news_1985_668623.txt-14-5,fic_1840_7681.txt-544-33	1,2,3,4	-
46_stab_nn	fic_1993_53866.txt-264-12,fic_1994_14635.txt-259-10	1,2,3,4	-
47_stab_nn	mag_1855_556096.txt-212-21,fic_1989_780082.txt-1559-10	1,2,3,4	-
48_stab_nn	mag_1986_432267.txt-85-11,fic_1834_2652.txt-544-14	1,2,3,4	-
49_stab_nn	fic_1978_10636.txt-7924-6,news_1985_668623.txt-14-5	1,2,3,4	-
50_stab_nn	fic_1996_54331.txt-52-9,fic_1819_8693.txt-536-8	1,2,3,4	-
51_stab_nn	nf_1849_749269.txt-2196-8,fic_1978_10636.txt-7924-6	1,2,3,4	-
52_stab_nn	fic_1986_10741.txt-4153-6,fic_2001_29928.txt-47-18	1,2,3,4	-
53_stab_nn	fic_1994_54062.txt-398-18,fic_1989_780082.txt-1559-10	1,2,3,4	-
54_stab_nn	nf_1849_749269.txt-2196-8,fic_2004_31534.txt-147-16	1,2,3,4	-
55_stab_nn	fic_1981_10681.txt-3135-13,fic_1978_10636.txt-7924-6	1,2,3,4	-
56_stab_nn	fic_1977_782019.txt-1375-7,fic_1848_7193.txt-9328-12	1,2,3,4	-
57_stab_nn	fic_1986_10741.txt-4153-6,fic_1840_7292.txt-4202-23	1,2,3,4	-
58_stab_nn	mag_1961_268345.txt-2-7,fic_1858_1282.txt-4968-21	1,2,3,4	-
59_stab_nn	mag_1826_553767.txt-39-32,fic_1995_52955.txt-622-4	1,2,3,4	-
60_stab_nn	fic_1994_54062.txt-398-18,fic_1994_14635.txt-259-10	1,2,3,4	-
61_stab_nn	fic_2006_26585.txt-31-12,mag_1986_432267.txt-85-11	1,2,3,4	-
62_stab_nn	fic_1986_10741.txt-4153-6,fic_1981_780030.txt-128-12	1,2,3,4	-
63_stab_nn	fic_1846_4464.txt-4612-22,mag_1966_210733.txt-23-34	1,2,3,4	-
64_stab_nn	nf_1824_747448.txt-2264-37,fic_1964_10446.txt-178-4	1,2,3,4	-
65_stab_nn	fic_1986_780060.txt-4270-8,fic_1986_10741.txt-4153-6	1,2,3,4	-
