instanceID	label	comment	annotator
0_stroke_vb	2.0	 	annotator2
1_stroke_vb	3.0	 	annotator2
2_stroke_vb	2.0	 	annotator2
3_stroke_vb	4.0	 	annotator2
4_stroke_vb	3.0	 	annotator2
5_stroke_vb	4.0	 	annotator2
6_stroke_vb	2.0	 	annotator2
7_stroke_vb	4.0	 	annotator2
8_stroke_vb	4.0	 	annotator2
9_stroke_vb	4.0	 	annotator6
10_stroke_vb	4.0	 	annotator6
11_stroke_vb	2.0	 	annotator6
12_stroke_vb	3.0	 	annotator6
13_stroke_vb	2.0	 	annotator6
14_stroke_vb	1.0	 	annotator6
3_stroke_vb	2.0	 	annotator6
15_stroke_vb	4.0	 	annotator6
16_stroke_vb	3.0	 	annotator6
17_stroke_vb	2.0	 	annotator6
18_stroke_vb	4.0	 	annotator6
19_stroke_vb	2.0	 	annotator6
20_stroke_vb	3.0	 	annotator5
6_stroke_vb	3.0	 	annotator5
7_stroke_vb	4.0	 	annotator5
21_stroke_vb	4.0	 	annotator5
22_stroke_vb	4.0	 	annotator5
23_stroke_vb	3.0	 	annotator5
24_stroke_vb	4.0	 	annotator5
25_stroke_vb	3.0	 	annotator5
3_stroke_vb	3.0	 	annotator5
18_stroke_vb	4.0	 	annotator5
26_stroke_vb	4.0	Unsure; difficult to judge the meaning in sentence 2	annotator0
27_stroke_vb	4.0	 	annotator0
19_stroke_vb	-	UNK; I can't determine the meaning in sentence 1	annotator0
28_stroke_vb	2.0	Unsure	annotator0
29_stroke_vb	2.0	Unsure	annotator0
30_stroke_vb	2.0	Unsure	annotator0
23_stroke_vb	-	UNK; I can't determine the meaning in sentence 2	annotator0
31_stroke_vb	2.0	Unsure	annotator0
32_stroke_vb	4.0	 	annotator0
33_stroke_vb	2.0	Unsure	annotator0
34_stroke_vb	4.0	 	annotator2
35_stroke_vb	4.0	 	annotator2
36_stroke_vb	2.0	*	annotator2
37_stroke_vb	4.0	 	annotator2
38_stroke_vb	4.0	 	annotator2
39_stroke_vb	4.0	 	annotator2
40_stroke_vb	4.0	 	annotator2
41_stroke_vb	4.0	 	annotator2
42_stroke_vb	3.0	 	annotator2
43_stroke_vb	4.0	 	annotator2
44_stroke_vb	4.0	 	annotator2
45_stroke_vb	4.0	 	annotator2
46_stroke_vb	4.0	 	annotator2
47_stroke_vb	4.0	 	annotator2
48_stroke_vb	4.0	 	annotator2
49_stroke_vb	4.0	 	annotator2
50_stroke_vb	4.0	 	annotator2
51_stroke_vb	4.0	 	annotator2
52_stroke_vb	1.0	 	annotator2
53_stroke_vb	4.0	 	annotator2
54_stroke_vb	4.0	 	annotator2
55_stroke_vb	4.0	 	annotator2
19_stroke_vb	4.0	 	annotator2
56_stroke_vb	2.0	 	annotator2
57_stroke_vb	4.0	 	annotator2
58_stroke_vb	4.0	 	annotator2
59_stroke_vb	4.0	 	annotator2
60_stroke_vb	4.0	 	annotator2
61_stroke_vb	4.0	 	annotator2
62_stroke_vb	4.0	 	annotator2
63_stroke_vb	4.0	 	annotator2
64_stroke_vb	4.0	 	annotator2
65_stroke_vb	4.0	 	annotator2
66_stroke_vb	4.0	 	annotator2
67_stroke_vb	4.0	 	annotator2
68_stroke_vb	4.0	 	annotator2
69_stroke_vb	2.0	 	annotator2
70_stroke_vb	4.0	 	annotator2
71_stroke_vb	4.0	 	annotator2
72_stroke_vb	4.0	 	annotator2
73_stroke_vb	4.0	 	annotator2
74_stroke_vb	4.0	 	annotator2
75_stroke_vb	4.0	 	annotator2
76_stroke_vb	4.0	 	annotator2
77_stroke_vb	4.0	 	annotator2
78_stroke_vb	4.0	 	annotator2
79_stroke_vb	4.0	 	annotator2
80_stroke_vb	4.0	 	annotator2
81_stroke_vb	4.0	 	annotator2
82_stroke_vb	4.0	 	annotator2
83_stroke_vb	2.0	 	annotator2
84_stroke_vb	2.0	 	annotator2
85_stroke_vb	4.0	 	annotator2
86_stroke_vb	4.0	 	annotator2
87_stroke_vb	4.0	 	annotator2
88_stroke_vb	4.0	 	annotator2
89_stroke_vb	2.0	 	annotator2
90_stroke_vb	2.0	 	annotator2
91_stroke_vb	4.0	 	annotator2
92_stroke_vb	4.0	 	annotator2
93_stroke_vb	4.0	 	annotator2
94_stroke_vb	2.0	 	annotator2
95_stroke_vb	4.0	 	annotator2
96_stroke_vb	4.0	 	annotator2
97_stroke_vb	4.0	 	annotator2
98_stroke_vb	4.0	 	annotator2
99_stroke_vb	4.0	 	annotator2
100_stroke_vb	4.0	 	annotator2
101_stroke_vb	4.0	 	annotator2
