instanceID	dataIDs	label_set	non_label
0_thump_nn	fic_1999_29005.txt-114-39,fic_1832_9478.txt-978-17	1,2,3,4	-
1_thump_nn	fic_1852_69.txt-1523-34,fic_1838_7250.txt-1414-8	1,2,3,4	-
2_thump_nn	fic_1855_604.txt-2870-69,mag_1981_293638.txt-1-8	1,2,3,4	-
3_thump_nn	fic_1834_7029.txt-806-34,fic_1967_10488.txt-552-10	1,2,3,4	-
4_thump_nn	fic_1967_10489.txt-6302-16,fic_1999_29005.txt-114-39	1,2,3,4	-
5_thump_nn	fic_2005_33276.txt-86-24,fic_1854_2820.txt-3349-44	1,2,3,4	-
6_thump_nn	fic_1832_9478.txt-978-17,fic_1967_10489.txt-6302-16	1,2,3,4	-
7_thump_nn	fic_1847_2352.txt-2257-5,fic_1999_29005.txt-114-39	1,2,3,4	-
8_thump_nn	fic_1849_7218.txt-850-9,fic_1834_7029.txt-806-34	1,2,3,4	-
9_thump_nn	fic_1832_9478.txt-978-17,news_1994_606788.txt-495-2	1,2,3,4	-
10_thump_nn	news_1994_606788.txt-495-2,fic_2006_51208.txt-18-20	1,2,3,4	-
11_thump_nn	fic_1986_780060.txt-916-2,fic_1851_3300.txt-2778-13	1,2,3,4	-
12_thump_nn	fic_1832_9478.txt-978-17,fic_1978_10636.txt-13922-16	1,2,3,4	-
13_thump_nn	fic_1851_3300.txt-3435-47,fic_1993_1040092.txt-2605-11	1,2,3,4	-
14_thump_nn	fic_1851_3300.txt-3435-47,mag_1850_555635.txt-181-63	1,2,3,4	-
15_thump_nn	fic_1993_25009.txt-5265-15,nf_1851_758845.txt-1861-3	1,2,3,4	-
16_thump_nn	fic_1820_7562.txt-335-46,fic_1970_16380.txt-5042-12	1,2,3,4	-
17_thump_nn	mag_1999_407980.txt-5-12,fic_1811_8637.txt-503-12	1,2,3,4	-
18_thump_nn	fic_1811_8637.txt-503-12,mag_1986_332055.txt-3-15	1,2,3,4	-
19_thump_nn	news_1995_601228.txt-59-16,fic_1851_3300.txt-2778-13	1,2,3,4	-
20_thump_nn	fic_1835_5605.txt-2166-11,fic_1850_7171.txt-7180-2	1,2,3,4	-
21_thump_nn	fic_1811_8637.txt-503-12,fic_1835_7014.txt-850-4	1,2,3,4	-
22_thump_nn	fic_1835_7203.txt-1285-34,fic_1851_3300.txt-2778-13	1,2,3,4	-
23_thump_nn	fic_1852_69.txt-1060-63,fic_1981_10679.txt-4749-11	1,2,3,4	-
24_thump_nn	fic_1993_1040082.txt-3185-12,fic_1834_7029.txt-806-34	1,2,3,4	-
25_thump_nn	fic_2005_33276.txt-86-24,fic_1851_3300.txt-2778-13	1,2,3,4	-
26_thump_nn	mag_1981_293638.txt-1-8,fic_1832_9478.txt-978-17	1,2,3,4	-
27_thump_nn	fic_1851_746.txt-4145-38,fic_1993_25009.txt-5265-15	1,2,3,4	-
28_thump_nn	fic_1840_8770.txt-155-42,fic_1981_10679.txt-4749-11	1,2,3,4	-
29_thump_nn	fic_1993_1040082.txt-3185-12,mag_1997_389607.txt-65-17	1,2,3,4	-
30_thump_nn	fic_1999_29339.txt-118-12,fic_1981_10679.txt-5299-2	1,2,3,4	-
31_thump_nn	fic_2006_51208.txt-18-20,fic_1832_9478.txt-978-17	1,2,3,4	-
32_thump_nn	nf_1855_748479.txt-489-11,fic_1960_4217.txt-551-36	1,2,3,4	-
33_thump_nn	fic_1975_10598.txt-5614-5,fic_1850_7171.txt-7180-2	1,2,3,4	-
34_thump_nn	fic_1854_70.txt-3450-34,fic_1853_3819.txt-1598-15	1,2,3,4	-
35_thump_nn	nf_1856_769051.txt-335-33,fic_1851_3300.txt-3435-47	1,2,3,4	-
36_thump_nn	fic_1843_7208.txt-9786-20,fic_1853_3819.txt-1598-15	1,2,3,4	-
37_thump_nn	fic_1997_42316.txt-135-7,fic_1838_7250.txt-1406-33	1,2,3,4	-
38_thump_nn	fic_1974_10580.txt-881-3,nf_1856_755595.txt-1476-13	1,2,3,4	-
39_thump_nn	fic_1965_780079.txt-2467-9,fic_1838_7250.txt-1406-33	1,2,3,4	-
40_thump_nn	fic_1993_25006.txt-1237-3,fic_2002_32720.txt-189-12	1,2,3,4	-
41_thump_nn	fic_1997_42340.txt-385-8,fic_1834_7029.txt-806-34	1,2,3,4	-
42_thump_nn	fic_1997_43069.txt-760-7,fic_1851_3300.txt-2778-13	1,2,3,4	-
43_thump_nn	fic_1845_7183.txt-1647-6,fic_1851_3300.txt-3435-47	1,2,3,4	-
44_thump_nn	fic_1968_16170.txt-2157-20,fic_1860_616.txt-3268-28	1,2,3,4	-
45_thump_nn	mag_1960_491715.txt-182-21,news_1995_601228.txt-59-16	1,2,3,4	-
46_thump_nn	fic_1856_2655.txt-7488-3,fic_1860_616.txt-3268-28	1,2,3,4	-
47_thump_nn	fic_1976_16789.txt-540-22,fic_1851_3300.txt-2778-13	1,2,3,4	-
48_thump_nn	mag_2000_408971.txt-2-4,nf_1856_755595.txt-1476-13	1,2,3,4	-
49_thump_nn	fic_2002_32720.txt-189-12,fic_1970_16380.txt-5042-12	1,2,3,4	-
50_thump_nn	fic_1847_7123.txt-1078-22,fic_1970_16380.txt-5042-12	1,2,3,4	-
51_thump_nn	fic_1835_7073.txt-924-66,fic_1814_8564.txt-320-50	1,2,3,4	-
52_thump_nn	mag_1987_480750.txt-86-4,fic_1834_7029.txt-806-34	1,2,3,4	-
53_thump_nn	fic_2009_36638.txt-1978-3,fic_2003_47904.txt-517-7	1,2,3,4	-
54_thump_nn	fic_1997_42218.txt-90-23,fic_1851_3300.txt-2778-13	1,2,3,4	-
55_thump_nn	fic_1834_8947.txt-332-1,fic_1811_8637.txt-503-12	1,2,3,4	-
56_thump_nn	fic_1849_7230.txt-2350-12,news_1995_601228.txt-59-16	1,2,3,4	-
57_thump_nn	nf_1971_774393.txt-171-5,news_1995_601228.txt-59-16	1,2,3,4	-
58_thump_nn	fic_1997_54789.txt-245-2,news_1995_601228.txt-59-16	1,2,3,4	-
59_thump_nn	mag_1999_407980.txt-5-12,fic_1993_25001.txt-1341-1	1,2,3,4	-
60_thump_nn	fic_1962_14052.txt-3255-11,fic_1834_7029.txt-806-34	1,2,3,4	-
61_thump_nn	fic_1834_7032.txt-2020-62,fic_1851_3300.txt-2778-13	1,2,3,4	-
62_thump_nn	fic_1970_10530.txt-4200-2,fic_1960_4217.txt-551-36	1,2,3,4	-
63_thump_nn	fic_1855_9773.txt-1916-37,fic_1838_7250.txt-1406-33	1,2,3,4	-
64_thump_nn	fic_1981_10679.txt-5299-2,fic_1838_7250.txt-1406-33	1,2,3,4	-
65_thump_nn	fic_1999_55357.txt-231-4,fic_1851_3300.txt-2778-13	1,2,3,4	-
66_thump_nn	news_2006_636165.txt-23-11,fic_1845_7170.txt-7510-7	1,2,3,4	-
67_thump_nn	fic_1996_54197.txt-426-3,fic_1838_7250.txt-1406-33	1,2,3,4	-
68_thump_nn	fic_1835_8114.txt-1994-20,fic_1814_8564.txt-320-50	1,2,3,4	-
69_thump_nn	fic_1835_5605.txt-2166-11,fic_1814_8564.txt-320-50	1,2,3,4	-
70_thump_nn	fic_1854_3384.txt-44-23,fic_1850_7171.txt-7180-2	1,2,3,4	-
71_thump_nn	fic_2000_52600.txt-267-38,fic_1860_616.txt-3268-28	1,2,3,4	-
72_thump_nn	fic_1838_7250.txt-1414-8,fic_1960_4217.txt-551-36	1,2,3,4	-
73_thump_nn	fic_1849_583.txt-4164-27,fic_1811_8637.txt-503-12	1,2,3,4	-
74_thump_nn	fic_1999_29339.txt-118-12,fic_1853_3819.txt-1598-15	1,2,3,4	-
75_thump_nn	fic_1846_544.txt-1419-11,fic_1960_4217.txt-551-36	1,2,3,4	-
76_thump_nn	fic_1997_54541.txt-512-24,fic_1851_3300.txt-3435-47	1,2,3,4	-
77_thump_nn	fic_1998_30880.txt-46-24,fic_2003_47904.txt-517-7	1,2,3,4	-
78_thump_nn	fic_1811_8637.txt-1168-23,fic_1993_25001.txt-1341-1	1,2,3,4	-
79_thump_nn	fic_1992_53680.txt-95-4,fic_1976_16789.txt-540-22	1,2,3,4	-
80_thump_nn	fic_1842_7206.txt-3234-7,fic_1993_25001.txt-1341-1	1,2,3,4	-
81_thump_nn	fic_1853_3465.txt-1986-57,fic_2003_47904.txt-517-7	1,2,3,4	-
82_thump_nn	fic_1995_53083.txt-265-5,fic_1860_616.txt-3268-28	1,2,3,4	-
83_thump_nn	fic_1854_2820.txt-3349-44,fic_1851_746.txt-2628-13	1,2,3,4	-
