instanceID	dataIDs	label_set	non_label
0_tip_vb	fic_1858_1282.txt-3308-9,mag_1982_325204.txt-14-26	1,2,3,4	-
1_tip_vb	nf_1965_773954.txt-737-3,fic_1827_7168.txt-796-7	1,2,3,4	-
2_tip_vb	fic_1855_9098.txt-10084-4,fic_1975_10598.txt-5631-8	1,2,3,4	-
3_tip_vb	mag_1995_396808.txt-43-12,mag_1982_298124.txt-17-12	1,2,3,4	-
4_tip_vb	fic_2003_48734.txt-434-22,fic_1827_7168.txt-796-7	1,2,3,4	-
5_tip_vb	mag_1999_407855.txt-38-23,fic_1995_39249.txt-214-11	1,2,3,4	-
6_tip_vb	news_2004_635173.txt-48-0,news_2006_607719.txt-61-9	1,2,3,4	-
7_tip_vb	news_2006_607719.txt-61-9,fic_1995_39249.txt-214-11	1,2,3,4	-
8_tip_vb	mag_2006_385851.txt-108-2,mag_1982_298124.txt-17-12	1,2,3,4	-
9_tip_vb	fic_1853_9040.txt-443-12,fic_2007_52316.txt-308-10	1,2,3,4	-
10_tip_vb	fic_1965_10458.txt-2021-5,fic_2006_28613.txt-8-5	1,2,3,4	-
11_tip_vb	fic_1833_7239.txt-2507-11,mag_1982_325204.txt-14-26	1,2,3,4	-
12_tip_vb	fic_2003_48734.txt-434-22,mag_1982_325204.txt-14-26	1,2,3,4	-
13_tip_vb	fic_1824_7277.txt-826-67,fic_1984_780068.txt-1337-11	1,2,3,4	-
14_tip_vb	fic_1835_5605.txt-2415-40,news_1994_606771.txt-69-5	1,2,3,4	-
15_tip_vb	fic_1846_7121.txt-955-17,fic_1968_10505.txt-7472-6	1,2,3,4	-
16_tip_vb	fic_2000_52601.txt-277-24,fic_1839_7336.txt-2484-29	1,2,3,4	-
17_tip_vb	fic_1841_8921.txt-435-4,fic_2005_780520.txt-572-10	1,2,3,4	-
18_tip_vb	mag_1858_506205.txt-54-39,mag_2005_380198.txt-2-51	1,2,3,4	-
19_tip_vb	nf_1851_747930.txt-6012-16,fic_1995_39249.txt-214-11	1,2,3,4	-
20_tip_vb	fic_1855_7489.txt-867-5,fic_2005_780520.txt-572-10	1,2,3,4	-
21_tip_vb	fic_1994_54059.txt-352-11,mag_1982_325204.txt-14-26	1,2,3,4	-
22_tip_vb	fic_1851_746.txt-4461-8,fic_2005_31629.txt-188-12	1,2,3,4	-
23_tip_vb	mag_1833_564542.txt-49-6,fic_1995_39249.txt-214-11	1,2,3,4	-
24_tip_vb	nf_1995_777109.txt-3-23,fic_1827_7168.txt-796-7	1,2,3,4	-
25_tip_vb	news_2000_622039.txt-26-10,fic_2005_780520.txt-572-10	1,2,3,4	-
26_tip_vb	fic_1858_1282.txt-2252-32,fic_1968_10505.txt-7472-6	1,2,3,4	-
27_tip_vb	nf_1965_773954.txt-737-3,fic_2005_31629.txt-188-12	1,2,3,4	-
28_tip_vb	fic_1972_780011.txt-236-15,fic_1984_780068.txt-1337-11	1,2,3,4	-
29_tip_vb	news_2004_635173.txt-48-0,mag_2005_380198.txt-2-51	1,2,3,4	-
30_tip_vb	fic_1843_7116.txt-400-18,fic_2007_52316.txt-308-10	1,2,3,4	-
31_tip_vb	news_2004_648944.txt-1-12,fic_2005_780520.txt-572-10	1,2,3,4	-
32_tip_vb	fic_2001_55735.txt-589-4,fic_1984_780068.txt-1337-11	1,2,3,4	-
33_tip_vb	fic_1855_9098.txt-10113-10,mag_1999_403996.txt-20-0	1,2,3,4	-
34_tip_vb	nf_1854_755030.txt-2999-17,fic_2007_52316.txt-308-10	1,2,3,4	-
35_tip_vb	mag_1999_408516.txt-13-12,mag_2005_380198.txt-2-51	1,2,3,4	-
36_tip_vb	fic_1835_5605.txt-2415-40,fic_1984_780068.txt-1337-11	1,2,3,4	-
37_tip_vb	mag_1837_554498.txt-233-5,fic_1839_7336.txt-2484-29	1,2,3,4	-
38_tip_vb	nf_1851_747930.txt-6012-16,mag_2005_380198.txt-2-51	1,2,3,4	-
39_tip_vb	news_1994_606771.txt-69-5,fic_2007_52316.txt-308-10	1,2,3,4	-
40_tip_vb	mag_1982_325204.txt-14-26,nf_1849_762578.txt-385-36	1,2,3,4	-
41_tip_vb	mag_1981_480259.txt-1-6,fic_1975_10598.txt-5631-8	1,2,3,4	-
42_tip_vb	fic_2003_48734.txt-434-22,fic_1834_7323.txt-918-21	1,2,3,4	-
43_tip_vb	fic_1988_782036.txt-1917-7,fic_1968_10505.txt-7472-6	1,2,3,4	-
44_tip_vb	fic_1858_1282.txt-3308-9,fic_1827_7168.txt-796-7	1,2,3,4	-
45_tip_vb	news_2006_604866.txt-35-20,mag_2005_380198.txt-2-51	1,2,3,4	-
46_tip_vb	news_1995_614426.txt-37-3,fic_1975_10598.txt-5631-8	1,2,3,4	-
47_tip_vb	mag_2003_414436.txt-106-25,fic_1968_10505.txt-7472-6	1,2,3,4	-
48_tip_vb	fic_2001_32299.txt-531-24,mag_1982_298124.txt-17-12	1,2,3,4	-
49_tip_vb	mag_1999_408516.txt-13-12,fic_1847_7124.txt-2094-13	1,2,3,4	-
50_tip_vb	mag_2006_398384.txt-314-7,mag_1982_298124.txt-17-12	1,2,3,4	-
51_tip_vb	fic_1839_7204.txt-433-43,news_1994_606771.txt-69-5	1,2,3,4	-
52_tip_vb	fic_1968_10505.txt-7472-6,fic_2001_32299.txt-531-24	1,2,3,4	-
53_tip_vb	fic_1968_10505.txt-7472-6,fic_1984_780068.txt-1337-11	1,2,3,4	-
54_tip_vb	fic_1823_7214.txt-408-11,fic_1975_10598.txt-5631-8	1,2,3,4	-
55_tip_vb	fic_2007_52316.txt-308-10,fic_1827_7168.txt-796-7	1,2,3,4	-
56_tip_vb	mag_1837_554498.txt-233-5,fic_1827_7168.txt-796-7	1,2,3,4	-
57_tip_vb	fic_1838_7250.txt-1578-20,mag_1999_403996.txt-20-0	1,2,3,4	-
58_tip_vb	mag_1982_325204.txt-14-26,fic_1855_9098.txt-10113-10	1,2,3,4	-
59_tip_vb	mag_1999_408516.txt-13-12,fic_1851_746.txt-4519-42	1,2,3,4	-
60_tip_vb	fic_2003_48734.txt-434-22,fic_1840_7681.txt-2114-153	1,2,3,4	-
61_tip_vb	fic_1836_7330.txt-962-33,mag_1982_298124.txt-17-12	1,2,3,4	-
62_tip_vb	fic_1838_7250.txt-1578-20,fic_1968_10505.txt-7472-6	1,2,3,4	-
63_tip_vb	mag_2000_412569.txt-3-14,fic_2007_52316.txt-308-10	1,2,3,4	-
64_tip_vb	nf_1838_747482.txt-1255-8,mag_1998_404008.txt-87-17	1,2,3,4	-
65_tip_vb	fic_2006_28613.txt-8-5,nf_1995_777109.txt-3-23	1,2,3,4	-
66_tip_vb	fic_1849_7006.txt-1314-10,fic_2005_780520.txt-572-10	1,2,3,4	-
67_tip_vb	mag_1982_325204.txt-14-26,mag_1998_401608.txt-13-26	1,2,3,4	-
68_tip_vb	fic_1858_1282.txt-2858-67,fic_2005_780520.txt-572-10	1,2,3,4	-
69_tip_vb	fic_1987_10756.txt-21242-2,fic_1980_10659.txt-1489-9	1,2,3,4	-
70_tip_vb	fic_2007_52316.txt-308-10,fic_2006_51727.txt-63-8	1,2,3,4	-
