instanceID	dataIDs	label_set	non_label
0_tree_nn	nf_1841_747926.txt-1956-10,fic_1836_7111.txt-1882-14	1,2,3,4	-
1_tree_nn	nf_1845_747928.txt-890-10,nf_1848_747893.txt-2604-12	1,2,3,4	-
2_tree_nn	fic_2006_51660.txt-30-13,nf_1833_747941.txt-839-20	1,2,3,4	-
3_tree_nn	mag_1838_554654.txt-295-19,nf_1848_747893.txt-2337-60	1,2,3,4	-
4_tree_nn	fic_1839_7336.txt-168-16,nf_1858_747890.txt-902-2	1,2,3,4	-
5_tree_nn	news_1994_620109.txt-17-17,fic_1836_7111.txt-1882-14	1,2,3,4	-
6_tree_nn	fic_1987_16030.txt-1901-11,mag_1973_431867.txt-184-0	1,2,3,4	-
7_tree_nn	fic_1997_42318.txt-0-28,fic_1836_7111.txt-1882-14	1,2,3,4	-
8_tree_nn	mag_1996_383581.txt-42-34,nf_1845_747928.txt-861-20	1,2,3,4	-
9_tree_nn	fic_1993_25027.txt-2573-3,mag_1972_431829.txt-43-11	1,2,3,4	-
10_tree_nn	mag_1967_431741.txt-90-5,fic_1860_8118.txt-263-11	1,2,3,4	-
11_tree_nn	fic_1822_7243.txt-2784-30,mag_1973_431867.txt-184-0	1,2,3,4	-
12_tree_nn	fic_1854_9218.txt-0-21,fic_1988_10770.txt-4481-5	1,2,3,4	-
13_tree_nn	news_2002_603921.txt-36-47,fic_1965_10458.txt-3606-5	1,2,3,4	-
14_tree_nn	nf_1850_747863.txt-1002-17,fic_1853_9040.txt-1302-23	1,2,3,4	-
15_tree_nn	fic_2007_33569.txt-46-5,fic_1822_7243.txt-4765-23	1,2,3,4	-
16_tree_nn	fic_1966_1008.txt-127-39,fic_1848_7009.txt-3726-46	1,2,3,4	-
17_tree_nn	fic_1844_9118.txt-279-19,fic_1848_7009.txt-3726-46	1,2,3,4	-
18_tree_nn	news_2005_604814.txt-2-2,fic_1860_8118.txt-263-11	1,2,3,4	-
19_tree_nn	fic_1967_10494.txt-3896-11,nf_1848_747893.txt-2337-60	1,2,3,4	-
20_tree_nn	fic_1982_23959.txt-129-50,fic_1822_7243.txt-4765-23	1,2,3,4	-
21_tree_nn	fic_1833_7201.txt-717-24,nf_1856_769051.txt-3330-25	1,2,3,4	-
22_tree_nn	mag_2002_385274.txt-73-20,fic_1848_7009.txt-3726-46	1,2,3,4	-
23_tree_nn	nf_1841_747926.txt-1510-45,fic_1860_8118.txt-263-11	1,2,3,4	-
24_tree_nn	nf_1998_774048.txt-896-20,fic_1836_7111.txt-1882-14	1,2,3,4	-
25_tree_nn	mag_1995_420946.txt-118-17,fic_1848_7009.txt-3726-46	1,2,3,4	-
26_tree_nn	fic_2005_31446.txt-103-18,nf_1856_769051.txt-3330-25	1,2,3,4	-
27_tree_nn	fic_1846_4464.txt-1775-9,nf_1856_769051.txt-3330-25	1,2,3,4	-
28_tree_nn	nf_1851_747930.txt-3604-60,mag_1973_431867.txt-184-0	1,2,3,4	-
29_tree_nn	fic_1993_25015.txt-1504-20,fic_1848_7009.txt-3726-46	1,2,3,4	-
30_tree_nn	fic_1989_782038.txt-2623-13,mag_1973_431867.txt-184-0	1,2,3,4	-
31_tree_nn	fic_1982_13389.txt-1772-18,nf_1858_747890.txt-1633-3	1,2,3,4	-
32_tree_nn	fic_1835_7134.txt-934-27,fic_1822_7243.txt-4765-23	1,2,3,4	-
33_tree_nn	fic_1980_782023.txt-2096-18,fic_1822_7243.txt-4765-23	1,2,3,4	-
34_tree_nn	fic_1998_44220.txt-236-8,fic_1848_7009.txt-3726-46	1,2,3,4	-
35_tree_nn	fic_2007_52474.txt-242-17,nf_1848_747893.txt-2337-60	1,2,3,4	-
36_tree_nn	nf_1851_747930.txt-4010-15,fic_1988_10770.txt-4481-5	1,2,3,4	-
37_tree_nn	fic_1853_2409.txt-622-6,mag_1972_431829.txt-43-11	1,2,3,4	-
38_tree_nn	fic_1856_9779.txt-13013-23,fic_1849_7230.txt-2090-6	1,2,3,4	-
39_tree_nn	fic_1839_7335.txt-551-10,mag_1973_431867.txt-184-0	1,2,3,4	-
40_tree_nn	fic_1974_13258.txt-455-7,mag_1972_431829.txt-43-11	1,2,3,4	-
41_tree_nn	fic_1975_10600.txt-1237-18,nf_1833_747941.txt-839-20	1,2,3,4	-
42_tree_nn	fic_1990_53204.txt-243-10,nf_1856_769051.txt-2612-27	1,2,3,4	-
43_tree_nn	fic_1997_42230.txt-691-13,mag_1972_431829.txt-43-11	1,2,3,4	-
44_tree_nn	fic_2008_36175.txt-25-2,nf_1848_747893.txt-2337-60	1,2,3,4	-
45_tree_nn	fic_1993_1040085.txt-3801-15,nf_1841_747926.txt-950-14	1,2,3,4	-
46_tree_nn	mag_1831_563912.txt-14-6,fic_1849_7230.txt-2090-6	1,2,3,4	-
47_tree_nn	mag_1977_490796.txt-116-13,fic_1848_7009.txt-3726-46	1,2,3,4	-
48_tree_nn	fic_1848_7009.txt-3202-24,mag_1972_431829.txt-43-11	1,2,3,4	-
49_tree_nn	fic_1986_10739.txt-4192-2,nf_1856_769051.txt-3330-25	1,2,3,4	-
50_tree_nn	fic_1849_7216.txt-4777-12,nf_1858_747890.txt-902-2	1,2,3,4	-
51_tree_nn	mag_1967_490647.txt-48-14,nf_1858_747890.txt-1633-3	1,2,3,4	-
52_tree_nn	fic_2000_38702.txt-269-12,nf_1858_747890.txt-1633-3	1,2,3,4	-
53_tree_nn	fic_1982_10699.txt-3505-4,fic_1860_8118.txt-263-11	1,2,3,4	-
54_tree_nn	nf_1849_755107.txt-2709-2,mag_1972_431829.txt-43-11	1,2,3,4	-
55_tree_nn	nf_1851_747930.txt-4018-1,fic_1849_7230.txt-2090-6	1,2,3,4	-
56_tree_nn	fic_1849_7230.txt-1758-7,fic_1988_10770.txt-4481-5	1,2,3,4	-
57_tree_nn	nf_1845_747928.txt-890-10,fic_1853_9040.txt-1302-23	1,2,3,4	-
58_tree_nn	fic_1822_7243.txt-2784-30,nf_1851_747930.txt-4010-15	1,2,3,4	-
59_tree_nn	fic_1993_25027.txt-2573-3,fic_1976_14235.txt-3398-25	1,2,3,4	-
60_tree_nn	mag_2000_401771.txt-55-20,fic_2000_38702.txt-269-12	1,2,3,4	-
61_tree_nn	nf_1844_747892.txt-285-15,nf_1856_769051.txt-2612-27	1,2,3,4	-
62_tree_nn	fic_1993_1040090.txt-3862-7,nf_1845_747928.txt-861-20	1,2,3,4	-
63_tree_nn	mag_1962_133963.txt-63-22,fic_1848_7009.txt-3726-46	1,2,3,4	-
64_tree_nn	nf_1849_747900.txt-1005-19,mag_1972_431829.txt-43-11	1,2,3,4	-
65_tree_nn	fic_2005_780519.txt-398-22,nf_1848_747893.txt-2337-60	1,2,3,4	-
66_tree_nn	fic_1963_780073.txt-2749-16,fic_1988_10770.txt-4481-5	1,2,3,4	-
67_tree_nn	mag_1837_554445.txt-162-10,nf_1856_769051.txt-3330-25	1,2,3,4	-
68_tree_nn	fic_1856_9797.txt-6645-69,mag_1972_431829.txt-43-11	1,2,3,4	-
69_tree_nn	fic_1845_7170.txt-3107-11,fic_1860_8118.txt-263-11	1,2,3,4	-
70_tree_nn	mag_1988_337446.txt-8-3,nf_1858_747890.txt-902-2	1,2,3,4	-
71_tree_nn	fic_1832_7177.txt-2251-5,fic_1988_10770.txt-4481-5	1,2,3,4	-
72_tree_nn	mag_1859_506406.txt-218-6,fic_1822_7243.txt-4765-23	1,2,3,4	-
73_tree_nn	fic_1848_7341.txt-544-26,mag_1973_431867.txt-184-0	1,2,3,4	-
74_tree_nn	fic_1992_40397.txt-88-4,fic_1853_9040.txt-1302-23	1,2,3,4	-
75_tree_nn	nf_1982_774241.txt-290-5,fic_1848_7009.txt-3726-46	1,2,3,4	-
76_tree_nn	fic_1991_53459.txt-84-28,mag_1973_431867.txt-184-0	1,2,3,4	-
77_tree_nn	fic_1856_7889.txt-218-68,mag_1972_431829.txt-43-11	1,2,3,4	-
78_tree_nn	fic_1844_7189.txt-2280-26,nf_1858_747890.txt-1633-3	1,2,3,4	-
79_tree_nn	mag_1851_504024.txt-369-23,fic_1849_7230.txt-2090-6	1,2,3,4	-
80_tree_nn	nf_1845_747928.txt-890-10,mag_2001_417542.txt-66-6	1,2,3,4	-
81_tree_nn	nf_1963_774222.txt-1849-38,fic_1836_7111.txt-1882-14	1,2,3,4	-
82_tree_nn	nf_1848_747893.txt-2604-12,nf_1845_747928.txt-861-20	1,2,3,4	-
83_tree_nn	fic_1850_2535.txt-108-5,nf_1841_747926.txt-950-14	1,2,3,4	-
84_tree_nn	fic_1961_23773.txt-58-21,fic_1849_7230.txt-2090-6	1,2,3,4	-
85_tree_nn	fic_2005_32824.txt-126-40,nf_1856_769051.txt-3330-25	1,2,3,4	-
86_tree_nn	fic_1854_8328.txt-2813-25,fic_1848_7009.txt-3726-46	1,2,3,4	-
87_tree_nn	mag_1832_554167.txt-84-20,nf_1833_747941.txt-839-20	1,2,3,4	-
88_tree_nn	nf_1833_747941.txt-247-38,nf_1858_747890.txt-902-2	1,2,3,4	-
89_tree_nn	fic_1989_5359.txt-6480-27,fic_1849_7230.txt-2090-6	1,2,3,4	-
90_tree_nn	mag_1848_555520.txt-129-53,fic_1848_7009.txt-3726-46	1,2,3,4	-
91_tree_nn	fic_1990_13677.txt-711-9,fic_1853_9040.txt-1302-23	1,2,3,4	-
92_tree_nn	nf_1845_747909.txt-1201-33,nf_1841_747926.txt-950-14	1,2,3,4	-
93_tree_nn	nf_1834_747621.txt-729-73,nf_1856_769051.txt-3330-25	1,2,3,4	-
94_tree_nn	fic_1976_14235.txt-3398-25,mag_1973_431867.txt-184-0	1,2,3,4	-
95_tree_nn	fic_1992_53515.txt-136-45,nf_1856_769051.txt-2612-27	1,2,3,4	-
96_tree_nn	mag_1992_396817.txt-96-55,nf_1845_747928.txt-861-20	1,2,3,4	-
97_tree_nn	nf_1844_762654.txt-2000-47,nf_1856_769051.txt-3330-25	1,2,3,4	-
98_tree_nn	fic_1994_41229.txt-259-54,fic_1822_7243.txt-4765-23	1,2,3,4	-
99_tree_nn	fic_1853_4303.txt-1570-30,nf_1858_747890.txt-1633-3	1,2,3,4	-
100_tree_nn	fic_1845_7170.txt-517-23,fic_1848_7009.txt-3726-46	1,2,3,4	-
101_tree_nn	fic_1979_782021.txt-4577-6,nf_1845_747928.txt-861-20	1,2,3,4	-
102_tree_nn	nf_1851_758845.txt-1961-56,fic_1860_8118.txt-263-11	1,2,3,4	-
103_tree_nn	fic_2002_47054.txt-391-39,mag_1973_431867.txt-184-0	1,2,3,4	-
104_tree_nn	nf_1841_747926.txt-2077-1,nf_1833_747941.txt-839-20	1,2,3,4	-
105_tree_nn	fic_1981_782025.txt-2226-26,nf_1845_747928.txt-861-20	1,2,3,4	-
106_tree_nn	fic_1858_9231.txt-2377-16,nf_1833_747941.txt-839-20	1,2,3,4	-
107_tree_nn	fic_1993_16196.txt-1845-17,fic_1848_7009.txt-3726-46	1,2,3,4	-
108_tree_nn	fic_1849_7006.txt-2460-3,fic_1965_10458.txt-3606-5	1,2,3,4	-
109_tree_nn	mag_1990_420777.txt-5-22,nf_1841_747926.txt-950-14	1,2,3,4	-
110_tree_nn	mag_2000_401771.txt-55-20,fic_1822_7243.txt-4765-23	1,2,3,4	-
111_tree_nn	fic_1827_7168.txt-303-74,fic_1965_10458.txt-3606-5	1,2,3,4	-
112_tree_nn	fic_1837_8325.txt-1062-42,fic_1988_10770.txt-4481-5	1,2,3,4	-
113_tree_nn	fic_1973_10570.txt-3739-10,mag_1972_431829.txt-43-11	1,2,3,4	-
114_tree_nn	fic_1851_3336.txt-2841-13,fic_1988_10770.txt-4481-5	1,2,3,4	-
115_tree_nn	fic_1836_7040.txt-2834-40,fic_1849_7230.txt-2090-6	1,2,3,4	-
116_tree_nn	fic_1983_10707.txt-3756-9,mag_1973_431867.txt-184-0	1,2,3,4	-
117_tree_nn	mag_1854_566452.txt-328-15,fic_1860_8118.txt-263-11	1,2,3,4	-
118_tree_nn	mag_1972_431829.txt-43-11,mag_1988_337446.txt-8-3	1,2,3,4	-
119_tree_nn	fic_2001_27768.txt-138-23,fic_1853_9040.txt-1302-23	1,2,3,4	-
120_tree_nn	mag_2001_417542.txt-66-6,nf_1858_747890.txt-1633-3	1,2,3,4	-
121_tree_nn	mag_1967_431741.txt-90-5,nf_1833_747941.txt-1275-24	1,2,3,4	-
122_tree_nn	nf_1833_747941.txt-1275-24,nf_1856_769051.txt-2612-27	1,2,3,4	-
123_tree_nn	fic_1853_9200.txt-1628-23,mag_1973_431867.txt-184-0	1,2,3,4	-
124_tree_nn	fic_1850_7171.txt-5572-3,fic_1822_7243.txt-4765-23	1,2,3,4	-
125_tree_nn	fic_1846_7121.txt-989-51,fic_1822_7243.txt-4765-23	1,2,3,4	-
126_tree_nn	nf_1833_747941.txt-1621-0,mag_1972_431829.txt-43-11	1,2,3,4	-
127_tree_nn	mag_1851_525821.txt-26-21,nf_1841_747926.txt-950-14	1,2,3,4	-
128_tree_nn	mag_1998_400662.txt-36-34,nf_1841_747926.txt-950-14	1,2,3,4	-
129_tree_nn	fic_2003_47913.txt-16-32,nf_1848_747893.txt-2337-60	1,2,3,4	-
130_tree_nn	nf_1858_747890.txt-792-5,nf_1833_747941.txt-839-20	1,2,3,4	-
131_tree_nn	fic_1855_2661.txt-1093-19,nf_1858_747890.txt-902-2	1,2,3,4	-
132_tree_nn	fic_2004_30237.txt-24-9,nf_1858_747890.txt-1633-3	1,2,3,4	-
133_tree_nn	fic_1977_10623.txt-3197-9,nf_1858_747890.txt-902-2	1,2,3,4	-
134_tree_nn	fic_1997_42212.txt-874-3,nf_1833_747941.txt-839-20	1,2,3,4	-
135_tree_nn	fic_1855_2965.txt-2197-4,fic_1988_10770.txt-4481-5	1,2,3,4	-
136_tree_nn	news_2006_623963.txt-66-14,fic_1848_7009.txt-3726-46	1,2,3,4	-
137_tree_nn	fic_1993_25011.txt-2130-12,nf_1841_747926.txt-950-14	1,2,3,4	-
138_tree_nn	fic_1846_4462.txt-2507-79,nf_1856_769051.txt-3330-25	1,2,3,4	-
139_tree_nn	fic_1836_7111.txt-1882-14,fic_1988_13311.txt-1418-5	1,2,3,4	-
140_tree_nn	fic_1985_10734.txt-13281-7,nf_1845_747928.txt-861-20	1,2,3,4	-
141_tree_nn	nf_1833_747941.txt-896-4,fic_1848_7009.txt-3726-46	1,2,3,4	-
142_tree_nn	nf_1841_747926.txt-2442-3,nf_1841_747926.txt-950-14	1,2,3,4	-
143_tree_nn	fic_1983_10710.txt-1940-6,nf_1858_747890.txt-902-2	1,2,3,4	-
144_tree_nn	fic_1847_8247.txt-115-11,mag_1972_431829.txt-43-11	1,2,3,4	-
145_tree_nn	fic_1962_23786.txt-2607-16,mag_1973_431867.txt-184-0	1,2,3,4	-
146_tree_nn	fic_1856_2470.txt-5940-8,nf_1858_747890.txt-902-2	1,2,3,4	-
147_tree_nn	fic_1986_10746.txt-369-25,fic_1836_7111.txt-1882-14	1,2,3,4	-
148_tree_nn	nf_1845_747928.txt-48-41,fic_1853_9040.txt-1302-23	1,2,3,4	-
