instanceID	label	comment	annotator
0_tree_nn	4.0	 	annotator2
1_tree_nn	4.0	 	annotator2
2_tree_nn	4.0	 	annotator2
3_tree_nn	4.0	 	annotator2
4_tree_nn	4.0	 	annotator2
5_tree_nn	4.0	 	annotator2
6_tree_nn	4.0	 	annotator2
7_tree_nn	4.0	 	annotator2
8_tree_nn	4.0	 	annotator2
9_tree_nn	4.0	 	annotator2
10_tree_nn	4.0	 	annotator2
11_tree_nn	4.0	 	annotator2
12_tree_nn	4.0	 	annotator2
13_tree_nn	4.0	 	annotator2
14_tree_nn	4.0	 	annotator2
15_tree_nn	4.0	 	annotator2
16_tree_nn	4.0	 	annotator2
17_tree_nn	4.0	 	annotator2
18_tree_nn	4.0	 	annotator2
19_tree_nn	4.0	 	annotator2
20_tree_nn	4.0	 	annotator2
21_tree_nn	4.0	 	annotator2
22_tree_nn	4.0	 	annotator2
23_tree_nn	4.0	 	annotator2
24_tree_nn	4.0	 	annotator2
25_tree_nn	4.0	 	annotator2
26_tree_nn	4.0	 	annotator2
27_tree_nn	4.0	 	annotator2
28_tree_nn	4.0	 	annotator2
29_tree_nn	4.0	 	annotator2
30_tree_nn	4.0	 	annotator2
31_tree_nn	4.0	 	annotator2
32_tree_nn	4.0	 	annotator2
33_tree_nn	4.0	 	annotator2
34_tree_nn	4.0	 	annotator2
35_tree_nn	4.0	 	annotator2
36_tree_nn	4.0	 	annotator2
37_tree_nn	4.0	 	annotator2
38_tree_nn	4.0	 	annotator2
39_tree_nn	4.0	 	annotator2
40_tree_nn	4.0	 	annotator2
41_tree_nn	4.0	 	annotator2
42_tree_nn	4.0	 	annotator2
43_tree_nn	4.0	 	annotator2
44_tree_nn	4.0	 	annotator2
45_tree_nn	4.0	 	annotator2
46_tree_nn	4.0	 	annotator2
47_tree_nn	4.0	 	annotator2
48_tree_nn	4.0	 	annotator2
49_tree_nn	4.0	 	annotator2
50_tree_nn	4.0	 	annotator2
51_tree_nn	4.0	 	annotator2
52_tree_nn	4.0	 	annotator2
53_tree_nn	4.0	 	annotator2
54_tree_nn	4.0	 	annotator2
55_tree_nn	4.0	 	annotator2
56_tree_nn	4.0	 	annotator2
57_tree_nn	4.0	 	annotator2
58_tree_nn	4.0	 	annotator2
59_tree_nn	4.0	 	annotator2
60_tree_nn	4.0	 	annotator2
61_tree_nn	4.0	 	annotator2
62_tree_nn	4.0	 	annotator2
63_tree_nn	4.0	 	annotator2
64_tree_nn	4.0	 	annotator2
65_tree_nn	4.0	 	annotator2
66_tree_nn	4.0	 	annotator2
67_tree_nn	4.0	 	annotator2
68_tree_nn	4.0	 	annotator2
69_tree_nn	4.0	 	annotator2
70_tree_nn	4.0	 	annotator2
71_tree_nn	4.0	 	annotator2
72_tree_nn	4.0	 	annotator2
73_tree_nn	4.0	 	annotator2
