instanceID	dataIDs	label_set	non_label
0_twist_nn	fic_1834_7047.txt-1090-58,fic_1985_10734.txt-2331-18	1,2,3,4	-
1_twist_nn	fic_1962_10417.txt-7726-22,fic_1966_10473.txt-2976-10	1,2,3,4	-
2_twist_nn	fic_1848_7009.txt-4137-35,fic_1994_41224.txt-249-6	1,2,3,4	-
3_twist_nn	nf_1832_771858.txt-209-6,fic_1851_3300.txt-3435-25	1,2,3,4	-
4_twist_nn	mag_1845_522615.txt-190-8,nf_2002_746322.txt-216-6	1,2,3,4	-
5_twist_nn	mag_1990_420392.txt-54-28,fic_1839_7011.txt-254-12	1,2,3,4	-
6_twist_nn	mag_1960_246914.txt-5-27,fic_1827_8772.txt-128-9	1,2,3,4	-
7_twist_nn	fic_1823_7213.txt-703-26,news_1998_626792.txt-30-11	1,2,3,4	-
8_twist_nn	fic_1836_7052.txt-1355-43,fic_1981_782025.txt-611-12	1,2,3,4	-
9_twist_nn	fic_1966_10473.txt-1675-18,fic_1983_10704.txt-7238-22	1,2,3,4	-
10_twist_nn	fic_1856_9779.txt-14316-17,mag_1982_298337.txt-12-6	1,2,3,4	-
11_twist_nn	fic_1834_7047.txt-1090-58,fic_1834_7323.txt-2713-19	1,2,3,4	-
12_twist_nn	fic_1834_7323.txt-3237-18,fic_1851_746.txt-8545-52	1,2,3,4	-
13_twist_nn	nf_1859_749190.txt-550-6,fic_1980_10672.txt-3463-1	1,2,3,4	-
14_twist_nn	fic_1856_9779.txt-14316-17,nf_2002_746322.txt-216-6	1,2,3,4	-
15_twist_nn	news_1966_725646.txt-32-10,mag_1993_135889.txt-43-10	1,2,3,4	-
16_twist_nn	nf_1859_749190.txt-550-6,mag_1965_492017.txt-44-3	1,2,3,4	-
17_twist_nn	fic_1840_7057.txt-145-153,fic_1961_12930.txt-399-14	1,2,3,4	-
18_twist_nn	nf_1837_757476.txt-2572-5,fic_1994_41224.txt-249-6	1,2,3,4	-
19_twist_nn	fic_2009_36870.txt-57-23,fic_1966_781992.txt-2245-7	1,2,3,4	-
20_twist_nn	mag_1997_428469.txt-45-13,fic_1840_7164.txt-2774-22	1,2,3,4	-
21_twist_nn	nf_1827_747521.txt-859-41,nf_1844_747892.txt-136-21	1,2,3,4	-
22_twist_nn	fic_2009_36961.txt-181-4,fic_1856_9852.txt-1753-8	1,2,3,4	-
23_twist_nn	fic_1845_7170.txt-1583-10,mag_1993_135889.txt-43-10	1,2,3,4	-
24_twist_nn	fic_1834_7047.txt-619-19,fic_2009_36870.txt-57-23	1,2,3,4	-
25_twist_nn	mag_2004_394945.txt-12-4,mag_1982_298337.txt-12-6	1,2,3,4	-
26_twist_nn	fic_1834_7323.txt-2713-19,nf_1827_747521.txt-840-21	1,2,3,4	-
27_twist_nn	fic_1851_3300.txt-3055-12,news_1998_626792.txt-30-11	1,2,3,4	-
28_twist_nn	fic_1856_9779.txt-14308-12,nf_1827_747521.txt-859-58	1,2,3,4	-
29_twist_nn	fic_1981_782025.txt-611-12,mag_1976_108137.txt-50-7	1,2,3,4	-
30_twist_nn	fic_1837_7395.txt-1611-50,mag_1993_135889.txt-43-10	1,2,3,4	-
31_twist_nn	mag_1997_428469.txt-45-13,fic_1983_10704.txt-7238-22	1,2,3,4	-
32_twist_nn	fic_1823_7213.txt-1296-19,mag_1993_135889.txt-43-10	1,2,3,4	-
33_twist_nn	nf_1982_773998.txt-224-13,fic_1994_41224.txt-249-6	1,2,3,4	-
34_twist_nn	fic_1842_7206.txt-1247-16,fic_1980_10672.txt-3463-1	1,2,3,4	-
35_twist_nn	nf_1859_749190.txt-558-29,fic_2001_12941.txt-265-8	1,2,3,4	-
36_twist_nn	fic_1989_10781.txt-7287-7,mag_1976_108137.txt-50-7	1,2,3,4	-
37_twist_nn	mag_1858_526619.txt-26-47,fic_2009_36870.txt-57-23	1,2,3,4	-
38_twist_nn	fic_1962_10417.txt-7726-22,fic_1980_10672.txt-3463-1	1,2,3,4	-
39_twist_nn	nf_1844_747892.txt-574-13,fic_1980_10672.txt-3463-1	1,2,3,4	-
40_twist_nn	mag_1992_346934.txt-21-14,mag_1982_298337.txt-12-6	1,2,3,4	-
41_twist_nn	fic_1964_781988.txt-39-23,fic_1851_746.txt-8545-52	1,2,3,4	-
42_twist_nn	fic_1846_556.txt-1433-7,fic_1842_7206.txt-3147-28	1,2,3,4	-
43_twist_nn	mag_1993_135889.txt-43-10,fic_1834_7047.txt-1090-58	1,2,3,4	-
44_twist_nn	mag_1960_246914.txt-5-27,fic_1961_10406.txt-1786-19	1,2,3,4	-
45_twist_nn	nf_1982_773998.txt-376-16,fic_1981_782025.txt-611-12	1,2,3,4	-
46_twist_nn	fic_1855_9773.txt-271-19,fic_1859_9220.txt-4102-44	1,2,3,4	-
47_twist_nn	fic_1840_7681.txt-1992-35,fic_1990_14132.txt-719-10	1,2,3,4	-
48_twist_nn	mag_2004_394945.txt-12-4,nf_1964_773457.txt-769-16	1,2,3,4	-
49_twist_nn	fic_1854_70.txt-38-56,nf_1964_773618.txt-231-9	1,2,3,4	-
50_twist_nn	fic_1842_7206.txt-1247-16,fic_1855_9773.txt-1608-9	1,2,3,4	-
51_twist_nn	fic_1827_7169.txt-2562-143,fic_1859_9220.txt-6324-24	1,2,3,4	-
52_twist_nn	nf_1964_773618.txt-231-9,mag_1823_553448.txt-210-40	1,2,3,4	-
53_twist_nn	fic_1823_7249.txt-3606-8,fic_1834_7047.txt-1090-58	1,2,3,4	-
54_twist_nn	fic_1860_9791.txt-883-62,news_1998_626792.txt-30-11	1,2,3,4	-
55_twist_nn	fic_1834_7047.txt-1521-36,fic_1846_7136.txt-1588-42	1,2,3,4	-
56_twist_nn	news_2000_627649.txt-2198-21,fic_1834_7047.txt-1090-58	1,2,3,4	-
57_twist_nn	nf_1964_773618.txt-231-9,mag_1960_246914.txt-5-27	1,2,3,4	-
58_twist_nn	news_1967_726161.txt-90-14,news_1998_626792.txt-30-11	1,2,3,4	-
59_twist_nn	fic_1855_9773.txt-271-19,fic_1839_7336.txt-2798-11	1,2,3,4	-
60_twist_nn	fic_1847_2352.txt-2533-11,mag_1982_298337.txt-12-6	1,2,3,4	-
61_twist_nn	news_1967_726161.txt-90-14,mag_1977_288256.txt-19-6	1,2,3,4	-
62_twist_nn	nf_1964_773618.txt-231-9,news_1998_626792.txt-30-11	1,2,3,4	-
63_twist_nn	mag_2007_389994.txt-60-31,news_1998_626792.txt-30-11	1,2,3,4	-
64_twist_nn	fic_1833_7321.txt-3740-19,mag_1982_298337.txt-12-6	1,2,3,4	-
65_twist_nn	fic_1837_7395.txt-1380-13,fic_1994_41224.txt-249-6	1,2,3,4	-
66_twist_nn	fic_1966_10473.txt-1675-18,mag_1982_298337.txt-12-6	1,2,3,4	-
67_twist_nn	fic_1856_9852.txt-1753-8,news_2000_633238.txt-89-7	1,2,3,4	-
68_twist_nn	fic_1860_9791.txt-883-62,mag_1993_135889.txt-43-10	1,2,3,4	-
69_twist_nn	fic_1827_8772.txt-128-9,mag_1993_135889.txt-43-10	1,2,3,4	-
70_twist_nn	fic_1985_10734.txt-2331-18,fic_1966_10473.txt-2976-10	1,2,3,4	-
71_twist_nn	fic_2009_36870.txt-57-23,fic_1985_10734.txt-2331-18	1,2,3,4	-
72_twist_nn	nf_1847_750187.txt-553-19,fic_1851_3300.txt-3055-12	1,2,3,4	-
73_twist_nn	fic_1834_7047.txt-1090-58,mag_1843_555146.txt-498-35	1,2,3,4	-
74_twist_nn	fic_1989_10781.txt-7287-7,news_1998_626792.txt-30-11	1,2,3,4	-
75_twist_nn	fic_2009_36961.txt-181-4,nf_2002_746322.txt-216-6	1,2,3,4	-
76_twist_nn	mag_1960_246914.txt-5-27,fic_1854_70.txt-38-56	1,2,3,4	-
77_twist_nn	fic_1823_7213.txt-1296-19,nf_1844_747892.txt-136-21	1,2,3,4	-
78_twist_nn	fic_1856_9779.txt-14316-17,nf_1844_747892.txt-136-21	1,2,3,4	-
