instanceID	dataIDs	label_set	non_label
0_word_nn	news_1983_671270.txt-26-30,fic_1972_10558.txt-1816-22	1,2,3,4	-
1_word_nn	fic_1845_7295.txt-5930-6,fic_1844_7187.txt-1166-1	1,2,3,4	-
2_word_nn	fic_2002_14561.txt-835-8,fic_1827_8314.txt-1304-57	1,2,3,4	-
3_word_nn	fic_1972_10558.txt-1816-22,news_2004_640230.txt-25-21	1,2,3,4	-
4_word_nn	fic_1972_10554.txt-4546-4,fic_1972_10558.txt-1816-22	1,2,3,4	-
5_word_nn	fic_1967_10486.txt-6159-21,news_2004_640230.txt-25-21	1,2,3,4	-
6_word_nn	nf_1833_747716.txt-636-11,nf_2001_746293.txt-491-2	1,2,3,4	-
7_word_nn	mag_1977_491625.txt-17-10,fic_1834_7012.txt-2546-18	1,2,3,4	-
8_word_nn	nf_1838_747585.txt-2034-15,fic_1970_23872.txt-947-21	1,2,3,4	-
9_word_nn	fic_1827_8314.txt-1304-57,fic_1827_7270.txt-542-28	1,2,3,4	-
10_word_nn	nf_1978_773805.txt-432-15,fic_1999_45243.txt-134-6	1,2,3,4	-
11_word_nn	news_1995_631321.txt-51-9,fic_1848_7193.txt-7814-10	1,2,3,4	-
12_word_nn	mag_1963_441107.txt-252-8,mag_1855_566562.txt-146-31	1,2,3,4	-
13_word_nn	fic_1839_7023.txt-2324-35,fic_1977_10623.txt-2701-38	1,2,3,4	-
14_word_nn	fic_2003_12367.txt-1070-10,fic_1967_10486.txt-6159-21	1,2,3,4	-
15_word_nn	nf_1824_747448.txt-1102-17,fic_2002_14169.txt-197-1	1,2,3,4	-
16_word_nn	news_2004_640230.txt-25-21,fic_2005_50065.txt-210-15	1,2,3,4	-
17_word_nn	fic_1818_7631.txt-396-12,mag_1992_423474.txt-91-36	1,2,3,4	-
18_word_nn	fic_1818_7631.txt-396-12,fic_1827_7270.txt-542-28	1,2,3,4	-
19_word_nn	fic_1972_10558.txt-1816-22,fic_1834_7012.txt-2546-18	1,2,3,4	-
20_word_nn	fic_2009_36933.txt-71-23,fic_1999_16192.txt-1515-15	1,2,3,4	-
21_word_nn	news_1995_631321.txt-51-9,fic_1973_10573.txt-134-8	1,2,3,4	-
22_word_nn	fic_2002_14561.txt-835-8,fic_1845_7295.txt-5930-6	1,2,3,4	-
23_word_nn	fic_1967_10486.txt-6159-21,fic_1975_780110.txt-1813-5	1,2,3,4	-
24_word_nn	mag_1992_423474.txt-91-36,fic_1970_10527.txt-7983-3	1,2,3,4	-
25_word_nn	fic_1848_7193.txt-8269-84,fic_1818_7631.txt-396-12	1,2,3,4	-
26_word_nn	news_1995_631321.txt-51-9,fic_1854_8328.txt-3278-15	1,2,3,4	-
27_word_nn	fic_1975_780110.txt-1813-5,fic_2005_50065.txt-210-15	1,2,3,4	-
28_word_nn	nf_1833_747716.txt-636-11,fic_1844_7187.txt-1166-1	1,2,3,4	-
29_word_nn	fic_1839_7023.txt-2324-35,fic_1844_8787.txt-57-6	1,2,3,4	-
30_word_nn	nf_1824_747448.txt-1102-17,mag_1990_420201.txt-35-4	1,2,3,4	-
31_word_nn	nf_1972_774324.txt-2403-10,fic_1834_7012.txt-2546-18	1,2,3,4	-
32_word_nn	news_2005_666462.txt-1-9,fic_1993_53862.txt-4-21	1,2,3,4	-
33_word_nn	news_2004_640230.txt-25-21,fic_1834_7012.txt-2546-18	1,2,3,4	-
34_word_nn	fic_1976_23910.txt-86-8,fic_1860_9168.txt-2782-19	1,2,3,4	-
35_word_nn	fic_1827_7270.txt-542-28,mag_1977_491625.txt-17-10	1,2,3,4	-
