instanceID	label	comment	annotator
1211	name	-	C
1212	describe	-	C
1213	name	-	C
1214	telephone	-	C
1215	summon	-	C
1216	telephon	-	C
1217	label	-	C
1218	telephone	-	C
1219	name	-	C
1220	telephone	-	C
1211	name	-	A
1212	name	-	A
1213	name	-	A
1214	dial	-	A
1215	ring	-	A
1216	ring	-	A
1217	know as	-	A
1218	dial	-	A
1219	name	-	A
1220	ring	-	A
1211	name	-	F
1212	name	-	F
1213	name	-	F
1214	phone	-	F
1215	summon	-	F
1216	phone	-	F
1217	name	-	F
1218	phone	-	F
1219	name	-	F
1220	phone	-	F
1211	name	-	G
1212	name	-	G
1213	name	-	G
1214	ring	-	G
1215	ring	-	G
1216	ring	-	G
1217	term	-	G
1218	ring	-	G
1219	name	-	G
1220	ring	-	G
1211	name	-	D
1212	label	-	D
1213	name	-	D
1214	dial	-	D
1215	ring	-	D
1216	ring	-	D
1217	name	-	D
1218	dial	-	D
1219	label	-	D
1220	ring	-	D
1211	phone	-	H
1212	describe	-	H
1213	name	-	H
1214	phone	-	H
1215	phone	-	H
1216	phone	-	H
1217	name	-	H
1218	phone	-	H
1219	name	-	H
1220	phone	-	H
1211	describe	-	I
1212	describe	-	I
1213	name	-	I
1214	contact	-	I
1215	phone	-	I
1216	phone	-	I
1217	name	-	I
1218	phone	-	I
1219	name	-	I
1220	phone	-	I
1211	name	-	J
1212	name	-	J
1213	name	-	J
1214	contact	-	J
1215	contact	-	J
1216	contact	-	J
1217	name	-	J
1218	ring	-	J
1219	know as	-	J
1220	ring	-	J
