instanceID	label	comment	annotator
1851	shot	-	C
1852	ignite	-	C
1853	sack	-	C
1854	sack	-	C
1855	shoot	-	C
1856	sack	-	C
1857	aim	-	C
1858	sack	-	C
1859	aim	-	C
1860	discharge	-	C
1851	shot	-	A
1852	launch	-	A
1853	sack	-	A
1854	sack	-	A
1855	shoot	-	A
1856	sack	-	A
1857	launch	-	A
1858	sack	-	A
1859	shot	-	A
1860	launch	-	A
1851	shoot	-	F
1852	shoot	-	F
1853	dismiss	-	F
1854	dismiss	-	F
1855	shoot	-	F
1856	dismiss	-	F
1857	shoot	-	F
1858	dismiss	-	F
1859	shoot	-	F
1860	shoot	-	F
1851	launch	-	G
1852	shoot	-	G
1853	sack	-	G
1854	sack	-	G
1855	discharge	-	G
1856	sack	-	G
1857	shoot	-	G
1858	sack	-	G
1859	shoot	-	G
1860	trigger	-	G
1851	go off	-	D
1852	set off	-	D
1853	sack	-	D
1854	lay off	-	D
1855	shoot	-	D
1856	lay off	-	D
1857	shoot	-	D
1858	sack	-	D
1859	shoot	-	D
1860	pull the trigger	-	D
1851	shoot	-	H
1852	shoot	-	H
1853	sack	-	H
1854	sack	-	H
1855	shoot	-	H
1856	sack	-	H
1857	shoot	-	H
1858	sack	-	H
1859	shoot	-	H
1860	shoot	-	H
1851	bombard	-	I
1852	unleash	-	I
1853	sack	-	I
1854	sack	-	I
1855	attack	-	I
1856	sack	-	I
1857	discharge	-	I
1858	sack	-	I
1859	discharge	-	I
1860	discharge	-	I
1851	shoot	-	J
1852	launch	-	J
1853	sack	-	J
1854	sack	-	J
1855	shoot	-	J
1856	sack	-	J
1857	discharge	-	J
1858	sack	-	J
1859	shoot	-	J
1860	took	-	J
