instanceID	dataIDs	label_set	non_label
1021	1021		-
1022	1022		-
1023	1023		-
1024	1024		-
1025	1025		-
1026	1026		-
1027	1027		-
1028	1028		-
1029	1029		-
1030	1030		-
1531	1531		-
1532	1532		-
1533	1533		-
1534	1534		-
1535	1535		-
1536	1536		-
1537	1537		-
1538	1538		-
1539	1539		-
1540	1540		-
1851	1851		-
1852	1852		-
1853	1853		-
1854	1854		-
1855	1855		-
1856	1856		-
1857	1857		-
1858	1858		-
1859	1859		-
1860	1860		-
1641	1641		-
1642	1642		-
1643	1643		-
1644	1644		-
1645	1645		-
1646	1646		-
1647	1647		-
1648	1648		-
1649	1649		-
1650	1650		-
1151	1151		-
1152	1152		-
1153	1153		-
1154	1154		-
1155	1155		-
1156	1156		-
1157	1157		-
1158	1158		-
1159	1159		-
1160	1160		-
1941	1941		-
1942	1942		-
1943	1943		-
1944	1944		-
1945	1945		-
1946	1946		-
1947	1947		-
1948	1948		-
1949	1949		-
1950	1950		-
1	1		-
2	2		-
3	3		-
4	4		-
5	5		-
6	6		-
7	7		-
8	8		-
9	9		-
10	10		-
1411	1411		-
1412	1412		-
1413	1413		-
1414	1414		-
1415	1415		-
1416	1416		-
1417	1417		-
1418	1418		-
1419	1419		-
1420	1420		-
111	111		-
112	112		-
113	113		-
114	114		-
115	115		-
116	116		-
117	117		-
118	118		-
119	119		-
120	120		-
1611	1611		-
1612	1612		-
1613	1613		-
1614	1614		-
1615	1615		-
1616	1616		-
1617	1617		-
1618	1618		-
1619	1619		-
1620	1620		-
81	81		-
82	82		-
83	83		-
84	84		-
85	85		-
86	86		-
87	87		-
88	88		-
89	89		-
90	90		-
281	281		-
282	282		-
283	283		-
284	284		-
285	285		-
286	286		-
287	287		-
288	288		-
289	289		-
290	290		-
451	451		-
452	452		-
453	453		-
454	454		-
455	455		-
456	456		-
457	457		-
458	458		-
459	459		-
460	460		-
1881	1881		-
1882	1882		-
1883	1883		-
1884	1884		-
1885	1885		-
1886	1886		-
1887	1887		-
1888	1888		-
1889	1889		-
1890	1890		-
1071	1071		-
1072	1072		-
1073	1073		-
1074	1074		-
1075	1075		-
1076	1076		-
1077	1077		-
1078	1078		-
1079	1079		-
1080	1080		-
521	521		-
522	522		-
523	523		-
524	524		-
525	525		-
526	526		-
527	527		-
528	528		-
529	529		-
530	530		-
391	391		-
392	392		-
393	393		-
394	394		-
395	395		-
396	396		-
397	397		-
398	398		-
399	399		-
400	400		-
121	121		-
122	122		-
123	123		-
124	124		-
125	125		-
126	126		-
127	127		-
128	128		-
129	129		-
130	130		-
901	901		-
902	902		-
903	903		-
904	904		-
905	905		-
906	906		-
907	907		-
908	908		-
909	909		-
910	910		-
1211	1211		-
1212	1212		-
1213	1213		-
1214	1214		-
1215	1215		-
1216	1216		-
1217	1217		-
1218	1218		-
1219	1219		-
1220	1220		-
1101	1101		-
1102	1102		-
1103	1103		-
1104	1104		-
1105	1105		-
1106	1106		-
1107	1107		-
1108	1108		-
1109	1109		-
1110	1110		-
1591	1591		-
1592	1592		-
1593	1593		-
1594	1594		-
1595	1595		-
1596	1596		-
1597	1597		-
1598	1598		-
1599	1599		-
1600	1600		-
1951	1951		-
1952	1952		-
1953	1953		-
1954	1954		-
1955	1955		-
1956	1956		-
1957	1957		-
1958	1958		-
1959	1959		-
1960	1960		-
1861	1861		-
1862	1862		-
1863	1863		-
1864	1864		-
1865	1865		-
1866	1866		-
1867	1867		-
1868	1868		-
1869	1869		-
1870	1870		-
1381	1381		-
1382	1382		-
1383	1383		-
1384	1384		-
1385	1385		-
1386	1386		-
1387	1387		-
1388	1388		-
1389	1389		-
1390	1390		-
101	101		-
102	102		-
103	103		-
104	104		-
105	105		-
106	106		-
107	107		-
108	108		-
109	109		-
110	110		-
