instanceID	label	comment	annotator
281	basic	-	C
282	coarse	-	C
283	unpolished	-	C
284	crude	-	C
285	approximate	-	C
286	approximate	-	C
287	hard	-	C
288	uneven	-	C
289	violent	-	C
290	difficult	-	C
281	basic	-	A
282	coarse	-	A
283	coarse	-	A
284	approxmate	-	A
285	approxmate	-	A
286	approximate	-	A
287	tough	-	A
288	uneven	-	A
289	dangerous	-	A
290	tough	-	A
281	approximate	-	F
282	uneven	-	F
283	uneven	-	F
284	approximate	-	F
285	approximate	-	F
286	approximate	-	F
287	unpleasant	-	F
288	uneven	-	F
289	violent	-	F
290	unpleasant	-	F
281	vague	-	G
282	irregular	-	G
283	coarse	-	G
284	approximate	-	G
285	approximate	-	G
286	approximate	-	G
287	tough	-	G
288	jagged	-	G
289	violent	-	G
290	violent	-	G
281	basic	-	D
282	uneven	-	D
283	ragged	-	D
284	simple	-	D
285	basic	-	D
286	basic	-	D
287	tough	-	D
288	uneven	-	D
289	trashy	-	D
290	rubbish	-	D
281	basic	-	H
282	coarse	-	H
283	coarse	-	H
284	approximate	-	H
285	approximate	-	H
286	approximate	-	H
287	difficult	-	H
288	uneven	-	H
289	violent	-	H
290	difficult	-	H
281	approximate	-	I
282	uneven	-	I
283	uneven	-	I
284	approximate	-	I
285	approximate	-	I
286	approximate	-	I
287	difficult	-	I
288	uneven	-	I
289	unsafe	-	I
290	hard	-	I
281	approximate	-	J
282	coarse	-	J
283	coarse	-	J
284	approximate	-	J
285	approximate	-	J
286	approximate	-	J
287	difficult	-	J
288	draft	-	J
289	violent	-	J
290	difficult	-	J
