instanceID	label	comment	annotator
1951	nil	-	C
1952	rubbish	-	C
1953	fragment	-	C
1954	leftover	-	C
1955	fragment	-	C
1956	remnant	-	C
1957	recovery	-	C
1958	waste material	-	C
1959	leftover	-	C
1960	clipping	-	C
1951	ditch	-	A
1952	rubbish	-	A
1953	piece	-	A
1954	morsel	-	A
1955	piece	-	A
1956	piece	-	A
1957	rough	-	A
1958	rubbish	-	A
1959	morsel	-	A
1960	memory	-	A
1951	waste	-	F
1952	piece	-	F
1953	piece	-	F
1954	piece	-	F
1955	piece	-	F
1956	piece	-	F
1957	waste	-	F
1958	waste	-	F
1959	piece	-	F
1960	snippet	-	F
1951	rubbish	-	G
1952	rubbish	-	G
1953	piece	-	G
1954	piece	-	G
1955	piece	-	G
1956	piece	-	G
1957	rubbish	-	G
1958	rubbish	-	G
1959	leftover	-	G
1960	leftover	-	G
1951	get rid of	-	D
1952	rubbish	-	D
1953	piece	-	D
1954	piece	-	D
1955	leftover	-	D
1956	piece	-	D
1957	rubbish	-	D
1958	rubbish	-	D
1959	leftover	-	D
1960	bit	-	D
1951	abandon	-	H
1952	rubbish	-	H
1953	piece	-	H
1954	piece	-	H
1955	piece	-	H
1956	piece	-	H
1957	rubbish	-	H
1958	rubbish	-	H
1959	piece	-	H
1960	rubbish	-	H
1951	end	-	I
1952	rubbish	-	I
1953	piece	-	I
1954	piece	-	I
1955	piece	-	I
1956	piece	-	I
1957	base	-	I
1958	waste	-	I
1959	piece	-	I
1960	souvenir	-	I
1951	cancel	-	J
1952	bit	-	J
1953	piece	-	J
1954	left-over	-	J
1955	fragment	-	J
1956	piece	-	J
1957		-	J
1958	rubbish 	-	J
1959	left-over	-	J
1960	rough	-	J
