instanceID	label	comment	annotator
1071	miss	-	C
1072	bounce	-	C
1073	jump	-	C
1074	jump with a rope	-	C
1075	miss	-	C
1076	omit	-	C
1077	jump	-	C
1078	omit	-	C
1079	miss	-	C
1080	jump	-	C
1071	miss	-	A
1072	bounce	-	A
1073	hop	-	A
1074	prance	-	A
1075	miss	-	A
1076	avoid	-	A
1077	cut	-	A
1078	avoid	-	A
1079	miss	-	A
1080	hop	-	A
1071	miss	-	F
1072	jump	-	F
1073	hop	-	F
1074	hop	-	F
1075	miss	-	F
1076	miss	-	F
1077	jump	-	F
1078	miss	-	F
1079	miss	-	F
1080	jump	-	F
1071	omit	-	G
1072	hop	-	G
1073	hop	-	G
1074	hop	-	G
1075	miss	-	G
1076	omit	-	G
1077	miss	-	G
1078	omit	-	G
1079	miss	-	G
1080	hop	-	G
1071	miss	-	D
1072	hop	-	D
1073	hop	-	D
1074	hop from one foot to the next	-	D
1075	miss	-	D
1076	bypass	-	D
1077	miss out	-	D
1078	disregard	-	D
1079	miss	-	D
1080	bop	-	D
1071	miss	-	H
1072	dance	-	H
1073	hop	-	H
1074	hop	-	H
1075	miss	-	H
1076	miss	-	H
1077	miss	-	H
1078	omit	-	H
1079	miss	-	H
1080	jump	-	H
1071	miss	-	I
1072	jump	-	I
1073	bounce	-	I
1074	prance	-	I
1075	miss	-	I
1076	leave	-	I
1077	jump	-	I
1078	forget	-	I
1079	miss	-	I
1080	move	-	I
1071	miss	-	J
1072	bounce	-	J
1073	bounce	-	J
1074		-	J
1075	miss	-	J
1076	miss	-	J
1077	jump	-	J
1078	don't use	-	J
1079	miss	-	J
1080	jump	-	J
