instanceID	label	comment	annotator
1611	lightweight	-	C
1612	gentle	-	C
1613	gentle	-	C
1614	yielding	-	C
1615	smooth	-	C
1616	gentle	-	C
1617	non-alcoholic	-	C
1618	gentle	-	C
1619	easy	-	C
1620	yielding	-	C
1611	weak	-	A
1612	gentle	-	A
1613	gentle	-	A
1614	supple	-	A
1615	comfortable	-	A
1616	gentle	-	A
1617	non-alcoholic	-	A
1618	weak	-	A
1619	flexible	-	A
1620	supple	-	A
1611		-	F
1612	gentle	-	F
1613	gentle	-	F
1614	spongy	-	F
1615	malleable	-	F
1616	gentle	-	F
1617	non-alcoholic	-	F
1618	gentle	-	F
1619	lenient	-	F
1620	squashy	-	F
1611	gentle	-	G
1612	faint	-	G
1613	spongey	-	G
1614	malleable	-	G
1615	yielding	-	G
1616	sensitive	-	G
1617	non-alcoholic	-	G
1618	gentle	-	G
1619	lenient	-	G
1620	spongey	-	G
1611	basic	-	D
1612	quiet	-	D
1613	warm	-	D
1614	smooth	-	D
1615	cotton-wool	-	D
1616	light	-	D
1617	fizzy	-	D
1618	smooth	-	D
1619	relaxed	-	D
1620	comfortable	-	D
1611	supple	-	H
1612	quiet	-	H
1613	gentle	-	H
1614	yielding	-	H
1615	comfortable	-	H
1616	quiet	-	H
1617	rich	-	H
1618	low	-	H
1619	lax	-	H
1620	comfortable	-	H
1611	easy	-	I
1612	quiet	-	I
1613	caring	-	I
1614	pliable	-	I
1615	light	-	I
1616	soothing	-	I
1617	non-alcoholic	-	I
1618	quiet	-	I
1619	easy	-	I
1620	squishy	-	I
1611	undemanding	-	J
1612	quiet	-	J
1613	flexible	-	J
1614	pliable	-	J
1615	smooth	-	J
1616	gentle	-	J
1617	non-alcoholic 	-	J
1618	dulcet	-	J
1619	easy	-	J
1620	silky	-	J
