instanceID	label	comment	annotator
1641	rigid	-	C
1642	rigid	-	C
1643	strong	-	C
1644	strong	-	C
1645	injured	-	C
1646		-	C
1647	rigid	-	C
1648	harsh	-	C
1649	strong	-	C
1650	severe	-	C
1641	ridgid	-	A
1642	ridgid	-	A
1643	strong	-	A
1644	strong	-	A
1645	sore	-	A
1646	sore	-	A
1647	ridgid	-	A
1648	firm	-	A
1649	strong	-	A
1650	strong	-	A
1641	rigid	-	F
1642	rigid	-	F
1643	hard	-	F
1644	vigourous	-	F
1645	ache	-	F
1646	ache	-	F
1647	reserved	-	F
1648	harsh	-	F
1649	rigid	-	F
1650	strong	-	F
1641	rigid	-	G
1642	rigid	-	G
1643	robust	-	G
1644	difficult	-	G
1645	aching	-	G
1646	rigid	-	G
1647	strong	-	G
1648	harsh	-	G
1649	strong	-	G
1650	strong	-	G
1641	hard	-	D
1642	hard	-	D
1643	aggressive	-	D
1644	intense	-	D
1645	muscularly hard	-	D
1646	achy	-	D
1647	hardcore	-	D
1648	harsh	-	D
1649	supportive	-	D
1650	high	-	D
1641	rigid	-	H
1642	inflexible	-	H
1643	hard	-	H
1644	hard	-	H
1645	rigid	-	H
1646	rigid	-	H
1647	cold	-	H
1648	hard	-	H
1649	firm	-	H
1650	hard	-	H
1641	rigid	-	I
1642	rigid	-	I
1643	strong	-	I
1644	difficult	-	I
1645	sore	-	I
1646	sore	-	I
1647	cliche	-	I
1648	stronger	-	I
1649	firm	-	I
1650	strong	-	I
1641	tough	-	J
1642	inflexible	-	J
1643	strong	-	J
1644	difficult	-	J
1645	aching	-	J
1646	sore	-	J
1647	firm	-	J
1648	harsh	-	J
1649	solid	-	J
1650	demanding	-	J
